챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
가구,alfombra,"f. 카펫, 양탄자",alfombra roja : 레드 카펫,"1. La alfombra es suave.

카펫이 부드럽다.

2. Manché la alfombra de vino.

카펫에 와인을 쏟았다.

3. Desfilaron por la alfombra roja.

그들은 레드 카펫을 행진했다.",
가구,apagar,v. 끄다,"apagar la luz : 불을 끄다

apagar el fuego : 불을 끄다 (진화하다)","1. Apaga la luz antes de dormir.

자기 전에 불을 꺼라.

2. Los bomberos apagaron el incendio.

소방관들이 화재를 진압했다.

3. Se apagó el ordenador de repente.

컴퓨터가 갑자기 꺼졌다.","[현재]

apago / apagas / apaga / apagamos / apagáis / apagan


[현재분사] : apagando : [과거분사] : apagado


[과거]

apagué / apagaste / apagó / apagamos / apagasteis / apagaron


[가정법]

apagaría / apagarías / apagaría / apagaríamos / apagaríais / apagarían


[접속법]

apague / apagues / apague / apaguemos / apaguéis / apaguen


[미래]

apagaré / apagarás / apagará / apagaremos / apagaréis / apagarán"
가구,armario,m. 옷장,salir del armario : 커밍아웃하다,"1. Guardo la ropa en el armario.

나는 옷을 옷장에 보관한다.

2. El armario está lleno.

옷장이 꽉 찼다.

3. Es un armario empotrado.

그것은 붙박이장이다.",
가구,arreglar,v. 수리하다; 정리하다,arreglárselas : 어떻게든 해내다,"1. Tengo que arreglar el grifo.

나는 수도꼭지를 고쳐야 한다.

2. Arregla tu cuarto.

네 방을 정리해라.

3. Ya arreglaré yo este asunto.

이 문제는 내가 처리할게.","[현재]

arreglo / arreglas / arregla / arreglamos / arregláis / arreglan


[현재분사] : arreglando : [과거분사] : arreglado


[과거]

arreglé / arreglaste / arregló / arreglamos / arreglasteis / arreglaron


[가정법]

arreglaría / arreglarías / arreglaría / arreglaríamos / arreglaríais / arreglarían


[접속법]

arregle / arregles / arregle / arreglemos / arregléis / arreglen


[미래]

arreglaré / arreglarás / arreglará / arreglaremos / arreglaréis / arreglarán"
가구,barrer,v. 빗자루로 쓸다,barrer para casa : 자기에게 유리하게 하다,"1. Barro el suelo de la cocina.

나는 부엌 바닥을 쓴다.

2. Tienes que barrer las hojas.

너는 낙엽을 쓸어야 한다.

3. Barrió la suciedad bajo la alfombra.

그는 먼지를 카펫 아래로 쓸어 넣었다 (숨겼다).","[현재]

barro / barres / barre / barremos / barréis / barren


[현재분사] : barriendo : [과거분사] : barrido


[과거]

barrí / barriste / barrió / barrimos / barristeis / barrieron


[가정법]

barrería / barrerías / barrería / barreríamos / barreríais / barrerían


[접속법]

barra / barras / barra / barramos / barráis / barran


[미래]

barreré / barrerás / barrerá / barreremos / barreréis / barrerán"
가구,batidora,f. 믹서기; 거품기,"batidora de mano : 핸드 블렌더

vaso de la batidora : 믹서기 통","1. Prepara el puré con la batidora.

믹서기로 퓨레를 만들어라.

2. La batidora hace mucho ruido.

믹서기가 소음을 많이 낸다.

3. Necesito una batidora para montar la nata.

크림을 올리기 위해 거품기가 필요하다.",
가구,cable,m. 케이블; 전선,"echar un cable : 도와주다

televisión por cable : 케이블 TV","1. El cable es demasiado corto.

케이블이 너무 짧다.

2. Cuidado con los cables.

전선 조심해라.

3. Necesito un cable USB.

USB 케이블이 필요하다.",
가구,calefacción,f. 난방; 히터,"calefacción central : 중앙난방

poner la calefacción : 난방을 틀다","1. Enciende la calefacción, hace frío.

추우니 난방을 켜라.

2. La calefacción no funciona.

난방이 작동하지 않는다.

3. Gastamos mucho en calefacción.

우리는 난방비를 많이 쓴다.",
가구,cama,f. 침대,"hacer la cama : 침대를 정리하다

guardar cama : (아파서) 누워 있다","1. Me voy a la cama.

나 자러 간다 (침대로 간다).

2. Haz la cama antes de salir.

나가기 전에 침대 정리해.

3. Es una cama de matrimonio.

그것은 2인용 침대(더블 침대)다.",
가구,cortina,f. 커튼,cortina de humo : 연막 (주의를 돌리는 것),"1. Abre las cortinas.

커튼을 걷어라.

2. Las cortinas son azules.

커튼은 파란색이다.

3. Detrás de la cortina de hierro.

철의 장막 뒤에.",
