챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
가족,abuelo,m. 할아버지; 조부모 (pl.),"abuelo cebolleta : 옛날이야기만 하는 노인

여성형 : abuela","1. Mi abuelo tiene ochenta años.

할아버지는 80세시다.

2. Visitamos a los abuelos los domingos.

우리는 일요일마다 조부모님을 뵈러 간다.

3. Sus abuelos emigraron a América.

그의 조부모님은 아메리카로 이민을 가셨다.",
가족,adulto,"m. 성인, 어른","edad adulta : 성인기

comportarse como un adulto : 어른스럽게 행동하다","1. El precio para adultos es de 10 euros.

성인 요금은 10유로다.

2. Ya eres un adulto responsable.

너는 이제 책임감 있는 성인이다.

3. La educación de adultos es importante.

성인 교육은 중요하다.",
가족,anciano,m. 노인,"residencia de ancianos : 양로원

cuidar a los ancianos : 노인을 공경하다","1. Ayudé a un anciano a cruzar la calle.

나는 노인이 길 건너는 것을 도왔다.

2. Es un anciano muy sabio.

그는 매우 지혜로운 노인이다.

3. La población de ancianos está creciendo.

노인 인구가 증가하고 있다.",
가족,antepasado,"m. 조상, 선조",adorar a los antepasados : 조상을 숭배하다,"1. Mis antepasados eran agricultores.

내 조상들은 농부였다.

2. Investiga sobre sus antepasados.

그는 자신의 조상에 대해 조사한다.

3. Debemos honrar a nuestros antepasados.

우리는 조상을 기려야 한다.",
가족,ascendiente,m. 조상; 윗어른; 영향력,"ascendiente directo : 직계 존속

tener ascendiente sobre : ~에게 영향력이 있다","1. Sus ascendientes eran italianos.

그의 조상들은 이탈리아인이었다.

2. Tiene mucho ascendiente sobre su hermano.

그는 동생에게 영향력이 크다.

3. Respeta a tus ascendientes.

웃어른을 공경해라.",
가족,bebé,m. 아기,"tener un bebé : 아이를 낳다

llorar como un bebé : 펑펑 울다","1. El bebé duerme en la cuna.

아기가 요람에서 자고 있다.

2. Están esperando un bebé.

그들은 아기를 기다리고 있다(임신 중이다).

3. Hay que cambiarle el pañal al bebé.

아기 기저귀를 갈아줘야 한다.",
가족,consuegro,m. 사돈 (자녀의 시부/장인),"ser consuegros : 사돈 지간이다

reunión de consuegros : 사돈 모임","1. Mis consuegros vienen a cenar.

사돈어른들이 저녁 드시러 오신다.

2. Se lleva muy bien con su consuegro.

그는 바깥사돈과 사이가 아주 좋다.

3. Los consuegros organizaron la boda.

사돈들이 결혼식을 준비했다.",
가족,cuidar,v. 돌보다,"cuidarse de : ~를 조심하다

¡Cuídate! : 몸조심해! (인사)","1. Cuido a mi hermana pequeña.

나는 여동생을 돌본다.

2. Debemos cuidar a nuestros mayores.

우리는 어른들을 모셔야 한다.

3. Se cuida mucho la salud.

그는 건강 관리를 아주 잘한다.","[현재]

cuido / cuidas / cuida / cuidamos / cuidáis / cuidan


[현재분사] : cuidando : [과거분사] : cuidado


[과거]

cuidé / cuidaste / cuidó / cuidamos / cuidasteis / cuidaron


[가정법]

cuidaría / cuidarías / cuidaría / cuidaríamos / cuidaríais / cuidarían


[접속법]

cuide / cuides / cuide / cuidemos / cuidéis / cuiden


[미래]

cuidaré / cuidarás / cuidará / cuidaremos / cuidaréis / cuidarán"
가족,cuñado,"m. 처남, 매형, 자형; 시아주버니, 도련님","concuñado : 동서 (배우자의 형제의 배우자)

여성형 : cuñada","1. Mi cuñado vive cerca de aquí.

내 매형은 이 근처에 산다.

2. Salí de fiesta con mi cuñada.

나는 올케(형수/처형)와 파티에 갔다.

3. Es el chiste típico de cuñado.

그건 전형적인 썰렁한 아재 개그야.",
가족,descendencia,f. 자손; 후손,"dejar descendencia : 자손을 남기다

sin descendencia : 자손 없이","1. Murió sin descendencia.

그는 자손 없이 죽었다.

2. Su descendencia vive en América.

그의 후손들은 아메리카에 산다.

3. Asegurar la descendencia.

후손을 보장하다 (대를 잇다).",
가족,descendiente,m. 후손,descendiente directo : 직계 후손,"1. Es descendiente de la realeza.

그는 왕족의 후손이다.

2. No dejó descendientes.

그는 후손을 남기지 않았다.

3. Los descendientes reclamaron la tierra.

후손들이 그 땅을 요구했다.",
가족,educar,v. 교육하다; 기르다,"mal educado : 버릇없는

bien educado : 예의 바른","1. Educar a los hijos es difícil.

자녀를 교육하는 것은 어렵다.

2. Lo educaron con mucha disciplina.

그들은 그를 엄격하게 교육했다.

3. Hay que educar en valores.

가치관을 교육해야 한다.","[현재]

educo / educas / educa / educamos / educáis / educan


[현재분사] : educando : [과거분사] : educado


[과거]

eduqué / educaste / educó / educamos / educasteis / educaron


[가정법]

educaría / educarías / educaría / educaríamos / educaríais / educarían


[접속법]

eduque / eduques / eduque / eduquemos / eduquéis / eduquen


[미래]

educaré / educarás / educará / educaremos / educaréis / educarán"
가족,esposo,m. 남편,"esposo y esposa : 부부

futuro esposo : 미래의 남편

여성형 : esposa","1. Su esposo es médico.

그녀의 남편은 의사다.

2. Los esposos celebraron su aniversario.

그 부부는 기념일을 축하했다.

3. Busca un buen esposo para su hija.

그녀는 딸을 위해 좋은 남편감을 찾고 있다.",
가족,familia,f. 가족,"familia numerosa : 대가족

en familia : 가족끼리 (단란하게)","1. Mi familia vive en Madrid.

내 가족은 마드리드에 산다.

2. Pasamos las vacaciones en familia.

우리는 휴가를 가족끼리 보냈다.

3. La familia es el núcleo de la sociedad.

가족은 사회의 핵심이다.",
가족,gemelo,m. 쌍둥이,"alma gemela : 소울메이트 (영혼의 단짝)

여성형 : gemela","1. Mi hermano es mi gemelo.

내 형제는 나의 쌍둥이다.

2. Las gemelas visten igual.

그 쌍둥이 자매는 똑같이 입는다.

3. Es difícil distinguir a los gemelos.

쌍둥이를 구별하기는 어렵다.",
가족,generación,f. 세대,"de generación en generación : 대대로

brecha generacional : 세대 차이","1. Somos de la misma generación.

우리는 같은 세대다.

2. Esta tradición pasa de generación en generación.

이 전통은 대대로 전해진다.

3. Hay conflictos entre generaciones.

세대 간의 갈등이 있다.",
가족,heredar,"v. 상속받다, 물려받다",heredar algo de alguien : ~에게서 ~를 물려받다,"1. Heredó la casa de sus abuelos.

그는 조부모님께 집을 물려받았다.

2. He heredado los ojos de mi madre.

나는 어머니의 눈을 물려받았다.

3. No quiero heredar sus deudas.

나는 그의 빚을 상속받고 싶지 않다.","[현재]

heredo / heredas / hereda / heredamos / heredáis / heredan


[현재분사] : heredando : [과거분사] : heredado


[과거]

heredé / heredaste / heredó / heredamos / heredasteis / heredaron


[가정법]

heredaría / heredarías / heredaría / heredaríamos / heredaríais / heredarían


[접속법]

herede / heredes / herede / heredemos / heredéis / hereden


[미래]

heredaré / heredarás / heredará / heredaremos / heredaréis / heredarán"
가족,hermano,"m. 형제; 오빠, 남동생, 형","medio hermano : 이복형제

hermano gemelo : 쌍둥이 형제

여성형 : hermana","1. Juego con mi hermano mayor.

나는 형이랑 논다.

2. Se llevan bien como hermanos.

그들은 형제처럼 사이가 좋다.

3. No tengo hermanos, soy hijo único.

나는 형제가 없어, 외동이야.",
가족,hijastro,m. 의붓아들,"querer como a un hijo : 친아들처럼 사랑하다

relación con el hijastro : 의붓아들과의 관계","1. Tiene un hijastro de su primer matrimonio.

그는 첫 결혼에서 얻은 의붓아들이 있다.

2. Trata a su hijastro como propio.

그는 의붓아들을 친아들처럼 대한다.

3. El hijastro vive con ellos.

의붓아들은 그들과 함께 산다.",
가족,hijo,m. 아들; 자식 (pl.),"hijo único : 외동

hijo de papá : 금수저 (부잣집 도련님)

여성형 : hija","1. Tengo un hijo y una hija.

나는 아들 하나 딸 하나가 있다.

2. Es el hijo predilecto de la ciudad.

그는 그 도시가 낳은 자랑스러운 아들이다.

3. Como hijo, tengo deberes hacia mis padres.

자식으로서 나는 부모님께 의무가 있다.",
가족,hombre,m. 남자; 사람; 인류,"hombre de negocios : 사업가

¡Hombre! : (감탄사) 어머나! / 세상에!","1. Es un hombre honesto.

그는 정직한 남자다.

2. El hombre llegó a la Luna.

인류는 달에 도착했다.

3. ¡Hombre, cuánto tiempo!

아니, 이게 누구야, 정말 오랜만이다!",
가족,huérfano,m. 고아,"huérfano de padre : 아버지를 여윈

orfanato : 고아원","1. El niño quedó huérfano tras la guerra.

그 아이는 전쟁 후 고아가 되었다.

2. Adoptaron a un niño huérfano.

그들은 고아를 입양했다.

3. Se siente huérfano de cariño.

그는 애정에 굶주려 있다.",
가족,linaje,m. 혈통; 가문,"de alto linaje : 명문가의

continuar el linaje : 대를 잇다","1. Es de linaje noble.

그는 귀족 혈통이다.

2. El linaje se remonta al siglo XV.

그 가문은 15세기까지 거슬러 올라간다.

3. Está orgulloso de su linaje.

그는 자신의 혈통을 자랑스러워한다.",
가족,madrastra,f. 계모; 새엄마,"madrastra malvada : 사악한 계모 (동화)

ser una madrastra : 계모다","1. La madrastra de Cenicienta.

신데렐라의 계모.

2. Su madrastra la trata bien.

그녀의 새엄마는 그녀를 잘 대한다.

3. Tiene dos hermanastras y una madrastra.

그녀는 의붓자매 두 명과 계모가 있다.",
가족,madre,f. 어머니,"madre política : 장모 / 시어머니

lengua madre : 모국어","1. Mi madre cocina muy bien.

우리 어머니는 요리를 아주 잘하신다.

2. Ella es madre de dos hijos.

그녀는 두 아이의 어머니다.

3. Madre no hay más que una.

어머니는 오직 한 분뿐이다 (어머니는 소중하다).",
