챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
감각,adelgazar,v. 살을 빼다; 야위다,"pastillas para adelgazar : 다이어트 약

adelgazar rápido : 급속 감량하다","1. Quiero adelgazar antes del verano.

나는 여름 전에 살을 빼고 싶다.

2. Ha adelgazado cinco kilos.

그는 5킬로를 뺐다.

3. No comas pan si quieres adelgazar.

살 빼고 싶으면 빵을 먹지 마라.","[현재]

adelgazo / adelgazas / adelgaza / adelgazamos / adelgazáis / adelgazan


[현재분사] : adelgazando : [과거분사] : adelgazado


[과거]

adelgacé / adelgazaste / adelgazó / adelgazamos / adelgazasteis / adelgazaron


[가정법]

adelgazaría / adelgazarías / adelgazaría / adelgazaríamos / adelgazaríais / adelgazarían


[접속법]

adelgace / adelgaces / adelgace / adelgacemos / adelgacéis / adelgacen


[미래]

adelgazaré / adelgazarás / adelgazará / adelgazaremos / adelgazaréis / adelgazarán"
감각,agotado,a. 기진맥진한; 고갈된,"estar agotado : 녹초가 되다

mentalmente agotado : 정신적으로 지친","1. Llegué a casa agotado.

나는 녹초가 되어 집에 도착했다.

2. Sus reservas de energía están agotadas.

그의 에너지 비축량이 바닥났다.

3. Se sentía agotado tras la carrera.

그는 경주 후 기진맥진했다.",
감각,apetito,m. 식욕,"buen apetito : 맛있게 드세요 (Buen provecho)

perder el apetito : 식욕을 잃다","1. El niño tiene mucho apetito.

아이는 식욕이 왕성하다.

2. El olor a comida me abrió el apetito.

음식 냄새가 내 식욕을 돋우었다.

3. ¡Que aproveche! / ¡Buen apetito!

맛있게 드세요!",
감각,aspereza,f. 거칠음; 껄끄러움,"limar asperezas : (비유) 관계를 개선하다/갈등을 풀다

aspereza de carácter : 성격의 거칠음","1. Noto aspereza en sus manos.

그의 손에서 거칠음이 느껴진다.

2. Debemos limar asperezas.

우리는 앙금을 풀어야 한다.

3. La aspereza del clima nos afecta.

기후의 혹독함이 우리에게 영향을 미친다.",
감각,brillo,m. 반짝임; 광택; 명도,"brillo de labios : 립글로스

sacar brillo : 광을 내다","1. El brillo de las estrellas.

별들의 반짝임.

2. Ajusta el brillo de la pantalla.

화면 밝기를 조절해라.

3. Sus ojos perdieron el brillo.

그의 눈은 총기(반짝임)를 잃었다.",
감각,cansado,a. 피곤한; 지친,"estar cansado : 피곤하다

vista cansada : 노안 / 침침한 눈","1. Estoy muy cansado.

나 너무 피곤해.

2. Se le ve cansado.

그는 피곤해 보인다.

3. Estoy cansado de esperar.

기다리다 지쳤다.",
감각,descansar,v. 쉬다; 휴식하다,"descansar en paz : 편히 잠들다 (고인의 명복을 빌 때)

descansar un rato : 잠시 쉬다","1. Descansa un poco si estás cansado.

피곤하면 좀 쉬어라.

2. El domingo es para descansar.

일요일은 쉬는 날이다.

3. El médico le aconsejó descansar la vista de las pantallas.

의사는 그에게 화면으로부터 눈을 쉬게 하라고 조언했다.","[현재]

descanso / descansas / descansa / descansamos / descansáis / descansan


[현재분사] : descansando : [과거분사] : descansado


[과거]

descansé / descansaste / descansó / descansamos / descansasteis / descansaron


[가정법]

descansaría / descansarías / descansaría / descansaríamos / descansaríais / descansarían


[접속법]

descanse / descanses / descanse / descansemos / descanséis / descansen


[미래]

descansaré / descansarás / descansará / descansaremos / descansaréis / descansarán"
감각,descanso,m. 휴식; 쉬는 시간,"tomar un descanso : 휴식을 취하다

sin descanso : 쉬지 않고","1. Necesito un descanso.

나는 휴식이 필요하다.

2. Tenemos un descanso de quince minutos.

우리는 15분의 쉬는 시간이 있다.

3. Aprovecho el descanso para tomar un café.

나는 쉬는 시간을 이용해 커피를 마신다.",
감각,doler,v. 아프다; 통증을 주다,"doler la cabeza : 머리가 아프다

me duele : 아파요","1. Me duele la cabeza.

머리가 아프다.

2. Le duelen las piernas de tanto caminar.

너무 많이 걸어서 다리가 아프다.

3. Me dolió mucho lo que me dijiste.

네가 나에게 한 말이 내게 큰 상처가(아픔이) 되었다.",
감각,dolor,m. 통증; 아픔,"dolor de cabeza : 두통

dolor de espalda : 요통","1. Siento un dolor fuerte.

강한 통증이 느껴진다.

2. Toma algo para el dolor.

통증을 위해 약을 좀 먹어라.

3. El dolor de muelas es terrible.

치통은 끔찍하다.",
감각,dormir,v. 자다; 수면하다,"dormirse en los laureles : 자만하다 / 안주하다

dormir como un tronco : 푹 자다 (통나무처럼 자다)","1. Duermo ocho horas diarias.

나는 매일 8시간을 잔다.

2. El bebé se durmió en brazos de su madre.

아기는 엄마 품에서 잠들었다.

3. Es imposible que duermas con ese ruido.

그 소음 속에서 네가 자는 건 불가능하다.",
감각,dureza,f. 단단함; 경도; 엄격함,"dureza de corazón : 비정함

con dureza : 엄하게/세게","1. La dureza del diamante es alta.

다이아몬드의 경도는 높다.

2. Criticó con dureza el plan.

그는 계획을 혹독하게 비판했다.

3. Tiene durezas en los pies.

그는 발에 굳은살이 있다.",
감각,eco,m. 메아리; 울림; 반향,"hacerse eco : (소문/뉴스 등을) 퍼뜨리다

eco mediático : 언론의 반향","1. En la cueva hay eco.

동굴에는 메아리가 있다.

2. Su voz produjo eco.

그의 목소리가 울렸다.

3. La noticia tuvo un gran eco.

그 소식은 큰 반향을 일으켰다.",
감각,energía,f. 에너지; 기운,"estar lleno de energía : 에너지가 넘치다

recuperar energía : 기운을 차리다","1. No tengo energía hoy.

오늘 기운이 없다.

2. Necesitas energía para correr.

달리려면 에너지가 필요하다.

3. Los niños tienen mucha energía.

아이들은 에너지가 넘친다.",
