챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
감정,abrazar,v. 껴안다; 포옹하다,"abrazar una idea : 사상을 받아들이다

abrazarse : 서로 껴안다","1. Abrazó a su amiga con fuerza.

그녀는 친구를 힘껏 껴안았다.

2. Me gusta abrazar a mis hijos.

나는 내 아이들을 안아주는 것을 좋아한다.

3. Se abrazaron llorando de alegría.

그들은 기쁨의 눈물을 흘리며 서로 껴안았다.","[현재]

abrazo / abrazas / abraza / abrazamos / abrazáis / abrazan


[현재분사] : abrazando : [과거분사] : abrazado


[과거]

abracé / abrazaste / abrazó / abrazamos / abrazasteis / abrazaron


[가정법]

abrazaría / abrazarías / abrazaría / abrazaríamos / abrazaríais / abrazarían


[접속법]

abrace / abraces / abrace / abracemos / abracéis / abracen


[미래]

abrazaré / abrazás / abrazará / abrazaremos / abrazaréis / abrazarán"
감정,abrazo,m. 포옹,"dar un abrazo : 껴안다

un fuerte abrazo : (편지 끝인사) 포옹을 보내며","1. Necesito un abrazo.

나는 포옹이 필요해.

2. Nos dimos un fuerte abrazo al vernos.

우리는 서로를 보자마자 꽉 껴안았다.

3. Un abrazo vale más que mil palabras.

한 번의 포옹이 천 마디 말보다 가치 있다.",
감정,aburrido,a. 지루한; 심심한,"ser aburrido : (성격/사물이) 지루하다

estar aburrido : (상태가) 지루하다/심심하다","1. La película es muy aburrida.

그 영화는 매우 지루하다.

2. Estoy aburrido, no sé qué hacer.

나 심심해, 뭐 할지 모르겠어.

3. Es la persona más aburrida que conozco.

그는 내가 아는 가장 지루한 사람이다.",
감정,aburrirse,v. 지루해하다; 심심하다,"aburrirse como una ostra : 지루해 죽다

no aburrirse nunca : 지루할 틈이 없다","1. Me aburro en casa.

나는 집에서 심심하다.

2. Se aburrió de esperar y se fue.

그는 기다리다 지쳐서 가버렸다.

3. Si te aburres, podemos ver una película.

네가 지루하면 우리 영화 볼 수 있어.","[현재]

me aburro / te aburres / se aburre / nos aburrimos / os aburrís / se aburren


[현재분사] : aburriéndose : [과거분사] : aburrido


[과거]

me aburrí / te aburriste / se aburrió / nos aburrimos / os aburristeis / se aburrieron


[가정법]

me aburriría / te aburrirías / se aburriría / nos aburriríamos / os aburriríais / se aburrirían


[접속법]

me aburra / te aburras / se aburra / nos aburramos / os aburráis / se aburran


[미래]

me aburriré / te aburrirás / se aburrirá / nos aburriremos / os aburriréis / se aburrirán"
감정,alegría,f. 기쁨; 즐거움,"saltar de alegría : 기뻐서 날뛰다

lleno de alegría : 기쁨으로 가득 찬","1. Qué alegría verte aquí.

여기서 너를 보니 정말 기쁘다.

2. Su cara reflejaba una gran alegría.

그녀의 얼굴은 큰 기쁨을 나타내고 있었다.

3. La noticia nos trajo una inmensa alegría a todos.

그 소식은 우리 모두에게 엄청난 기쁨을 가져다주었다.",
감정,alivio,m. 안도; 완화,"¡Qué alivio! : 다행이다!

sentir alivio : 안도하다","1. Fue un gran alivio saberlo.

그걸 알고 나니 정말 안심이 되었다.

2. Suspiró con alivio.

그는 안도의 한숨을 쉬었다.

3. La pastilla me dio alivio.

약이 통증을 완화해 주었다.",
감정,amable,a. 친절한; 정중한,"ser amable con : ~에게 친절하다

muy amable : 매우 친절한","1. Gracias, eres muy amable.

고마워, 너 참 친절하구나.

2. Fue muy amable al ayudarme.

나를 도와주다니 그는 매우 친절했다.

3. El recepcionista fue muy amable y nos explicó todo.

접수 담당자는 매우 친절했고 우리에게 모든 것을 설명해 주었다.",
감정,amar,v. 사랑하다,"amar con locura : 미친 듯이 사랑하다

amarse a uno mismo : 자기 자신을 사랑하다","1. Te amo con todo mi corazón.

온 마음을 다해 너를 사랑해.

2. Ama a tu prójimo como a ti mismo.

네 이웃을 네 몸과 같이 사랑하라.

3. Es mejor haber amado y perdido que no haber amado nunca.

사랑하고 잃는 것이 한 번도 사랑하지 않는 것보다 낫다.",
감정,amor,m. 사랑,"amor a primera vista : 첫눈에 반한 사랑

por amor al arte : 보수 없이 / 좋아서 하는 일","1. El amor es ciego.

사랑은 눈이 멀다.

2. Se casaron por amor.

그들은 사랑해서 결혼했다.

3. Siente un gran amor por los animales.

그는 동물에 대해 큰 사랑을 느낀다.",
감정,ánimo,m. 기분; 용기; 격려,"estado de ánimo : 기분 상태

¡Ánimo! : 힘내!","1. Hoy tengo buen ánimo.

나는 오늘 기분이 좋다.

2. ¡Ánimo, tú puedes hacerlo!

힘내, 넌 할 수 있어!

3. Le di palabras de ánimo antes del examen.

나는 시험 전에 그에게 격려의 말을 해주었다.",
감정,antipático,a. 비호감인; 불친절한,"caer antipático : 미운털이 박히다

ser antipático : 성격이 고약하다","1. El camarero fue un poco antipático.

그 웨이터는 조금 불친절했다.

2. No seas antipático con ella.

그녀에게 쌀쌀맞게 굴지 마라.

3. Me parece una persona antipática y arrogante.

나에게 그는 비호감이고 거만한 사람처럼 보인다.",
감정,asustar,v. 겁주다; 놀라게 하다,"asustarse de : ~에 놀라다/겁먹다

no me asustes : 놀래키지 마","1. El perro asustó al niño.

개는 아이를 겁주었다.

2. Me asusté mucho con el ruido.

나는 그 소리에 깜짝 놀랐다.

3. No quería asustarte, solo darte una sorpresa.

너를 놀라게 하려던 게 아니라, 그냥 깜짝 선물을 주려던 거야.","[현재]

asusto / asustas / asusta / asustamos / asustáis / asustan


[현재분사] : asustando : [과거분사] : asustado


[과거]

asusté / asustaste / asustó / asustamos / asustasteis / asustaron


[가정법]

asustaría / asustarías / asustaría / asustaríamos / asustaríais / asustarían


[접속법]

asuste / asustes / asuste / asustemos / asustéis / asusten


[미래]

asustaré / asustarás / asustará / asustaremos / asustaréis / asustarán"
감정,autocontrol,m. 자제력; 자기 통제,"perder el autocontrol : 자제력을 잃다

mantener el autocontrol : 자제하다","1. Tienes que tener autocontrol.

자제력을 가져야 한다.

2. Perdió el autocontrol y gritó.

그는 자제력을 잃고 소리쳤다.

3. El yoga mejora el autocontrol.

요가는 자기 통제력을 향상시킨다.",
감정,besar,v. 키스하다; 입맞추다,"besar la mano : 손등에 키스하다

para comerte a besos : (너무 귀여워서) 깨물어주고 싶을 만큼","1. La madre besó al niño en la frente.

엄마는 아이의 이마에 입을 맞추었다.

2. Se besaron apasionadamente.

그들은 열정적으로 키스했다.

3. En España es costumbre besarse dos veces al saludarse.

스페인에서는 인사할 때 두 번 볼 키스하는 것이 관습이다.","[현재]

beso / besas / besa / besamos / besáis / besan


[현재분사] : besando : [과거분사] : besado


[과거]

besé / basaste / besó / besamos / besasteis / besaron


[가정법]

besaría / besarías / besaría / besaríamos / besaríais / besarían


[접속법]

bese / beses / bese / besemos / beséis / besen


[미래]

besaré / besarás / besará / besaremos / besaréis / besarán"
감정,beso,m. 키스; 입맞춤,"dar un beso : 키스하다

mandar besos : 키스를 보내다","1. Dame un beso.

키스해 줘.

2. Se despidieron con un beso.

그들은 키스로 작별 인사를 했다.

3. Le envió un beso volado desde el tren.

그녀는 기차에서 그에게 손 키스를 날렸다.",
감정,calmarse,v. 진정하다; 가라앉다,"calmar los nervios : 신경을 안정시키다

¡Cálmate! : 진정해!","1. Cálmate, no pasa nada.

진정해, 별일 아니야.

2. El viento se calmó por la tarde.

바람은 오후에 잦아들었다.

3. Necesito tomar una tila para calmarme.

나는 진정하기 위해 보리수 차를 마셔야 한다.","[현재]

me calmo / te calmas / se calma / nos calmamos / os calmáis / se calman


[현재분사] : calmándose : [과거분사] : calmado


[과거]

me calmé / te calmaste / se calmó / nos calmamos / os calmasteis / se calmaron


[가정법]

me calmaría / te calmarías / se calmaría / nos calmaríamos / os calmaríais / se calmarían


[접속법]

me calme / te calmes / se calme / nos calmemos / os calméis / se calmen


[미래]

me calmaré / te calmarás / se calmará / nos calmaremos / os calmaréis / se calmarán"
감정,cariño,m. 애정; 사랑,"con cariño : 애정을 담아

coger cariño : 정이 들다","1. Le tengo mucho cariño a este libro.

나는 이 책에 많은 애착을 가지고 있다.

2. Trátalo con cariño.

그것을 다정하게 다루어라.

3. El perro necesita cariño y atención.

개는 애정과 관심이 필요하다.",
감정,celoso,a. 질투하는; 시기하는,"estar celoso : 질투하다

ser celoso : 질투심이 많다","1. Está celoso de su hermano pequeño.

그는 남동생을 질투한다.

2. Su novio es muy celoso.

그녀의 남자친구는 질투심이 매우 많다.

3. Se puso celosa cuando lo vio con otra chica.

그녀는 그가 다른 여자와 있는 것을 보고 질투했다.",
감정,cobarde,a. 겁쟁이의; 비겁한,"ser un cobarde : 겁쟁이다

acto cobarde : 비겁한 행동","1. No seas cobarde, salta.

겁쟁이처럼 굴지 말고 뛰어.

2. Fue un ataque cobarde.

그것은 비겁한 공격이었다.

3. Huyó como un cobarde en lugar de afrontar el problema.

그는 문제에 맞서는 대신 겁쟁이처럼 도망쳤다.",
감정,contento,a. 기쁜; 만족한,"estar contento con : ~에 만족하다

ponerse contento : 기뻐하다","1. Estoy muy contento con mi trabajo.

나는 내 일에 매우 만족한다.

2. El niño se puso contento al ver el regalo.

아이는 선물을 보고 기뻐했다.

3. Se mostraron contentos con los resultados obtenidos.

그들은 얻은 결과에 만족하는 모습을 보였다.",
감정,culpa,f. 죄책감; 탓,"tener la culpa : 잘못하다

echar la culpa : 탓하다","1. Siento mucha culpa.

죄책감이 든다.

2. No es mi culpa.

내 잘못이 아니다.

3. Cargó con la culpa.

그는 죄를 뒤집어썼다.",
감정,desconfiado,a. 의심 많은; 불신하는,"ser desconfiado : 의심이 많다

mirada desconfiada : 의심스러운 눈초리","1. Es muy desconfiado con la gente nueva.

그는 새로운 사람들에 대해 의심이 많다.

2. No seas tan desconfiado.

그렇게 의심하지 마라.

3. Su naturaleza desconfiada le impide abrirse a los demás.

그의 의심 많은 천성은 타인에게 마음을 여는 것을 막는다.",
감정,desilusión,f. 실망; 환멸,"llevarse una desilusión : 실망하다

gran desilusión : 큰 실망","1. Fue una desilusión para mí.

나에게는 실망이었다.

2. No ocultó su desilusión.

그는 실망감을 감추지 않았다.

3. Superó la desilusión.

그는 실망을 극복했다.",
감정,divertido,a. 재미있는; 즐거운,"ser divertido : 재미있다/유쾌하다

algo divertido : 재미있는 것","1. Es un juego muy divertido.

이것은 매우 재미있는 게임이다.

2. Ella es una persona muy divertida.

그녀는 매우 유쾌한 사람이다.

3. Fue una experiencia divertida e inolvidable.

그것은 재미있고 잊을 수 없는 경험이었다.",
감정,divertirse,v. 즐기다; 재미있게 놀다,"divertirse mucho : 아주 즐겁게 보내다

¡Que te diviertas! : 즐거운 시간 보내!","1. Nos divertimos mucho en la fiesta.

우리는 파티에서 아주 즐거웠다.

2. Los niños se divierten en el parque.

아이들은 공원에서 즐겁게 논다.

3. Es importante divertirse mientras se trabaja.

일하면서 즐기는 것은 중요하다.","[현재]

me divierto / te diviertes / se divierte / nos divertimos / os divertís / se divierten


[현재분사] : divirtiéndose : [과거분사] : divertido


[과거]

me divertí / te divertiste / se divirtió / nos divertimos / os divertisteis / se divirtieron


[가정법]

me divertiría / te divertirías / se divertiría / nos divertiríamos / os divertiríais / se divertirían


[접속법]

me divierta / te diviertas / se divierta / nos divirtamos / os divirtáis / se diviertan


[미래]

me divertiré / te divertirás / se divertirá / nos divertiremos / os divertiréis / se divertirán"
