챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
개념,actualidad,f. 현재; 시사,"de actualidad : 시사적인/유행하는

en la actualidad : 현재에는","1. Es un tema de gran actualidad.

매우 시사적인 주제다.

2. Sigue la actualidad en los medios.

그는 언론을 통해 시사(현안)를 팔로우한다.

3. En la actualidad, todo es digital.

현재 모든 것은 디지털이다.",
개념,cantidad,f. 양; 수량,"gran cantidad : 다량

cantidad y calidad : 양과 질","1. ¿Qué cantidad necesitas?

어느 정도의 양이 필요하니?

2. Hay una gran cantidad de gente.

엄청나게 많은 사람이 있다.

3. No importa la cantidad.

양은 중요하지 않다.",
개념,categoría,f. 범주; 등급; 품격,"de primera categoría : 일류의/최상급의

subir de categoría : 승급하다","1. El hotel es de gran categoría.

그 호텔은 수준이 높다.

2. Clasifica los libros por categoría.

책을 범주별로 분류해라.

3. Juega en una categoría inferior.

그는 하위 리그(등급)에서 뛴다.",
개념,censura,f. 검열; 비난,"censura de prensa : 언론 검열

sufrir censura : 검열을 당하다","1. La censura está prohibida.

검열은 금지되어 있다.

2. La película sufrió censura.

그 영화는 검열을 겪었다.

3. Protestan contra la censura en internet.

그들은 인터넷 검열에 반대 시위한다.",
개념,cifra,f. 수치; 숫자; 암호,"cifra récord : 기록적인 수치

cifras oficiales : 공식 수치","1. Las cifras de paro han bajado.

실업 수치가 내려갔다.

2. Es una cifra astronómica.

천문학적인 숫자다.

3. No me fío de esas cifras.

나는 저 수치들을 신뢰하지 않는다.",
개념,confianza,f. 신뢰; 자신감,"tener confianza : 신뢰하다/자신감이 있다

de confianza : 믿을 수 있는","1. Tengo confianza en ti.

나는 너를 신뢰한다.

2. Le falta confianza en sí mismo.

그는 자신감이 부족하다.

3. Es un amigo de confianza.

믿을 수 있는 친구다.",
개념,costumbre,f. 관습; 풍습; 버릇,"tener la costumbre de : ~하는 버릇이 있다

buenas costumbres : 좋은 풍습/예절","1. Es una costumbre española.

그것은 스페인의 관습이다.

2. Como de costumbre, llegó tarde.

평소처럼(늘 그렇듯) 그는 늦게 도착했다.

3. Respeto las costumbres locales.

나는 지역 풍습을 존중한다.",
개념,crónica,f. 연대기; 칼럼; 기사,"crónica social : 사교계 소식

crónica deportiva : 스포츠 기사","1. Escribió una crónica del viaje.

그는 여행기를 썼다.

2. Leo la crónica de fútbol los lunes.

나는 월요일마다 축구 기사를 읽는다.

3. Es la crónica de una muerte anunciada.

예고된 죽음의 연대기다.",
개념,desenlace,m. 결말; 해명,"desenlace fatal : 치명적 결말

esperar el desenlace : 결말을 기다리다","1. El desenlace fue inesperado.

결말은 뜻밖이었다.

2. Tuvo un desenlace feliz.

행복한 결말을 맺었다.

3. El desenlace de la crisis.

위기의 결말.",
개념,editorial,m. 사설; f. 출판사,"editorial del periódico : 신문 사설

casa editorial : 출판사","1. El editorial critica al gobierno.

사설은 정부를 비판한다.

2. Trabajo en una editorial.

나는 출판사에서 일한다.

3. El director escribe el editorial.

편집장이 사설을 쓴다.",
개념,encuesta,f. 설문조사; 여론조사,"hacer una encuesta : 설문조사를 하다

según las encuestas : 여론조사에 따르면","1. Participé en una encuesta.

나는 설문조사에 참여했다.

2. Las encuestas predicen su victoria.

여론조사는 그의 승리를 예측한다.

3. Los resultados de la encuesta varían.

설문 결과는 다양하다.",
개념,espíritu,m. 정신; 영혼; 기백,"espíritu de equipo : 팀워크/협동심

espíritu libre : 자유로운 영혼","1. Tiene un espíritu aventurero.

그는 모험심이 강하다.

2. El espíritu es más fuerte que el cuerpo.

정신은 육체보다 강하다.

3. Mantén el espíritu joven.

젊은 정신을 유지해라.",
개념,estadística,f. 통계; 통계학,"según la estadística : 통계에 따르면

estadística oficial : 공식 통계","1. La estadística no miente.

통계는 거짓말하지 않는다.

2. Estudia la estadística de población.

그는 인구 통계를 연구한다.

3. Las estadísticas muestran una mejora.

통계는 개선을 보여준다.",
