챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
건강,agudo,a. 급성의; 날카로운,"dolor agudo : 급성 통증

fase aguda : 급성기","1. Sintió un dolor agudo.

그는 날카로운 통증을 느꼈다.

2. Es una infección aguda.

급성 감염이다.

3. Tiene un oído agudo.

그는 청각이 예민하다.",
건강,alergia,f. 알레르기,"tener alergia a : ~에 알레르기가 있다

alergia al polen : 꽃가루 알레르기","1. Tengo alergia a los gatos.

나는 고양이 알레르기가 있다.

2. La primavera me da alergia.

봄이 되면 알레르기가 생긴다.

3. Su cara se hinchó por la alergia.

알레르기 때문에 그의 얼굴이 부었다.",
건강,ambulancia,f. 구급차,"llamar a la ambulancia : 구급차를 부르다

sirena de la ambulancia : 구급차 사이렌","1. La ambulancia llegó en cinco minutos.

구급차가 5분 만에 도착했다.

2. Se lo llevaron en ambulancia.

그를 구급차로 실어 갔다.

3. Deja pasar a la ambulancia.

구급차가 지나가게 비켜라.",
건강,ambulatorio,m. 보건소; 외래 진료소,"médico de ambulatorio : 보건소 의사

ir al ambulatorio : 진료소에 가다","1. El ambulatorio está lleno de gente.

보건소에 사람이 가득하다.

2. Pide cita en el ambulatorio.

보건소에 예약을 잡아라.

3. Para cosas leves voy al ambulatorio.

가벼운 질환에는 보건소에 간다.",
건강,ansiedad,f. 불안; 초조,"ataque de ansiedad : 불안 발작 (공황)

tener ansiedad : 불안해하다","1. Siente ansiedad ante los exámenes.

그는 시험을 앞두고 불안을 느낀다.

2. La ansiedad le impide dormir.

불안감 때문에 그는 잠을 못 잔다.

3. Come por ansiedad.

그는 불안해서 (폭식) 먹는다.",
건강,brote,m. 발병; 발발; 싹,"brote de virus : 바이러스 창궐

brote psicótico : 정신병적 발작","1. Hubo un brote de gripe.

독감이 유행했다.

2. Controlaron el brote a tiempo.

제때 발병을 통제했다.

3. Los brotes verdes (economía).

경제 회복의 조짐 (새싹).",
건강,cirujano,m. 외과 의사,"cirujano plástico : 성형외과 의사

intervención del cirujano : 외과 수술","1. El cirujano operó con éxito.

외과 의사는 성공적으로 수술했다.

2. Es el mejor cirujano del hospital.

그는 병원 최고의 외과 의사다.

3. El cirujano se lavó las manos.

외과 의사는 손을 씻었다.",
건강,cita,f. 예약; 약속,"pedir cita : 예약을 잡다

cita médica : 진료 예약","1. Tengo cita a las diez.

10시에 예약이 있다.

2. Anuló la cita por teléfono.

그는 전화로 예약을 취소했다.

3. ¿Me puede dar cita para mañana?

내일로 예약을 잡아주실 수 있나요?",
건강,clínica,f. 의원; 클리닉,"clínica privada : 개인 병원

clínica dental : 치과 병원","1. Prefiero ir a una clínica privada.

나는 개인 병원에 가는 것을 선호한다.

2. La clínica abre a las ocho.

병원은 8시에 문을 연다.

3. Se hizo las pruebas en la clínica.

그는 병원에서 검사를 받았다.",
건강,constipado,m. 코감기; a. 코가 막힌/변비의,"estar constipado : 감기 걸리다/코가 막히다

pillarse un constipado : 감기 걸리다","1. Estoy constipado y no respiro bien.

코감기에 걸려서 숨을 잘 못 쉬겠다.

2. Es solo un constipado, no es grave.

그냥 감기야, 심각하지 않아.

3. Bebe líquidos para el constipado.

감기에는 액체를 마셔라.",
