챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
경영,activo,a. 활동적인; 활발한,"vida activa : 활동적인 삶

mente activa : 깨어 있는 정신","1. Mi abuela es una persona muy activa.

우리 할머니는 매우 활동적인 분이시다.

2. Es importante mantenerse activo para la salud.

건강을 위해 활동적인 상태를 유지하는 것이 중요하다.

3. Participa de manera activa en las discusiones de clase.

그는 수업 토론에 적극적으로 참여한다.",
경영,auditoría,f. 감사 (회계); 점검,"pasar una auditoría : 감사를 받다

auditoría externa : 외부 감사","1. La empresa pasó la auditoría.

회사는 회계 감사를 통과했다.

2. Detectaron errores en la auditoría.

감사에서 오류가 발견되었다.

3. El auditor revisó las cuentas.

감사관이 장부를 검토했다.",
경영,balance,m. 대차대조표; 균형; 결산,"hacer balance : 결산하다 / 되돌아보다

balance de situación : 재무 상태표","1. El balance del año es positivo.

올해 결산은 긍정적이다 (흑자다).

2. Presentaron el balance anual.

그들은 연례 대차대조표를 제출했다.

3. Hay que mantener el balance entre gastos e ingresos.

지출과 수입 사이의 균형을 유지해야 한다.",
경영,beneficio,m. 이익; 혜택,"obtener beneficios : 이익을 얻다

beneficio neto : 순이익","1. La empresa tuvo muchos beneficios.

회사는 많은 이익을 냈다.

2. Lo hice por tu beneficio.

너를 위해(너의 이익을 위해) 한 일이다.

3. Repartieron los beneficios entre los socios.

그들은 파트너끼리 이익을 나눴다.",
경영,cobertura,f. 보장 범위; (통신) 커버리지,"sin cobertura : 보장되지 않는 / 신호 없음

cobertura médica : 의료 보장","1. Este seguro tiene buena cobertura.

이 보험은 보장 범위가 좋다.

2. La cobertura no incluye robo.

보장 범위에 도난은 포함되지 않는다.

3. Aquí no hay cobertura de móvil.

여기는 휴대폰 신호가 안 잡힌다.",
경영,compra,f. 구매; 장보기,"hacer la compra : 장을 보다

ir de compras : 쇼핑하러 가다 (의류 등)","1. He hecho la compra del mes.

한 달 치 장을 봤다.

2. La compra online es cómoda.

온라인 쇼핑은 편리하다.

3. Me gasté mucho en la compra.

쇼핑에 돈을 많이 썼다.",
경영,consumidor,m. 소비자,"derechos del consumidor : 소비자 권리

asociación de consumidores : 소비자 협회","1. El consumidor tiene la razón.

소비자가 옳다.

2. Hay que proteger al consumidor.

소비자를 보호해야 한다.

3. Los consumidores son cada vez más exigentes.

소비자들은 점점 더 까다로워지고 있다.",
경영,consumo,m. 소비,"consumo responsable : 합리적 소비

fecha de consumo preferente : 소비 기한","1. El consumo de energía ha subido.

에너지 소비가 늘었다.

2. Hay que moderar el consumo.

소비를 줄여야(절제해야) 한다.

3. Es apto para el consumo humano.

인간이 섭취하기에 적합하다.",
경영,contabilidad,f. 회계; 경리,"llevar la contabilidad : 회계 장부를 쓰다

contabilidad creativa : 분식 회계 (장부 조작)","1. Estudio contabilidad.

나는 회계학을 공부한다.

2. Él lleva la contabilidad del negocio.

그가 사업체의 회계를 맡고 있다.

3. Es un error de contabilidad.

회계 오류다.",
경영,devolución,f. 반품; 환불,"política de devoluciones : 반품 정책

plazo de devolución : 반품 기한","1. El plazo de devolución es de 15 días.

반품 기한은 15일이다.

2. Hice la devolución por correo.

우편으로 반품했다.

3. Aceptan devoluciones sin preguntas.

묻지 않고 반품을 받아준다.",
