챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
경제,cambio,m. 환전; 거스름돈; 변화,"tipo de cambio : 환율

quedarse con el cambio : 잔돈을 가지다","1. ¿Cómo está el cambio euro-dólar?

유로-달러 환율이 어떻게 되나요?

2. Aquí tiene su cambio.

여기 거스름돈입니다.

3. Fui a una casa de cambio.

나는 환전소에 갔다.",
경제,capital,m. 자본; f. 수도,"capital inicial : 초기 자본

aumento de capital : 증자","1. Necesitamos capital para empezar.

시작하려면 자본이 필요하다.

2. El capital riesgo invierte en startups.

벤처 캐피털은 스타트업에 투자한다.

3. Madrid es la capital de España.

마드리드는 스페인의 수도다.",
경제,comercio,m. 무역; 상업; 가게,"comercio justo : 공정 무역

comercio electrónico : 전자 상거래","1. El comercio internacional es vital.

국제 무역은 필수적이다.

2. Apoya al pequeño comercio.

소상공인을 지원해라.

3. El tratado favorece el comercio.

그 조약은 무역을 촉진한다.",
경제,competencia,f. 경쟁; 권한; 능력,"libre competencia : 자유 경쟁

hacer la competencia : 경쟁하다","1. Hay mucha competencia en el sector.

업계에 경쟁이 치열하다.

2. No tiene competencia.

그는 경쟁자가 없다 (독보적이다).

3. Es de su competencia.

그의 권한(능력) 소관이다.",
경제,coste,m. 비용; 원가,"coste de vida : 생활비

a cualquier coste : 어떤 대가를 치르더라도","1. El coste de producción es alto.

생산 단가가 높다.

2. Hay que reducir costes.

비용을 줄여야 한다.

3. ¿Cuál es el coste total?

총비용이 얼마인가요?",
경제,crecimiento,m. 성장; 증가,"crecimiento económico : 경제 성장

tasa de crecimiento : 성장률","1. El crecimiento es lento.

성장이 더디다.

2. Apuestan por el crecimiento sostenible.

그들은 지속 가능한 성장에 내기를 건다(추구한다).

3. El crecimiento demográfico influye.

인구 증가가 영향을 미친다.",
경제,crisis,f. 위기; 불황,"crisis económica : 경제 위기

crisis de los 40 : 중년의 위기","1. Estamos en plena crisis.

우리는 위기의 한복판에 있다.

2. La crisis afectó a muchas familias.

위기는 많은 가정에 영향을 미쳤다.

3. Toda crisis es una oportunidad.

모든 위기는 기회다.",
경제,desarrollo,m. 개발; 발전,"países en vías de desarrollo : 개발도상국

investigación y desarrollo (I+D) : 연구 개발","1. El desarrollo económico es fundamental.

경제 발전은 필수적이다.

2. Fomentan el desarrollo local.

그들은 지역 발전을 장려한다.

3. Es un plan de desarrollo a largo plazo.

장기 개발 계획이다.",
경제,dinero,m. 돈,"dinero suelto : 잔돈

ahorrar dinero : 돈을 저축하다","1. No tengo dinero encima.

나는 지금 가진 돈이 없다.

2. El dinero no da la felicidad.

돈이 행복을 주는 것은 아니다.

3. Gastó todo su dinero en ropa y viajes.

그는 옷과 여행에 전 재산을 썼다.",
경제,divisa,f. 외환; 외국 통화,"mercado de divisas : 외환 시장

cambio de divisas : 환전","1. El dólar es una divisa fuerte.

달러는 강세 통화다.

2. Compramos divisas para el viaje.

우리는 여행을 위해 외화를 샀다.

3. La falta de divisas afecta al país.

외환 부족이 나라에 영향을 미친다.",
