챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
고용,ascender,v. 승진하다; 오르다,"ascender a : (금액이) ~에 달하다 / ~로 승진하다

ascender de puesto : 직위가 오르다","1. Le ascendieron a director.

그는 이사로 승진했다.

2. La factura asciende a cien euros.

청구서 금액이 100유로에 달한다.

3. Ascendimos la montaña.

우리는 산을 올랐다.","[현재]

asciendo / asciendes / asciende / ascendemos / ascendéis / ascienden


[현재분사] : ascendiendo : [과거분사] : ascendido


[과거]

ascendí / ascendiste / ascendió / ascendimos / ascendisteis / ascendieron


[가정법]

ascendería / ascenderías / ascendería / ascenderíamos / ascenderíais / ascenderían


[접속법]

ascienda / asciendas / ascienda / ascendamos / ascendáis / asciendan


[미래]

ascenderé / ascenderás / ascenderá / ascenderemos / ascenderéis / ascenderán"
고용,ascenso,m. 승진; 상승,"conseguir un ascenso : 승진하다

ascenso de categoría : 등급 상승","1. Le dieron el ascenso que esperaba.

그들은 그가 기대하던 승진을 시켜주었다.

2. Celebró su ascenso con una cena.

그는 저녁 식사로 승진을 축하했다.

3. El ascenso implica más responsabilidad.

승진은 더 많은 책임을 수반한다.",
고용,autónomo,m. 자영업자; 프리랜서,"ser autónomo : 자영업을 하다

trabajador autónomo : 자영업 근로자","1. Ser autónomo tiene sus riesgos.

자영업자가 되는 것은 위험이 따른다.

2. Los autónomos pagan sus propios impuestos.

자영업자는 세금을 직접 낸다.

3. Trabaja como diseñador autónomo.

그는 프리랜서 디자이너로 일한다.",
고용,baja,f. 휴가 (병가/출산 휴가 등); 감소,"estar de baja : 병가 중이다/휴직 중이다

baja por maternidad : 출산 휴가","1. Está de baja por depresión.

그는 우울증으로 휴직 중이다.

2. Pidió la baja médica.

그는 병가를 신청했다.

3. Darse de baja : (서비스 등을) 해지하다/탈퇴하다.",
고용,candidato,m. 후보자; 지원자,"candidato ideal : 이상적인 후보자

presentarse como candidato : 입후보하다","1. Entrevistaron a cinco candidatos.

그들은 다섯 명의 후보자를 면접했다.

2. Es el mejor candidato para el puesto.

그는 그 자리에 가장 적합한 후보자다.

3. Los candidatos deben enviar su CV.

지원자들은 이력서를 보내야 한다.",
고용,cobrar,v. 돈을 받다/벌다; 청구하다,"cobrar el paro : 실업 수당을 받다

cobrar por horas : 시급으로 받다","1. ¿Cuánto cobras al mes?

한 달에 얼마 버니?

2. Cobraremos la semana que viene.

우리는 다음 주에 돈을 받을 것이다.

3. El camarero me cobró de más.

웨이터가 나에게 돈을 더 청구했다.","[현재]

cobro / cobras / cobra / cobramos / cobráis / cobran


[현재분사] : cobrando : [과거분사] : cobrado


[과거]

cobré / cobraste / cobró / cobramos / cobrasteis / cobraron


[가정법]

cobraría / cobrarías / cobraría / cobraríamos / cobraríais / cobrarían


[접속법]

cobre / cobres / cobre / cobremos / cobréis / cobren


[미래]

cobraré / cobrarás / cobrará / cobraremos / cobraréis / cobrarán"
고용,contratar,v. 고용하다; 계약하다,"contratar un servicio : 서비스를 계약하다

contratar personal : 직원을 채용하다","1. La empresa va a contratar gente.

회사가 사람을 뽑을 것이다.

2. Me contrataron el mes pasado.

그들은 지난달에 나를 고용했다.

3. Decidieron contratar a un experto.

그들은 전문가를 고용하기로 결정했다.","[현재]

contrato / contratas / contrata / contratamos / contratáis / contratan


[현재분사] : contratando : [과거분사] : contratado


[과거]

contraté / contrataste / contrató / contratamos / contratasteis / contrataron


[가정법]

contrataría / contratarías / contrataría / contrataríamos / contrataríais / contratarían


[접속법]

contrate / contrates / contrate / contratemos / contratéis / contraten


[미래]

contrataré / contratarás / contratará / contrataremos / contrataréis / contratarán"
고용,contrato,m. 계약(서),"contrato indefinido : 무기 계약 (정규직)

firmar el contrato : 계약서에 서명하다","1. Lee el contrato antes de firmar.

서명하기 전에 계약서를 읽어라.

2. Tengo un contrato temporal.

나는 임시 계약직이다.

3. El contrato termina en diciembre.

계약은 12월에 끝난다.",
고용,currículum,m. 이력서 (CV),"enviar el currículum : 이력서를 보내다

currículum vitae : 이력서 (라틴어)","1. Actualiza tu currículum.

이력서를 업데이트해라.

2. Su currículum es impresionante.

그의 이력서는 인상적이다.

3. Adjunto mi currículum al correo.

메일에 이력서를 첨부합니다.",
고용,desempleo,m. 실업; 실직,"subsidio de desempleo : 실업 급여

alto desempleo : 높은 실업률","1. El desempleo es un problema social.

실업은 사회 문제다.

2. Lucha contra el desempleo juvenil.

청년 실업과 싸워라.

3. Se ha quedado en situación de desempleo.

그는 실직 상태가 되었다.",
고용,despedir,v. 해고하다; 작별하다,"despedir a alguien : ~를 해고하다

despedirse de : ~와 작별하다","1. La empresa tuvo que despedir a diez empleados.

회사는 직원 10명을 해고해야 했다.

2. Me despidieron sin motivo.

나는 이유 없이 해고당했다.

3. Fui al aeropuerto a despedir a mi amigo.

나는 친구를 배웅하러 공항에 갔다.","[현재]

despido / despides / despide / despedimos / despedís / despiden


[현재분사] : despidiendo : [과거분사] : despedido


[과거]

despedí / despediste / despidió / despedimos / despedisteis / despidieron


[가정법]

despediría / despedirías / despediría / despediríamos / despediríais / despedirían


[접속법]

despida / despidas / despida / despidamos / despidáis / despidan


[미래]

despediré / despedirás / despedirá / despediremos / despediréis / despedirán"
고용,despido,m. 해고,"despido improcedente : 부당 해고

carta de despido : 해고 통지서","1. El despido fue una sorpresa.

해고는 뜻밖이었다.

2. Recibió una indemnización por despido.

그는 해고 수당(퇴직금)을 받았다.

3. Protestaron contra los despidos.

그들은 해고에 반대하여 시위했다.",
고용,dimitir,v. 사임하다; 사직하다,"presentar la dimisión : 사표를 내다

dimitir del cargo : 직에서 물러나다","1. El ministro dimitió ayer.

장관은 어제 사임했다.

2. Voy a dimitir de mi puesto.

나는 내 자리에서 사임할 것이다.

3. Le obligaron a dimitir.

그들은 그에게 사임을 강요했다.","[현재]

dimito / dimites / dimite / dimitimos / dimitís / dimiten


[현재분사] : dimitiendo : [과거분사] : dimitido


[과거]

dimití / dimitiste / dimitió / dimitimos / dimitisteis / dimitieron


[가정법]

dimitiría / dimitirías / dimitiría / dimitiríamos / dimitiríais / dimitirían


[접속법]

dimita / dimitas / dimita / dimitamos / dimitáis / dimitan


[미래]

dimitiré / dimitirás / dimitirá / dimitiremos / dimitiréis / dimitirán"
고용,entrevista,f. 인터뷰; 면접,"entrevista de trabajo : 취업 면접

hacer una entrevista : 인터뷰하다","1. Le hicieron una entrevista al actor.

그들이 배우를 인터뷰했다.

2. Tengo una entrevista de trabajo mañana.

내일 취업 면접이 있다.

3. La entrevista fue muy interesante.

인터뷰는 매우 흥미로웠다.",
고용,firmar,v. 서명하다; 결재하다,"firmar la paz : 평화 협정을 맺다

firmar autógrafos : 사인을 해주다","1. ¿Dónde tengo que firmar?

어디에 서명해야 하나요?

2. Firmó el documento sin mirar.

그는 보지도 않고 문서에 서명했다.

3. El jefe firmó la autorización.

상사가 허가증에 결재했다.","[현재]

firmo / firmas / firma / firmamos / firmáis / firman


[현재분사] : firmando : [과거분사] : firmado


[과거]

firmé / firmaste / firmó / firmamos / firmasteis / firmaron


[가정법]

firmaría / firmarías / firmaría / firmaríamos / firmaríais / firmarían


[접속법]

firme / firmes / firme / firmemos / firméis / firmen


[미래]

firmaré / firmarás / firmará / firmaremos / firmaréis / firmarán"
고용,ganar,v. (돈을) 벌다; 이기다,"ganar dinero : 돈을 벌다

ganarse la vida : 생계를 꾸리다","1. Gana mucho dinero en su empresa.

그는 회사에서 돈을 많이 번다.

2. Ganamos el partido ayer.

우리는 어제 경기에서 이겼다.

3. Tiene que trabajar para ganarse el pan.

그는 밥벌이를 위해 일해야 한다.","[현재]

gano / ganas / gana / ganamos / ganáis / ganan


[현재분사] : ganando : [과거분사] : ganado


[과거]

gané / ganaste / ganó / ganamos / ganasteis / ganaron


[가정법]

ganaría / ganarías / ganaría / ganaríamos / ganaríais / ganarían


[접속법]

gane / ganes / gane / ganemos / ganéis / ganen


[미래]

ganaré / ganarás / ganará / ganaremos / ganaréis / ganarán"
고용,huelga,f. 파업,"hacer huelga : 파업하다

huelga general : 총파업","1. Los trabajadores están en huelga.

노동자들이 파업 중이다.

2. Mañana hay huelga de trenes.

내일 철도 파업이 있다.

3. La huelga paralizó el país.

파업이 나라를 마비시켰다.",
고용,jornada,f. 근무일; 하루 일과,"media jornada : 파트타임/반일 근무

jornada completa : 풀타임/전일 근무","1. Trabajo a jornada completa.

나는 풀타임으로 일한다.

2. La jornada laboral es de ocho horas.

하루 근무 시간은 8시간이다.

3. Fue una jornada muy productiva.

매우 생산적인 하루였다.",
고용,nómina,f. 급여 명세서; 급여,"estar en nómina : 정직원이다 (급여 대장에 있다)

hoja de nómina : 월급 명세서","1. Necesito la nómina para alquilar el piso.

아파트를 임대하려면 급여 명세서가 필요하다.

2. Me ingresaron la nómina ayer.

어제 월급이 들어왔다.

3. Revisa tu nómina para ver los impuestos.

세금을 확인하게 급여 명세서를 봐라.",
고용,obrero,m. (육체) 노동자; 인부,"casco de obrero : 안전모

barrio obrero : 노동자 거주 지역","1. Los obreros construyen el edificio.

인부들이 건물을 짓는다.

2. Mi abuelo era obrero en una fábrica.

내 할아버지는 공장 노동자셨다.

3. Es un movimiento obrero.

그것은 노동자 운동이다.",
고용,paga,f. 급여; 용돈; 보너스,"paga extra : 보너스 (상여금)

dar la paga : 용돈을 주다","1. En Navidad recibimos una paga extra.

크리스마스에 우리는 보너스를 받는다.

2. Los niños reciben su paga los domingos.

아이들은 일요일에 용돈을 받는다.

3. Es una buena paga por un trabajo fácil.

쉬운 일치고 보수가 좋다.",
고용,paro,m. 실업; 실업 수당 (스페인),"estar en el paro : 실직 상태다

tasa de paro : 실업률","1. Hay mucha gente en el paro.

실직한 사람이 많다.

2. Cobra el paro todos los meses.

그는 매달 실업 수당을 받는다.

3. El paro bajó este trimestre.

이번 분기에 실업률이 떨어졌다.",
고용,salario,m. 임금; 급여 (주로 노동의 대가),"salario base : 기본급

brecha salarial : 임금 격차","1. El salario mínimo ha subido.

최저 임금이 올랐다.

2. Recibe un salario justo por su trabajo.

그는 일에 대해 정당한 임금을 받는다.

3. Negociaron los salarios con el sindicato.

그들은 노조와 임금을 협상했다.",
고용,sindicato,m. 노동조합; 노조,"afiliarse al sindicato : 노조에 가입하다

líder del sindicato : 노조 위원장","1. El sindicato convocó la huelga.

노조가 파업을 소집했다.

2. Los sindicatos negocian con la patronal.

노조는 경영진과 협상한다.

3. Defiende a los trabajadores a través del sindicato.

그는 노조를 통해 노동자들을 변호한다.",
고용,sueldo,m. 월급; 봉급,"sueldo mínimo : 최저 임금

aumento de sueldo : 임금 인상","1. Tiene un sueldo alto.

그는 월급이 높다.

2. Cobra el sueldo a fin de mes.

그는 월말에 월급을 받는다.

3. El sueldo no me llega para nada.

월급으로 아무것도 할 수가 없다 (부족하다).",
고용,teletrabajo,m. 재택근무; 원격 근무,"hacer teletrabajo : 재택근무하다

ventajas del teletrabajo : 재택근무의 장점","1. El teletrabajo se ha vuelto común.

재택근무가 흔해졌다.

2. Prefiero el teletrabajo para no viajar.

나는 이동하지 않으려고 재택근무를 선호한다.

3. Mi empresa permite el teletrabajo dos días.

우리 회사는 이틀간의 재택근무를 허용한다.",
고용,trabajador,a. 부지런한; 근면한,"trabajar como una hormiga : 개미처럼 일하다

clase trabajadora : 노동 계급","1. Es un empleado muy trabajador.

그는 매우 부지런한 직원이다.

2. Sus padres son gente humilde y trabajadora.

그의 부모님은 겸손하고 근면한 분들이다.

3. Gracias a ser trabajador, consiguió el ascenso.

성실한 덕분에 그는 승진을 했다.",
고용,turno,m. 차례; 순번,"pedir la vez/turno : 순번을 요청하다

turno de noche : 야간 근무","1. Espera tu turno.

네 차례를 기다려라.

2. Me toca el turno a mí.

내 차례다.

3. Cogió número para el turno.

그는 대기 번호표를 뽑았다.",
