챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
공공,administración,f. 행정; 관리; 정부 기관,"administración pública : 공공 행정

consejo de administración : 이사회","1. La administración es lenta.

행정 처리가 느리다.

2. Trabajo en la administración.

나는 행정부에서 일한다.

3. Estudia Administración de Empresas.

그는 경영학을 공부한다.",
공공,ayuntamiento,m. 시청; 지방 자치제,"ir al ayuntamiento : 시청에 가다

pleno del ayuntamiento : 시의회 총회","1. Trabajo en el ayuntamiento.

나는 시청에서 일한다.

2. El ayuntamiento organiza las fiestas.

시청이 축제를 조직한다.

3. Tengo que empadronarme en el ayuntamiento.

시청에 전입 신고를 해야 한다.",
공공,bombero,m. 소방관,"camión de bomberos : 소방차

llamar a los bomberos : 소방관을 부르다","1. Los bomberos apagaron el fuego.

소방관들이 불을 껐다.

2. El bombero rescató al gato.

소방관이 고양이를 구조했다.

3. Quiero ser bombero.

나는 소방관이 되고 싶다.",
공공,correos,m.pl. 우체국 (Oficina de Correos); 우편,"ir a correos : 우체국에 가다

buzón de correos : 우체통","1. Tengo que ir a correos a enviar un paquete.

소포 보내러 우체국에 가야 한다.

2. Correos cierra a las ocho.

우체국은 8시에 닫는다.

3. El cartero trabaja en correos.

우체부는 우체국에서 일한다.",
공공,estado,m. 국가; 주; 상태,"golpe de estado : 쿠데타

estado de bienestar : 복지 국가","1. El Estado protege a los ciudadanos.

국가는 시민을 보호한다.

2. Es un asunto de estado.

국가적인 문제다.

3. El estado de las carreteras es malo.

도로 상태가 나쁘다.",
공공,funcionario,m. 공무원,"ser funcionario : 공무원이다

oposiciones a funcionario : 공무원 시험","1. Mi padre es funcionario.

아버지는 공무원이시다.

2. Los funcionarios tienen trabajo fijo.

공무원들은 안정적인 직업을 갖는다.

3. Trabaja como funcionario de prisiones.

그는 교도관(공무원)으로 일한다.",
공공,infraestructura,f. 인프라; 기반 시설,"mejorar la infraestructura : 인프라를 개선하다

infraestructura vial : 도로망","1. La ciudad tiene buena infraestructura.

도시는 좋은 인프라를 갖추고 있다.

2. Invierten en infraestructuras.

그들은 기반 시설에 투자한다.

3. La tormenta dañó la infraestructura.

폭풍이 인프라를 손상시켰다.",
공공,partido,m. 정당; 경기; 시합,"partido político : 정당

partido de fútbol : 축구 경기","1. Voté a este partido.

이 정당에 투표했다.

2. El partido ganó las elecciones.

그 당이 선거에서 이겼다.

3. Vimos el partido en la tele.

우리는 TV에서 경기를 봤다.",
공공,población,f. 인구; 주민; 마을,"población activa : 경제 활동 인구

crecimiento de la población : 인구 증가","1. La población envejece.

인구가 노령화되고 있다.

2. Es una población pequeña.

작은 마을(인구 집단)이다.

3. El 50% de la población votó.

인구의 50%가 투표했다.",
공공,privado,a. 사적인; 민간의,"propiedad privada : 사유 재산

en privado : 사석에서/비공개로","1. Es una escuela privada.

사립 학교다.

2. Quiero hablar contigo en privado.

너와 단둘이(사적으로) 얘기하고 싶다.

3. Respeta mi vida privada.

내 사생활을 존중해라.",
공공,sanidad,f. 보건; 의료,"sanidad pública : 공공 의료

ministerio de sanidad : 보건부","1. La sanidad española es buena.

스페인 의료 시스템은 좋다.

2. Defendemos la sanidad pública.

우리는 공공 의료를 옹호한다.

3. Hubo recortes en sanidad.

보건 예산 삭감이 있었다.",
