챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
공공,administración,f. 행정; 관리; 정부 기관,"administración pública : 공공 행정

consejo de administración : 이사회","1. La administración es lenta.

행정 처리가 느리다.

2. Trabajo en la administración.

나는 행정부에서 일한다.

3. Estudia Administración de Empresas.

그는 경영학을 공부한다.",
공공,ayuntamiento,m. 시청; 지방 자치제,"ir al ayuntamiento : 시청에 가다

pleno del ayuntamiento : 시의회 총회","1. Trabajo en el ayuntamiento.

나는 시청에서 일한다.

2. El ayuntamiento organiza las fiestas.

시청이 축제를 조직한다.

3. Tengo que empadronarme en el ayuntamiento.

시청에 전입 신고를 해야 한다.",
공공,bombero,m. 소방관,"camión de bomberos : 소방차

llamar a los bomberos : 소방관을 부르다","1. Los bomberos apagaron el fuego.

소방관들이 불을 껐다.

2. El bombero rescató al gato.

소방관이 고양이를 구조했다.

3. Quiero ser bombero.

나는 소방관이 되고 싶다.",
공공,correos,m.pl. 우체국 (Oficina de Correos); 우편,"ir a correos : 우체국에 가다

buzón de correos : 우체통","1. Tengo que ir a correos a enviar un paquete.

소포 보내러 우체국에 가야 한다.

2. Correos cierra a las ocho.

우체국은 8시에 닫는다.

3. El cartero trabaja en correos.

우체부는 우체국에서 일한다.",
공공,estado,m. 국가; 주; 상태,"golpe de estado : 쿠데타

estado de bienestar : 복지 국가","1. El Estado protege a los ciudadanos.

국가는 시민을 보호한다.

2. Es un asunto de estado.

국가적인 문제다.

3. El estado de las carreteras es malo.

도로 상태가 나쁘다.",
공공,funcionario,m. 공무원,"ser funcionario : 공무원이다

oposiciones a funcionario : 공무원 시험","1. Mi padre es funcionario.

아버지는 공무원이시다.

2. Los funcionarios tienen trabajo fijo.

공무원들은 안정적인 직업을 갖는다.

3. Trabaja como funcionario de prisiones.

그는 교도관(공무원)으로 일한다.",
공공,infraestructura,f. 인프라; 기반 시설,"mejorar la infraestructura : 인프라를 개선하다

infraestructura vial : 도로망","1. La ciudad tiene buena infraestructura.

도시는 좋은 인프라를 갖추고 있다.

2. Invierten en infraestructuras.

그들은 기반 시설에 투자한다.

3. La tormenta dañó la infraestructura.

폭풍이 인프라를 손상시켰다.",
공공,partido,m. 정당; 경기; 시합,"partido político : 정당

partido de fútbol : 축구 경기","1. Voté a este partido.

이 정당에 투표했다.

2. El partido ganó las elecciones.

그 당이 선거에서 이겼다.

3. Vimos el partido en la tele.

우리는 TV에서 경기를 봤다.",
공공,población,f. 인구; 주민; 마을,"población activa : 경제 활동 인구

crecimiento de la población : 인구 증가","1. La población envejece.

인구가 노령화되고 있다.

2. Es una población pequeña.

작은 마을(인구 집단)이다.

3. El 50% de la población votó.

인구의 50%가 투표했다.",
공공,privado,a. 사적인; 민간의,"propiedad privada : 사유 재산

en privado : 사석에서/비공개로","1. Es una escuela privada.

사립 학교다.

2. Quiero hablar contigo en privado.

너와 단둘이(사적으로) 얘기하고 싶다.

3. Respeta mi vida privada.

내 사생활을 존중해라.",
공공,sanidad,f. 보건; 의료,"sanidad pública : 공공 의료

ministerio de sanidad : 보건부","1. La sanidad española es buena.

스페인 의료 시스템은 좋다.

2. Defendemos la sanidad pública.

우리는 공공 의료를 옹호한다.

3. Hubo recortes en sanidad.

보건 예산 삭감이 있었다.",
공공*,gobierno,m. 정부,gobierno central : 중앙정부,"1. El gobierno aprobó la medida.

정부가 그 조치를 승인했다.

2. El gobierno publicó un informe.

정부가 보고서를 발표했다.

3. El gobierno local ayuda a las familias.

지방정부가 가족들을 돕는다.",
공공*,ministerio,"m. 부처, وزارت(부)",ministerio de salud : 보건부,"1. El ministerio anunció nuevas normas.

부처가 새로운 규정을 발표했다.

2. Trabajo en el ministerio de educación.

나는 교육부에서 일한다.

3. El ministerio financia el proyecto.

부처가 그 프로젝트를 지원한다.",
공공*,ciudadanía,f. 시민권; 시민,derechos de ciudadanía : 시민권,"1. La ciudadanía exige transparencia.

시민들이 투명성을 요구한다.

2. La ciudadanía participa en la consulta.

시민들이 설문에 참여한다.

3. La ciudadanía apoya la reforma.

시민들이 개혁을 지지한다.",
공공*,ciudadano,m. 시민,ciudadano extranjero : 외국인 시민,"1. El ciudadano presentó una queja.

시민이 민원을 제출했다.

2. Cada ciudadano tiene un voto.

모든 시민은 한 표를 가진다.

3. El ciudadano recibió el aviso.

시민이 통지를 받았다.",
공공*,municipio,m. 시(자치 단체),gobierno municipal : 시 정부,"1. El municipio organiza la feria.

시가 박람회를 연다.

2. El municipio arregla las calles.

시가 도로를 고친다.

3. El municipio ofrece becas.

시가 장학금을 제공한다.",
공공*,censo,m. 인구 조사; 등록부,censo electoral : 선거인 명부,"1. El censo se actualiza cada año.

인구 조사가 매년 갱신된다.

2. Revisé mis datos en el censo.

나는 인구조사에서 내 정보를 확인했다.

3. El censo muestra el crecimiento.

인구조사는 증가를 보여준다.",
공공*,impuesto,m. 세금,pagar impuestos : 세금을 내다,"1. Pagamos impuestos cada mes.

우리는 매달 세금을 낸다.

2. El impuesto subió este año.

올해 세금이 올랐다.

3. Existe un impuesto municipal.

시세가 있다.",
공공*,subsidio,m. 보조금,subsidio de vivienda : 주거 보조금,"1. Solicitamos un subsidio de vivienda.

우리는 주거 보조금을 신청했다.

2. El subsidio ayuda a las familias.

보조금이 가족들을 돕는다.

3. El subsidio es temporal.

보조금은 일시적이다.",
공공*,presupuesto,m. 예산,presupuesto anual : 연간 예산,"1. El presupuesto se aprobó hoy.

예산이 오늘 승인됐다.

2. El presupuesto es limitado.

예산이 제한적이다.

3. Necesitamos más presupuesto.

우리는 더 많은 예산이 필요하다.",
공공*,licencia,"f. 허가, 면허",licencia de conducir : 운전면허,"1. Necesito una licencia para abrir.

나는 개업 허가가 필요하다.

2. La licencia tarda dos semanas.

허가에 2주가 걸린다.

3. Renové la licencia.

면허를 갱신했다.",
공공*,permiso,m. 허가,permiso de trabajo : 취업 허가,"1. Pidió permiso para entrar.

그는 들어가기 위한 허가를 요청했다.

2. El permiso llega por correo.

허가가 우편으로 온다.

3. Sin permiso no se puede abrir.

허가 없이는 열 수 없다.",
공공*,registro,"m. 등록, 기록",registro civil : 민사 등록,"1. Hay que hacer el registro.

등록을 해야 한다.

2. El registro es gratuito.

등록은 무료다.

3. Guardan el registro digital.

디지털 기록을 보관한다.",
공공*,documento,"m. 문서, 서류",documento de identidad : 신분증,"1. Trae el documento original.

원본 서류를 가져오세요.

2. Falta un documento.

서류가 하나 부족하다.

3. El documento está firmado.

서류에 서명이 되어 있다.",
공공*,trámite,"m. 절차, 접수",hacer un trámite : 절차를 밟다,"1. El trámite es sencillo.

절차가 간단하다.

2. Hice el trámite en línea.

온라인으로 절차를 끝냈다.

3. El trámite tarda un día.

절차는 하루가 걸린다.",
공공*,elección,f. 선거; 선택,elecciones municipales : 지방 선거,"1. Las elecciones son en mayo.

선거는 5월에 있다.

2. La elección fue justa.

선거가 공정했다.

3. Hay segunda vuelta en la elección.

선거에 결선이 있다.",
공공*,voto,m. 표; 투표,emitir el voto : 투표하다,"1. Cada voto cuenta.

모든 표가 중요하다.

2. Mi voto fue en blanco.

내 표는 백지였다.

3. El voto se contó rápido.

표가 빨리 집계됐다.",
공공*,seguridad,f. 안전; 보안,seguridad pública : 공공 안전,"1. La seguridad es prioridad.

안전이 우선이다.

2. Mejoraron la seguridad del barrio.

동네 보안을 개선했다.

3. La seguridad controla la entrada.

보안이 출입을 통제한다.",
공공*,transparencia,f. 투명성,ley de transparencia : 정보공개법,"1. Exigen transparencia en el gasto.

지출의 투명성을 요구한다.

2. La transparencia mejora la confianza.

투명성이 신뢰를 높인다.

3. Publicaron datos por transparencia.

투명성을 위해 데이터를 공개했다.",
공공*,solicitar,"v. 신청하다, 요청하다",solicitar un permiso : 허가를 신청하다,"1. Solicité una cita en la oficina.

사무실에 예약을 신청했다.

2. Solicitan ayuda económica.

그들은 경제적 도움을 요청한다.

3. Puedes solicitarlo en línea.

온라인으로 신청할 수 있다.","[현재]

solicito / solicitas / solicita / solicitamos / solicitáis / solicitan


[현재분사] : solicitando : [과거분사] : solicitado


[과거]

solicité / solicitaste / solicitó / solicitamos / solicitasteis / solicitaron


[가정법]

solicitaría / solicitarías / solicitaría / solicitaríamos / solicitaríais / solicitarían


[접속법]

solicite / solicites / solicite / solicitemos / solicitéis / soliciten


[미래]

solicitaré / solicitarás / solicitará / solicitaremos / solicitaréis / solicitarán"
공공*,tramitar,v. 절차를 진행하다,tramitar la solicitud : 신청을 처리하다,"1. Tramitamos el documento hoy.

오늘 서류를 처리했다.

2. Ellos tramitan las licencias.

그들이 면허를 처리한다.

3. Puedes tramitarlo en ventanilla.

창구에서 처리할 수 있다.","[현재]

tramito / tramitas / tramita / tramitamos / tramitáis / tramitan


[현재분사] : tramitando : [과거분사] : tramitado


[과거]

tramité / tramitaste / tramitó / tramitamos / tramitasteis / tramitaron


[가정법]

tramitaría / tramitarías / tramitaría / tramitaríamos / tramitaríais / tramitarían


[접속법]

tramite / tramites / tramite / tramitemos / tramitéis / tramiten


[미래]

tramitaré / tramitarás / tramitará / tramitaremos / tramitaréis / tramitarán"
공공*,aprobar,v. 승인하다; 합격하다,aprobar un presupuesto : 예산을 승인하다,"1. El ayuntamiento aprobó el plan.

시 의회가 계획을 승인했다.

2. Aprobaron la solicitud.

그들은 신청을 승인했다.

3. No aprobaron la reforma.

개혁을 승인하지 않았다.","[현재]

aprobo / aprobas / aproba / aprobamos / aprobáis / aproban


[현재분사] : aprobando : [과거분사] : aprobado


[과거]

aprobé / aprobaste / aprobó / aprobamos / aprobasteis / aprobaron


[가정법]

aprobaría / aprobarías / aprobaría / aprobaríamos / aprobaríais / aprobarían


[접속법]

aprobe / aprobes / aprobe / aprobemos / aprobéis / aproben


[미래]

aprobaré / aprobarás / aprobará / aprobaremos / aprobaréis / aprobarán"
