챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
관계,amigo,m. 친구,"amigo íntimo : 절친한 친구

hacer amigos : 친구를 사귀다","1. Es mi mejor amigo.

그는 내 가장 친한 친구다.

2. Salgo con mis amigos los viernes.

나는 금요일마다 친구들과 나간다.

3. Los amigos están para ayudarse.

친구는 서로 돕기 위해 존재한다.",
관계,amistad,f. 우정,"trabar amistad : 우정을 맺다

amistad verdadera : 진정한 우정","1. Valoro mucho tu amistad.

나는 너의 우정을 매우 소중히 여긴다.

2. Su amistad duró muchos años.

그들의 우정은 수년 동안 지속되었다.

3. La amistad es un tesoro.

우정은 보물이다.",
관계,apoyar,v. 지지하다; 응원하다,"apoyar una causa : 대의를 지지하다

apoyarse en alguien : ~에게 의지하다","1. Te apoyaré en tu decisión.

네 결정을 지지할게.

2. Mis amigos me apoyaron mucho.

친구들이 나를 많이 응원해 주었다.

3. Apoya la cabeza en la almohada.

베개에 머리를 기대라.","[현재]

apoyo / apoyas / apoya / apoyamos / apoyáis / apoyan


[현재분사] : apoyando : [과거분사] : apoyado


[과거]

apoyé / apoyaste / apoyó / apoyamos / apoyasteis / apoyaron


[가정법]

apoyaría / apoyarías / apoyaría / apoyaríamos / apoyaríais / apoyarían


[접속법]

apoye / apoyes / apoye / apoyemos / apoyéis / apoyen


[미래]

apoyaré / apoyarás / apoyará / apoyaremos / apoyaréis / apoyarán"
관계,ayudar,v. 돕다; 도와주다,"ayudar a alguien : ~를 돕다

¡Ayuda! : 도와주세요! (위급 시)","1. Me gusta ayudar a los demás.

나는 남을 돕는 것을 좋아한다.

2. ¿Me puedes ayudar con esto?

이것 좀 도와줄 수 있어?

3. La beca me ayudó a pagar mis estudios universitarios.

장학금은 내가 대학 학비를 내는 데 도움이 되었다.","[현재]

ayudo / ayudas / ayuda / ayudamos / ayudáis / ayudan


[현재분사] : ayudando : [과거분사] : ayudado


[과거]

ayudé / ayudaste / ayudó / ayudamos / ayudasteis / ayudaron


[가정법]

ayudaría / ayudarías / ayudaría / ayudaríamos / ayudaríais / ayudarían


[접속법]

ayude / ayudes / ayude / ayudemos / ayudéis / ayuden


[미래]

ayudaré / ayudarás / ayudará / ayudaremos / ayudaréis / ayudarán"
관계,caer,v. (사람이) 마음에 들다,"caer bien/mal : (사람이) 좋다/싫다

caer gordo : 밉상이다 / 싫다","1. Me cae muy bien tu amigo.

네 친구 참 마음에 든다 (좋은 사람 같다).

2. Ese profesor me cae mal.

저 선생님은 나랑 안 맞아 (싫다).

3. Espero caerles bien a tus padres.

네 부모님이 나를 마음에 들어 하셨으면 좋겠다.","[현재]

caigo / caes / cae / caemos / caéis / caen


[현재분사] : cayendo : [과거분사] : caído


[과거]

caí / caíste / cayó / caímos / caísteis / cayeron


[가정법]

caería / caerías / caería / caeríamos / caeríais / caerían


[접속법]

caiga / caigas / caiga / caigamos / caigáis / caigan


[미래]

caeré / caerás / caerá / caeremos / caeréis / caerán"
관계,confiar,v. 믿다; 신뢰하다,"confiar en : ~를 믿다/신뢰하다

confiar ciegamente : 맹목적으로 믿다","1. Confío en ti plenamente.

나는 너를 전적으로 신뢰해.

2. No confíes en los desconocidos.

낯선 사람을 믿지 마라.

3. Espero que puedas confiar en mi palabra.

네가 내 말을 믿어줄 수 있기를 바란다.","[현재]

confío / confías / confía / confiamos / confiáis / confían


[현재분사] : confiando : [과거분사] : confiado


[과거]

confié / confiaste / confió / confiamos / confiasteis / confiaron


[가정법]

confiaría / confiarías / confiaría / confiaríamos / confiaríais / confiarían


[접속법]

confíe / confíes / confíe / confiemos / confiéis / confíen


[미래]

confiaré / confiarás / confiará / confiaremos / confiaréis / confiarán"
관계,conocido,m. 지인; a. 알려진,"viejo conocido : 옛 지인

ser muy conocido : 매우 유명하다","1. No es mi amigo, solo un conocido.

그는 내 친구가 아니라 그냥 아는 사람이다.

2. Me encontré con un conocido en el metro.

지하철에서 아는 사람을 만났다.

3. Es un actor mundialmente conocido.

그는 세계적으로 알려진 배우다.",
관계,contacto,m. 연락; 접촉,"estar en contacto : 연락하고 지내다

perder el contacto : 연락이 끊기다","1. Mantengamos el contacto.

계속 연락하자.

2. Tengo un contacto en esa empresa.

그 회사에 아는 사람이 있다.

3. Evita el contacto directo con los ojos.

직접적인 눈 맞춤을 피해라.",
관계,desconfiar,v. 불신하다; 의심하다,"desconfiar de todo : 매사 의심하다

motivos para desconfiar : 의심할 이유","1. Desconfío de sus intenciones.

나는 그의 의도가 의심스럽다.

2. Es natural desconfiar al principio.

처음에는 의심하는 게 당연하다.

3. No desconfíes sin pruebas.

증거 없이 의심하지 마라.","[현재]

desconfío / desconfías / desconfía / desconfiamos / desconfiáis / desconfían


[현재분사] : desconfiando : [과거분사] : desconfiado


[과거]

desconfié / desconfiaste / desconfió / desconfiamos / desconfiasteis / desconfiaron


[가정법]

desconfiaría / desconfiarías / desconfiaría / desconfiaríamos / desconfiaríais / desconfiarían


[접속법]

desconfíe / desconfíes / desconfíe / desconfiemos / desconfiéis / desconfíen


[미래]

desconfiaré / desconfiarás / desconfiará / desconfiaremos / desconfiaréis / desconfiarán"
관계,disculparse,v. 사과하다; 변명하다,"disculparse por : ~에 대해 사과하다

aceptar disculpas : 사과를 받아들이다","1. Se disculpó por llegar tarde.

그는 늦은 것에 대해 사과했다.

2. Deberías disculparte con ella.

너는 그녀에게 사과해야 한다.

3. No tienes que disculparte, no pasa nada.

사과할 필요 없어, 괜찮아.","[현재]

me disculpo / te disculpas / se disculpa / nos disculpamos / os disculpáis / se disculpan


[현재분사] : disculpándose : [과거분사] : disculpado


[과거]

me disculpé / te disculpaste / se disculpó / nos disculpamos / os disculpasteis / se disculparon


[가정법]

me disculparía / te disculparías / se disculparía / nos disculparíamos / os disculparíais / se disculparían


[접속법]

me disculpe / te disculpes / se disculpe / nos disculpemos / os disculpéis / se disculpen


[미래]

me disculparé / te disculparás / se disculpará / nos disculparemos / os disculparéis / se disculparán"
