챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
교통,abono,m. 정기권; 비료,"abono mensual : 월 정기권

abono transporte : 교통 카드/패스","1. Me sale más barato comprar el abono.

정기권을 사는 게 더 싸게 먹힌다.

2. El abono sirve para metro y autobús.

이 정기권은 지하철과 버스 모두 이용 가능하다.

3. He renovado mi abono anual.

나는 연간 회원권을 갱신했다.",
교통,aeropuerto,m. 공항,"ir al aeropuerto : 공항에 가다

tasas de aeropuerto : 공항세","1. Llegamos al aeropuerto con dos horas de antelación.

우리는 2시간 전에 공항에 도착했다.

2. El aeropuerto internacional es enorme.

국제공항은 거대하다.

3. Nos encontramos en la terminal de llegadas del aeropuerto.

공항 입국장에서 만나자.",
교통,andén,m. 승강장; 플랫폼,"andén número uno : 1번 승강장

esperar en el andén : 승강장에서 기다리다","1. El tren entra por el andén dos.

기차가 2번 승강장으로 들어온다.

2. No cruces las vías, usa el paso subterráneo para cambiar de andén.

선로를 건너지 말고, 승강장을 바꾸려면 지하도를 이용해라.

3. La gente esperaba impaciente en el andén.

사람들이 승강장에서 초조하게 기다리고 있었다.",
교통,asiento,m. 좌석; 자리,"ceder el asiento : 자리를 양보하다

asiento reservado : 예약석 / 노약자석","1. ¿Está libre este asiento?

이 자리 비었나요?

2. Prefiero un asiento de ventanilla.

나는 창가 자리를 선호한다.

3. El asiento trasero es más seguro.

뒷좌석이 더 안전하다.",
교통,autobús,m. 버스,"parada de autobús : 버스 정류장

perder el autobús : 버스를 놓치다","1. Voy al trabajo en autobús.

나는 버스를 타고 출근한다.

2. El autobús llega con retraso.

버스가 지연되어 도착한다.

3. Prefiero ir en autobús porque es más ecológico que el coche.

승용차보다 친환경적이라서 나는 버스로 가는 것을 선호한다.",
교통,avión,m. 비행기,"perder el avión : 비행기를 놓치다

billete de avión : 비행기 표","1. El avión despega a las diez.

비행기는 10시에 이륙한다.

2. Me da miedo viajar en avión.

나는 비행기로 여행하는 것이 무섭다.

3. El avión aterrizó suavemente a pesar del viento.

바람에도 불구하고 비행기는 부드럽게 착륙했다.",
교통,barco,m. 배; 선박,"barco de vela : 돛단배/요트

estar en el mismo barco : 운명 공동체다","1. El barco zarpa mañana.

배는 내일 출항한다.

2. Cruzamos el río en barco.

우리는 배를 타고 강을 건넜다.

3. Se mareó en el barco.

그는 배에서 멀미를 했다.",
교통,bicicleta,f. 자전거 (약어: bici),"carril bici : 자전거 전용 도로

montar en bicicleta : 자전거를 타다","1. Voy al trabajo en bicicleta.

나는 자전거를 타고 출근한다.

2. Alquilar una bicicleta es barato.

자전거를 대여하는 것은 저렴하다.

3. La bicicleta es un medio de transporte limpio.

자전거는 청정 교통수단이다.",
교통,billete,m. 표; 지폐,"billete de ida y vuelta : 왕복표

billete sencillo : 편도표","1. ¿Cuánto cuesta el billete de metro?

지하철표 얼마예요?

2. He perdido mi billete.

표를 잃어버렸다.

3. Tienes que validar el billete antes de entrar.

들어가기 전에 표를 개찰해야 한다.",
교통,bus,m. 버스 (autobús),"parada de bus : 버스 정류장

ir en bus : 버스 타고 가다","1. El bus llega tarde.

버스가 늦게 온다.

2. Voy al trabajo en bus.

나는 버스로 출근한다.

3. Perdí el bus.

버스를 놓쳤다.",
