챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
규칙,acusar,v. 기소하다; 비난하다,"acusar de : ~의 혐의로 기소하다

acusar recibo : 수령을 확인하다","1. Le acusaron de robo.

그를 절도 혐의로 기소했다.

2. No acuses sin pruebas.

증거 없이 비난(기소)하지 마라.

3. La policía acusó al sospechoso.

경찰이 용의자를 기소했다.","[현재]

acuso / acusas / acusa / acusamos / acusáis / acusan


[현재분사] : acusando : [과거분사] : acusado


[과거]

acusé / acusaste / acusó / acusamos / acusasteis / acusaron


[가정법]

acusaría / acusarías / acusaría / acusaríamos / acusaríais / acusarían


[접속법]

acuse / acuses / acuse / acusemos / acuséis / acusen


[미래]

acusaré / acusarás / acusará / acusaremos / acusaréis / acusarán"
규칙,autorización,f. 권한 부여; 위임; 허가,"firmar una autorización : 위임장에 서명하다

autorización paterna : 부모 동의서","1. Necesitas autorización escrita.

서면 허가가 필요하다.

2. Tengo autorización para hacerlo.

나는 그것을 할 권한이 있다.

3. La autorización fue denegada.

허가가 거부되었다.",
규칙,autorizar,v. 권한을 주다; 허가하다,"autorizar el pago : 결제를 승인하다

persona autorizada : 권한 있는 사람","1. El jefe autorizó la compra.

상사가 구매를 승인했다.

2. No estoy autorizado a hablar.

나는 말할 권한이 없다.

3. Autorizan el uso del parque.

그들은 공원 사용을 허가한다.","[현재]

autorizo / autorizas / autoriza / autorizamos / autorizáis / autorizan


[현재분사] : autorizando : [과거분사] : autorizado


[과거]

autoricé / autorizaste / autorizó / autorizamos / autorizasteis / autorizaron


[가정법]

autorizaría / autorizarías / autorizaría / autorizaríamos / autorizaríais / autorizarían


[접속법]

autorice / autorices / autorice / autoricemos / autoricéis / autoricen


[미래]

autorizaré / autorizarás / autorizará / autorizaremos / autorizaréis / autorizarán"
규칙,castigar,v. 처벌하다; 벌주다,"castigar sin postre : 디저트 안 주는 벌을 주다

castigar el cuerpo : 몸을 혹사하다","1. Le castigaron por mentir.

거짓말해서 그를 벌주었다.

2. No me castigues, por favor.

제발 벌주지 마세요.

3. El sol castiga la piel.

태양이 피부를 상하게 한다 (벌준다).","[현재]

castigo / castigas / castiga / castigamos / castigáis / castigan


[현재분사] : castigando : [과거분사] : castigado


[과거]

castigué / castigaste / castigó / castigamos / castigasteis / castigaron


[가정법]

castigaría / castigarías / castigaría / castigaríamos / castigaríais / castigarían


[접속법]

castigue / castigues / castigue / castiguemos / castiguéis / castiguen


[미래]

castigaré / castigarás / castigará / castigaremos / castigaréis / castigarán"
규칙,condición,f. 조건; 상태,"sin condiciones : 무조건적으로

en buenas condiciones : 상태가 좋은","1. Acepto con una condición.

한 가지 조건으로 수락한다.

2. Vive en malas condiciones.

그는 열악한 환경(조건)에서 산다.

3. La condición física es importante.

신체 조건(상태)은 중요하다.",
규칙,constitución,f. 헌법; 체질,"La Constitución : 헌법

constitución física : 신체 조건","1. La Constitución es la ley suprema.

헌법은 최고 법이다.

2. Celebran el día de la Constitución.

그들은 제헌절을 기념한다.

3. Defiende la Constitución.

헌법을 수호해라.",
규칙,control,m. 통제; 검사; 제어,"control de calidad : 품질 관리

perder el control : 통제력을 잃다","1. Pasamos el control de seguridad.

우리는 보안 검색을 통과했다.

2. Todo está bajo control.

모든 게 통제 하에 있다 (순조롭다).

3. Dame el control remoto.

리모컨 줘.",
규칙,controlar,v. 통제하다; 조절하다,"controlar los gastos : 지출을 통제하다

controlarse : 자제하다","1. No puedo controlar la situación.

상황을 통제할 수 없다.

2. Controla tus nervios.

신경(화) 좀 자제해라.

3. El médico controla su salud.

의사가 그의 건강을 관리한다.","[현재]

controlo / controlas / controla / controlamos / controláis / controlan


[현재분사] : controlando : [과거분사] : controlado


[과거]

controlé / controlaste / controló / controlamos / controlasteis / controlaron


[가정법]

controlaría / controlarías / controlaría / controlaríamos / controlaríais / controlarían


[접속법]

controle / controles / controle / controlemos / controléis / controlen


[미래]

controlaré / controlarás / controlará / controlaremos / controlaréis / controlarán"
규칙,cumplir,v. 이행하다; (형기를) 마치다; 지키다,"cumplir la ley : 법을 준수하다

cumplir condena : 형을 살다","1. Tienes que cumplir la ley.

법을 지켜야 한다.

2. Cumplió diez años de prisión.

그는 10년 형을 살았다.

3. Cumple tu promesa.

약속을 지켜라.","[현재]

cumplo / cumples / cumple / cumplimos / cumplís / cumplen


[현재분사] : cumpliendo : [과거분사] : cumplido


[과거]

cumplí / cumpliste / cumplió / cumplimos / cumplisteis / cumplieron


[가정법]

cumpliría / cumplirías / cumpliría / cumpliríamos / cumpliríais / cumplirían


[접속법]

cumpla / cumplas / cumpla / cumplamos / cumpláis / cumplan


[미래]

cumpliré / cumplirás / cumplirá / cumpliremos / cumpliréis / cumplirán"
규칙,defender,v. 변호하다; 방어하다,"defender al acusado : 피고인을 변호하다

defender sus derechos : 권리를 옹호하다","1. El abogado defiende a su cliente.

변호사는 의뢰인을 변호한다.

2. Tienes derecho a defenderte.

너는 자신을 변호할 권리가 있다.

3. Defendió su inocencia.

그는 자신의 무죄를 주장(방어)했다.","[현재]

defiendo / defiendes / defiende / defendemos / defendéis / defienden


[현재분사] : defendiendo : [과거분사] : defendido


[과거]

defendí / defendiste / defendió / defendimos / defendisteis / defendieron


[가정법]

defendería / defenderías / defendería / defenderíamos / defenderíais / defenderían


[접속법]

defienda / defiendas / defienda / defendamos / defendáis / defiendan


[미래]

defenderé / defenderás / defenderá / defenderemos / defenderéis / defenderán"
