챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
금융,acción,f. 주식; 행동,"comprar acciones : 주식을 사다

accionista : 주주","1. Tiene acciones de Apple.

그는 애플 주식을 가지고 있다.

2. El valor de las acciones subió.

주가가 올랐다.

3. Vendió sus acciones con beneficios.

그는 이익을 남기고 주식을 팔았다.",
금융,ahorrar,v. 저축하다; 아끼다,"ahorrar tiempo : 시간을 절약하다

quien guarda, halla : 아껴야 잘 산다 (보관하는 자가 찾는다)","1. Intento ahorrar cada mes.

나는 매달 저축하려고 노력한다.

2. Ahorramos para comprar una casa.

우리는 집을 사기 위해 저축한다.

3. Apaga la luz para ahorrar energía.

에너지를 아끼기 위해 불을 꺼라.","[현재]

ahorro / ahorras / ahorra / ahorramos / ahorráis / ahorran


[현재분사] : ahorrando : [과거분사] : ahorrado


[과거]

ahorré / ahorraste / ahorró / ahorramos / ahorrasteis / ahorraron


[가정법]

ahorraría / ahorrarías / ahorraría / ahorraríamos / ahorraríais / ahorrarían


[접속법]

ahorre / ahorres / ahorre / ahorremos / ahorréis / ahorren


[미래]

ahorraré / ahorrarás / ahorrará / ahorraremos / ahorraréis / ahorrarán"
금융,ahorro,m. 저축; 절약,"libreta de ahorros : 통장

ahorro de energía : 에너지 절약","1. Tengo unos ahorros en el banco.

나는 은행에 저축해 둔 돈이 좀 있다.

2. El ahorro es importante para el futuro.

저축은 미래를 위해 중요하다.

3. Me gasté todos mis ahorros en el coche.

나는 차에 내 저축을 다 썼다.",
금융,aval,m. 보증; 보증인,"aval bancario : 은행 지급 보증

necesitar aval : 보증인이 필요하다","1. Mis padres fueron mi aval.

부모님이 나의 보증인이 되어주셨다.

2. Necesitas un aval para la hipoteca.

대출을 받으려면 보증이 필요하다.

3. El banco pide un aval solvente.

은행은 지불 능력 있는 보증인을 요구한다.",
금융,bancario,a. 은행의,"cuenta bancaria : 은행 계좌

transferencia bancaria : 계좌 이체","1. Hice una transferencia bancaria.

나는 계좌 이체를 했다.

2. Revisa tus movimientos bancarios.

은행 거래 내역을 확인해라.

3. El sector bancario está cambiando.

은행 부문이 변화하고 있다.",
금융,bolsa,f. 가방; 봉투,"bolsa de plástico : 비닐봉지

Bolsa de Valores : 증권거래소","1. ¿Necesita una bolsa?

봉투 필요하세요?

2. Lleva las bolsas de la compra.

그는 장바구니들을 들고 있다.

3. Debemos reducir el uso de bolsas de plástico.

우리는 비닐봉지 사용을 줄여야 한다.",
금융,bruto,a. 총(Gross); 세전; 거친,"salario bruto : 세전 급여

en bruto : 가공하지 않은 / 대략적으로","1. Mi sueldo bruto es de 2000 euros.

내 세전 월급은 2000유로다.

2. El producto interior bruto (PIB) creció.

국내총생산(GDP)이 성장했다.

3. Es un diamante en bruto.

그는 다듬어지지 않은 원석이다.",
금융,cajero,m. 현금 지급기 (ATM); 계산원,"cajero automático : ATM

sacar dinero del cajero : ATM에서 돈을 뽑다","1. El cajero se tragó mi tarjeta.

ATM이 내 카드를 먹었다.

2. No funciona el cajero.

ATM이 작동하지 않는다.

3. Busco un cajero cerca.

근처에 있는 ATM을 찾고 있다.",
금융,cheque,m. 수표,"cheque en blanco : 백지수표

talón : 수표 (동의어)","1. Pagué con un cheque.

수표로 지불했다.

2. El cheque no tenía fondos.

그 수표는 부도 수표였다 (자금이 없었다).

3. Cobré el cheque en el banco.

은행에서 수표를 현금화했다.",
금융,comisión,f. 수수료; 위원회,"cobrar comisión : 수수료를 떼다

sin comisiones : 수수료 없음","1. El banco me cobró una comisión alta.

은행이 나에게 높은 수수료를 부과했다.

2. Busco una cuenta sin comisiones.

수수료 없는 계좌를 찾고 있다.

3. Se lleva una comisión por cada venta.

그는 판매마다 수수료를 챙긴다.",
