챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
날씨,atardecer,m. 해질녘; 일몰; 노을,"ver el atardecer : 일몰을 보다

al atardecer : 해 질 녘에","1. El atardecer es romántico.

해 질 녘은 낭만적이다.

2. El cielo es rojo al atardecer.

해 질 녘 하늘은 붉다.

3. Paseamos al atardecer.

우리는 해 질 녘에 산책했다.",
날씨,bajo cero,ad. 영하의,"temperaturas bajo cero : 영하의 기온

estar bajo cero : 영하이다","1. Hace diez grados bajo cero.

영하 10도다.

2. El agua se congela bajo cero.

물은 영하에서 언다.

3. No salgas si estamos bajo cero.

영하일 때는 나가지 마라.",
날씨,brisa,f. 산들바람; 미풍,"brisa marina : 해풍

suave brisa : 부드러운 바람","1. Corre una brisa agradable.

기분 좋은 산들바람이 분다.

2. La brisa del mar refresca.

바닷바람이 시원하게 한다.

3. Disfruto de la brisa en la cara.

얼굴에 닿는 산들바람을 즐긴다.",
날씨,cálido,a. 따뜻한; 더운,"bienvenida cálida : 따뜻한 환영

clima cálido : 더운 기후","1. Es un país cálido.

따뜻한 나라다.

2. Me gusta el ambiente cálido.

나는 따뜻한 분위기를 좋아한다.

3. El aire es cálido en verano.

여름 공기는 덥다.",
날씨,calor,m. 더위; 열,"tener calor : 덥다 (사람)

ola de calor : 폭염","1. Hace mucho calor.

매우 덥다.

2. Me muero de calor.

더워 죽겠다.

3. El calor es sofocante.

더위가 숨 막힌다.",
날씨,chubasco,m. 소나기,"chubascos dispersos : 곳곳에 소나기

llevar chubasquero : 우비를 입다","1. Cayeron chubascos por la tarde.

오후에 소나기가 내렸다.

2. Fue un chubasco breve.

짧은 소나기였다.

3. Protégete del chubasco.

소나기를 피해라.",
날씨,ciclón,m. 사이클론; 열대 저기압,"paso del ciclón : 사이클론의 통과

ciclón tropical : 열대성 사이클론","1. El ciclón golpeó la costa.

사이클론이 해안을 강타했다.

2. Se forma un ciclón en el mar.

바다에서 사이클론이 형성된다.

3. El ciclón trajo mucha lluvia.

사이클론은 많은 비를 가져왔다.",
날씨,clima,m. 기후; 분위기,"cambio climático : 기후 변화

clima tropical : 열대 기후","1. El clima está cambiando.

기후가 변하고 있다.

2. Me gusta el clima cálido.

나는 따뜻한 기후를 좋아한다.

3. España tiene un clima agradable.

스페인은 기후가 좋다.",
날씨,derretir,v. 녹이다; 녹다,"derretirse de calor : 더워서 녹다

derretir el hielo : 얼음을 녹이다","1. El sol derrite la nieve.

해가 눈을 녹인다.

2. El helado se derrite.

아이스크림이 녹는다.

3. El calor derritió el chocolate.

더위가 초콜릿을 녹였다.","[현재]

derrito / derrites / derrite / derretimos / derretís / derriten


[현재분사] : derritiendo : [과거분사] : derretido


[과거]

derretí / derretiste / derritió / derretimos / derretisteis / derritieron


[가정법]

derretiría / derretirías / derretiría / derretiríamos / derretiríais / derretirían


[접속법]

derrita / derritas / derrita / derritamos / derritáis / derritan


[미래]

derretiré / derretirás / derretirá / derretiremos / derretiréis / derretirán"
날씨,despejado,a. 맑은; 구름 없는,"cielo despejado : 맑은 하늘

mente despejada : 맑은 정신","1. El cielo está despejado.

하늘이 맑다 (구름이 없다).

2. Hace un día despejado.

맑은 날이다.

3. Por la noche se quedará despejado.

밤에는 맑을 것이다.",
날씨,granizo,m. 우박,"caer granizo : 우박이 내리다

tormenta de granizo : 우박 폭풍","1. El granizo rompió el cristal.

우박이 유리를 깼다.

2. Cae granizo del tamaño de pelotas.

공만 한 크기의 우박이 떨어진다.

3. El granizo dañó la cosecha.

우박이 농작물에 피해를 주었다.",
날씨,helar,v. 얼다; 얼리다,"helarse de frío : 추워서 얼다

que hiela la sangre : 피를 얼게 하는 (무서운)","1. El agua se hiela en invierno.

겨울에는 물이 언다.

2. Esta noche va a helar.

오늘 밤은 얼음이 얼 것이다 (매우 추울 것이다).

3. Me estoy helando.

나 얼어 죽겠어 (너무 추워).","[현재]

hielo / hielas / hiela / helamos / heláis / hielan


[현재분사] : helando : [과거분사] : helado


[과거]

helé / helaste / heló / helamos / helasteis / helaron


[가정법]

helaría / helarías / helaría / helaríamos / helaríais / helarían


[접속법]

hiele / hieles / hiele / helemos / heléis / hielen


[미래]

helaré / helarás / helará / helaremos / helaréis / helarán"
날씨,humedad,f. 습기; 습도,"humedad relativa : 상대 습도

mancha de humedad : 곰팡이/습기 자국","1. Hay mucha humedad hoy.

오늘 습도가 높다.

2. La humedad me riza el pelo.

습기 때문에 머리가 곱슬거린다.

3. No soporto la humedad.

나는 습기를 못 참겠다.",
날씨,húmedo,a. 습한; 젖은,"clima húmedo : 습한 기후

trapo húmedo : 젖은 걸레","1. El suelo está húmedo.

바닥이 축축하다.

2. Es un día húmedo y gris.

습하고 흐린 날이다.

3. Prefiero el clima seco al húmedo.

나는 습한 것보다 건조한 기후를 선호한다.",
날씨,huracán,m. 허리케인; 태풍,"ojo del huracán : 태풍의 눈

pasó como un huracán : 허리케인처럼 지나갔다","1. El huracán causó daños.

허리케인이 피해를 입혔다.

2. Anunciaron la llegada de un huracán.

허리케인의 도착을 예고했다.

3. El huracán tiene nombre de persona.

허리케인은 사람 이름을 가진다.",
날씨,impermeable,m. 우비; a. 방수의,"reloj impermeable : 방수 시계

ponerse el impermeable : 우비를 입다","1. Ponte el impermeable.

우비를 입어라.

2. Esta chaqueta es impermeable.

이 재킷은 방수다.

3. El impermeable me protege de la lluvia.

우비는 비로부터 나를 보호해 준다.",
날씨,inundación,f. 홍수; 침수,"riesgo de inundación : 홍수 위험

zona de inundación : 침수 구역","1. La lluvia provocó una inundación.

비가 홍수를 유발했다.

2. La casa sufrió una inundación.

집이 침수 피해를 입었다.

3. Las inundaciones son frecuentes aquí.

여기서는 홍수가 빈번하다.",
날씨,invierno,m. 겨울,"crudo invierno : 혹독한 겨울

deportes de invierno : 겨울 스포츠","1. En invierno hace frío.

겨울에는 춥다.

2. Nieva en invierno.

겨울에는 눈이 온다.

3. El invierno es largo aquí.

여기는 겨울이 길다.",
날씨,llovizna,f. 이슬비; 보슬비,"caer llovizna : 이슬비가 내리다

llovizna fina : 가는 비","1. Cae una llovizna fina.

보슬비가 내린다.

2. La llovizna no moja mucho.

이슬비는 많이 젖지 않는다.

3. Apenas es llovizna.

겨우 이슬비 정도다.",
날씨,lluvia,f. 비,"lluvia de ideas : 브레인스토밍

lluvia ácida : 산성비","1. La lluvia moja la calle.

비가 거리를 적신다.

2. Me gusta el sonido de la lluvia.

나는 빗소리를 좋아한다.

3. Se prevén lluvias fuertes.

강한 비가 예상된다.",
날씨,meteorología,f. 기상학; 기상,"hombre del tiempo : 기상 캐스터

predicción meteorológica : 기상 예보","1. Le interesa la meteorología.

그는 기상학에 관심이 있다.

2. La meteorología estudia el clima.

기상학은 기후를 연구한다.

3. Mira la meteorología en la tele.

TV에서 기상 예보를 봐라.",
날씨,nevada,f. 강설; 폭설,"fuerte nevada : 폭설

caer una nevada : 눈이 내리다","1. Hubo una gran nevada anoche.

어젯밤에 큰 눈이 내렸다.

2. La nevada bloqueó la carretera.

폭설이 도로를 막았다.

3. Disfrutamos de la nevada.

우리는 눈 내리는 것을 즐겼다.",
