챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
노동,accidente,m. 사고; 우연,"accidente laboral : 산재 (산업 재해)

por accidente : 우연히/실수로","1. Tuvo un accidente en el trabajo.

그는 직장에서 사고를 당했다.

2. Fue un accidente leve.

가벼운 사고였다.

3. El seguro cubre los accidentes.

보험이 사고를 보장한다.",
노동,aprendiz,m.f. 견습생; 초보자,"aprendiz de todo, maestro de nada : (속담) 이것저것 다 하지만 잘하는 건 없다

entrar de aprendiz : 견습으로 들어가다","1. Entró como aprendiz en el taller.

그는 작업장에 견습공으로 들어갔다.

2. El aprendiz aprende del maestro.

견습생은 스승에게 배운다.

3. Soy solo un aprendiz en esto.

나는 이 일에 초보자일 뿐이다.",
노동,buscar,v. 찾다; 구하다,"buscar trabajo : 구직하다

buscarse la vida : 자립하다/생계를 꾸리다","1. Estoy buscando trabajo.

나는 일자리를 찾고 있다.

2. Busca en el periódico las ofertas.

신문에서 구인 광고를 찾아봐라.

3. Quien busca, encuentra.

찾는 자가 발견한다.","[현재]

busco / buscas / busca / buscamos / buscáis / buscan


[현재분사] : buscando : [과거분사] : buscado


[과거]

busqué / buscaste / buscó / buscamos / buscasteis / buscaron


[가정법]

buscaría / buscarías / buscaría / buscaríamos / buscaríais / buscarían


[접속법]

busque / busques / busque / busquemos / busquéis / busquen


[미래]

buscaré / buscarás / buscará / buscaremos / buscaréis / buscarán"
노동,carga,f. 짐; 부담; 충전,"carga de trabajo : 업무량

llevar la carga : 짐을 지다","1. Tengo mucha carga de trabajo.

나는 업무량이 많다.

2. El camión lleva una carga pesada.

트럭이 무거운 짐을 싣고 있다.

3. Es una carga para la familia.

그것은 가족에게 짐이다.",
노동,competente,a. 유능한; 적임의,"ser competente : 유능하다

autoridad competente : 관할 당국","1. Es una empleada muy competente.

그녀는 매우 유능한 직원이다.

2. Buscamos gente competente y seria.

우리는 유능하고 진지한 사람을 찾는다.

3. No me parece competente para el cargo.

그는 그 직책에 적임자가 아닌 것 같다.",
노동,convenio,m. 협약; 단체 협약,"convenio colectivo : 단체 협약

firmar un convenio : 협약에 서명하다","1. El convenio regula los salarios.

협약이 임금을 규정한다.

2. Firmaron un nuevo convenio.

그들은 새 협약에 서명했다.

3. Según el convenio, tenemos más días libres.

협약에 따르면 우리는 휴일이 더 많다.",
노동,esfuerzo,m. 노력; 수고,"hacer un esfuerzo : 노력하다

sin esfuerzo : 힘들이지 않고","1. El éxito requiere esfuerzo.

성공은 노력을 요한다.

2. Gracias por tu esfuerzo.

수고해 줘서 고마워.

3. Hizo un gran esfuerzo para terminar.

그는 끝내기 위해 큰 노력을 했다.",
노동,fijo,a. 고정된; 정규직의,"empleado fijo : 정규직 직원

fijo discontinuo : 계절적 정규직","1. Por fin tengo un contrato fijo.

드디어 정규직 계약을 맺었다.

2. Busca un trabajo fijo y estable.

그는 고정적이고 안정적인 직업을 찾는다.

3. Es un cliente fijo.

그는 단골손님이다.",
노동,herramienta,f. 도구; 공구,"caja de herramientas : 공구함

herramienta útil : 유용한 도구","1. Pásame esa herramienta.

저 공구 좀 건네줘.

2. El ordenador es mi herramienta de trabajo.

컴퓨터는 내 업무 도구다.

3. Necesitas las herramientas adecuadas.

적절한 도구가 필요하다.",
노동,intelectual,a. 지적인; m. 지식인,"propiedad intelectual : 지적 재산권

trabajo intelectual : 지적 노동","1. Es un desafío intelectual.

그것은 지적인 도전이다.

2. Los intelectuales firmaron el manifiesto.

지식인들이 선언문에 서명했다.

3. Valoro su capacidad intelectual.

나는 그의 지적 능력을 높이 산다.",
노동,laboral,a. 노동의; 직업의,"vida laboral : 직장 생활/경력 증명서

calendario laboral : 근무 일정표","1. Es un día laboral, no festivo.

휴일이 아니라 평일(근무일)이다.

2. Tiene mucha experiencia laboral.

그는 직업적 경험이 많다.

3. Los derechos laborales son importantes.

노동권은 중요하다.",
노동,mano de obra,f. 노동력; 인력,"mano de obra barata : 저임금 노동력

falta de mano de obra : 인력 부족","1. La mano de obra es cara aquí.

여기는 인건비가 비싸다.

2. Importan mano de obra de otros países.

그들은 다른 나라에서 인력을 수입한다.

3. Es un trabajo que requiere mucha mano de obra.

이것은 많은 노동력을 요하는 일이다.",
노동,manual,a. 손으로 하는; m. 매뉴얼,"trabajo manual : 수작업/육체노동

instrucciones del manual : 매뉴얼의 지시사항","1. Es un trabajo manual muy duro.

매우 힘든 육체노동이다.

2. Lee el manual de instrucciones.

사용 설명서를 읽어라.

3. Tiene mucha habilidad manual.

그는 손재주가 좋다.",
노동,máquina,f. 기계; 자판기,"máquina de escribir : 타자기

ser una máquina : (비유) 일 잘하는 사람 / 기계 같다","1. La máquina se ha estropeado.

기계가 고장 났다.

2. Sacó un café de la máquina.

그는 자판기에서 커피를 뽑았다.

3. Las máquinas sustituyen a los hombres.

기계가 사람을 대체한다.",
노동,negociación,f. 협상; 교섭,"mesa de negociación : 협상 테이블

romper la negociación : 협상을 결렬시키다","1. La negociación fue dura.

협상은 힘들었다.

2. Estamos en proceso de negociación.

우리는 협상 과정 중에 있다.

3. La negociación llegó a buen puerto.

협상이 잘 마무리되었다.",
노동,obligación,f. 의무; 책임,"cumplir con la obligación : 의무를 다하다

por obligación : 의무적으로/마지못해","1. Es tu obligación llegar puntual.

정시에 도착하는 것은 너의 의무다.

2. Tengo muchas obligaciones familiares.

나는 가족에 대한 책임이 많다.

3. Lo hizo por obligación, no por gusto.

그는 좋아서 한 게 아니라 의무감으로 했다.",
노동,oficio,m. 직업; 기술 (주로 수공업),"aprender un oficio : 기술을 배우다

sin oficio ni beneficio : 백수로 (직업도 이득도 없이)","1. Es carpintero de oficio.

그는 직업이 목수다.

2. Es un oficio que se pierde.

사라져가는 직업(기술)이다.

3. Aprendió el oficio de su padre.

그는 아버지에게서 일을 배웠다.",
노동,operario,m. 기능공; 기사; 작업자,"operario de limpieza : 청소부

operario de fábrica : 공장 작업자","1. El operario maneja la máquina.

기능공이 기계를 다룬다.

2. Llamamos a un operario para arreglarlo.

우리는 수리하기 위해 기사를 불렀다.

3. Faltan operarios cualificados.

숙련된 기능공이 부족하다.",
노동,parado,m. 실업자; a. 멈춘,"estar parado : 백수다/멈춰 있다

motor parado : 멈춘 엔진","1. Es un parado de larga duración.

그는 장기 실업자다.

2. El reloj está parado.

시계가 멈췄다.

3. No te quedes parado, haz algo.

멍하니 있지 말고 뭐라도 해라.",
노동,precario,a. 불안정한; 열악한,"empleo precario : 불안정한 고용

situación precaria : 열악한 상황","1. Muchos jóvenes tienen trabajos precarios.

많은 젊은이가 불안정한 직업을 갖고 있다.

2. Viven en condiciones precarias.

그들은 열악한 환경에서 산다.

3. La economía es precaria.

경제가 불안정하다.",
노동,profesión,f. 전문직; 직업,"de profesión : 직업으로

ejercer la profesión : 직업에 종사하다","1. ¿Cuál es tu profesión?

직업이 무엇입니까?

2. Es médico de profesión.

그는 직업이 의사다.

3. Su profesión es muy vocacional.

그의 직업은 천직이다.",
노동,protección,f. 보호; 방지,"gafas de protección : 보안경

protección de datos : 데이터 보호","1. Usa equipo de protección.

보호 장비를 사용해라.

2. Necesita protección oficial.

그는 공식적인 보호가 필요하다.

3. La protección del trabajador es ley.

노동자 보호는 법이다.",
노동,sindicalista,m.f. 노조원; 노조 활동가,"ser sindicalista : 노조 활동가다

lucha sindicalista : 노조 투쟁","1. Es un sindicalista muy activo.

그는 매우 활동적인 노조원이다.

2. Los sindicalistas se reunieron ayer.

노조원들은 어제 모였다.

3. Fue detenido por ser sindicalista.

그는 노조 활동가라는 이유로 체포되었다.",
노동,temporal,a. 임시의; 비정규직의,"trabajo temporal : 임시직

contrato temporal : 비정규직 계약","1. Es una solución temporal.

그것은 임시적인 해결책이다.

2. Tiene un empleo temporal en verano.

그는 여름 동안 임시직을 갖는다.

3. Lo temporal a veces se vuelve fijo.

임시적인 것이 때로는 영구적이 된다.",
노동*,plantilla,f. 인력; 직원,plantilla de la empresa : 회사 인력,"1. La plantilla creció este año.

올해 직원 수가 늘었다.

2. La plantilla es estable.

직원 구성이 안정적이다.

3. Reducen la plantilla.

그들은 인력을 줄인다.",
노동*,becario,m. 인턴; 장학생,becario de verano : 여름 인턴,"1. El becario ayuda en la oficina.

인턴이 사무실을 돕는다.

2. Soy becario este semestre.

이번 학기 인턴이다.

3. El becario aprende rápido.

인턴이 빨리 배운다.",
노동*,practicante,m.f. 실습생,practicante de empresa : 기업 실습생,"1. La practicante llegó temprano.

실습생이 일찍 왔다.

2. Buscan practicantes.

실습생을 모집한다.

3. El practicante tiene tutor.

실습생에 튜터가 있다.",
노동*,absentismo,m. 결근(률),absentismo laboral : 직장 결근률,"1. El absentismo bajó.

결근률이 줄었다.

2. El absentismo preocupa a la empresa.

결근 문제가 회사를 걱정시킨다.

3. Controlan el absentismo.

그들은 결근을 관리한다.",
노동*,productividad,f. 생산성,aumentar la productividad : 생산성을 높이다,"1. La productividad mejoró.

생산성이 좋아졌다.

2. Buscan aumentar la productividad.

생산성을 높이려 한다.

3. La productividad es clave.

생산성이 핵심이다.",
노동*,desempeño,m. 성과; 수행,evaluación del desempeño : 성과 평가,"1. Su desempeño es bueno.

그의 성과가 좋다.

2. Mejoró el desempeño del equipo.

팀 성과가 좋아졌다.

3. El desempeño se evalúa cada año.

성과는 매년 평가된다.",
노동*,sustitución,f. 대체; 교체,contrato de sustitución : 대체 계약,"1. Está de sustitución.

그는 대체 근무 중이다.

2. La sustitución dura un mes.

대체 근무가 한 달 지속된다.

3. Necesitan una sustitución.

대체 인력이 필요하다.",
노동*,reemplazo,m. 대체자,reemplazo temporal : 임시 대체자,"1. El reemplazo llegó hoy.

대체자가 오늘 왔다.

2. Buscaron un reemplazo.

대체자를 찾았다.

3. El reemplazo es provisional.

대체자는 임시다.",
노동*,guardia,f. 당직,estar de guardia : 당직을 서다,"1. Estoy de guardia esta noche.

오늘 밤 당직이다.

2. La guardia es larga.

당직이 길다.

3. Hizo una guardia de 24 horas.

24시간 당직을 섰다.",
노동*,reincorporación,f. 복귀,reincorporación al trabajo : 직장 복귀,"1. La reincorporación fue rápida.

복귀가 빨랐다.

2. Pidió la reincorporación.

복귀를 요청했다.

3. La reincorporación es mañana.

복귀는 내일이다.",
노동*,jubilar,v. 은퇴하다; 은퇴시키다,jubilarse a los 65 : 65세에 은퇴하다,"1. Me jubilo el próximo año.

내년에 은퇴한다.

2. Lo jubilaron por edad.

그를 나이로 은퇴시켰다.

3. Se jubilarán pronto.

그들은 곧 은퇴할 것이다.","[현재]

jubilo / jubilas / jubila / jubilamos / jubiláis / jubilan


[현재분사] : jubilando : [과거분사] : jubilado


[과거]

jubilé / jubilaste / jubiló / jubilamos / jubilasteis / jubilaron


[가정법]

jubilaría / jubilarías / jubilaría / jubilaríamos / jubilaríais / jubilarían


[접속법]

jubile / jubiles / jubile / jubilemos / jubiléis / jubilen


[미래]

jubilaré / jubilarás / jubilará / jubilaremos / jubilaréis / jubilarán"
노동*,renunciar,v. 사직하다; 포기하다,renunciar al puesto : 직을 사직하다,"1. Renuncio al trabajo.

일을 그만둔다.

2. Renunció el mes pasado.

그는 지난달에 사직했다.

3. Renunciaré si es necesario.

필요하면 사직하겠다.","[현재]

renuncio / renuncias / renuncia / renunciamos / renunciáis / renuncian


[현재분사] : renunciando : [과거분사] : renunciado


[과거]

renuncié / renunciaste / renunció / renunciamos / renunciasteis / renunciaron


[가정법]

renunciaría / renunciarías / renunciaría / renunciaríamos / renunciaríais / renunciarían


[접속법]

renuncie / renuncies / renuncie / renunciemos / renunciéis / renuncien


[미래]

renunciaré / renunciarás / renunciará / renunciaremos / renunciaréis / renunciarán"
노동*,turnicidad,f. 교대제,sistema de turnicidad : 교대제 시스템,"1. La turnicidad es dura.

교대제는 힘들다.

2. Trabaja con turnicidad.

교대제로 일한다.

3. La turnicidad cambia cada semana.

교대제가 매주 바뀐다.",
노동*,conciliación laboral,f. 일·생활 균형,conciliación laboral y familiar : 일·가정 양립,"1. Busca conciliación laboral.

일·생활 균형을 원한다.

2. La conciliación laboral es importante.

일·생활 균형이 중요하다.

3. Hay medidas de conciliación laboral.

일·생활 균형 대책이 있다.",
