챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
도시,acera,f. 인도; 보도,"aparcar en la acera : 인도에 주차하다 (불법)

ir por la acera : 인도로 가다","1. Los peatones deben ir por la acera.

보행자는 인도로 다녀야 한다.

2. La acera está resbaladiza.

보도가 미끄럽다.

3. Están arreglando la acera.

그들은 보도를 보수하고 있다.",
도시,alameda,f. 가로수길; 산책로,"pasear por la alameda : 가로수길을 산책하다

alameda central : 중앙 산책로","1. Paseamos por la alameda.

우리는 가로수길을 산책했다.

2. La alameda tiene muchos árboles.

가로수길에는 나무가 많다.

3. Es una alameda antigua.

오래된 산책로다.",
도시,auditorio,m. 강당; 청중,"auditorio nacional : 국립 음악당

llenar el auditorio : 강당을 채우다","1. El concierto es en el auditorio.

콘서트는 강당(음악당)에서 열린다.

2. El auditorio aplaudió.

청중들이 박수 쳤다.

3. Tiene una buena acústica el auditorio.

그 강당은 음향이 좋다.",
도시,avenida,f. 대로; 큰 길,"gran avenida : 큰 대로

avenida principal : 주 도로","1. Vive en la Avenida de América.

그는 아메리카 대로에 산다.

2. La avenida es ancha.

대로는 넓다.

3. Cruzamos la avenida.

우리는 대로를 건넜다.",
도시,banco,m. 은행; 벤치,"banco central : 중앙은행

robó un banco : 은행을털었다","1. Tengo que ir al banco.

나는 은행에 가야 한다.

2. El banco me concedió el préstamo.

은행이 나에게 대출을 승인했다.

3. Abrí una cuenta en el banco.

은행에 계좌를 개설했다.",
도시,calle,f. 거리; 길,"cruzar la calle : 길을 건너다

calle peatonal : 보행자 전용 도로","1. Vivo en esta calle.

나는 이 거리에 산다.

2. La calle está llena de gente.

거리가 사람들로 가득 차 있다.

3. Tenga cuidado al cruzar la calle, hay mucho tráfico.

교통량이 많으니 길을 건널 때 조심하세요.",
도시,cruce,m. 교차로; 횡단,"cruce de caminos : 갈림길

cruce peligroso : 위험한 교차로","1. Hay un accidente en el cruce.

교차로에서 사고가 났다.

2. Gira a la derecha en el próximo cruce.

다음 교차로에서 우회전해라.

3. Es un cruce con mucha visibilidad.

시야가 아주 좋은 교차로다.",
도시,esquina,f. 모퉁이; 코너,"a la vuelta de la esquina : 아주 가까운 (모퉁이 돌면 있는)

chocar en la esquina : 모퉁이에서 부딪히다","1. La farmacia está en la esquina.

약국은 모퉁이에 있다.

2. Te espero en la esquina.

모퉁이에서 너를 기다릴게.

3. Vive en la casa de la esquina.

그는 모퉁이 집에 산다.",
도시,estadio,m. 경기장; 스타디움,"estadio de fútbol : 축구 경기장

ir al estadio : 경기장에 가다","1. El estadio estaba lleno.

경기장이 꽉 찼다.

2. Vimos el partido en el estadio.

우리는 경기장에서 경기를 봤다.

3. Construyen un nuevo estadio.

그들은 새 경기장을 짓고 있다.",
도시,fuente,f. 소식통; 출처; 분수,"fuentes fidedignas : 믿을 만한 소식통

fuente de información : 정보원","1. Según fuentes cercanas al presidente.

대통령 측근(소식통)에 따르면.

2. No reveló su fuente.

그는 취재원을 밝히지 않았다.

3. Bebe agua de la fuente.

분수(식수대) 물을 마셔라.",
