챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
동물,animal,m. 동물,"ser un animal : 짐승 같은 놈이다(거칠다)

reino animal : 동물계","1. El perro es un animal fiel.

개는 충실한 동물이다.

2. Debemos proteger a los animales en peligro.

우리는 멸종 위기 동물들을 보호해야 한다.

3. Se comportó como un animal en la fiesta.

그는 파티에서 짐승처럼(거칠게) 행동했다.",
동물,ardilla,f. 다람쥐,"rápido como una ardilla : 다람쥐처럼 재빠른

dientes de ardilla : 다람쥐 이빨","1. La ardilla come nueces.

다람쥐는 호두를 먹는다.

2. La ardilla trepa por el árbol.

다람쥐가 나무를 타고 오른다.

3. Es un animal muy ágil, la ardilla.

다람쥐는 매우 민첩한 동물이다.",
동물,bestia,f. 짐승; 야수,"ser una bestia : (일 등을) 엄청 잘하는 사람 / 짐승 같은 사람

la bella y la bestia : 미녀와 야수","1. Se comportó como una bestia.

그는 짐승처럼 행동했다.

2. Es una bestia trabajando, nunca se cansa.

그는 일하는 괴물이야, 절대 지치지 않아.

3. Despertó a la bestia que lleva dentro.

그는 내면의 야수성을 깨웠다.",
동물,burro,m. 당나귀,"bajarse del burro : 고집을 꺾다 / 인정하다

ponerse como un burro : 몹시 화내다 / 많이 먹다

여성형 : burra","1. El burro carga mucho peso.

당나귀는 많은 짐을 나른다.

2. No seas burro y estudia más.

멍청하게 굴지 말고 공부 좀 더 해.

3. Al final se bajó del burro y pidió perdón.

결국 그는 고집을 꺾고 사과했다.",
동물,caballo,m. 말,"montar a caballo : 말을 타다

a caballo regalado no le mires el diente : 공짜 선물에 흠잡지 마라

여성형 : yegua","1. El caballo corre muy rápido.

말은 매우 빠르게 달린다.

2. Fuimos a montar a caballo el fin de semana.

우리는 주말에 승마를 하러 갔다.

3. Trabaja como un caballo para mantener a su familia.

그는 가족을 부양하기 위해 소처럼(말처럼) 일한다.",
동물,cabra,f. 염소,"estar como una cabra : 미치다 (염소 같다)

queso de cabra : 염소 치즈","1. La cabra sube a la montaña.

염소가 산을 오른다.

2. Está loco, está como una cabra.

그는 미쳤어, 완전히 돌았어.

3. Bebemos leche de cabra.

우리는 염소 우유를 마신다.",
동물,cazar,v. 사냥하다,"cazar al vuelo : 즉시 알아채다

salir a cazar : 사냥하러 가다","1. Los leones cazan en grupo.

사자들은 무리 지어 사냥한다.

2. Mi tío va a cazar conejos.

내 삼촌은 토끼 사냥을 간다.

3. Cazó la indirecta al vuelo.

그는 힌트를 즉시 알아챘다.","[현재]

cazo / cazas / caza / cazamos / cazáis / cazan


[현재분사] : cazando : [과거분사] : cazado


[과거]

cacé / cazaste / cazó / cazamos / cazasteis / cazaron


[가정법]

cazaría / cazarías / cazaría / cazaríamos / cazaríais / cazarían


[접속법]

cace / caces / cace / cacemos / cacéis / cacen


[미래]

cazaré / cazarás / cazarÃ¡ / cazaremos / cazaréis / cazarán"
동물,cerdo,m. 돼지,"sudar como un cerdo : 땀을 비오듯 흘리다

comer como un cerdo : 지저분하게 먹다

여성형 : cerda","1. La carne de cerdo es deliciosa.

돼지고기는 맛있다.

2. No comas como un cerdo.

돼지처럼(지저분하게) 먹지 마라.

3. A todo cerdo le llega su San Martín.

모든 돼지에게 도살일이 온다 (인과응보).",
동물,ciervo,m. 사슴 (수사슴),"carne de ciervo : 사슴 고기

correr como un ciervo : 쏜살같이 달리다","1. El ciervo tiene grandes cuernos.

사슴은 큰 뿔을 가지고 있다.

2. Vimos un ciervo en el bosque.

우리는 숲에서 사슴을 보았다.

3. El ciervo huyó del cazador.

사슴은 사냥꾼을 피해 도망쳤다.",
동물,cola,f. 꼬리; 줄 (사람들),"hacer cola : 줄을 서다

mover la cola : 꼬리를 흔들다","1. El perro mueve la cola cuando está feliz.

개는 행복할 때 꼬리를 흔든다.

2. Tuvimos que hacer cola para entrar.

우리는 들어가기 위해 줄을 서야 했다.

3. Es mejor ser cabeza de ratón que cola de león.

용의 꼬리보다는 뱀의 머리가 낫다.",
동물,collar,m. 목걸이 (개/장신구); 깃,"perro con collar : 목걸이 한 개

collar de perlas : 진주 목걸이","1. El perro lleva un collar rojo.

개는 빨간 목걸이를 하고 있다.

2. Le compré un collar a mi perro.

내 개에게 목걸이를 사주었다.

3. Es el mismo perro con distinto collar.

겉만 다르고 본질은 같다 (목걸이만 다른 같은 개다).",
동물,conejo,m. 토끼,"sacar de la chistera un conejo : 깜짝 놀랄 해결책을 내놓다

dar gato por liebre (conejo) : 속이다","1. El conejo come zanahorias.

토끼는 당근을 먹는다.

2. Corre rápido como un conejo.

토끼처럼 빠르게 달린다.

3. El mago sacó un conejo del sombrero.

마술사가 모자에서 토끼를 꺼냈다.",
동물,criar,v. 기르다; 사육하다,"criar malvas : 죽다 (무덤에 풀이 자라다)

cría cuervos y te sacarán los ojos : 배은망덕을 당하다","1. Mis abuelos crían gallinas.

조부모님은 닭을 기르신다.

2. Fue difícil criar a tres hijos sola.

혼자서 세 아이를 키우는 것은 힘들었다.

3. Dios los cría y ellos se juntan.

유유상종 (신이 만들고 그들끼리 모인다).","[현재]

crío / crías / cría / criamos / criáis / crían


[현재분사] : criando : [과거분사] : criado


[과거]

crié / criaste / crió / criamos / criasteis / criaron


[가정법]

criaría / criarías / criaría / criaríamos / criaríais / criarían


[접속법]

críe / críes / críe / criemos / criéis / críen


[미래]

criaré / criarás / criará / criaremos / criaréis / criarán"
동물,cuerno,m. 뿔,"poner los cuernos : 바람피우다

romperse los cuernos : 뼈빠지게 노력하다","1. El toro tiene cuernos grandes.

황소는 큰 뿔을 가지고 있다.

2. Se rompió los cuernos para acabar el proyecto.

그는 프로젝트를 끝내기 위해 뼈빠지게 노력했다.

3. Dicen que su novia le puso los cuernos.

소문에 의하면 여자친구가 바람을 피웠대.",
