챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
동작,acercarse,v. 다가가다; 가까워지다,"acercarse a : ~에 접근하다

acercar posturas : 의견 차이를 좁히다","1. Acércate, quiero decirte algo.

가까이 와봐, 할 말이 있어.

2. Se acerca el invierno.

겨울이 다가오고 있다.

3. No te acerques demasiado al borde.

가장자리에 너무 가까이 가지 마라.","[현재]

me acerco / te acercas / se acerca / nos acercamos / os acercáis / se acercan


[현재분사] : acercándose : [과거분사] : acercado"
동작,acompañar,v. 동행하다; 바래다주다,"acompañar a casa : 집까지 바래다주다

vino para acompañar : 곁들일 와인","1. ¿Te acompaño a la estación?

역까지 같이 가줄까?

2. Me acompañó en los momentos difíciles.

그는 힘든 순간에 내 곁에 있어 주었다.

3. Acompañamos la carne con ensalada.

우리는 고기에 샐러드를 곁들였다.","[현재]

acompaño / acompañas / acompaña / acompañamos / acompañáis / acompañan


[현재분사] : acompañando : [과거분사] : acompañado"
동작,alcanzar,v. 도달하다; 따라잡다; 닿다,"alcanzar el éxito : 성공을 거두다

no me alcanza el dinero : 돈이 모자란다","1. Corrió pero no pudo alcanzar el autobús.

그는 뛰었지만 버스를 잡을 수 없었다.

2. Alcanzamos la cima de la montaña.

우리는 산 정상에 도달했다.

3. ¿Me alcanzas la sal, por favor?

소금 좀 건네줄래? (손이 닿게 해줄래?)","[현재]

alcanzo / alcanzas / alcanza / alcanzamos / alcanzáis / alcanzan


[현재분사] : alcanzando : [과거분사] : alcanzado"
동작,alejarse,v. 멀어지다; 떠나다,"alejarse de : ~로부터 멀어지다

mantener alejado : 멀리하다","1. El barco se aleja de la costa.

배가 해안에서 멀어지고 있다.

2. Aléjate de las malas influencias.

나쁜 영향으로부터 거리를 둬라.

3. Vio cómo el tren se alejaba lentamente.

그는 기차가 천천히 멀어지는 것을 보았다.","[현재]

me alejo / te alejas / se aleja / nos alejamos / os alejáis / se alejan


[현재분사] : alejándose : [과거분사] : alejado"
동작,andar,v. 걷다; 작동하다,"andar con ojo : 조심하다

andar por las ramas : 말을 빙빙 돌리다","1. Ando una hora todos los días.

나는 매일 한 시간씩 걷는다.

2. El reloj no anda bien.

시계가 잘 작동하지 않는다.

3. ¿Por dónde andas? Te estoy buscando.

너 어디에 있니? 널 찾고 있어.","[현재]

ando / andas / anda / andamos / andáis / andan


[현재분사] : andando : [과거분사] : andado"
동작,atravesar,v. 관통하다; 가로지르다,"atravesar una mala racha : 힘든 시기를 겪다

atravesar la calle : 길을 건너다","1. El río atraviesa la ciudad.

강이 도시를 가로지른다.

2. Atravesamos el bosque a pie.

우리는 숲을 걸어서 통과했다.

3. La flecha atravesó la manzana.

화살이 사과를 관통했다.","[현재]

atravieso / atraviesas / atraviesa / atravesamos / atravesáis / atraviesan


[현재분사] : atravesando : [과거분사] : atravesado"
동작,avanzar,v. 전진하다; 나아가다,"avanzar paso a paso : 차근차근 나아가다

tecnología avanzada : 첨단 기술","1. El ejército avanzó hacia la capital.

군대는 수도를 향해 진격했다.

2. Hemos avanzado mucho en el proyecto.

우리는 프로젝트에서 많은 진전을 이루었다.

3. Avanza hasta la línea amarilla.

노란 선까지 앞으로 가세요.","[현재]

avanzo / avanzas / avanza / avanzamos / avanzáis / avanzan


[현재분사] : avanzando : [과거분사] : avanzado"
동작,bajar,v. 내려가다; 내리다,"bajar la guardia : 방심하다

bajar de peso : 살을 빼다","1. Baja del árbol con cuidado.

나무에서 조심해서 내려와라.

2. Bájate en la próxima parada.

다음 정류장에서 내려라.

3. Tienes que bajar la basura.

너는 쓰레기를 가지고 내려가야 한다(버려야 한다).","[현재]

bajo / bajas / baja / bajamos / bajáis / bajan


[현재분사] : bajando : [과거분사] : bajado"
동작,caminar,v. 걷다; 보행하다,"caminar derecho : 똑바로 걷다 / 바르게 살다

hacer camino : 길을 만들다 (진전하다)","1. Caminamos juntos hacia la playa.

우리는 해변을 향해 함께 걸었다.

2. Me gusta caminar por el bosque.

나는 숲속을 걷는 것을 좋아한다.

3. Caminó sin rumbo durante horas.

그는 몇 시간 동안 정처 없이 걸었다.","[현재]

camino / caminas / camina / caminamos / camináis / caminan


[현재분사] : caminando : [과거분사] : caminado"
동작,correr,v. 달리다; 뛰다,"correr prisa : 급하다

correr el riesgo : 위험을 무릅쓰다","1. Corre para no perder el tren.

기차를 놓치지 않으려면 뛰어라.

2. No corras tanto con el coche.

차를 그렇게 빨리 몰지 마라.

3. Los rumores corren muy rápido.

소문은 매우 빨리 퍼진다.","[현재]

corro / corres / corre / corremos / corréis / corren


[현재분사] : corriendo : [과거분사] : corrido"
