챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
문구,aprobar,v. 합격하다; 통과하다; 승인하다,"aprobar por los pelos : 간신히 합격하다

estar aprobado : 합격이다","1. Aprobé el examen de conducir.

운전면허 시험에 합격했다.

2. Espero aprobar todo.

모두 합격(통과)하기를 바란다.

3. El profesor aprobó mi proyecto.

교수님이 내 프로젝트를 승인했다.","[현재]

apruebo / apruebas / aprueba / aprobamos / aprobáis / aprueban


[현재분사] : aprobando : [과거분사] : aprobado


[과거]

aprobé / aprobaste / aprobó / aprobamos / aprobasteis / aprobaron


[가정법]

aprobaría / aprobarías / aprobaría / aprobaríamos / aprobaríais / aprobarían


[접속법]

apruebe / apruebes / apruebe / aprobemos / aprobéis / aprueben


[미래]

aprobaré / aprobarás / aprobará / aprobaremos / aprobaréis / aprobarán"
문구,apunte,m. 필기; 메모 (주로 복수형 apuntes),"tomar apuntes : 필기하다

prestar los apuntes : 필기를 빌려주다","1. Tomo apuntes en clase.

나는 수업 시간에 필기한다.

2. ¿Me dejas tus apuntes?

네 노트 필기 좀 빌려줄래?

3. Mis apuntes están desordenados.

내 필기는 엉망이다 (정리 안 됨).",
문구,bolígrafo,m. 볼펜,"escribir con bolígrafo : 볼펜으로 쓰다

se me ha acabado la tinta : 잉크가 다 떨어졌다","1. ¿Me prestas un bolígrafo?

볼펜 하나 빌려줄래?

2. Prefiero usar bolígrafo azul.

나는 파란색 볼펜을 사용하는 것을 선호한다.

3. Firma el documento con bolígrafo negro, por favor.

문서에 검은색 볼펜으로 서명해 주세요.",
문구,calificación,f. 성적; 등급 (공식적),"calificación final : 최종 성적

baja calificación : 낮은 등급","1. La calificación máxima es diez.

최고 점수는 10점이다.

2. Espera la calificación del examen.

그는 시험 성적을 기다린다.

3. Obtuvo una calificación de notable.

그는 우수 등급을 받았다.",
문구,carpeta,f. 폴더; 파일철,"carpeta de archivos : 파일 폴더

guardar en la carpeta : 폴더에 보관하다","1. Guarda los documentos en la carpeta.

서류를 폴더에 보관해라.

2. Llevo una carpeta azul.

나는 파란 폴더를 가지고 다닌다.

3. Organiza tus papeles en carpetas.

종이들을 폴더별로 정리해라.",
문구,corrección,f. 수정; 정정; 예의,"corrección de textos : 교정

hablar con corrección : 올바르게 말하다","1. Hizo la corrección del examen.

그는 시험을 채점(수정)했다.

2. Acepto la corrección.

수정 사항을 받아들인다.

3. Escribe con mucha corrección.

그는 매우 정확하게 쓴다.",
문구,corrector,m. 수정액/테이프; 교정자,"corrector ortográfico : 맞춤법 검사기

pasar el corrector : 수정액을 칠하다","1. Borra el error con corrector.

수정액으로 오류를 지워라.

2. Necesito corrector líquido.

수정액이 필요하다.

3. Trabaja como corrector de textos.

그는 교정자로 일한다.",
문구,cuaderno,m. 공책; 노트,"cuaderno de ejercicios : 연습 문제집

tomar notas en el cuaderno : 공책에 필기하다","1. Escribe los ejercicios en tu cuaderno.

공책에 연습 문제를 적어라.

2. He perdido mi cuaderno de matemáticas.

수학 공책을 잃어버렸다.

3. Necesito un cuaderno nuevo porque este ya está lleno.

이건 이미 꽉 차서 새 공책이 필요하다.",
문구,deberes,m.pl. 숙제; 의무,"hacer los deberes : 숙제를 하다

poner deberes : 숙제를 내주다","1. Tengo muchos deberes hoy.

오늘 숙제가 많다.

2. ¿Has hecho los deberes?

숙제했니?

3. El profesor nos mandó deberes.

선생님이 우리에게 숙제를 내주셨다.",
문구,ejercicio,m. 운동; 연습,"hacer ejercicio : 운동하다

ejercicio aeróbico : 유산소 운동","1. Hago ejercicio tres veces por semana.

나는 일주일에 세 번 운동한다.

2. El ejercicio es bueno para el corazón.

운동은 심장에 좋다.

3. El médico me recomendó ejercicio suave.

의사는 가벼운 운동을 권했다.",
