챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
문구,bolígrafo,m. 볼펜,"escribir con bolígrafo : 볼펜으로 쓰다

se me ha acabado la tinta : 잉크가 다 떨어졌다","1. ¿Me prestas un bolígrafo?

볼펜 하나 빌려줄래?

2. Prefiero usar bolígrafo azul.

나는 파란색 볼펜을 사용하는 것을 선호한다.

3. Firma el documento con bolígrafo negro, por favor.

문서에 검은색 볼펜으로 서명해 주세요.",
문구,calificación,f. 성적; 등급 (공식적),"calificación final : 최종 성적

baja calificación : 낮은 등급","1. La calificación máxima es diez.

최고 점수는 10점이다.

2. Espera la calificación del examen.

그는 시험 성적을 기다린다.

3. Obtuvo una calificación de notable.

그는 우수 등급을 받았다.",
문구,carpeta,f. 폴더; 파일철,"carpeta de archivos : 파일 폴더

guardar en la carpeta : 폴더에 보관하다","1. Guarda los documentos en la carpeta.

서류를 폴더에 보관해라.

2. Llevo una carpeta azul.

나는 파란 폴더를 가지고 다닌다.

3. Organiza tus papeles en carpetas.

종이들을 폴더별로 정리해라.",
문구,corrección,f. 수정; 정정; 예의,"corrección de textos : 교정

hablar con corrección : 올바르게 말하다","1. Hizo la corrección del examen.

그는 시험을 채점(수정)했다.

2. Acepto la corrección.

수정 사항을 받아들인다.

3. Escribe con mucha corrección.

그는 매우 정확하게 쓴다.",
문구,corrector,m. 수정액/테이프; 교정자,"corrector ortográfico : 맞춤법 검사기

pasar el corrector : 수정액을 칠하다","1. Borra el error con corrector.

수정액으로 오류를 지워라.

2. Necesito corrector líquido.

수정액이 필요하다.

3. Trabaja como corrector de textos.

그는 교정자로 일한다.",
문구,cuaderno,m. 공책; 노트,"cuaderno de ejercicios : 연습 문제집

tomar notas en el cuaderno : 공책에 필기하다","1. Escribe los ejercicios en tu cuaderno.

공책에 연습 문제를 적어라.

2. He perdido mi cuaderno de matemáticas.

수학 공책을 잃어버렸다.

3. Necesito un cuaderno nuevo porque este ya está lleno.

이건 이미 꽉 차서 새 공책이 필요하다.",
문구,deberes,m.pl. 숙제; 의무,"hacer los deberes : 숙제를 하다

poner deberes : 숙제를 내주다","1. Tengo muchos deberes hoy.

오늘 숙제가 많다.

2. ¿Has hecho los deberes?

숙제했니?

3. El profesor nos mandó deberes.

선생님이 우리에게 숙제를 내주셨다.",
문구,error,m. 실수; 오류,"por error : 실수로

cometer un error : 실수를 저지르다","1. He cometido un error.

내가 실수를 했다.

2. De los errores se aprende.

실수로부터 배운다.

3. Hay un error en el cálculo.

계산에 오류가 있다.",
문구,escribir,v. 쓰다; 적다,"máquina de escribir : 타자기

escribir a mano : 손으로 쓰다","1. Escribo un informe para el jefe.

나는 상사를 위해 보고서를 쓴다.

2. Me gusta escribir poemas en mi tiempo libre.

나는 여가 시간에 시를 쓰는 것을 좋아한다.

3. Le escribí una carta de disculpa explicándole mi error.

나는 그에게 내 실수를 설명하는 사과 편지를 썼다.","[현재]

escribo / escribes / escribe / escribimos / escribís / escriben


[현재분사] : escribiendo : [과거분사] : escrito


[과거]

escribí / escribiste / escribió / escribimos / escribisteis / escribieron


[가정법]

escribiría / escribirías / escribiría / escribiríamos / escribiríais / escribirían


[접속법]

escriba / escribas / escriba / escribamos / escribáis / escriban


[미래]

escribiré / escribirás / escribirá / escribiremos / escribiréis / escribirán"
문구,evaluación,f. 평가; 고사,"evaluación continua : 수행 평가 (지속적 평가)

primera evaluación : 1학기/1차 고사","1. La evaluación es trimestral.

평가는 분기별로 있다.

2. Tuvo buena nota en la evaluación.

그는 평가에서 좋은 점수를 받았다.

3. El profesor hace la evaluación.

선생님이 평가한다.",
문구,lápiz,m. 연필,"lápiz de labios : 립스틱

sacar punta al lápiz : 연필을 깎다","1. Dibuja con un lápiz.

연필로 그려라.

2. Escribe con lápiz por si tienes que borrar.

지워야 할 수도 있으니 연필로 써라.

3. La punta del lápiz se rompió mientras escribía.

쓰는 도중에 연필심이 부러졌다.",
문구,leer,v. 읽다; 독서하다,"leer entre líneas : 행간을 읽다 (숨은 뜻을 파악하다)

leer en voz alta : 소리 내어 읽다","1. Leo el periódico todas las mañanas.

나는 매일 아침 신문을 읽는다.

2. Estoy leyendo una novela muy interesante.

나는 아주 흥미로운 소설을 읽고 있다.

3. Es importante leer el contrato detenidamente antes de firmar.

서명하기 전에 계약서를 꼼꼼히 읽는 것이 중요하다.","[현재]

leo / lees / lee / leemos / leéis / leen


[현재분사] : leyendo : [과거분사] : leído


[과거]

leí / leíste / leyó / leímos / leísteis / leyeron


[가정법]

leería / leerías / leería / leeríamos / leeríais / leerían


[접속법]

lea / leas / lea / leamos / leáis / lean


[미래]

leeré / leerás / leerá / leeremos / leeréis / leerán"
문구,libro,m. 책,"ratón de biblioteca : 책벌레

libro de texto : 교과서","1. Me gusta leer libros de aventuras.

나는 모험 소설 읽는 것을 좋아한다.

2. He sacado un libro de la biblioteca.

도서관에서 책을 한 권 대출했다.

3. No juzgues un libro por su portada.

표지만 보고 책을 판단하지 마라. (겉만 보고 판단하지 마라)",
문구,mochila,f. 배낭; 백팩,"viajar de mochila : 배낭여행을 하다 (mochilero)

cargar con la mochila : 짐을 지다 (책임지다)","1. Viajo solo con una mochila.

나는 배낭 하나만 메고 여행한다.

2. Mi mochila pesa demasiado.

내 배낭은 너무 무겁다.

3. Guarda el agua en la mochila.

물을 배낭에 넣어라.",
문구,página,f. 페이지; 쪽,"pasar página : (비유) 과거를 잊고 나아가다

página web : 웹페이지","1. Abre el libro por la página diez.

책 10페이지를 펴라.

2. He leído cincuenta páginas.

나는 50페이지를 읽었다.

3. Falta una página.

페이지가 하나 빠졌다.",
문구,papel,m. 종이; 역할,"papel reciclado : 재생지

papel de aluminio : 알루미늄 호일","1. No gastes tanto papel.

종이를 너무 많이 쓰지 마라.

2. Escribe en papel sucio.

이면지에 써라.

3. El papel se recicla fácilmente.

종이는 쉽게 재활용된다.",
문구,pegamento,m. 풀; 접착제,"pegamento de barra : 딱풀

oler a pegamento : 풀 냄새가 나다","1. Pega la foto con pegamento.

풀로 사진을 붙여라.

2. Se me secó el pegamento.

풀이 말라버렸다.

3. Este pegamento es muy fuerte.

이 접착제는 매우 강력하다.",
문구,pregunta,f. 질문; 문제,"hacer una pregunta : 질문하다

pregunta retórica : 수사적 질문 (답을 요하지 않는 질문)","1. Tengo una pregunta sobre la lección.

수업 내용에 대해 질문이 있다.

2. Esa es una pregunta difícil de responder.

그것은 대답하기 어려운 질문이다.

3. El periodista hizo varias preguntas incómodas al político.

기자는 정치인에게 몇 가지 불편한 질문을 던졌다.",
문구,prueba,f. 증거; 시험; 테스트,"prueba evidente : 명백한 증거

a prueba de : ~을 견디는 (방지)","1. No hay pruebas contra él.

그에게 불리한 증거가 없다.

2. Es una prueba de fuego.

결정적인 시험(시련)이다.

3. Presentó pruebas ante el juez.

그는 판사 앞에 증거를 제출했다.",
문구,repetir,v. 유급하다; 반복하다,"repetir curso : 유급하다 (학년을 꿇다)

repetir lo mismo : 같은 것을 반복하다","1. Tuvo que repetir curso.

그는 유급해야 했다.

2. Repite la frase, por favor.

문장을 다시 말해주세요.

3. No quiero repetir el examen.

시험을 다시 보고 싶지 않다.","[현재]

repito / repites / repite / repetimos / repetís / repiten


[현재분사] : repitiendo : [과거분사] : repetido


[과거]

repetí / repetiste / repitió / repetimos / repetisteis / repitieron


[가정법]

repetiría / repetirías / repetiría / repetiríamos / repetiríais / repetirían


[접속법]

repita / repitas / repita / repitamos / repitáis / repitan


[미래]

repetiré / repetirás / repetirá / repetiremos / repetiréis / repetirán"
문구,respuesta,f. 대답; 응답; 정답,"en respuesta a : ~에 대한 답변으로

dar una respuesta : 답변하다","1. Espero tu respuesta pronto.

너의 빠른 답장을 기다린다.

2. La respuesta correcta es la B.

정답은 B이다.

3. Su silencio fue la única respuesta que obtuve.

그의 침묵이 내가 얻은 유일한 대답이었다.",
문구,suspender,v. 불합격하다; 낙제하다; 중단하다,"suspender una asignatura : 과목을 낙제하다

estar suspenso : 낙제다","1. Suspendí matemáticas.

수학을 낙제했다.

2. Si no estudias, suspenderás.

공부 안 하면 떨어질 거야.

3. Suspendieron las clases por nieve.

눈 때문에 휴교했다(수업을 중단했다).","[현재]

suspendo / suspendes / suspende / suspendemos / suspendéis / suspenden


[현재분사] : suspendiendo : [과거분사] : suspendido


[과거]

suspendí / suspendiste / suspendió / suspendimos / suspendisteis / suspendieron


[가정법]

suspendería / suspenderías / suspendería / suspenderíamos / suspenderíais / suspenderían


[접속법]

suspenda / suspendas / suspenda / suspendamos / suspendáis / suspendan


[미래]

suspenderé / suspenderás / suspenderá / suspenderemos / suspenderéis / suspenderán"
문구,tijeras,f.pl. 가위,"cortar con tijeras : 가위로 자르다

tijeras de podar : 전정가위","1. Corta el papel con las tijeras.

가위로 종이를 잘라라.

2. Las tijeras no cortan bien.

가위가 잘 안 든다.

3. Ten cuidado con las tijeras.

가위를 조심해라.",
문구*,portaminas,"m. 샤프, 샤프펜슬",portaminas automático : 자동 샤프,"1. Uso un portaminas para escribir.

나는 쓰기 위해 샤프를 쓴다.

2. El portaminas se rompió.

샤프가 고장났다.

3. Compré un portaminas nuevo.

새 샤프를 샀다.",
