챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
문화,antigüedad,f. 고대; 골동품; 근속 연수,"Edad Antigua : 고대

tienda de antigüedades : 골동품 가게","1. Estudia la antigüedad clásica.

그는 고전 고대를 연구한다.

2. Este jarrón es una antigüedad.

이 꽃병은 골동품이다.

3. Tiene mucha antigüedad en la empresa.

그는 회사 근속 연수가 길다.",
문화,archivo,m. 기록 보관소; 파일,"archivo histórico : 역사 기록관

guardar en archivo : 보관하다","1. Busqué en el archivo municipal.

시 기록 보관소에서 찾았다.

2. El archivo contiene documentos viejos.

보관소에는 오래된 문서들이 있다.

3. Es un archivo digital.

디지털 파일이다.",
문화,artesanía,f. 공예(품); 수공예,"mercado de artesanía : 공예품 시장

artesanía local : 지역 특산 공예품","1. Compré artesanía de madera.

나무 공예품을 샀다.

2. La artesanía requiere habilidad.

공예는 기술을 요한다.

3. Valoro la artesanía hecha a mano.

나는 수공예품을 높이 평가한다.",
문화,autor,m. 작가; 저자,"derechos de autor : 저작권

autor desconocido : 작자 미상","1. ¿Quién es el autor del libro?

책의 저자가 누구니?

2. Es mi autor favorito.

내가 제일 좋아하는 작가다.

3. El autor firmó ejemplares.

작가가 책에 서명해 주었다.",
문화,celebración,f. 기념; 축하 행사,"motivo de celebración : 축하할 이유

celebración religiosa : 종교 행사","1. La celebración fue un éxito.

기념 행사는 성공적이었다.

2. Participó en la celebración.

그는 축하 행사에 참여했다.

3. Es una celebración anual.

연례 행사다.",
문화,celebrar,v. 축하하다; 거행하다,"celebrar una reunión : 회의를 개최하다

celebrar el éxito : 성공을 자축하다","1. Celebramos la Navidad en familia.

우리는 크리스마스를 가족과 함께 보낸다.

2. ¿Cómo vas a celebrar tu aniversario?

너는 기념일을 어떻게 축하할 거니?

3. Es importante que celebremos nuestros logros, por pequeños que sean.

아무리 작더라도 우리의 성취를 축하하는 것은 중요하다.",
문화,ceremonia,f. 의식; 식,"maestro de ceremonias : 사회자

ceremonia de apertura : 개막식","1. La ceremonia fue emotiva.

식은 감동적이었다.

2. Asistimos a la ceremonia de boda.

우리는 결혼식에 참석했다.

3. Se vistió de gala para la ceremonia.

그는 식을 위해 정장을 입었다.",
문화,civilización,f. 문명,"civilización antigua : 고대 문명

historia de la civilización : 문명사","1. La civilización romana fue importante.

로마 문명은 중요했다.

2. Estudian las civilizaciones perdidas.

그들은 잃어버린 문명을 연구한다.

3. El colapso de la civilización.

문명의 붕괴.",
문화,comunidad,f. 공동체; 지역 사회,"comunidad autónoma : (스페인) 자치 지방

sentido de comunidad : 공동체 의식","1. Vivo en una comunidad pequeña.

나는 작은 공동체에 산다.

2. Ayuda a tu comunidad.

지역 사회를 도워라.

3. La comunidad latina es grande.

라틴 커뮤니티는 크다.",
문화,cuento,m. 이야기; 동화,"cuento de hadas : 동화 (요정 이야기)

vivir del cuento : 남에게 빈대 붙어 살다","1. Cuéntame un cuento.

이야기 하나 해줘.

2. Los cuentos tradicionales enseñan valores.

전래 동화는 가치를 가르친다.

3. Es un cuento corto.

단편 소설(이야기)이다.",
