챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
범죄,acontecimiento,m. (중대한) 사건; 행사,"acontecimiento histórico : 역사적 사건

gran acontecimiento : 대사건","1. La boda fue un gran acontecimiento.

결혼식은 큰 행사였다.

2. Es un acontecimiento único.

유일무이한 사건이다.

3. Narran los acontecimientos.

그들은 사건들을 서술한다.",
범죄,asalto,m. 습격; 강도 (공격),"asalto al banco : 은행 습격

asalto a mano armada : 무장 강도","1. Sufrió un asalto en la calle.

그는 거리에서 강도를 당했다.

2. La policía detuvo el asalto.

경찰이 습격을 저지했다.

3. Fue un asalto violento.

폭력적인 습격이었다.",
범죄,asesinato,m. 살인; 암살,"intento de asesinato : 살인 미수

cometer un asesinato : 살인을 저지르다","1. La policía investiga el asesinato.

경찰이 살인 사건을 수사 중이다.

2. Fue un asesinato premeditado.

계획적인 살인이었다.

3. Condenaron al culpable del asesinato.

살인범에게 유죄를 선고했다.",
범죄,caso,m. 사건; 경우; 케이스,"hacer caso : 신경 쓰다/주목하다

en caso de : ~의 경우에","1. Es un caso misterioso.

미스터리한 사건이다.

2. La policía cerró el caso.

경찰이 사건을 종결했다.

3. Hazme caso.

내 말 좀 들어 (나한테 신경 써).",
범죄,casualidad,f. 우연,"por casualidad : 우연히

pura casualidad : 순전히 우연","1. Nos encontramos por casualidad.

우리는 우연히 만났다.

2. ¡Qué casualidad!

이런 우연이!

3. No creo en las casualidades.

나는 우연을 믿지 않는다.",
범죄,circunstancia,f. 상황; 정황; 형편,"dadas las circunstancias : 상황을 고려할 때

circunstancias atenuantes : 정상 참작 사유","1. Depende de las circunstancias.

상황에 따라 다르다.

2. Fue víctima de las circunstancias.

그는 상황의 희생자였다.

3. En ninguna circunstancia lo hagas.

어떤 상황에서도 그것을 하지 마라.",
범죄,corrupción,f. 부패; 비리,"corrupción política : 정치 부패

lucha contra la corrupción : 부패 척결","1. La corrupción es un problema grave.

부패는 심각한 문제다.

2. Fue condenado por corrupción.

그는 부패 혐의로 유죄 판결을 받았다.

3. Hay casos de corrupción en la empresa.

회사에 비리 사건들이 있다.",
범죄,crimen,m. 범죄 (중범죄); 살인,"escena del crimen : 범죄 현장

crimen organizado : 조직범죄","1. El crimen no paga.

범죄는 득이 되지 않는다.

2. Volvió a la escena del crimen.

그는 범죄 현장으로 돌아왔다.

3. Es un crimen pasional.

치정 범죄다.",
범죄,drama,m. 드라마; 비극,"hacer un drama : 호들갑 떨다 (드라마 찍다)

drama real : 실제 비극","1. No hagas un drama de esto.

이걸로 드라마 찍지 마 (과장하지 마).

2. Fue un drama familiar.

가정의 비극이었다.

3. La situación es un drama.

상황이 비극적이다.",
범죄,emergencia,f. 비상사태; 응급,"salida de emergencia : 비상구

llamar a emergencias : 구조대에 전화하다","1. Es una emergencia.

비상사태다.

2. Actuaron rápido ante la emergencia.

비상사태에 빠르게 대처했다.

3. Declararon el estado de emergencia.

비상사태를 선포했다.",
