챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
법,abogado,m. 변호사,"abogado del diablo : 악마의 변호인 (일부러 반대 입장을 취하는 사람)

contratar un abogado : 변호사를 고용하다","1. Necesito un abogado.

변호사가 필요하다.

2. Su abogado le aconsejó.

그의 변호사가 조언했다.

3. Es un buen abogado.

그는 훌륭한 변호사다.",
법,acusado,m. 피고인; a. 두드러진,"banco de los acusados : 피고석

ser acusado de : ~로 기소되다","1. El acusado se declaró inocente.

피고인은 무죄를 주장했다.

2. Defienden al acusado.

그들은 피고인을 변호한다.

3. El acusado entró en la sala.

피고인이 법정에 들어왔다.",
법,arrestar,v. 체포하다,"arresto domiciliario : 가택 연금

orden de arresto : 체포 영장","1. La policía le arrestó.

경찰이 그를 체포했다.

2. Le arrestaron por robar.

그는 절도죄로 체포되었다.

3. Van a arrestar al sospechoso.

그들은 용의자를 체포할 것이다.","[현재]

arresto / arrestas / arresta / arrestamos / arrestáis / arrestan


[현재분사] : arrestando : [과거분사] : arrestado


[과거]

arresté / arrestaste / arrestó / arrestamos / arrestasteis / arrestaron


[가정법]

arrestaría / arrestarías / arrestaría / arrestaríamos / arrestaríais / arrestarían


[접속법]

arreste / arrestes / arreste / arrestemos / arrestéis / arresten


[미래]

arrestaré / arrestarás / arrestará / arrestaremos / arrestaréis / arrestarán"
법,castigo,m. 처벌; 벌,"castigo merecido : 마땅한 처벌

en castigo : 벌로서","1. Recibió un castigo severo.

그는 엄중한 처벌을 받았다.

2. El castigo fue justo.

처벌은 공정했다.

3. Está castigado sin salir.

그는 외출 금지 벌을 받았다.",
법,celda,f. 감방; 세포,"compañero de celda : 감방 동료

celda de castigo : 독방","1. La celda es pequeña.

감방은 작다.

2. Cerraron la puerta de la celda.

그들은 감방 문을 닫았다.

3. Pasa el día en su celda.

그는 하루를 감방에서 보낸다.",
법,culpable,a. 유죄의; m. 범인,"declararse culpable : 유죄를 인정하다

sentirse culpable : 죄책감을 느끼다","1. El jurado lo encontró culpable.

배심원단은 그에게 유죄 평결을 내렸다.

2. ¿Quién es el culpable?

범인이 누구니?

3. No me siento culpable.

나는 죄책감을 느끼지 않는다.",
법,demanda,f. 수요; 요구; 고소,"demanda de empleo : 구직 (수요)

presentar una demanda : 소송을 제기하다","1. Hay mucha demanda de ingenieros.

엔지니어 수요가 많다.

2. La demanda supera a la oferta.

수요가 공급을 초과한다.

3. Atendieron sus demandas salariales.

그들은 그의 임금 요구를 들어주었다.",
법,denuncia,f. 신고; 고발,"retirar la denuncia : 고소를 취하하다

falsa denuncia : 무고","1. Puso una denuncia en comisaría.

그는 경찰서에 고발장을 냈다.

2. Retiró la denuncia ayer.

그는 어제 고소를 취하했다.

3. La denuncia fue archivada.

그 고발 건은 기각(보류)되었다.",
법,denunciar,v. 신고하다; 고발하다,"poner una denuncia : 고발장을 접수하다

denunciar un robo : 도난 신고를 하다","1. Voy a denunciar el robo.

나는 도난 신고를 할 것이다.

2. Denunció a su vecino.

그는 이웃을 고발했다.

3. Es importante denunciar.

신고하는 것은 중요하다.","[현재]

denuncio / denuncias / denuncia / denunciamos / denunciáis / denuncian


[현재분사] : denunciando : [과거분사] : denunciado


[과거]

denuncié / denunciaste / denunció / denunciamos / denunciasteis / denunciaron


[가정법]

denunciaría / denunciarías / denunciaría / denunciaríamos / denunciaríais / denunciarían


[접속법]

denuncie / denuncies / denuncie / denunciemos / denunciéis / denuncien


[미래]

denunciaré / denunciarás / denunciará / denunciaremos / denunciaréis / denunciarán"
법,detenido,m. 체포된 사람; 용의자,"estar detenido : 체포되다/구금되다

leer los derechos al detenido : 용의자에게 권리를 고지하다","1. El detenido confesó.

용의자가 자백했다.

2. Interrogaron al detenido.

그들은 용의자를 심문했다.

3. Hay tres detenidos.

체포된 사람이 세 명이다.",
법,fiscal,m. 검사; a. 재정의,"fiscal general : 검찰 총장

acusación fiscal : 검찰 기소","1. El fiscal acusó al ladrón.

검사가 도둑을 기소했다.

2. El fiscal pide diez años.

검사는 10년 형을 구형한다.

3. Es un paraíso fiscal.

그곳은 조세 회피처다.",
법,ilegal,a. 불법적인,"inmigrante ilegal : 불법 이민자

trabajo ilegal : 불법 노동","1. Vender drogas es ilegal.

마약을 파는 것은 불법이다.

2. Es una actividad ilegal.

불법적인 활동이다.

3. Entró de forma ilegal.

그는 불법으로 들어왔다.",
법,inocente,a. 무죄의; 순진한,"declarar inocente : 무죄를 선고하다

santos inocentes : 만우절 (스페인식)","1. El juez lo declaró inocente.

판사는 그에게 무죄를 선고했다.

2. Soy inocente, no lo hice.

나는 무죄야, 내가 안 했어.

3. Es una broma inocente.

악의 없는 농담이다.",
법,juicio,m. 재판; 판단력,"tener juicio : 분별력이 있다

juicio final : 최후의 심판","1. El juicio empieza mañana.

재판이 내일 시작된다.

2. Perdió el juicio (se volvió loco).

그는 이성을 잃었다 (미쳤다).

3. A mi juicio, es un error.

내 판단으로는, 그것은 실수다.",
법,jurado,m. 배심원단; 심사위원,"miembro del jurado : 배심원

veredicto del jurado : 배심원 평결","1. El jurado decidió.

배심원단이 결정했다.

2. Convencer al jurado es difícil.

배심원단을 설득하기는 어렵다.

3. Es parte del jurado.

그는 배심원단의 일원이다.",
법,legal,a. 합법적인; 법률상의,"ser legal : 합법이다

asesor legal : 법률 고문","1. Es un negocio legal.

합법적인 사업이다.

2. No es legal aparcar aquí.

여기에 주차하는 것은 합법이 아니다.

3. Busca ayuda legal.

법적 도움을 찾아라.",
법,pena,f. 형벌; 슬픔,"pena de muerte : 사형

pena de cárcel : 징역형","1. Le dieron una pena de cinco años.

그에게 5년 형을 내렸다.

2. Merece la pena máxima.

그는 최고형을 받을 만하다.

3. Cumple su pena en prisión.

그는 감옥에서 형을 살고 있다.",
법,prisión,f. 교도소; 감금,"prisión preventiva : 구속 수감 (미결 구금)

entrar en prisión : 감옥에 들어가다","1. Le condenaron a prisión.

그에게 징역형을 선고했다.

2. Escapó de la prisión.

그는 교도소를 탈출했다.

3. Cumple cinco años de prisión.

그는 5년 형을 살고 있다.",
법,sentencia,f. 판결; 선고; 문장,"dictar sentencia : 판결을 내리다

sentencia firme : 확정 판결","1. El juez leyó la sentencia.

판사가 판결문을 읽었다.

2. Fue una sentencia justa.

공정한 판결이었다.

3. Cumple sentencia en la cárcel.

그는 감옥에서 형을 살고 있다.",
법,testigo,m.f. 목격자; 증인,"testigo ocular : 목격자

ser testigo de : ~를 목격하다","1. El testigo vio al ladrón.

목격자가 도둑을 봤다.

2. Llamaron a un testigo al estrado.

그들은 증인을 증언대로 불렀다.

3. Soy testigo de que es verdad.

그게 사실이라는 증인이다.",
법,tribunal,m. 법원; 재판소,"tribunal supremo : 대법원

llevar a los tribunales : 고소하다 (법정으로 가져가다)","1. El tribunal está cerrado.

법원이 닫혀 있다.

2. Presentó el caso al tribunal.

그는 사건을 법원에 제출했다.

3. Decidirá el tribunal.

법원이 결정할 것이다.",
법,veredicto,m. 평결 (배심원의),"dar un veredicto : 평결을 내리다

esperar el veredicto : 평결을 기다리다","1. El jurado dio su veredicto.

배심원단이 평결을 내렸다.

2. El veredicto fue inocente.

평결은 무죄였다.

3. Aceptamos el veredicto final.

우리는 최종 평결을 받아들인다.",
법,víctima,f. 피해자; 희생자,"víctima mortal : 사망자

hacerse la víctima : 피해자 코스프레하다","1. La víctima pidió ayuda.

피해자가 도움을 요청했다.

2. Hubo tres víctimas en el accidente.

사고로 세 명의 희생자가 있었다.

3. Ayudan a las víctimas de guerra.

그들은 전쟁 피해자들을 돕는다.",
법*,jurisprudencia,f. 판례,jurisprudencia del tribunal : 법원의 판례,"1. La jurisprudencia es clara.

판례가 명확하다.

2. Estudió la jurisprudencia reciente.

최근 판례를 공부했다.

3. La jurisprudencia cambió.

판례가 바뀌었다.",
법*,legislación,f. 입법; 법규,legislación vigente : 현행 법규,"1. La legislación protege al consumidor.

법규가 소비자를 보호한다.

2. Revisaron la legislación.

그들은 법규를 검토했다.

3. Cambió la legislación laboral.

노동 법규가 바뀌었다.",
법*,jurista,m. 법률가,jurista experto : 전문 법률가,"1. Es un jurista reconocido.

그는 인정받는 법률가다.

2. El jurista explicó el caso.

법률가가 사건을 설명했다.

3. Consulté a un jurista.

법률가에게 상담했다.",
법*,demandante,m.f. 원고,parte demandante : 원고 측,"1. El demandante presentó pruebas.

원고가 증거를 제출했다.

2. La demandante declaró hoy.

원고가 오늘 진술했다.

3. Hablé con el demandante.

원고와 이야기했다.",
법*,demandado,m. 피고,parte demandada : 피고 측,"1. El demandado negó los hechos.

피고가 사실을 부인했다.

2. El demandado llegó tarde.

피고가 늦게 도착했다.

3. Escucharon al demandado.

그들은 피고의 말을 들었다.",
법*,imputado,m. 피의자,imputado principal : 주요 피의자,"1. El imputado declaró ante el juez.

피의자가 판사 앞에서 진술했다.

2. Hay un imputado más.

추가 피의자가 있다.

3. El imputado quedó en libertad.

피의자가 석방됐다.",
법*,procesado,m. 피고인,procesado en libertad : 불구속 피고인,"1. El procesado espera el juicio.

피고인이 재판을 기다린다.

2. El procesado negó los cargos.

피고인이 혐의를 부인했다.

3. Hay varios procesados.

여러 피고인이 있다.",
법*,peritaje,m. 감정; 감정서,peritaje técnico : 기술 감정,"1. El peritaje fue concluyente.

감정 결과가 결정적이었다.

2. Solicitaron un peritaje.

감정을 요청했다.

3. Presentaron el peritaje al juez.

감정서를 판사에게 제출했다.",
