챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
사회,alcalde,m. 시장 (도시의 장),"elecciones a alcalde : 시장 선거

alcaldesa : 여성 시장","1. El alcalde inauguró el parque.

시장이 공원 개장식을 했다.

2. Escribí una carta al alcalde.

나는 시장에게 편지를 썼다.

3. El alcalde prometió mejoras.

시장은 개선을 약속했다.",
사회,ayuda,f. 도움; 원조,"pedir ayuda : 도움을 청하다

ayuda humanitaria : 인도적 지원","1. Necesito tu ayuda.

너의 도움이 필요해.

2. Enviaron ayuda a la zona afectada.

그들은 피해 지역에 원조를 보냈다.

3. ¡Ayuda! (Grito de socorro)

도와주세요!",
사회,bandera,f. 깃발; 국기,"jurar bandera : 국기에 대한 맹세를 하다

bandera blanca : 백기 (항복)","1. La bandera de España es roja y amarilla.

스페인 국기는 빨강과 노랑이다.

2. Izaron la bandera.

그들은 깃발을 게양했다.

3. Agitaban banderas en el estadio.

그들은 경기장에서 깃발을 흔들었다.",
사회,cárcel,f. 감옥; 교도소,"ir a la cárcel : 감옥에 가다

salir de la cárcel : 출소하다","1. Pasó diez años en la cárcel.

그는 감옥에서 10년을 보냈다.

2. El juez lo envió a la cárcel.

판사는 그를 감옥으로 보냈다.

3. Se escapó de la cárcel.

그는 감옥에서 탈출했다.",
사회,ciudadano,m. 시민; 국민,"ciudadano del mundo : 세계 시민

seguridad ciudadana : 치안","1. Todos los ciudadanos tienen derechos.

모든 시민은 권리를 가진다.

2. Es un buen ciudadano.

그는 모범 시민이다.

3. Los ciudadanos votaron en las elecciones.

시민들은 선거에서 투표했다.",
사회,creencia,f. 믿음; 신념,"libertad de creencia : 신앙의 자유

falsa creencia : 잘못된 믿음","1. Respeto tus creencias.

너의 신념을 존중해.

2. Es una creencia popular.

그것은 대중적인 믿음(속설)이다.

3. Sus creencias le impiden hacerlo.

그의 신념이 그가 그것을 하는 것을 막는다.",
사회,cultura,f. 문화; 교양,"cultura general : 일반 상식

choque de culturas : 문화 충격","1. Me interesa la cultura española.

나는 스페인 문화에 관심이 있다.

2. Es una persona de gran cultura.

그는 교양이 풍부한 사람이다.

3. La cultura nos enriquece.

문화는 우리를 풍요롭게 한다.",
사회,delito,m. 범죄; 범행,"cometer un delito : 범죄를 저지르다

delito grave : 중범죄","1. Robar es un delito.

도둑질은 범죄다.

2. Fue acusado de un delito fiscal.

그는 탈세 혐의로 기소되었다.

3. No hay delito sin pruebas.

증거 없이는 범죄가 성립되지 않는다.",
사회,derecho,m. 권리; 법학; a. 오른쪽의,"derechos humanos : 인권

estudiar derecho : 법을 공부하다","1. Tengo derecho a opinar.

나는 의견을 말할 권리가 있다.

2. Estudia Derecho en la universidad.

그는 대학에서 법학을 공부한다.

3. No hay derecho a esto.

이건 부당하다 (이럴 권리는 없다).",
사회,dios,m. 신; 하느님,"gracias a Dios : 신께 감사하게도 (다행히)

¡Dios mío! : 맙소사!","1. Cree en Dios.

그는 신을 믿는다.

2. Los griegos tenían muchos dioses.

그리스인들은 많은 신을 가지고 있었다.

3. Que Dios te bendiga.

신이 너를 축복하기를.",
사회,educación,f. 교육; 예의,"buena educación : 가정교육을 잘 받은/예의 바른

Ministerio de Educación : 교육부","1. La educación es un derecho básico.

교육은 기본권이다.

2. Tiene muy mala educación.

그는 매우 버릇이 없다.

3. Invierten mucho en educación.

그들은 교육에 많이 투자한다.",
사회,ejército,m. 군대; 육군,"entrar en el ejército : 입대하다

ejército de salvación : 구세군","1. Sirvió en el ejército dos años.

그는 군대에서 2년 복무했다.

2. El ejército defendió la frontera.

군대는 국경을 방어했다.

3. El general manda el ejército.

장군이 군대를 지휘한다.",
사회,elecciones,f.pl. 선거,"elecciones generales : 총선

ganar las elecciones : 선거에서 이기다","1. Las elecciones son el domingo.

선거는 일요일이다.

2. Se presentan a las elecciones.

그들은 선거에 출마한다.

3. Los resultados de las elecciones sorprendieron.

선거 결과는 놀라웠다.",
사회,gente,f. 사람들 (단수 취급),"buena gente : 좋은 사람들

don de gentes : 사교성","1. Hay mucha gente aquí.

여기에 사람들이 많다.

2. La gente dice que es verdad.

사람들은 그게 사실이라고 말한다.

3. Me gusta conocer gente nueva.

나는 새로운 사람들을 만나는 것을 좋아한다.",
사회,gobierno,m. 정부; 통치,"jefe de gobierno : 정부 수반 (총리)

formar gobierno : 내각을 구성하다","1. El gobierno aprobó la ley.

정부가 법을 승인했다.

2. Protestan contra el gobierno.

그들은 정부에 반대하여 시위한다.

3. El gobierno debe ayudar a los pobres.

정부는 가난한 사람들을 도와야 한다.",
사회,guerra,f. 전쟁,"guerra civil : 내전

dar guerra : (아이 등이) 말썽 피우다/힘들게 하다","1. La guerra duró cinco años.

전쟁은 5년 동안 지속되었다.

2. Están en guerra con el país vecino.

그들은 이웃 나라와 전쟁 중이다.

3. ¡Haz el amor y no la guerra!

전쟁 말고 사랑을 하라!",
사회,inmigrante,m.f. 이민자,"inmigrante ilegal : 불법 체류자

ola de inmigrantes : 이민자의 물결","1. Mis abuelos fueron inmigrantes.

내 조부모님은 이민자셨다.

2. El país recibe muchos inmigrantes.

그 나라는 많은 이민자를 받는다.

3. Los inmigrantes buscan una vida mejor.

이민자들은 더 나은 삶을 찾는다.",
사회,juez,m.f. 판사; 심판,"juez de paz : 치안 판사

ser juez y parte : 심판이자 당사자다 (공정하지 못함)","1. El juez dictó sentencia.

판사가 판결을 내렸다.

2. El juez escuchó a los testigos.

판사는 증인들의 말을 들었다.

3. Quieren ser jueces imparciales.

그들은 공정한 심판이 되고자 한다.",
사회,justicia,f. 정의; 사법,"pedir justicia : 정의를 요구하다

tribunal de justicia : 법원","1. Queremos justicia para la víctima.

우리는 피해자를 위한 정의를 원한다.

2. La justicia es lenta pero llega.

정의는 느리지만 반드시 온다.

3. El juez administra justicia.

판사는 사법권을 행사한다.",
사회,ladrón,m. 도둑,"al ladrón : 도둑 잡아라!

ladrón de guante blanco : 지능범/사기꾼","1. El ladrón entró por la ventana.

도둑이 창문으로 들어왔다.

2. La policía atrapó al ladrón.

경찰이 도둑을 잡았다.

3. Los ladrones robaron las joyas.

도둑들이 보석을 훔쳤다.",
사회,ley,f. 법; 법률,"por ley : 법적으로

violar la ley : 법을 어기다","1. Todos somos iguales ante la ley.

우리는 모두 법 앞에 평등하다.

2. El parlamento aprobó una nueva ley.

의회가 새로운 법을 통과시켰다.

3. Hay que respetar la ley.

법을 준수해야 한다.",
사회,libertad,f. 자유,"libertad de expresión : 표현의 자유

en libertad : 석방되어/자유롭게","1. La libertad no tiene precio.

자유는 값을 매길 수 없다.

2. Lucharon por su libertad.

그들은 자유를 위해 싸웠다.

3. Dejaron al prisionero en libertad.

그들은 죄수를 석방했다.",
사회,manifestación,f. 시위; 데모,"ir a la manifestación : 시위에 가다

manifestación pacífica : 평화 시위","1. Hubo una gran manifestación ayer.

어제 큰 시위가 있었다.

2. La policía disolvió la manifestación.

경찰이 시위를 해산시켰다.

3. Gritaron consignas en la manifestación.

그들은 시위에서 구호를 외쳤다.",
사회,norma,f. 규칙; 규범,"normas de tráfico : 교통 법규

por norma general : 일반적으로","1. Sigue las normas de seguridad.

안전 수칙을 따라라.

2. Rompió las normas del colegio.

그는 학교 규칙을 어겼다.

3. Es la norma de la casa.

이것은 집안의 규칙이다.",
사회,ONG,f. 비정부 기구 (Organización No Gubernamental),"trabajar en una ONG : NGO에서 일하다

socio de una ONG : NGO 후원자","1. Colaboro con una ONG.

나는 NGO와 협력한다.

2. La ONG ayuda a los refugiados.

그 NGO는 난민들을 돕는다.

3. Donó dinero a una ONG.

그는 NGO에 돈을 기부했다.",
사회,país,m. 나라; 국가,"país desarrollado : 선진국

país en vías de desarrollo : 개발 도상국","1. ¿De qué país eres?

어느 나라 사람이니?

2. Es un país muy bonito.

매우 아름다운 나라다.

3. Cada país tiene sus costumbres.

각 나라에는 고유의 관습이 있다.",
사회,paz,f. 평화,"hacer las paces : 화해하다

déjame en paz : 나 좀 내버려 둬","1. Queremos vivir en paz.

우리는 평화롭게 살고 싶다.

2. Firmaron un tratado de paz.

그들은 평화 조약에 서명했다.

3. La paloma es el símbolo de la paz.

비둘기는 평화의 상징이다.",
사회,policía,f. 경찰(조직); m.f. 경찰관,"llamar a la policía : 경찰을 부르다

comisaría de policía : 경찰서","1. La policía investiga el caso.

경찰이 그 사건을 조사 중이다.

2. Un policía me puso una multa.

경찰관이 나에게 범칙금을 부과했다.

3. Quiero ser policía.

나는 경찰이 되고 싶다.",
사회,política,f. 정치; 정책,"política exterior : 외교 정책

hablar de política : 정치 이야기를 하다","1. No me interesa la política.

나는 정치에 관심이 없다.

2. La política de la empresa es estricta.

회사의 정책은 엄격하다.

3. Entró en política muy joven.

그는 아주 젊어서 정계에 입문했다.",
사회,político,m. 정치인; a. 정치적인,"partido político : 정당

preso político : 정치범","1. Los políticos debaten en el parlamento.

정치인들이 의회에서 토론한다.

2. Es un problema político, no técnico.

그것은 기술적인 문제가 아니라 정치적인 문제다.

3. No confío en ningún político.

나는 어떤 정치인도 신뢰하지 않는다.",
사회,presidente,m. 대통령; 의장,"presidente del gobierno : 총리 (스페인)

vicepresidente : 부통령/부의장","1. El presidente dio un discurso.

대통령이 연설했다.

2. Han elegido un nuevo presidente.

새로운 대통령이 선출되었다.

3. Es el presidente de la comunidad de vecinos.

그는 입주자 대표 회장이다.",
사회,público,m. 대중; 관객; a. 공공의,"transporte público : 대중교통

en público : 공개적으로","1. El público aplaudió mucho.

관객들이 큰 박수를 보냈다.

2. Es un edificio público.

이것은 공공건물이다.

3. Hablar en público me pone nervioso.

대중 앞에서 말하는 것은 나를 긴장시킨다.",
사회,pueblo,m. 마을; 국민/민중,"pueblo natal : 고향 마을

el pueblo unido : 단결된 민중","1. Vivo en un pueblo pequeño.

나는 작은 마을에 산다.

2. Todo el pueblo salió a la calle.

온 마을 사람들이 거리로 나왔다.

3. Es un hombre de pueblo.

그는 시골 사람이다.",
사회,religión,f. 종교,"libertad de religión : 종교의 자유

practicar una religión : 종교 생활을 하다","1. Respeto todas las religiones.

나는 모든 종교를 존중한다.

2. ¿Cuál es tu religión?

너의 종교는 무엇이니?

3. La religión influye en la cultura.

종교는 문화에 영향을 미친다.",
사회,seguridad,f. 안전; 보안; 확신,"cinturón de seguridad : 안전벨트

guardia de seguridad : 경비원","1. La seguridad es lo más importante.

안전이 가장 중요하다.

2. Hay cámaras de seguridad en el banco.

은행에는 보안 카메라가 있다.

3. Lo dijo con total seguridad.

그는 확신을 가지고 말했다.",
사회,sociedad,f. 사회,"alta sociedad : 상류 사회

sociedad anónima : 주식회사","1. Vivimos en una sociedad de consumo.

우리는 소비 사회에 살고 있다.

2. La sociedad está cambiando.

사회가 변하고 있다.

3. Es un problema de toda la sociedad.

그것은 사회 전체의 문제다.",
사회,solidaridad,f. 연대; 결속,"mostrar solidaridad : 연대감을 표하다

acto de solidaridad : 연대 행동","1. La solidaridad es necesaria en crisis.

위기 때는 연대가 필요하다.

2. Gracias por tu solidaridad.

너의 연대(지지도)에 감사해.

3. Hicieron una campaña de solidaridad.

그들은 연대 캠페인을 벌였다.",
사회,violencia,f. 폭력,"violencia doméstica : 가정 폭력

sin violencia : 폭력 없이","1. La violencia no es la solución.

폭력은 해결책이 아니다.

2. Protestaron contra la violencia.

그들은 폭력에 반대하여 시위했다.

3. La película tiene mucha violencia.

그 영화에는 폭력 장면이 많다.",
사회,votar,v. 투표하다,"ir a votar : 투표하러 가다

votar en blanco : 기권표를 던지다","1. Voy a votar por ese partido.

나는 그 정당에 투표할 것이다.

2. Es importante votar.

투표하는 것은 중요하다.

3. Votaron a favor de la ley.

그들은 그 법안에 찬성 투표했다.","[현재]

voto / votas / vota / votamos / votáis / votan


[현재분사] : votando : [과거분사] : votado


[과거]

voté / votaste / votó / votamos / votasteis / votaron


[가정법]

votaría / votarías / votaría / votaríamos / votaríais / votarían


[접속법]

vote / votes / vote / votemos / votéis / voten


[미래]

votaré / votarás / votará / votaremos / votaréis / votarán"
