챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
생각,aceptar,v. 받아들이다; 수락하다,"aceptar las condiciones : 조건을 수락하다

aceptar el reto : 도전을 받아들이다","1. Acepto tus disculpas.

너의 사과를 받아들일게.

2. Aceptaron mi propuesta.

그들은 내 제안을 수락했다.

3. No aceptes caramelos de extraños.

낯선 사람에게 사탕을 받지 마라.","[현재]

acepto / aceptas / acepta / aceptamos / aceptáis / aceptan


[현재분사] : aceptando : [과거분사] : aceptado


[과거]

acepté / aceptaste / aceptó / aceptamos / aceptasteis / aceptaron


[가정법]

aceptaría / aceptarías / aceptaría / aceptaríamos / aceptaríais / aceptarían


[접속법]

acepte / aceptes / acepte / aceptemos / aceptéis / acepten


[미래]

aceptaré / aceptarás / aceptará / aceptaremos / aceptaréis / aceptarán"
생각,aconsejar,v. 조언하다; 충고하다,"aconsejar que + subj : ~하라고 조언하다

dejarse aconsejar : 조언을 받아들이다","1. Te aconsejo que vayas al médico.

의사에게 가보라고 조언한다.

2. ¿Qué me aconsejas?

나에게 뭘 조언해 줄래?

3. Le aconsejó no hacerlo.

그는 하지 말라고 충고했다.","[현재]

aconsejo / aconsejas / aconseja / aconsejamos / aconsejáis / aconsejan


[현재분사] : aconsejando : [과거분사] : aconsejado


[과거]

aconsejé / aconsejaste / aconsejó / aconsejamos / aconsejasteis / aconsejaron


[가정법]

aconsejaría / aconsejarías / aconsejaría / aconsejaríamos / aconsejaríais / aconsejarían


[접속법]

aconseje / aconsejes / aconseje / aconsejemos / aconsejéis / aconsejen


[미래]

aconsejaré / aconsejarás / aconsejará / aconsejaremos / aconsejaréis / aconsejarán"
생각,admitir,v. 인정하다; 허용하다,"no se admiten devoluciones : 반품 불가

admitir un error : 실수를 인정하다","1. Admito que me equivoqué.

내가 실수했다는 걸 인정해.

2. No admiten perros en el hotel.

호텔에 개는 허용되지 않는다.

3. Tienes que admitir la verdad.

진실을 인정해야 한다.","[현재]

admito / admites / admite / admitimos / admitís / admiten


[현재분사] : admitiendo : [과거분사] : admitido


[과거]

admití / admitiste / admitió / admitimos / admitisteis / admitieron


[가정법]

admitiría / admitirías / admitiría / admitiríamos / admitiríais / admitirían


[접속법]

admita / admitas / admita / admitamos / admitáis / admitan


[미래]

admitiré / admitirás / admitirá / admitiremos / admitiréis / admitirán"
생각,afirmar,v. 단언하다; 긍정하다,"afirmar con la cabeza : 고개를 끄덕이다

afirmación : 긍정/확언","1. Afirmó que era inocente.

그는 결백하다고 단언했다.

2. El testigo afirmó haberlo visto.

증인은 그를 봤다고 확언했다.

3. No puedo afirmar nada todavía.

아직 아무것도 단언할 수 없다.","[현재]

afirmo / afirmas / afirma / afirmamos / afirmáis / afirman


[현재분사] : afirmando : [과거분사] : afirmado


[과거]

afirmé / afirmaste / afirmó / afirmamos / afirmasteis / afirmaron


[가정법]

afirmaría / afirmarías / afirmaría / afirmaríamos / afirmaríais / afirmarían


[접속법]

afirme / afirmes / afirme / afirmemos / afirméis / afirmen


[미래]

afirmaré / afirmarás / afirmará / afirmaremos / afirmaréis / afirmarán"
생각,apreciar,v. 감사하다; 높이 평가하다,"apreciar el arte : 예술을 감상하다/알아보다

se aprecia que... : ~임이 관찰된다","1. Aprecio tu sinceridad.

너의 솔직함에 감사해(높이 사).

2. No sabes apreciar lo bueno.

너는 좋은 것을 알아볼 줄 모른다.

3. Se le aprecia mucho en la empresa.

그는 회사에서 좋은 평가를 받는다.","[현재]

aprecio / aprecias / aprecia / apreciamos / apreciáis / aprecian


[현재분사] : apreciando : [과거분사] : apreciado


[과거]

aprecié / apreciaste / apreció / apreciamos / apreciasteis / apreciaron


[가정법]

apreciaría / apreciarías / apreciaría / apreciaríamos / apreciaríais / apreciarían


[접속법]

aprecie / aprecies / aprecie / apreciemos / apreciéis / aprecien


[미래]

apreciaré / apreciarás / apreciará / apreciaremos / apreciaréis / apreciarán"
생각,asegurar,v. 보장하다; 확언하다,"asegurar el coche : 자동차 보험에 들다

te lo aseguro : 내가 장담해","1. Te aseguro que es verdad.

사실이라고 장담해.

2. Asegúrate de cerrar la puerta.

문을 닫았는지 확인해라.

3. Nadie puede asegurar el éxito.

누구도 성공을 보장할 수 없다.","[현재]

aseguro / aseguras / asegura / aseguramos / aseguráis / aseguran


[현재분사] : asegurando : [과거분사] : asegurado


[과거]

aseguré / aseguraste / aseguró / aseguramos / asegurasteis / aseguraron


[가정법]

aseguraría / asegurarías / aseguraría / aseguraríamos / aseguraríais / asegurarían


[접속법]

asegure / asegures / asegure / aseguremos / aseguréis / aseguren


[미래]

aseguraré / asegurarás / asegurará / aseguraremos / aseguraréis / asegurarán"
생각,certeza,f. 확실함; 확신,"tener la certeza : 확신하다

con total certeza : 전적으로 확실하게","1. No tengo la certeza de que sea así.

그렇다는 확신이 없다.

2. Lo sé con certeza.

확실히 알고 있다.

3. La certeza nos da seguridad.

확신은 우리에게 안정감을 준다.",
생각,cierto,a. 사실인; 어떤,"por cierto : 그건 그렇고 (화제 전환)

es cierto que... : ~은 사실이다","1. No es cierto lo que dicen.

그들이 말하는 건 사실이 아니다.

2. En cierto modo, tienes razón.

어떤 면에서는 네 말이 맞아.

3. Es cierto que hace frío.

추운 건 사실이다.",
생각,claro,a. 명확한; 맑은,"tener claro : 확실히 알다/이해하다

hablar claro : 솔직하게 말하다","1. ¿Está claro?

이해했니? (명확하니?)

2. Lo tengo muy claro.

나는 아주 확실히 알고 있다.

3. Para ser claros, no me gusta.

솔직히 말해서(명확히 하자면), 나는 안 좋아해.",
생각,coincidir,v. 일치하다; 동시에 일어나다; 동의하다,"coincidir en : ~에 의견이 일치하다

coincidir con : ~와 우연히 만나다/일치하다","1. Coincido contigo en ese punto.

그 점에 있어서 너와 의견이 같다.

2. Nuestras vacaciones coinciden.

우리 휴가가 겹친다.

3. Coincidí con él en el cine.

영화관에서 우연히 그를 만났다.","[현재]

coincido / coincides / coincide / coincidimos / coincidís / coinciden


[현재분사] : coincidiendo : [과거분사] : coincidido


[과거]

coincidí / coincidiste / coincidió / coincidimos / coincidisteis / coincidieron


[가정법]

coincidiría / coincidirías / coincidiría / coincidiríamos / coincidiríais / coincidirían


[접속법]

coincida / coincidas / coincida / coincidamos / coincidáis / coincidan


[미래]

coincidiré / coincidirás / coincidirá / coincidiremos / coincidiréis / coincidirán"
