챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
생물,abeja,f. 꿀벌,"trabajador como una abeja : 일벌레인

reina abeja : 여왕벌","1. La abeja produce miel.

꿀벌은 꿀을 생산한다.

2. Si te pica una abeja, duele mucho.

벌에 쏘이면 아주 아프다.

3. Trabaja todo el día como una abeja.

그는 꿀벌처럼 하루 종일 일한다.",
생물,águila,f. 독수리 (여성명사지만 el águila),"ser un águila : 통찰력이 있다 / 사업 수완이 좋다

vista de águila : 아주 좋은 시력","1. El águila vuela muy alto.

독수리는 매우 높이 난다.

2. Tiene vista de águila para los detalles.

그는 디테일을 보는 눈이 매섭다.

3. Es un águila para los negocios.

그는 사업 수완이 아주 좋다.",
생물,ala,f. 날개,"cortar las alas : 기를 꺾다 / 자유를 제한하다

bajo el ala de : ~의 보호 하에","1. El pájaro rompió su ala.

새가 날개를 다쳤다.

2. Quiero volar, pero me cortan las alas.

나는 날고 싶지만 그들이 내 기를 꺾는다.

3. El avión tiene dos alas grandes.

비행기는 두 개의 큰 날개를 가지고 있다.",
생물,alga,f. 해조류; 김/미역,"ensalada de algas : 해초 샐러드

alga marina : 바다 해조류","1. Hay muchas algas en la playa.

해변에 해조류가 많다.

2. El sushi se envuelve en alga.

초밥은 김(해조류)으로 감싼다.

3. Las algas producen oxígeno.

해조류는 산소를 생산한다.",
생물,araña,f. 거미,tela de araña : 거미줄,"1. Hay una araña en la esquina.

구석에 거미가 있다.

2. Las arañas tienen ocho patas.

거미는 다리가 여덟 개다.

3. Cayó en su tela de araña.

그는 그녀의 거미줄(함정)에 걸려들었다.",
생물,bacteria,f. 박테리아; 세균,"matar bacterias : 세균을 죽이다

infección por bacterias : 세균 감염","1. Las bacterias son microscópicas.

박테리아는 현미경으로만 보인다.

2. El yogur tiene bacterias buenas.

요거트에는 유익균이 있다.

3. Lávate para eliminar bacterias.

세균을 없애기 위해 씻어라.",
생물,ballena,f. 고래,"estar como una ballena : 뚱뚱하다 (모욕적)

ballena azul : 흰수염고래","1. Vimos una ballena en el mar.

우리는 바다에서 고래를 보았다.

2. La ballena es un mamífero, no un pez.

고래는 포유류지 물고기가 아니다.

3. Es el animal más grande del planeta.

그것은 지구상에서 가장 큰 동물이다.",
생물,coral,m. 산호; a. 주홍색의,"arrecife de coral : 산호초

color coral : 산호색","1. El coral vive en mares cálidos.

산호는 따뜻한 바다에 산다.

2. El arrecife de coral es hermoso.

산호초는 아름답다.

3. Me compré un collar de coral.

나는 산호 목걸이를 샀다.",
생물,delfín,m. 돌고래,ser el delfín : 후계자이다,"1. Los delfines son muy inteligentes.

돌고래는 매우 똑똑하다.

2. Nadar con delfines es mi sueño.

돌고래와 수영하는 게 내 꿈이다.

3. Nombró a su hijo como su delfín político.

그는 아들을 자신의 정치적 후계자로 지명했다.",
생물,esporas,f.pl. 포자; 홀씨,"soltar esporas : 포자를 방출하다

reproducirse por esporas : 포자로 번식하다","1. Los hongos se reproducen por esporas.

버섯은 포자로 번식한다.

2. Las esporas vuelan con el aire.

포자는 바람에 날아간다.

3. Algunas esporas causan alergia.

어떤 포자들은 알레르기를 유발한다.",
생물,gallina,f. 암탉,"piel de gallina : 소름 (닭살)

acostarse con las gallinas : 일찍 자다","1. Las gallinas ponen huevos.

암탉들은 알을 낳는다.

2. Se me puso la piel de gallina.

나는 소름이 돋았다.

3. No seas gallina y salta.

겁쟁이처럼 굴지 말고 뛰어.",
생물,hongo,m. 곰팡이; 버섯 (균류),"hongo nuclear : 버섯구름

coger hongos : 곰팡이 감염되다","1. Le salieron hongos en los pies.

그는 발에 무좀(곰팡이)이 생겼다.

2. Algunos hongos son comestibles.

어떤 버섯(균류)은 먹을 수 있다.

3. El hongo crece en la humedad.

곰팡이는 습기에서 자란다.",
생물,hormiga,f. 개미,ser una hormiguita : 저축을 잘하고 부지런한 사람,"1. Las hormigas trabajan en equipo.

개미들은 팀으로 일한다.

2. Es pequeña como una hormiga.

그것은 개미처럼 작다.

3. Ella es una hormiguita, ahorra todo lo que gana.

그녀는 개미처럼 부지런해서 버는 족족 저축한다.",
생물,insecto,m. 곤충,insecticida : 살충제,"1. Hay muchos insectos en verano.

여름에는 곤충이 많다.

2. Los insectos tienen seis patas.

곤충은 다리가 여섯 개다.

3. Algunos comen insectos como fuente de proteína.

어떤 사람들은 단백질원으로 곤충을 먹는다.",
생물,larva,f. 유충; 애벌레,"estado de larva : 유충 상태

larva de mosquito : 장구벌레","1. La larva se convierte en insecto.

유충은 곤충이 된다.

2. Encontré larvas en la fruta.

과일에서 애벌레를 발견했다.

3. Las larvas comen hojas.

유충들은 잎을 먹는다.",
생물,mariposa,f. 나비,"mariposas en el estómago : (설레서) 가슴이 울렁거림

a otra cosa, mariposa : 자, 다음 주제로 넘어가자","1. La mariposa tiene colores bonitos.

나비는 예쁜 색깔을 가지고 있다.

2. Siento mariposas en el estómago cuando lo veo.

그를 보면 가슴이 설렌다.

3. Bueno, terminamos esto. A otra cosa, mariposa.

자, 이건 끝났어. 다음으로 넘어가자.",
생물,medusa,f. 해파리,"picadura de medusa : 해파리 쏘임

Medusa (mitología) : 메두사","1. Cuidado con las medusas en el mar.

바다에서 해파리를 조심해라.

2. La medusa me picó en la pierna.

해파리가 내 다리를 쏘았다.

3. Las medusas son transparentes.

해파리는 투명하다.",
생물,mosca,f. 파리,"por si las moscas : 만약을 대비해서

estar con la mosca detrás de la oreja : 의심하다 / 찜찜하다","1. Hay una mosca en mi sopa.

내 수프에 파리가 있다.

2. Llévate el paraguas por si las moscas.

만약을 대비해서 우산을 가져가.

3. ¿Qué mosca te ha picado?

너 왜 그래? (무슨 파리가 널 쏘았니? - 갑자기 화내거나 이상할 때).",
생물,mosquito,m. 모기,picadura de mosquito : 모기 물린 곳,"1. Me ha picado un mosquito.

모기에 물렸다.

2. Los mosquitos transmiten enfermedades.

모기는 질병을 옮긴다.

3. No pude dormir por el ruido de un mosquito.

모기 소리 때문에 잠을 못 잤다.",
생물,nido,m. 둥지; 보금자리,"nido de amor : 신혼집/사랑의 보금자리

caerse del nido : 순진하다 (세상 물정 모르다)","1. Los pájaros construyen el nido.

새들이 둥지를 짓는다.

2. Hay huevos en el nido.

둥지에 알이 있다.

3. Volvió al nido familiar.

그는 본가(가족의 품)로 돌아왔다.",
생물,oruga,f. 애벌레 (나비/나방); 무한궤도,"oruga procesionaria : 송충이

tractor de orugas : 궤도 트랙터","1. La oruga se transforma en mariposa.

애벌레는 나비로 변한다.

2. La oruga come mucho.

애벌레는 많이 먹는다.

3. Es una oruga verde y peluda.

털이 많은 초록색 애벌레다.",
