챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
성격,abierto,a. 개방적인; 외향적인,"mente abierta : 열린 마음 / 개방적 사고

estar abierto a : ~에 열려 있다","1. Es una persona muy abierta.

그는 매우 개방적인 사람이다.

2. Tienes que tener la mente abierta para viajar.

여행하려면 열린 마음을 가져야 한다.

3. Estamos abiertos a nuevas propuestas.

우리는 새로운 제안에 열려 있다.",
성격,arrogante,a. 오만한; 건방진,"bajar los humos : 기를 죽이다 / 콧대를 꺾다

tono arrogante : 거만한 말투","1. No soporto a la gente arrogante.

나는 오만한 사람들을 참을 수 없다.

2. Me contestó de forma arrogante.

그는 나에게 건방지게 대답했다.

3. Su comportamiento arrogante le hizo perder amigos.

그의 오만한 행동은 친구들을 잃게 만들었다.",
성격,atrevido,a. 대담한; 뻔뻔한,"la fortuna sonríe a los audaces : 행운은 용감한 자에게 미소 짓는다

ser un atrevido : 겁이 없다 / 당돌하다","1. Es un diseño muy atrevido.

그것은 매우 파격적인 디자인이다.

2. Fue atrevido al saltar desde tan alto.

그렇게 높은 곳에서 뛰어내리다니 그는 대담했다.

3. No seas atrevido con tus superiores.

상사에게 당돌하게 굴지 마라.",
성격,callado,a. 조용한; 말이 없는,"agua mansa : 겉보기에 조용한 사람 (내면은 모름)

quedarse callado : 침묵하다","1. Es un niño muy callado.

그는 매우 말이 없는 아이다.

2. Mejor quédate callado si no sabes la respuesta.

답을 모르면 차라리 가만히 있어라.

3. Es callado, pero observa todo lo que pasa.

그는 조용하지만 일어나는 모든 일을 지켜본다.",
성격,carácter,m. 성격; 기질,"tener mal carácter : 성질이 나쁘다

de carácter fuerte : 기 센","1. Es una mujer de carácter dulce.

그녀는 성격이 상냥한 여자다.

2. Chocan porque ambos tienen mucho carácter.

둘 다 성격이 세서 부딪친다.

3. El carácter se forma durante la infancia.

성격은 유년기 동안 형성된다.",
성격,cariñoso,a. 다정한; 애정 어린,"ser un amor : 사랑둥이다 / 아주 다정하다

palabras cariñosas : 다정한 말","1. Es muy cariñoso con sus hijos.

그는 자녀들에게 매우 다정하다.

2. Me dio un abrazo cariñoso.

그는 나를 다정하게 안아주었다.

3. A los gatos les gusta que sean cariñosos con ellos.

고양이들은 사람들이 자신에게 다정하게 대하는 것을 좋아한다.",
성격,cerrado,a. 폐쇄적인; 꽉 막힌,"mente cerrada : 꽉 막힌 사고

cerrado de mollera : 이해력이 부족한 / 고집 센","1. Es muy cerrado, no cuenta nada de su vida.

그는 매우 폐쇄적이라 자기 삶에 대해 아무것도 말하지 않는다.

2. Tiene una mentalidad muy cerrada.

그는 매우 꽉 막힌 사고방식을 가지고 있다.

3. En este pueblo la gente es un poco cerrada con los extraños.

이 마을 사람들은 낯선 사람들에게 다소 폐쇄적이다.",
성격,comportarse,v. 행동하다; 처신하다,"comportarse bien/mal : 행동을 잘/못 하다 (예의 바르게/버릇없게)

saber estar : 처신할 줄 알다","1. Los niños se comportaron muy bien en la cena.

아이들은 저녁 식사 때 아주 얌전하게 행동했다.

2. No te comportes como un bebé.

아기처럼 행동하지 마.

3. Se comportó de manera extraña ayer.

그는 어제 이상하게 행동했다.","[현재]

me comporto / te comportas / se comporta / nos comportamos / os comportáis / se comportan


[현재분사] : comportándose : [과거분사] : comportado


[과거]

me comporté / te comportaste / se comportó / nos comportamos / os comportasteis / se comportaron


[가정법]

me comportaría / te comportarías / se comportaría / nos comportaríamos / os comportaríais / se comportarían


[접속법]

me comporte / te comportes / se comporte / nos comportemos / os comportéis / se comporten


[미래]

me comportaré / te comportarás / se comportará / nos comportaremos / os comportaréis / se comportarán"
성격,cualidad,f. 장점; 자질; 특성,"cualidades y defectos : 장단점

tener madera de : ~의 자질이 있다","1. La paciencia es su mejor cualidad.

인내심은 그의 가장 큰 장점이다.

2. Busco a alguien con cualidades de líder.

나는 리더의 자질을 갖춘 사람을 찾고 있다.

3. Debemos potenciar nuestras cualidades positivas.

우리는 우리의 긍정적인 특성을 발전시켜야 한다.",
성격,curioso,a. 호기심 많은; 신기한,"la curiosidad mató al gato : 호기심이 고양이를 죽인다 (지나친 호기심은 화를 부른다)

dato curioso : 흥미로운 사실","1. Los niños son curiosos por naturaleza.

아이들은 본래 호기심이 많다.

2. Es curioso que no haya venido hoy.

그가 오늘 오지 않은 것은 이상하다(신기하다).

3. Tengo curiosidad por saber qué pasó.

무슨 일이 있었는지 궁금하다.",
