챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
쇼핑,artículo,m. 물품; 기사,"artículo de lujo : 사치품

artículos de papelería : 문구류","1. No se admiten devoluciones de este artículo.

이 물품은 반품이 안 된다.

2. Busco artículos de viaje.

여행 용품을 찾고 있다.

3. Es el artículo más vendido.

가장 많이 팔린 품목이다.",
쇼핑,barato,a. 싼; 저렴한,"salir barato : 싸게 먹히다

lo barato sale caro : 싼 게 비지떡","1. Este restaurante es muy barato.

이 식당은 매우 싸다.

2. Busco un hotel barato y céntrico.

나는 싸고 시내에 있는 호텔을 찾고 있다.

3. Es más barato viajar en temporada baja.

비수기에 여행하는 것이 더 저렴하다.",
쇼핑,básico,a. 기본적인; 필수적인,"productos básicos : 생필품

ropa básica : 기본 의류","1. Compramos productos básicos: leche y pan.

우리는 우유와 빵 같은 생필품을 샀다.

2. Es una camiseta básica.

기본 티셔츠다.

3. El precio básico es diez euros.

기본 가격은 10유로다.",
쇼핑,caja,f. 계산대; 상자,"pasar por caja : 계산하다

caja rápida : 소량 계산대","1. Hay mucha cola en la caja.

계산대에 줄이 길다.

2. ¿Puedo pagar en esta caja?

이 계산대에서 계산해도 되나요?

3. La caja fuerte está cerrada.

금고가 잠겨 있다.",
쇼핑,calidad,f. 품질,"calidad-precio : 가성비

alta calidad : 고품질","1. La calidad es excelente.

품질이 훌륭하다.

2. Prefiero calidad a cantidad.

나는 양보다 질을 선호한다.

3. Tiene buena relación calidad-precio.

가성비가 좋다.",
쇼핑,cambiar,v. 교환하다; 바꾸다,"cambiar de talla : 사이즈를 바꾸다

cambiar por otro : 다른 것으로 교환하다","1. Quiero cambiar esto por una talla más grande.

이걸 더 큰 사이즈로 교환하고 싶어요.

2. ¿Puedo cambiarlo si no me queda bien?

안 맞으면 교환할 수 있나요?

3. Solo cambian, no devuelven dinero.

교환만 되고 환불은 안 된다.","[현재]

cambio / cambias / cambia / cambiamos / cambiáis / cambian


[현재분사] : cambiando : [과거분사] : cambiado


[과거]

cambié / cambiaste / cambió / cambiamos / cambiasteis / cambiaron


[가정법]

cambiaría / cambiarías / cambiaría / cambiaríamos / cambiaríais / cambiarían


[접속법]

cambie / cambies / cambie / cambiemos / cambiéis / cambien


[미래]

cambiaré / cambiarás / cambiará / cambiaremos / cambiaréis / cambiarán"
쇼핑,cancelación,f. 취소,"política de cancelación : 취소 정책

gastos de cancelación : 취소 수수료","1. La cancelación es gratuita.

취소는 무료다.

2. Recibí el aviso de cancelación.

취소 통지를 받았다.

3. Hubo muchas cancelaciones de vuelos.

많은 비행기 취소가 있었다.",
쇼핑,caro,a. 비싼,"costar caro : 비싸다 / 대가를 치르다

ser caro de ver : 얼굴 보기 힘들다 (비유)","1. La vida en esta ciudad es muy cara.

이 도시의 생활비는 매우 비싸다.

2. Es demasiado caro para mí.

그건 나한테 너무 비싸다.

3. Los errores pueden salir muy caros.

실수는 매우 비싼 대가를 치를 수 있다.",
쇼핑,carrito,m. 카트; 유모차,"carrito de la compra : 쇼핑카트

empujar el carrito : 카트를 밀다","1. Necesito una moneda para el carrito.

카트에 넣을 동전이 필요하다.

2. El carrito tiene una rueda rota.

카트 바퀴 하나가 고장 났다.

3. Llena el carrito con comida.

카트를 음식으로 채워라.",
쇼핑,centro comercial,m. 쇼핑몰; 백화점,"ir al centro comercial : 쇼핑몰에 가다

quedar en el centro comercial : 쇼핑몰에서 만나다","1. Pasamos la tarde en el centro comercial.

우리는 오후를 쇼핑몰에서 보냈다.

2. El centro comercial tiene cine.

쇼핑몰에 영화관이 있다.

3. Hay muchas tiendas en el centro comercial.

쇼핑몰에는 가게가 많다.",
쇼핑,cesta,f. 바구니,"cesta de la compra : 장바구니

cesta de Navidad : 크리스마스 선물 바구니","1. Coge una cesta para la compra.

장 보게 바구니 하나 가져와.

2. La cesta está llena.

바구니가 꽉 찼다.

3. Añadir a la cesta (online).

장바구니에 담기 (온라인).",
쇼핑,código,m. 코드; 암호,"código de barras : 바코드

código promocional : 프로모션 코드","1. El escáner lee el código de barras.

스캐너가 바코드를 읽는다.

2. Introduce el código de descuento.

할인 코드를 입력해라.

3. No encuentro el código.

코드를 못 찾겠다.",
