챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
숙박,albergue,m. 쉼터; (순례자) 숙소,"albergue de peregrinos : 순례자 숙소

albergue juvenil : 유스호스텔","1. Dormimos en un albergue en el Camino de Santiago.

우리는 산티아고 순례길의 알베르게에서 잤다.

2. El albergue tiene habitaciones compartidas.

그 숙소는 공용 침실(도미토리)이 있다.

3. Es un albergue para gente sin hogar.

이곳은 노숙자를 위한 쉼터다.",
숙박,alojamiento,m. 숙소; 숙박,"buscar alojamiento : 숙소를 찾다

alojamiento y desayuno : B&B (조식 포함 숙박)","1. El alojamiento es muy caro en el centro.

시내 숙소는 매우 비싸다.

2. Ya tenemos reservado el alojamiento.

우리는 이미 숙소 예약이 되어 있다.

3. Ofrecen alojamiento gratuito a los voluntarios.

그들은 자원봉사자들에게 무료 숙박을 제공한다.",
숙박,camping,m. 캠핑장; 야영,"ir de camping : 캠핑 가다

gas de camping : 캠핑용 가스","1. Me gusta ir de camping en verano.

나는 여름에 캠핑 가는 것을 좋아한다.

2. El camping tiene piscina y duchas.

캠핑장에는 수영장과 샤워실이 있다.

3. Montamos la tienda en el camping.

우리는 캠핑장에 텐트를 쳤다.",
숙박,castillo,m. 성,"castillo de arena : 모래성

castillos en el aire : 허황된 꿈/공상","1. Visitamos un castillo medieval.

우리는 중세 성을 방문했다.

2. El castillo está en lo alto de la colina.

성은 언덕 꼭대기에 있다.

3. El rey vivía en el castillo.

왕은 성에 살았다.",
숙박,catedral,f. 대성당,"catedral gótica : 고딕 양식 대성당

plaza de la catedral : 대성당 광장","1. La catedral es el edificio más alto.

대성당은 가장 높은 건물이다.

2. Subimos a la torre de la catedral.

우리는 대성당 탑에 올라갔다.

3. La catedral de Sevilla es impresionante.

세비야 대성당은 인상적이다.",
숙박,conserje,m. 수위; 관리인; (호텔) 컨시어지,"preguntar al conserje : 수위/컨시어지에게 묻다

conserje de noche : 야간 당직","1. El conserje del hotel nos recomendó un restaurante.

호텔 컨시어지가 우리에게 식당을 추천해 주었다.

2. Deja las llaves al conserje.

관리인에게 열쇠를 맡겨라.

3. El conserje nos ayudó con las maletas.

컨시어지가 우리 짐을 도와주었다.",
숙박,gimnasio,m. 헬스장; 체육관,"ir al gimnasio : 헬스장에 가다

socio del gimnasio : 헬스장 회원","1. Voy al gimnasio cada día.

나는 매일 헬스장에 간다.

2. El gimnasio tiene máquinas nuevas.

헬스장에 새 기계들이 있다.

3. Se apuntó al gimnasio.

그는 헬스장에 등록했다.",
숙박,hostal,m. 호스텔; 저렴한 여관,"hostal juvenil : 유스호스텔

quedarse en un hostal : 호스텔에 묵다","1. Nos quedamos en un hostal barato.

우리는 저렴한 호스텔에 묵었다.

2. El hostal estaba limpio y céntrico.

호스텔은 깨끗하고 시내 중심에 있었다.

3. Prefiero un hotel a un hostal.

나는 호스텔보다 호텔을 선호한다.",
숙박,hotel,m. 호텔,"hotel de cinco estrellas : 5성급 호텔

registrarse en el hotel : 호텔에 체크인하다","1. Nos alojamos en un hotel céntrico.

우리는 시내 중심가 호텔에 묵는다.

2. La habitación del hotel tiene vistas al mar.

호텔 방은 바다 전망이다.

3. Reservé el hotel por internet porque era más barato.

더 저렴해서 인터넷으로 호텔을 예약했다.",
숙박,limpieza,f. 청소; 청결,"servicio de limpieza : 청소 서비스

hacer limpieza : 청소하다","1. La limpieza es importante.

청결은 중요하다.

2. Hacen la limpieza por la mañana.

그들은 아침에 청소를 한다.

3. Cobra por horas de limpieza.

그녀는 청소 시간당 보수를 받는다.",
