챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
식당,camarero,m. 웨이터; 종업원,"dar propina al camarero : 웨이터에게 팁을 주다

¡Camarero! : (웨이터를 부를 때) 여기요!","1. El camarero nos trajo el menú.

웨이터가 우리에게 메뉴판을 가져다주었다.

2. Trabajó como camarero durante el verano.

그는 여름 동안 웨이터로 일했다.

3. Pregúntale al camarero qué nos recomienda.

웨이터에게 무엇을 추천하는지 물어봐라.",
식당,carta,f. 메뉴판; 편지,"comer a la carta : 단품 요리를 주문해서 먹다

carta de vinos : 와인 리스트","1. Prefiero pedir a la carta que el menú.

나는 세트 메뉴보다 단품으로 시키는 것을 선호한다.

2. La carta tiene mucha variedad de platos.

메뉴판에는 아주 다양한 요리가 있다.

3. ¿Tienen la carta en inglés?

영어 메뉴판 있나요?",
식당,cliente,m.f. 고객; 손님,"atención al cliente : 고객 서비스

cliente habitual : 단골손님","1. El cliente siempre tiene la razón.

고객은 왕이다 (항상 옳다).

2. Soy cliente de esta tienda desde hace años.

나는 몇 년째 이 가게 손님이다.

3. Tratamos bien a nuestros clientes.

우리는 고객을 잘 대우한다.",
식당,copa,f. 와인 잔; 칵테일 잔,"copa de vino : 와인 잔

ir de copas : 술 마시러 다니다","1. Sirve el vino en la copa.

와인 잔에 와인을 따라라.

2. Rompió la copa sin querer.

그는 실수로 잔을 깼다.

3. Alzaron sus copas para brindar.

그들은 건배하기 위해 잔을 들어 올렸다.",
식당,cuenta,f. 계산서; 계좌,"pedir la cuenta : 계산서를 요청하다

cuenta bancaria : 은행 계좌","1. La cuenta, por favor.

계산서 주세요.

2. Pagamos la cuenta a medias.

우리는 계산서를 반반씩 나눠 냈다.

3. Revisa la cuenta para ver si está todo correcto.

모든 게 맞는지 계산서를 확인해라.",
식당,dieta,f. 식단; 다이어트,"estar a dieta : 다이어트 중이다

dieta equilibrada : 균형 잡힌 식단","1. Estoy a dieta para adelgazar.

나는 살을 빼기 위해 다이어트 중이다.

2. La dieta mediterránea es muy saludable.

지중해식 식단은 매우 건강하다.

3. El médico me puso una dieta estricta.

의사는 나에게 엄격한 식단을 처방했다.",
식당,menú,m. 메뉴; 식단,"menú del día : 오늘의 메뉴 (세트 메뉴)

menú infantil : 어린이 메뉴","1. ¿Me trae el menú, por favor?

메뉴판 좀 가져다주시겠어요?

2. El menú del día incluye bebida y postre.

오늘의 메뉴에는 음료와 디저트가 포함된다.

3. No sé qué elegir del menú.

메뉴에서 무엇을 고를지 모르겠다.",
식당,pagar,v. 지불하다; 돈을 내다,"pagar en efectivo : 현금으로 내다

pagar con tarjeta : 카드로 내다","1. ¿Puedo pagar con tarjeta?

카드로 계산할 수 있나요?

2. Yo pago esta ronda.

이번 차례는 내가 낼게.

3. Tienes que pagar la matrícula antes del viernes.

금요일 전까지 등록금을 납부해야 한다.","[현재]

pago / pagas / paga / pagamos / pagáis / pagan


[현재분사] : pagando : [과거분사] : pagado


[과거]

pagué / pagaste / pagó / pagamos / pagasteis / pagaron


[가정법]

pagaría / pagarías / pagaría / pagaríamos / pagaríais / pagarían


[접속법]

pague / pagues / pague / paguemos / paguéis / paguen


[미래]

pagaré / pagarás / pagará / pagaremos / pagaréis / pagarán"
식당,plato,m. 접시; 요리,"plato principal : 메인 요리

lavar los platos : 설거지하다","1. El plato está sucio.

접시가 더럽다.

2. ¿Cuál es el plato típico de esta región?

이 지역의 대표 요리는 무엇입니까?

3. Rompió un plato mientras fregaba.

그는 설거지하다가 접시를 깼다.",
식당,propina,f. 팁; 사례금,"dejar propina : 팁을 남기다

dar propina : 용돈을 주다 (아이들에게)","1. En Estados Unidos la propina es obligatoria.

미국에서는 팁이 의무적이다.

2. Le dejamos una buena propina al camarero.

우리는 웨이터에게 팁을 넉넉히 남겼다.

3. ¿La propina está incluida en la cuenta?

계산서에 봉사료가 포함되어 있나요?",
