챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
식사,ácido,a. 신; 시큼한; m. 산,"lluvia ácida : 산성비

fruta ácida : 신 과일","1. El limón es muy ácido.

레몬은 매우 시다.

2. Esta manzana tiene un toque ácido.

이 사과는 약간 신맛이 난다.

3. El yogur natural suele ser un poco ácido.

플레인 요거트는 보통 조금 시큼하다.",
식사,agua,f. 물,"agua mineral : 생수

agua con gas / sin gas : 탄산수 / 일반 생수","1. Dame un vaso de agua, por favor.

물 한 잔만 줘.

2. El agua del grifo es potable.

수돗물은 마실 수 있다.

3. Hay que beber dos litros de agua al día.

하루에 물 2리터를 마셔야 한다.",
식사,almorzar,v. 점심을 먹다,,"1. Almuerzo a las dos de la tarde.

나는 오후 2시에 점심을 먹는다.

2. Hoy hemos almorzado paella.

오늘 우리는 빠에야를 점심으로 먹었다.

3. ¿Te gustaría almorzar conmigo mañana?

내일 나랑 같이 점심 먹을래?","[현재]

almuerzo / almuerzas / almuerza / almorzamos / almorzáis / almuerzan


[현재분사] : almorzando : [과거분사] : almorzado


[과거]

almorcé / almorzaste / almorzó / almorzamos / almorzasteis / almorzaron


[가정법]

almorzaría / almorzarías / almorzaría / almorzaríamos / almorzaríais / almorzarían


[접속법]

almuerce / almuerces / almuerce / almorcemos / almorcéis / almuercen


[미래]

almorzaré / almorzarás / almorzará / almorzaremos / almorzaréis / almorzarán"
식사,amargo,a. 쓴; 쓰라린,"sabor amargo : 쓴맛

trago amargo : 쓴잔 / 괴로운 경험","1. El café sin azúcar es amargo.

설탕 없는 커피는 쓰다.

2. Me gusta el chocolate amargo.

나는 다크 초콜릿(쓴 초콜릿)을 좋아한다.

3. Se fue con un sabor amargo tras la derrota.

패배 후 그는 씁쓸한 기분으로 떠났다.",
식사,bebida,f. 음료; 마실 것,"bebida alcohólica : 주류

bebida refrescante : 청량음료","1. ¿Qué bebida desea?

어떤 음료를 원하십니까?

2. No se permiten bebidas en la biblioteca.

도서관 내 음료 반입은 허용되지 않는다.

3. Es importante hidratarse con bebidas isotónicas tras el ejercicio.

운동 후 이온 음료로 수분을 보충하는 것은 중요하다.",
식사,borracho,a. 술 취한; m. 주정뱅이,"estar borracho : 취하다

borracho como una cuba : 고주망태가 된","1. Bebió demasiado y está borracho.

그는 너무 많이 마셔서 취했다.

2. No conduzcas si estás borracho.

취했다면 운전하지 마라.

3. Se puso borracho con solo dos copas.

그는 단 두 잔 만에 취했다.",
식사,café,m. 커피; 카페,"café con leche : 라떼/밀크커피

café solo : 에스프레소/블랙커피","1. Tomo una taza de café por la mañana.

나는 아침에 커피 한 잔을 마신다.

2. ¿Quieres quedar para tomar un café?

커피 한잔하러 만날래?

3. El café de Colombia tiene fama mundial.

콜롬비아 커피는 세계적인 명성을 가지고 있다.",
식사,cerveza,f. 맥주,"una caña de cerveza : 생맥주 한 잔 (작은 잔)

cerveza artesanal : 수제 맥주","1. Vamos a tomar una cerveza.

맥주 한잔하러 가자.

2. La cerveza está muy fría.

맥주가 아주 차갑다.

3. En Alemania se bebe mucha cerveza.

독일에서는 맥주를 많이 마신다.",
식사,comida,f. 음식; 식사; 점심,"comida rápida : 패스트푸드

hacer la comida : 요리하다/밥을 하다","1. La comida española es deliciosa.

스페인 음식은 맛있다.

2. La comida está lista.

식사가 준비되었다.

3. Es importante hacer tres comidas completas al día.

하루에 세 끼를 든든하게 먹는 것이 중요하다.",
식사,desayunar,v. 아침 식사를 하다,,"1. Desayuno tostadas y café.

나는 토스트와 커피로 아침을 먹는다.

2. ¿A qué hora desayunaste hoy?

너 오늘 몇 시에 아침 먹었니?

3. Es raro que desayune fuera de casa entre semana.

주중에 집 밖에서 아침을 먹는 일은 드물다.","[현재]

desayuno / desayunas / desayuna / desayunamos / desayunáis / desayunan


[현재분사] : desayunando : [과거분사] : desayunado


[과거]

desayuné / desayunaste / desayunó / desayunamos / desayunasteis / desayunaron


[가정법]

desayunaría / desayunarías / desayunaría / desayunaríamos / desayunaríais / desayunarían


[접속법]

desayune / desayunes / desayune / desayunemos / desayunéis / desayunen


[미래]

desayunaré / desayunarás / desayunará / desayunaremos / desayunaréis / desayunarán"
