챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
식품,aceite,m. 기름; 오일,"aceite de oliva : 올리브유

aceite virgen extra : 엑스트라 버진 오일","1. España produce mucho aceite de oliva.

스페인은 올리브유를 많이 생산한다.

2. Fríe las patatas en aceite caliente.

뜨거운 기름에 감자를 튀겨라.

3. Echa un chorrito de aceite a la ensalada.

샐러드에 오일을 조금 뿌려라.",
식품,alimento,m. 식량; 식품; 영양물,"alimentos transgénicos : 유전자 변형 식품

intoxicación por alimentos : 식중독","1. La leche es un alimento completo.

우유는 완전 식품이다.

2. Debemos conservar los alimentos en la nevera.

우리는 식품을 냉장고에 보관해야 한다.

3. El derecho a la alimentación es un derecho humano básico.

식량권은 기본적인 인권이다.",
식품,arroz,m. 쌀; 밥,"arroz con leche : 쌀 푸딩 (디저트)

paella de arroz : 쌀 빠에야","1. Los asiáticos comen mucho arroz.

아시아인들은 쌀을 많이 먹는다.

2. El arroz no se pasa si usas la marca adecuada.

적절한 브랜드를 사용하면 쌀이 불지 않는다.

3. Hay muchas formas diferentes de cocinar el arroz.

쌀을 요리하는 방법은 아주 다양하다.",
식품,arveja,f. 완두콩 (주로 중남미),"sopa de arvejas : 완두콩 수프

latas de arvejas : 완두콩 캔","1. Pon arvejas en el arroz.

밥에 완두콩을 넣어라.

2. Las arvejas son verdes.

완두콩은 초록색이다.

3. Compré arvejas congeladas.

냉동 완두콩을 샀다.",
식품,atún,m. 참치,"lata de atún : 참치 캔

atún rojo : 참다랑어","1. Me gusta la ensalada con atún.

나는 참치가 들어간 샐러드를 좋아한다.

2. El atún es un pescado azul.

참치는 등 푸른 생선이다.

3. Preparó un tartar de atún exquisito.

그는 훌륭한 참치 타르타르를 준비했다.",
식품,avena,f. 귀리; 오트밀,"copos de avena : 오트밀 플레이크

leche de avena : 귀리 우유","1. Desayuno avena con leche.

아침으로 우유에 귀리를 먹는다.

2. La avena baja el colesterol.

귀리는 콜레스테롤을 낮춘다.

3. Haz galletas de avena.

귀리 쿠키를 만들어라.",
식품,azúcar,m. 설탕,"azúcar moreno : 흑설탕

terrón de azúcar : 각설탕","1. ¿Tomo el café con azúcar o sin azúcar?

커피에 설탕 넣어 드시나요, 안 넣어 드시나요?

2. El exceso de azúcar es malo para la salud.

과도한 설탕은 건강에 해롭다.

3. Espolvorea azúcar glas sobre el pastel.

케이크 위에 슈가 파우더를 뿌려라.",
식품,caldo,m. 국물; 육수,"caldo de pollo : 닭 육수

caldo de cultivo : (비유) 온상 (세균/나쁜 일의)","1. Prepara un caldo para la sopa.

수프용 육수를 준비해라.

2. El caldo está caliente.

국물이 뜨겁다.

3. Bebe caldo cuando estés enfermo.

아플 때는 육수(국물)를 마셔라.",
식품,carne,f. 고기; 살; 육체,"carne de vaca/ternera : 소고기

en carne y hueso : 실물로 / 직접","1. No como mucha carne.

나는 고기를 많이 먹지 않는다.

2. Prefiero la carne muy hecha.

나는 고기를 웰던으로(바싹) 익히는 걸 선호한다.

3. El precio de la carne ha subido últimamente.

최근 고기 가격이 올랐다.",
식품,cebada,f. 보리,"grano de cebada : 보리 알

cerveza de cebada : 보리 맥주","1. La cerveza se hace con cebada.

맥주는 보리로 만든다.

2. Cultivan cebada en el campo.

그들은 들판에서 보리를 재배한다.

3. Pan de cebada.

보리빵.",
식품,chocolate,m. 초콜릿,"chocolate con churros : 추로스와 핫초코

tableta de chocolate : 초콜릿 바/판 초콜릿","1. El chocolate suizo es el mejor.

스위스 초콜릿이 최고다.

2. Me regaló una caja de bombones de chocolate.

그는 나에게 초콜릿 한 상자를 선물했다.

3. Beber chocolate caliente en invierno es un placer.

겨울에 핫초코를 마시는 것은 기쁨이다.",
식품,chorizo,m. 초리소(스페인 소시지); (속어)도둑,"chorizo picante : 매운 초리소

pan con chorizo : 초리소를 곁들인 빵","1. El chorizo da mucho sabor a las lentejas.

초리소는 렌틸콩 요리에 풍미를 더해준다.

2. Compramos chorizo para la barbacoa.

우리는 바비큐용으로 초리소를 샀다.

3. Hay que cocinar bien el chorizo antes de comerlo.

초리소는 먹기 전에 잘 익혀야 한다.",
식품,frijol,m. 강낭콩; 콩 (주로 중남미),"frijoles negros : 검은콩

arroz con frijoles : 콩밥","1. En México comen muchos frijoles.

멕시코에서는 콩을 많이 먹는다.

2. Prepara frijoles refritos.

으깬 콩 요리를 준비해라.

3. Los frijoles son nutritivos.

콩은 영양가가 높다.",
식품,gamba,f. 새우,"gambas al ajillo : 새우 마늘 볶음 (감바스)

meter la gamba : 실수하다 (관용구)","1. Pedimos una ración de gambas.

우리는 새우 1인분을 주문했다.

2. Las gambas a la plancha están deliciosas.

철판에 구운 새우는 맛있다.

3. Hay que pelar las gambas antes de comerlas.

새우는 먹기 전에 껍질을 까야 한다.",
식품,garbanzo,m. 병아리콩,"garbanzo negro : 미운 오리 새끼 (집단의 골칫거리)

potaje de garbanzos : 병아리콩 스튜","1. El cocido lleva garbanzos.

고기 스튜에는 병아리콩이 들어간다.

2. Me gusta el humus de garbanzo.

나는 병아리콩 후무스를 좋아한다.

3. Compra un bote de garbanzos.

병아리콩 통조림 하나 사와.",
식품,huevo,m. 달걀; 알,"huevo frito : 계란 프라이

huevo duro : 삶은 계란","1. Necesito dos huevos para la tortilla.

오믈렛을 만드는 데 계란 두 개가 필요하다.

2. ¿Cómo quieres los huevos?

계란을 어떻게 해줄까?

3. No pongas todos los huevos en la misma cesta.

모든 계란을 한 바구니에 담지 마라 (분산 투자하라).",
