챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
신체,arteria,f. 동맥; 주요 도로,"arteria principal : 대동맥 / 간선 도로

tensión arterial : 혈압","1. La arteria lleva sangre con oxígeno.

동맥은 산소가 든 피를 나른다.

2. Se cortó una arteria.

그는 동맥을 베었다.

3. Esta calle es una arteria de la ciudad.

이 거리는 도시의 주요 도로다.",
신체,barba,f. 턱수염,"hacer la barba : 면도하다

barba cerrada : 숱이 많은 수염","1. Se dejó crecer la barba.

그는 턱수염을 길렀다.

2. Tiene la barba canosa.

그는 수염이 희끗희끗하다.

3. La barba le da un aspecto más maduro.

수염은 그를 더 성숙해 보이게 한다.",
신체,barbilla,f. 턱 (끝부분),tocarse la barbilla : 생각에 잠기다,"1. Se golpeó la barbilla.

그는 턱을 부딪혔다.

2. Tiene un hoyuelo en la barbilla.

그는 턱에 보조개가 있다.

3. Levantó la barbilla con orgullo.

그는 자랑스럽게 턱을 치켜들었다.",
신체,bazo,m. 비장; 지라,"reírse el bazo : (옛 표현) 크게 웃다

golpe en el bazo : 비장에 타격","1. El bazo filtra la sangre.

비장은 혈액을 필터링한다.

2. Se rompió el bazo en el accidente.

그는 사고로 비장이 파열되었다.

3. El bazo es parte del sistema linfático.

비장은 림프계의 일부다.",
신체,bigote,m. 콧수염,"mover el bigote : (속어) 먹다

bigote postizo : 가짜 수염","1. Mi padre tiene bigote.

아버지는 콧수염이 있다.

2. Se afeitó el bigote ayer.

그는 어제 콧수염을 깎았다.

3. El gato se limpia los bigotes.

고양이가 수염을 닦는다.",
신체,boca,f. 입; 입구,"boca abajo : 엎드려서

boca abierta : 놀라서","1. Cierra la boca al comer.

먹을 땐 입을 다물어라.

2. Está en la boca del lobo.

위험한 곳에 있다.

3. En boca cerrada no entran moscas.

침묵은 금이다.",
신체,brazo,m. 팔,"brazo derecho : 심복 (오른팔)

dar su brazo a torcer : 굽히다","1. Levanta el brazo.

팔을 들어라.

2. Me recibió con los brazos abiertos.

두 팔 벌려 환영했다.

3. No des tu brazo a torcer.

네 뜻을 굽히지 마라.",
신체,cabello,m. 머리카락; 털,"tirarse de los cabellos : (절망해서) 머리를 쥐어뜯다

cabello de ángel : (요리용) 호박 채","1. Tienes el cabello muy largo.

너는 머리카락이 아주 길다.

2. Se tiñó el cabello de rubio.

그녀는 머리를 금발로 염색했다.

3. El cabello requiere cuidados especiales en verano.

여름철에는 머리카락에 특별한 관리가 필요하다.",
신체,cabeza,f. 머리; 우두머리,"dolor de cabeza : 두통

perder la cabeza : 이성을 잃다","1. Usa sombrero en la cabeza.

머리에 모자를 써라.

2. Ella es la cabeza de familia.

그녀는 가장이다.

3. No tiene ni pies ni cabeza.

그것은 터무니없다.",
신체,cadera,f. 엉덩이; 골반,"mover las caderas : 춤추다

displasia de cadera : 고관절 이형성증","1. Le duelen las caderas al caminar.

걸을 때 골반이 아프다.

2. Bailaba moviendo las caderas.

그녀는 골반을 흔들며 춤췄다.

3. Se rompió la cadera en la caída.

넘어져서 고관절이 부러졌다.",
신체,cara,f. 얼굴; 표면,"dar la cara : 책임을 지다

echar en cara : 비난하다","1. Lávate la cara.

세수해라.

2. Me suena tu cara.

네 얼굴이 낯이 익다.

3. Es la otra cara de la moneda.

그것은 동전의 이면이다.",
