챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
언론,aplicación,f. 앱; 어플리케이션,"bajar una aplicación : 앱을 다운받다

app : 앱 (약어)","1. Uso una aplicación para aprender idiomas.

나는 언어 학습 앱을 사용한다.

2. Esta aplicación es muy útil.

이 앱은 매우 유용하다.

3. Actualiza la aplicación.

앱을 업데이트해라.",
언론,canal,m. 채널; 수로,"cambiar de canal : 채널을 돌리다

canal de YouTube : 유튜브 채널","1. ¿Qué ponen en el canal cinco?

5번 채널에서 뭐 하니?

2. No me gusta este canal.

나는 이 채널이 싫다.

3. Suscríbete a mi canal.

내 채널을 구독해라.",
언론,chat,m. 채팅; 수다,"grupo de chat : 채팅방

entrar en el chat : 채팅에 참여하다","1. Hablamos por el chat.

우리는 채팅으로 대화한다.

2. El chat está activo.

채팅방이 활발하다.

3. Mándamelo por el chat.

채팅으로 나에게 보내줘.",
언론,compartir,v. 공유하다; 나누다,"compartir pantalla : 화면을 공유하다

compartir piso : 룸쉐어하다","1. Comparte este vídeo con tus amigos.

이 영상을 친구들과 공유해라.

2. Me gusta compartir mis viajes.

나는 내 여행을 공유하는 것을 좋아한다.

3. Compartimos la misma opinión.

우리는 같은 의견을 공유한다.","[현재]

comparto / compartes / comparte / compartimos / compartís / comparten


[현재분사] : compartiendo : [과거분사] : compartido


[과거]

compartí / compartiste / compartió / compartimos / compartisteis / compartieron


[가정법]

compartiría / compartirías / compartiría / compartiríamos / compartiríais / compartirían


[접속법]

comparta / compartas / comparta / compartamos / compartáis / compartan


[미래]

compartiré / compartirás / compartirá / compartiremos / compartiréis / compartirán"
언론,conexión,f. 연결; 접속,"conexión wifi : 와이파이 연결

perder la conexión : 연결이 끊기다","1. La conexión es mala aquí.

여기는 연결이 안 좋다.

2. No tengo conexión de datos.

데이터 연결이 안 된다.

3. Comprueba la conexión del cable.

케이블 연결을 확인해라.",
언론,contraseña,f. 비밀번호,"contraseña segura : 안전한 비밀번호

cambiar la contraseña : 비밀번호를 바꾸다","1. Escribe la contraseña.

비밀번호를 써라.

2. La contraseña es incorrecta.

비밀번호가 틀렸다.

3. No compartas tu contraseña.

비밀번호를 공유하지 마라.",
언론,descargar,v. 다운로드하다,"descarga gratuita : 무료 다운로드

descargar legalmente : 합법적으로 다운받다","1. Puedes descargar la película aquí.

여기서 영화를 다운받을 수 있다.

2. Estoy descargando el archivo.

파일을 다운로드 중이다.

3. Descarga la aplicación en tu móvil.

앱을 핸드폰에 다운로드해라.","[현재]

descargo / descargas / descarga / descargamos / descargáis / descargan


[현재분사] : descargando : [과거분사] : descargado


[과거]

descargué / descargaste / descargó / descargamos / descargasteis / descargaron


[가정법]

descargaría / descargarías / descargaría / descargaríamos / descargaríais / descargarían


[접속법]

descargue / descargues / descargue / descarguemos / descarguéis / descarguen


[미래]

descargaré / descargarás / descargará / descargaremos / descargaréis / descargarán"
언론,documental,m. 다큐멘터리,"documental de animales : 동물 다큐멘터리

ver un documental : 다큐멘터리를 보다","1. Aprendí mucho con el documental.

나는 다큐멘터리로 많이 배웠다.

2. Es un documental sobre la historia.

역사에 관한 다큐멘터리다.

3. Prefiero los documentales a las series.

나는 드라마보다 다큐멘터리를 선호한다.",
언론,enlace,m. 링크; 연결,"pinchar en el enlace : 링크를 클릭하다

enlace roto : 깨진 링크","1. Te mando el enlace por mensaje.

링크를 메시지로 보낼게.

2. Abre el enlace para ver la noticia.

뉴스를 보려면 링크를 열어라.

3. Copia y pega el enlace.

링크를 복사해서 붙여넣어라.",
언론,foto,f. 사진,"sacar una foto : 사진을 찍다

foto de carné : 증명사진","1. ¿Me puedes hacer una foto?

사진 한 장 찍어줄 수 있어?

2. Esta foto salió borrosa.

이 사진은 흐릿하게 나왔다.

3. Subí las fotos de las vacaciones a las redes sociales.

나는 휴가 사진들을 소셜 미디어에 올렸다.",
