챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
여행,aduana,f. 세관,"pasar la aduana : 세관을 통과하다

control de aduanas : 세관 검사","1. Me revisaron la maleta en la aduana.

세관에서 내 가방을 검사했다.

2. ¿Tiene algo que declarar en la aduana?

세관에 신고할 물건이 있습니까?

3. La aduana puede retener productos prohibidos.

세관은 금지된 물품을 압류할 수 있다.",
여행,aterrizar,v. 착륙하다,"aterrizaje forzoso : 비상착륙

aterrizar en la realidad : 현실을 자각하다","1. El avión aterrizó puntual.

비행기는 정각에 착륙했다.

2. Aterrizamos en Madrid a las diez.

우리는 10시에 마드리드에 착륙한다.

3. El piloto logró aterrizar a pesar de la tormenta.

조종사는 폭풍우에도 불구하고 착륙에 성공했다.","[현재]

aterrizo / aterrizas / aterriza / aterrizamos / aterrizáis / aterrizan


[현재분사] : aterrizando : [과거분사] : aterrizado"
여행,aventura,f. 모험,"ir a la aventura : 계획 없이 여행하다

vivir una aventura : 모험을 하다","1. Este viaje fue una gran aventura.

이번 여행은 대단한 모험이었다.

2. Le gustan los deportes de aventura.

그는 모험 스포츠를 좋아한다.

3. Buscaba aventuras y emociones fuertes.

그는 모험과 강한 스릴을 찾고 있었다.",
여행,cancelar,v. 취소하다,"cancelar el vuelo : 비행기를 취소하다

cancelar una cita : 약속을 취소하다","1. Han cancelado el concierto por la lluvia.

비 때문에 콘서트가 취소되었다.

2. Quiero cancelar mi reserva.

예약을 취소하고 싶습니다.

3. Si cancelas ahora, no te devuelven el dinero.

지금 취소하면 돈을 환불받지 못한다.","[현재]

cancelo / cancelas / cancela / cancelamos / canceláis / cancelan


[현재분사] : cancelando : [과거분사] : cancelado"
여행,compañía,f. 회사; 동행; 항공사,"compañía aérea : 항공사

hacer compañía : 말동무가 되어주다/함께하다","1. Vuelo con una compañía de bajo coste.

나는 저가 항공사를 이용한다.

2. Gracias por tu compañía.

함께 해줘서 고마워.

3. Es la compañía aérea más grande del país.

이곳은 국내 최대 항공사다.",
여행,conocer,v. 알다; 가보다; 경험하다,"conocer mundo : 세상을 알다/여행하다

encantado de conocerle : 만나서 반갑습나다","1. Quiero conocer Japón.

나는 일본을 가보고(알고) 싶다.

2. Viajar te permite conocer gente nueva.

여행은 새로운 사람들을 알게 해준다.

3. No conozco este lugar.

나는 이 장소를 모른다 (처음 와본다).","[현재]

conozco / conoces / conoce / conocemos / conocéis / conocen


[현재분사] : conociendo : [과거분사] : conocido"
여행,despegar,v. 이륙하다; 떼어내다,"despegar los pies del suelo : 현실 감각을 잃다 (붕 뜨다)

despegar una etiqueta : 라벨을 떼다","1. El vuelo despega en cinco minutos.

비행편은 5분 뒤에 이륙한다.

2. Su carrera como cantante acaba de despegar.

그의 가수 경력은 막 도약하기 시작했다.

3. El avión despegó suavemente.

비행기는 부드럽게 이륙했다.","[현재]

despego / despegas / despega / despegamos / despegáis / despegan


[현재분사] : despegando : [과거분사] : despegado"
여행,destino,m. 목적지; 운명,"destino turístico : 관광지

llegar a destino : 목적지에 도착하다","1. Nuestro destino es París.

우리의 목적지는 파리다.

2. Creo en el destino.

나는 운명을 믿는다.

3. Es uno de los destinos más populares.

이곳은 가장 인기 있는 여행지 중 하나다.",
여행,disfrutar,v. 즐기다,"disfrutar de : ~을 즐기다/누리다

disfrutar a tope : 마음껏 즐기다","1. ¡Disfruta de tus vacaciones!

휴가 잘 즐겨!

2. Disfrutamos mucho del viaje.

우리는 여행을 아주 즐겼다.

3. Hay que saber disfrutar de los pequeños momentos.

작은 순간들을 즐길 줄 알아야 한다.","[현재]

disfruto / disfrutas / disfruta / disfrutamos / disfrutáis / disfrutan


[현재분사] : disfrutando : [과거분사] : disfrutado"
여행,embarcar,v. 탑승하다; 배를 타다,"puerta de embarque : 탑승구

tarjeta de embarque : 탑승권","1. Los pasajeros del vuelo IB302 pueden embarcar.

IB302편 승객들은 탑승해 주십시오.

2. Embarcamos a las tres.

우리는 3시에 탑승한다 (배/비행기).

3. Se embarcó en una aventura peligrosa.

그는 위험한 모험에 뛰어들었다.","[현재]

embarco / embarcas / embarca / embarcamos / embarcáis / embarcan


[현재분사] : embarcando : [과거분사] : embarcado"
여행,equipaje,m. 짐; 수하물,"equipaje de mano : 기내 수하물

recogida de equipaje : 수하물 찾는 곳","1. Solo llevo equipaje de mano.

나는 기내용 가방만 가져간다.

2. Perdieron mi equipaje en el vuelo.

비행 편에서 내 짐을 잃어버렸다.

3. No deje su equipaje desatendido.

짐을 방치하지 마세요.",
여행,excursión,f. 소풍; 당일치기 여행,"ir de excursión : 소풍 가다

excursión escolar : 수학여행/현장학습","1. Mañana vamos de excursión a la montaña.

내일 우리는 산으로 소풍을 간다.

2. La excursión incluye la comida.

투어(소풍)에는 식사가 포함되어 있다.

3. Contratamos una excursión guiada.

우리는 가이드가 있는 투어를 예약했다.",
여행,explorar,v. 탐험하다; 탐구하다,"explorar la ciudad : 도시를 탐방하다

explorar nuevas opciones : 새로운 옵션을 검토하다","1. Vamos a explorar la selva.

우리는 정글을 탐험할 것이다.

2. Me gusta explorar lugares desconocidos.

나는 미지의 장소를 탐험하는 것을 좋아한다.

3. El médico exploró al paciente.

의사는 환자를 진찰했다.","[현재]

exploro / exploras / explora / exploramos / exploráis / exploran


[현재분사] : explorando : [과거분사] : explorado"
여행,extranjero,m. 외국; a. 외국의,"en el extranjero : 외국에서

lengua extranjera : 외국어","1. Me gusta viajar al extranjero.

나는 해외여행을 좋아한다.

2. Estudió un año en el extranjero.

그는 1년 동안 외국에서 공부했다.

3. Es difícil vivir en un país extranjero.

외국에서 사는 것은 어렵다.",
여행,facturar,v. 짐을 부치다; 청구하다,"mostrador de facturación : 체크인 카운터

facturar la maleta : 가방을 부치다 (수하물)","1. Tengo que facturar mi maleta.

나는 가방을 부쳐야 한다.

2. Se recomienda facturar online.

온라인 체크인을 권장한다.

3. La empresa facturó millones este año.

회사는 올해 수백만 달러의 매출을 올렸다.","[현재]

facturo / facturas / factura / facturamos / facturáis / facturan


[현재분사] : facturando : [과거분사] : facturado"
