챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
예술,actor,m. 배우 (남/여),"actor principal : 주연 배우

actor de reparto : 조연 배우","1. Es mi actor favorito.

내가 제일 좋아하는 배우다.

2. El actor interpretó bien su papel.

배우가 자기 역할을 잘 연기했다.

3. Quiere ser actor de Hollywood.

그는 할리우드 배우가 되고 싶어 한다.",
예술,acuarela,f. 수채화,"pintar con acuarelas : 수채화 물감으로 그리다

papel de acuarela : 수채화 용지","1. La acuarela es transparente.

수채화는 투명하다.

2. Hizo una acuarela del paisaje.

그는 풍경 수채화를 그렸다.

3. Me regalaron una caja de acuarelas.

수채화 물감 한 상자를 선물 받았다.",
예술,armonía,f. 화음; 조화,"vivir en armonía : 조화롭게 살다

armonía de colores : 색의 조화","1. La armonía de la canción es compleja.

노래의 화음이 복잡하다.

2. Busco armonía en mi vida.

나는 삶의 조화를 찾는다.

3. Hay armonía entre los elementos.

요소들 사이에 조화가 있다.",
예술,arquitectura,f. 건축,"arquitectura moderna : 현대 건축

estudiante de arquitectura : 건축학도","1. La arquitectura de Gaudí es única.

가우디의 건축은 독특하다.

2. Me gusta la arquitectura gótica.

나는 고딕 건축을 좋아한다.

3. La arquitectura combina arte y técnica.

건축은 예술과 기술을 결합한다.",
예술,arte,m.f. 예술; 미술; 기술,"bellas artes : 순수 미술

tener mucho arte : 재주가 많다 / 매력이 있다","1. El arte es una forma de expresión.

예술은 표현의 한 형태다.

2. Me gusta el arte moderno.

나는 현대 미술을 좋아한다.

3. Estudió Historia del Arte.

그는 미술사를 공부했다.",
예술,artista,m.f. 예술가; 아티스트,"ser un artista : 예술가다 / 재주꾼이다

artista callejero : 거리의 예술가","1. Picasso fue un gran artista.

피카소는 위대한 예술가였다.

2. El artista firmó su obra.

예술가는 작품에 서명했다.

3. Vive como un artista.

그는 예술가처럼 산다.",
예술,banda sonora,f. 사운드트랙 (OST),"banda sonora original (BSO) : 오리지널 사운드트랙

componer la banda sonora : OST를 작곡하다","1. La banda sonora es preciosa.

사운드트랙이 아름답다.

2. Ganó el oscar a la mejor banda sonora.

음악상을 받았다.

3. Escucho la banda sonora mientras leo.

나는 읽으면서 OST를 듣는다.",
예술,boceto,m. 스케치; 초안,"hacer un boceto : 스케치하다

boceto previo : 사전 스케치","1. El pintor hizo un boceto rápido.

화가는 빠르게 스케치를 했다.

2. Es solo un boceto, no está terminado.

그저 스케치일 뿐, 완성된 게 아니다.

3. El boceto muestra la idea general.

스케치는 대략적인 아이디어를 보여준다.",
예술,bronce,m. 청동; 동메달,"medalla de bronce : 동메달

edad de bronce : 청동기 시대","1. Es una escultura de bronce.

청동 조각상이다.

2. El bronce se oxida con el tiempo.

청동은 시간이 지나면 산화된다.

3. Ganó el bronce en las olimpiadas.

그는 올림픽에서 동메달을 땄다.",
예술,composición,f. 작곡; 구성; 작문,"composición musical : 작곡

hacer una composición : 작문하다","1. Estudia composición.

그는 작곡을 공부한다.

2. La composición del cuadro es perfecta.

그림의 구성(구도)이 완벽하다.

3. Es una composición original.

독창적인 작품이다.",
예술,compositor,m. 작곡가,"compositor famoso : 유명한 작곡가

ser compositor : 작곡가다","1. Mozart fue un gran compositor.

모차르트는 위대한 작곡가였다.

2. El compositor dirige la obra.

작곡가가 작품을 지휘한다.

3. Quiere ser compositor de cine.

그는 영화 음악 작곡가가 되고 싶어 한다.",
예술,concierto,m. 콘서트; 협주곡,"dar un concierto : 콘서트를 열다

concierto de piano : 피아노 협주곡","1. Fuimos al concierto de rock.

우리는 록 콘서트에 갔다.

2. Las entradas del concierto se agotaron.

콘서트 표가 매진되었다.

3. El concierto empieza a las nueve.

콘서트는 9시에 시작한다.",
예술,creatividad,f. 창의성; 독창성,"desarrollar la creatividad : 창의성을 기르다

falta de creatividad : 창의성 부족","1. La creatividad es esencial en el arte.

예술에서 창의성은 필수적이다.

2. Usó su creatividad para resolverlo.

그는 해결하기 위해 창의성을 발휘했다.

3. Es un trabajo que requiere creatividad.

창의성을 요하는 작업이다.",
예술,creativo,a. 창의적인; m. 크리에이터,"ser creativo : 창의적이다

escritura creativa : 창의적 글쓰기","1. Es una idea muy creativa.

매우 창의적인 생각이다.

2. Ella es una persona creativa.

그녀는 창의적인 사람이다.

3. Trabaja como director creativo.

그는 크리에이티브 디렉터로 일한다.",
예술,cuadro,m. 그림 (액자); 장면,"colgar un cuadro : 그림을 걸다

pinta un cuadro : 그림을 그리다","1. El cuadro es muy colorido.

그 그림은 색채가 다채롭다.

2. Compré un cuadro para el salón.

거실용 그림을 하나 샀다.

3. ¿Quién pintó este cuadro?

누가 이 그림을 그렸니?",
예술,diseño,m. 디자인; 설계,"diseño gráfico : 그래픽 디자인

diseño de interiores : 인테리어 디자인","1. El diseño es muy elegante.

디자인이 매우 우아하다.

2. Estudia diseño de moda.

그는 패션 디자인을 공부한다.

3. Es un objeto de diseño.

디자이너 제품이다.",
예술,escenario,m. 무대; 시나리오(상황),"subir al escenario : 무대에 오르다

escenario del crimen : 범죄 현장","1. Los actores salieron al escenario.

배우들이 무대로 나왔다.

2. Tiene pánico escénico (miedo al escenario).

그는 무대 공포증이 있다.

3. Imaginó el peor escenario posible.

그는 최악의 시나리오를 상상했다.",
예술,escultura,f. 조각(품),"escultura de mármol : 대리석 조각

hacer una escultura : 조각하다","1. La escultura representa a un dios.

그 조각상은 신을 나타낸다.

2. Es una escultura moderna.

현대 조각품이다.

3. Admiramos la escultura en el parque.

우리는 공원에서 조각상을 감상했다.",
예술,estatua,f. 동상; 조각상,"quedarse como una estatua : 꼼짝 않고 있다

estatua de la libertad : 자유의 여신상","1. Erigieron una estatua en su honor.

그들은 그를 기려 동상을 세웠다.

2. La estatua es de bronce.

동상은 청동으로 되어 있다.

3. Los turistas se hacen fotos con la estatua.

관광객들이 동상과 사진을 찍는다.",
예술,exposición,f. 전시회; 설명,"sala de exposiciones : 전시실

hacer una exposición : 전시하다","1. Hay una exposición de Dalí.

달리 전시회가 있다.

2. La exposición termina mañana.

전시는 내일 끝난다.

3. Fuimos a la inauguración de la exposición.

우리는 전시회 개막식에 갔다.",
예술,foco,m. 초점; 조명; 중심,"poner el foco en : ~에 초점을 맞추다

foco de infección : 감염원","1. La foto está fuera de foco.

사진 초점이 나갔다.

2. Los focos iluminan el escenario.

조명이 무대를 비춘다.

3. Es el foco de atención.

관심의 초점이다.",
예술,galería,f. 갤러리; 화랑,"galería de arte : 미술관 (판매/전시)

exponer en una galería : 갤러리에 전시하다","1. Compró el cuadro en una galería.

그는 갤러리에서 그림을 샀다.

2. La galería inaugura una exposición.

갤러리가 전시회를 연다.

3. Visitamos varias galerías.

우리는 여러 갤러리를 방문했다.",
예술,gráfico,a. 그래픽의; 생생한; m. 도표,"diseño gráfico : 그래픽 디자인

novela gráfica : 그래픽 노블 (만화 소설)","1. Es un diseñador gráfico.

그는 그래픽 디자이너다.

2. La descripción fue muy gráfica.

설명이 매우 생생했다.

3. El gráfico muestra la evolución.

도표는 변화 추이를 보여준다.",
예술,guion,m. 대본; 시나리오,"guion original : 창작 시나리오

escribir el guion : 대본을 쓰다","1. El guion de la película es bueno.

영화 대본이 좋다.

2. Los actores leen el guion.

배우들이 대본을 읽는다.

3. Se salieron del guion.

그들은 대본에서 벗어났다 (애드리브를 했다).",
예술,imagen,f. 이미지; 영상; 상,"una imagen vale más que mil palabras : 백문이 불여일견

imagen pública : 대외적 이미지","1. La imagen es nítida.

이미지가 선명하다.

2. Cuida tu imagen.

이미지 관리를 해라.

3. Vimos las imágenes en televisión.

우리는 TV에서 그 영상들을 봤다.",
예술,inauguración,f. 개막식; 개업식,"fiesta de inauguración : 개막 파티

discurso de inauguración : 개막 연설","1. Asistió a la inauguración.

그는 개막식에 참석했다.

2. La inauguración fue un éxito.

개막식은 성공적이었다.

3. Cortaron la cinta en la inauguración.

개막식에서 리본을 잘랐다.",
예술,inspiración,f. 영감,"buscar inspiración : 영감을 찾다

fuente de inspiración : 영감의 원천","1. La naturaleza es mi inspiración.

자연은 나의 영감이다.

2. Tuvo un momento de inspiración.

그는 영감이 떠오르는 순간을 가졌다.

3. Sin inspiración no puedo pintar.

영감 없이는 그림을 그릴 수 없다.",
예술,interpretación,f. 연기; 해석; 통역,"mala interpretación : 오해/발연기

interpretación musical : 연주","1. Su interpretación fue magistral.

그의 연기는 훌륭했다.

2. La interpretación del texto varía.

텍스트 해석은 다양하다.

3. Ganó un premio por su interpretación.

그는 연기로 상을 받았다.",
예술,lienzo,m. 캔버스; 천,"lienzo en blanco : 빈 캔버스

pintar sobre lienzo : 캔버스에 그리다","1. El artista preparó el lienzo.

예술가는 캔버스를 준비했다.

2. Es un lienzo de gran tamaño.

큰 사이즈의 캔버스다.

3. Manchó el lienzo de pintura.

그는 캔버스에 물감을 묻혔다.",
예술,mármol,m. 대리석,"frío como el mármol : 대리석처럼 차가운

escultura en mármol : 대리석 조각","1. El suelo es de mármol.

바닥은 대리석이다.

2. Talló la figura en mármol blanco.

그는 흰 대리석에 형상을 조각했다.

3. El mármol es un material noble.

대리석은 고급 재료다.",
예술,melodía,f. 멜로디; 선율,"melodía pegadiza : 중독성 있는 멜로디

silbar una melodía : 멜로디를 휘파람 불다","1. La melodía es muy triste.

멜로디가 매우 슬프다.

2. No me puedo sacar la melodía de la cabeza.

멜로디가 머리에서 떠나지 않는다.

3. Es una melodía hermosa.

아름다운 선율이다.",
