챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
요리,abrelatas,m. 깡통 따개,"usar el abrelatas : 캔 따개를 사용하다

abrelatas manual : 수동 캔 따개","1. Necesito un abrelatas para el atún.

참치 캔을 따려면 따개가 필요하다.

2. El abrelatas está en el cajón de los cubiertos.

캔 따개는 수저통 서랍에 있다.

3. Este abrelatas está oxidado y no funciona bien.

이 캔 따개는 녹슬어서 잘 작동하지 않는다.",
요리,añadir,v. 추가하다; 더하다,"añadir sal : 소금을 더하다

añadir un comentario : 코멘트를 추가하다","1. Añade un poco de agua.

물을 조금 더해라.

2. Tienes que añadir las especias al final.

마지막에 향신료를 추가해야 한다.

3. Si te queda soso, añade más sal.

싱거우면 소금을 더 넣어라.","[현재]

añado / añades / añade / añadimos / añadís / añaden


[현재분사] : añadiendo : [과거분사] : añadido


[과거]

añadí / añadiste / añadió / añadimos / añadisteis / añadieron


[가정법]

añadiría / añadirías / añadiría / añadiríamos / añadiríais / añadirían


[접속법]

añada / añadas / añada / añadamos / añadáis / añadan


[미래]

añadiré / añadirás / añadirá / añadiremos / añadiréis / añadirán"
요리,asar,v. 굽다 (오븐/불에),"asar a la parrilla : 석쇠에 굽다

pollo asado : 통닭구이","1. Asamos carne en la barbacoa.

우리는 바비큐 그릴에 고기를 굽는다.

2. El pollo se está asando en el horno.

닭이 오븐에서 구워지고 있다.

3. Me encanta el olor a castañas asadas en invierno.

나는 겨울철 군밤 냄새를 정말 좋아한다.","[현재]

aso / asas / asa / asamos / asáis / asan


[현재분사] : asando : [과거분사] : asado


[과거]

asé / asaste / asó / asamos / asasteis / asaron


[가정법]

asaría / asarías / asaría / asaríamos / asaríais / asarían


[접속법]

ase / ases / ase / asemos / aséis / asen


[미래]

asaré / asarás / asará / asaremos / asaréis / asarán"
요리,batir,v. 휘젓다; (기록을) 깨다,"batir los huevos : 계란을 풀다

batir el récord : 기록을 경신하다","1. Bate los huevos con el azúcar.

계란을 설탕과 함께 휘저어라.

2. Hay que batir la nata hasta que monte.

크림이 올라올 때까지 휘저어야 한다.

3. Usa la batidora para batir la mezcla rápidamente.

반죽을 빨리 섞기 위해 믹서를 사용해라.","[현재]

bato / bates / bate / batimos / batís / baten


[현재분사] : batiendo : [과거분사] : batido


[과거]

batí / batiste / batió / batimos / batisteis / batieron


[가정법]

batiría / batirías / batiría / batiríamos / batiríais / batirían


[접속법]

bata / batas / bata / batamos / batáis / batan


[미래]

batiré / batirás / batirá / batiremos / batiréis / batirán"
요리,cazuela,f. 뚝배기; 냄비 (주로 토기/낮은 냄비),"cazuela de barro : 토기 냄비/뚝배기

guiso de cazuela : 냄비 요리","1. Preparó arroz en una cazuela de barro.

그는 뚝배기에 밥을 지었다.

2. La cazuela mantiene el calor por mucho tiempo.

뚝배기는 열을 오랫동안 유지한다.

3. Sirve las gambas en la misma cazuela.

새우를 냄비째 서빙해라.",
요리,congelar,v. 얼리다; 냉동하다,"alimentos congelados : 냉동식품

congelarse : 얼다 / 동상 걸리다","1. Puedes congelar el pan sobrante.

남은 빵은 얼려도 된다.

2. El agua se congela a cero grados.

물은 0도에서 언다.

3. Compramos verduras congeladas por comodidad.

우리는 편리함을 위해 냉동 채소를 산다.","[현재]

congelo / congelas / congela / congelamos / congeláis / congelan


[현재분사] : congelando : [과거분사] : congelado


[과거]

congelé / congelaste / congeló / congelamos / congelasteis / congelaron


[가정법]

congelaría / congelarías / congelaría / congelaríamos / congelaríais / congelarían


[접속법]

congele / congeles / congele / congelemos / congeléis / congelen


[미래]

congelaré / congelarás / congelará / congelaremos / congelaréis / congelarán"
요리,cortar,v. 자르다; 썰다,"cortar en trozos : 조각으로 자르다

cortarse un dedo : 손가락을 베다","1. Corta el pan en rebanadas.

빵을 얇게 썰어라.

2. Usa este cuchillo para cortar la carne.

고기를 자를 때 이 칼을 사용해라.

3. Ten cuidado de no cortarte con el cristal roto.

깨진 유리에 베이지 않도록 조심해라.","[현재]

corto / cortas / corta / cortamos / cortáis / cortan


[현재분사] : cortando : [과거분사] : cortado


[과거]

corté / cortaste / cortó / cortamos / cortasteis / cortaron


[가정법]

cortaría / cortarías / cortaría / cortaríamos / cortaríais / cortarían


[접속법]

corte / cortes / corte / cortemos / cortéis / corten


[미래]

cortaré / cortarás / cortará / cortaremos / cortaréis / cortarán"
요리,crudo,a. 날것의; 익히지 않은,"cruda realidad : 냉혹한 현실

jamón crudo : 생햄","1. El pescado está crudo.

생선이 안 익었다.

2. Me gusta comer zanahorias crudas.

나는 생당근 먹는 것을 좋아한다.

3. El sushi se hace con pescado crudo.

초밥은 날생선으로 만든다.",
요리,cuchara,f. 숟가락; 스푼,"cuchara sopera : (일반적인 큰) 숟가락

meter la cuchara : 참견하다/끼어들다","1. La sopa se come con cuchara.

수프는 숟가락으로 먹는다.

2. Añade una cuchara de azúcar.

설탕 한 스푼을 넣어라.

3. Es una medicina tan mala que ni con cuchara de plata entra.

너무 맛이 없는 약이라 은수저로도 안 넘어간다.",
요리,cucharilla,f. 티스푼; 작은 숟가락,"cucharilla de café : 커피 스푼

medida de cucharilla : 티스푼 계량","1. Remueve el café con la cucharilla.

티스푼으로 커피를 저어라.

2. Se le cayó la cucharilla al suelo.

그는 작은 숟가락을 바닥에 떨어뜨렸다.

3. Pon una cucharilla de sal en la masa.

반죽에 소금 한 티스푼을 넣어라.",
