챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
운전,adelantar,v. 추월하다; 앞지르다,"prohibido adelantar : 추월 금지

adelantar el reloj : 시계를 앞당기다","1. Es peligroso adelantar en esta carretera.

이 도로에서 추월하는 것은 위험하다.

2. El coche rojo nos adelantó muy rápido.

빨간 차가 우리를 아주 빠르게 추월했다.

3. Hemos adelantado la reunión a las tres.

우리는 회의를 3시로 앞당겼다.","[현재]

adelanto / adelantas / adelanta / adelantamos / adelantáis / adelantan


[현재분사] : adelantando : [과거분사] : adelantado"
운전,aparcar,v. 주차하다,"aparcar en doble fila : 이중 주차하다

zona de aparcamiento : 주차 구역","1. Es difícil aparcar en el centro.

시내에 주차하는 것은 어렵다.

2. Aparqué el coche en el garaje.

나는 차고에 차를 주차했다.

3. Está prohibido aparcar aquí.

여기는 주차 금지다.","[현재]

aparco / aparcas / aparca / aparcamos / aparcáis / aparcan


[현재분사] : aparcando : [과거분사] : aparcado"
운전,arrancar,v. 시동을 걸다; 뽑다; 출발하다,"arrancar el coche : 차 시동을 걸다

arrancar a llorar : 갑자기 울음을 터뜨리다","1. El coche no arranca.

차 시동이 안 걸린다.

2. Arrancó la mala hierba del jardín.

그는 정원의 잡초를 뽑았다.

3. El autobús arrancó en cuanto subimos.

버스는 우리가 타자마자 출발했다.","[현재]

arranco / arrancas / arranca / arrancamos / arrancáis / arrancan


[현재분사] : arrancando : [과거분사] : arrancado"
운전,atasco,m. 교통 체증; 막힘,"estar en un atasco : 차가 막히다

atasco monumental : 엄청난 교통 체증","1. Llegué tarde por el atasco.

교통 체증 때문에 늦었다.

2. Hay un gran atasco en la entrada de la ciudad.

도시 입구에 큰 교통 체증이 있다.

3. Evita las horas de atasco si puedes.

가능하면 막히는 시간대를 피해라.",
운전,autopista,f. 고속도로 (유료),"peaje de autopista : 고속도로 통행료

autopista de peaje : 유료 고속도로","1. La autopista es más rápida que la carretera.

고속도로가 국도보다 빠르다.

2. Tuvimos que pagar peaje en la autopista.

우리는 고속도로에서 통행료를 내야 했다.

3. En la autopista se puede ir a 120 km/h.

고속도로에서는 시속 120km로 갈 수 있다.",
운전,autovía,f. 고속화 도로 (무료),"salir de la autovía : 고속도로에서 빠져나가다

autovía del Mediterráneo : 지중해 고속도로","1. La autovía es gratuita.

이 고속화 도로는 무료다.

2. Hay mucho tráfico en la autovía.

고속화 도로에 교통량이 많다.

3. Toma la salida 20 de la autovía.

고속화 도로 20번 출구로 나가라.",
운전,camino,m. 길; 경로,"el Camino de Santiago : 산티아고 순례길

abrir camino : 길을 터주다/선구자가 되다","1. El camino es de tierra.

그 길은 흙길이다.

2. Vamos por buen camino.

우리는 올바른 길로 가고 있다.

3. No te salgas del camino.

길에서 벗어나지 마라.",
운전,carretera,f. 도로; 국도,"carretera secundaria : 지방도/국도

en carretera : 주행 중에 / 도로에서","1. La carretera es muy estrecha.

도로가 매우 좁다.

2. Hay obras en la carretera.

도로 공사 중이다.

3. Ten cuidado en la carretera.

도로에서 운전 조심해라.",
운전,carril,m. 차선; 선로,"carril bus : 버스 전용 차선

cambiar de carril : 차선을 변경하다","1. Conduce por el carril derecho.

오른쪽 차선으로 운전해라.

2. Este carril es solo para bicicletas.

이 차선은 자전거 전용이다.

3. Hay tres carriles en esta autopista.

이 고속도로에는 3개의 차선이 있다.",
운전,casco,m. 헬멧; (도시) 구역,"casco antiguo : 구시가지

ponerse el casco : 헬멧을 쓰다","1. Ponte el casco si vas en moto.

오토바이를 탈 거면 헬멧을 써라.

2. El casco te protege la cabeza.

헬멧은 머리를 보호해 준다.

3. Paseamos por el casco histórico de la ciudad.

우리는 도시의 역사적인 구시가지를 산책했다.",
운전,cinturón,m. 안전벨트; 허리띠,"cinturón de seguridad : 안전벨트

abrocharse el cinturón : 벨트를 매다","1. Abróchate el cinturón de seguridad.

안전벨트를 매라.

2. La policía multó a los pasajeros sin cinturón.

경찰은 벨트를 매지 않은 승객들에게 벌금을 부과했다.

3. Este cinturón es de cuero.

이 허리띠는 가죽이다.",
운전,conducir,v. 운전하다,"permiso de conducir : 운전면허증

conducir con cuidado : 조심해서 운전하다","1. Me gusta conducir por la carretera.

나는 도로에서 운전하는 것을 좋아한다.

2. Ella conduce muy bien.

그녀는 운전을 아주 잘한다.

3. No deberías conducir si has bebido alcohol.

술을 마셨다면 운전해서는 안 된다.","[현재]

conduzco / conduces / conduce / conducimos / conducís / conducen


[현재분사] : conduciendo : [과거분사] : conducido


[과거]

conduje / condujiste / condujo / condujimos / condujisteis / condujeron


[가정법]

conduciría / conducirías / conduciría / conduciríamos / conduciríais / conducirían


[접속법]

conduzca / conduzcas / conduzca / conduzcamos / conduzcáis / conduzcan


[미래]

conduciré / conducirás / conducirá / conduciremos / conduciréis / conducirán"
운전,conductor,m. 운전자; 기사,"conductor novel : 초보 운전자

conductor de autobús : 버스 기사","1. El conductor frenó a tiempo.

운전자는 제때 브레이크를 밟았다.

2. Es un conductor muy prudente.

그는 매우 신중한 운전자다.

3. El conductor debe llevar el cinturón puesto.

운전자는 안전벨트를 매야 한다.",
운전,estacionar,v. 주차하다 (라틴아메리카),"estacionamiento prohibido : 주차 금지

estacionar el vehículo : 차량을 주차하다","1. Busco un lugar para estacionar.

주차할 곳을 찾고 있다.

2. Estacionó frente a la tienda.

그는 가게 앞에 주차했다.

3. En este país se usa más estacionar que aparcar.

이 나라에서는 'aparcar'보다 'estacionar'를 더 많이 쓴다.","[현재]

estaciono / estacionas / estaciona / estacionamos / estacionáis / estacionan


[현재분사] : estacionando : [과거분사] : estacionado"
운전,frenar,v. 제동을 걸다; 브레이크 밟다,"frenar en seco : 급제동하다

frenar los gastos : 지출을 줄이다","1. Tuve que frenar bruscamente.

나는 급하게 브레이크를 밟아야 했다.

2. El conductor frenó ante el semáforo rojo.

운전자는 빨간 불 앞에서 차를 세웠다.

3. Hay que frenar la inflación.

인플레이션을 억제해야 한다.","[현재]

freno / frenas / frena / frenamos / frenáis / frenan


[현재분사] : frenando : [과거분사] : frenado"
운전,gasolina,f. 휘발유; 기름,"echar gasolina : 주유하다

se acabó la gasolina : 기름이 다 떨어졌다","1. El precio de la gasolina ha bajado.

휘발유 가격이 내렸다.

2. El coche se quedó sin gasolina.

차에 기름이 다 떨어졌다.

3. Huele mucho a gasolina.

기름 냄새가 많이 난다.",
운전,gasolinera,f. 주유소,"parar en la gasolinera : 주유소에 들르다

tienda de la gasolinera : 주유소 편의점","1. Tenemos que buscar una gasolinera.

우리는 주유소를 찾아야 한다.

2. La gasolinera está abierta 24 horas.

주유소는 24시간 영업한다.

3. Compramos hielo en la gasolinera.

우리는 주유소에서 얼음을 샀다.",
운전,manejar,v. 운전하다 (중남미); 다루다,"manejar la situación : 상황을 다루다

manejar dinero : 돈을 만지다/관리하다","1. ¿Sabes manejar?

너 운전할 줄 아니? (중남미)

2. Maneja el ordenador con soltura.

그는 컴퓨터를 능숙하게 다룬다.

3. Mi padre me enseñó a manejar.

아버지가 나에게 운전을 가르쳐 주셨다.","[현재]

manejo / manejas / maneja / manejamos / manejáis / manejan


[현재분사] : manejando : [과거분사] : manejado"
운전,montar,v. 타다; 조립하다,"montar a caballo : 말을 타다

montar un negocio : 사업을 시작하다","1. Me gusta montar en bici.

나는 자전거 타는 것을 좋아한다.

2. Montó los muebles él solo.

그는 혼자서 가구를 조립했다.

3. Se montó en el tren en el último momento.

그는 마지막 순간에 기차에 올라탔다.","[현재]

monto / montas / monta / montamos / montáis / montan


[현재분사] : montando : [과거분사] : montado"
운전,motor,m. 엔진; 원동력,"arrancar el motor : 엔진을 켜다

apagar el motor : 엔진을 끄다","1. El motor hace un ruido extraño.

엔진에서 이상한 소리가 난다.

2. Es un coche con un motor potente.

이 차는 강력한 엔진을 가지고 있다.

3. El turismo es el motor de la economía local.

관광은 지역 경제의 원동력이다.",
운전,multa,f. 벌금; 과태료,"poner una multa : 벌금을 부과하다 (딱지를 떼다)

pagar una multa : 벌금을 내다","1. Me han puesto una multa por aparcar mal.

주차 위반으로 벌금을 받았다.

2. La multa por exceso de velocidad es alta.

과속 벌금은 비싸다.

3. Si pagas la multa pronto, tienes descuento.

벌금을 빨리 내면 할인이 된다.",
운전,pasajero,m. 승객; a. 일시적인,"asiento del pasajero : 조수석

dolor pasajero : 일시적인 통증","1. Los pasajeros deben permanecer sentados.

승객들은 자리에 앉아 있어야 한다.

2. El avión tiene capacidad para 200 pasajeros.

그 비행기는 승객 200명을 수용할 수 있다.

3. Es un problema pasajero, se solucionará pronto.

일시적인 문제이니 곧 해결될 것이다.",
운전,prioridad,f. 우선순위; 우선권,"tener prioridad : 우선권이 있다

prioridad de paso : 통행 우선권","1. La ambulancia tiene prioridad.

구급차는 우선권이 있다.

2. Mi prioridad es llegar a tiempo.

내 우선순위는 제시간에 도착하는 것이다.

3. En esta señal, tú tienes prioridad.

이 표지판에서는 너에게 우선권이 있다.",
운전,rueda,f. 바퀴,"rueda de repuesto : 예비 타이어

pinchar una rueda : 타이어가 펑크 나다","1. Se ha pinchado una rueda.

타이어가 펑크 났다.

2. La bicicleta tiene dos ruedas.

자전거는 바퀴가 두 개다.

3. Cambiar la rueda es fácil si sabes cómo.

방법만 알면 바퀴를 교체하는 것은 쉽다.",
운전,taller,m. 정비소; 작업실; 워크숍,"llevar el coche al taller : 차를 정비소에 맡기다

taller mecánico : 자동차 정비소","1. Mi coche está en el taller.

내 차는 정비소에 있다.

2. El mecánico del taller es de confianza.

정비소의 정비공은 믿을 만하다.

3. Asistí a un taller de escritura.

나는 글쓰기 워크숍에 참가했다.",
