챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
의복,abrigo,m. 코트; 외투; 피난처,"ropa de abrigo : 방한복

al abrigo de : ~의 보호를 받아","1. Es un abrigo de lana.

울 코트다.

2. Abróchate el abrigo.

코트 단추를 채워라.

3. El abrigo me protege del frío.

코트가 추위로부터 나를 보호해 준다.",
의복,afeitarse,v. 면도하다,"máquina de afeitar : 면도기

espuma de afeitar : 쉐이빙 폼","1. Mi padre se afeita todos los días.

우리 아버지는 매일 면도를 하신다.

2. Se afeitó la barba después de muchos años.

그는 수년 만에 수염을 깎았다.

3. Ten cuidado de no cortarte cuando te afeites.

면도할 때 베이지 않도록 조심해라.","[현재]

me afeito / te afeitas / se afeita / nos afeitamos / os afeitáis / se afeitan


[현재분사] : afeitándose : [과거분사] : afeitado


[과거]

me afeité / te afeitaste / se afeitó / nos afeitamos / os afeitasteis / se afeitaron


[가정법]

me afeitaría / te afeitarías / se afeitaría / nos afeitaríamos / os afeitaríais / se afeitarían


[접속법]

me afeite / te afeites / se afeite / nos afeitemos / os afeitéis / se afeiten


[미래]

me afeitaré / te afeitarás / se afeitará / nos afeitaremos / os afeitaréis / se afeitarán"
의복,bolso,m. 핸드백; 가방,"bolso de mano : 핸드백

llevar en el bolso : 가방에 넣다","1. Me robaron el bolso.

가방을 도둑맞았다.

2. ¿Qué llevas en el bolso?

가방에 뭐 들었니?

3. Es un bolso de marca.

명품 가방이다.",
의복,bufanda,f. 목도리,"ponerse la bufanda : 목도리를 하다

bufanda de lana : 울 목도리","1. Hace frío, ponte la bufanda.

추우니 목도리를 해라.

2. Perdió su bufanda en el bus.

그는 버스에서 목도리를 잃어버렸다.

3. Me gusta tu bufanda.

네 목도리 마음에 든다.",
의복,camisa,f. 셔츠 (남성용/와이셔츠),"camisa de fuerza : 구속복

metérsele en camisa de once varas : 남의 일에 참견하다","1. Plancha la camisa.

셔츠를 다려라.

2. Lleva corbata con la camisa.

그는 셔츠에 넥타이를 맨다.

3. Se manchó la camisa de café.

셔츠에 커피를 묻혔다.",
의복,cepillo,m. 솔; 칫솔,"cepillo de dientes : 칫솔

cepillo de pelo : 헤어브러시","1. Necesito comprar un cepillo de dientes nuevo.

나는 새 칫솔을 사야 한다.

2. ¿Has visto mi cepillo de pelo?

내 머리 빗 못 봤니?

3. Utiliza un cepillo suave para no dañar las encías.

잇몸을 다치지 않게 하려면 부드러운 칫솔을 사용해라.",
의복,chaleco,m. 조끼; 베스트,"chaleco salvavidas : 구명조끼

chaleco antibalas : 방탄조끼","1. Se puso un chaleco sobre la camisa.

그는 셔츠 위에 조끼를 입었다.

2. Ponte el chaleco reflectante.

반사 조끼(안전 조끼)를 입어라.

3. Es un traje de tres piezas con chaleco.

조끼가 포함된 스리피스 정장이다.",
의복,chaqueta,f. 재킷; 점퍼,"cambiar de chaqueta : 변절하다

chaqueta de cuero : 가죽 재킷","1. Ponte la chaqueta, hace fresco.

쌀쌀하니 재킷을 입어라.

2. Olvidé mi chaqueta en el bar.

바에 재킷을 두고 왔다.

3. La chaqueta tiene cremallera.

재킷에는 지퍼가 있다.",
의복,coser,v. 바느질하다,"coser y cantar : 식은 죽 먹기

máquina de coser : 재봉틀","1. Sabe coser su propia ropa.

그는 자기 옷을 꿰맬 줄 안다.

2. Mi abuela me enseñó a coser.

할머니가 나에게 바느질을 가르쳐 주셨다.

3. Está cosiendo un botón.

그는 단추를 달고 있다.","[현재]

coso / coses / cose / cosemos / coséis / cosen


[현재분사] : cosiendo : [과거분사] : cosido


[과거]

cosí / cosiste / cosió / cosimos / cosisteis / cosieron


[가정법]

cosería / coserías / cosería / coseríamos / coseríais / coserían


[접속법]

cosa / cosas / cosa / cosamos / cosáis / cosan


[미래]

coseré / coserás / coserá / coseremos / coseréis / coserán"
의복,ducha,f. 샤워; 샤워기,"darse una ducha : 샤워하다

plato de ducha : 샤워 부스 바닥","1. Me doy una ducha rápida cada mañana.

나는 매일 아침 간단히 샤워를 한다.

2. La ducha no funciona bien, sale poca agua.

샤워기 작동이 잘 안 돼서 물이 적게 나온다.

3. Prefiero instalar una ducha en lugar de una bañera para ahorrar espacio.

공간을 절약하기 위해 욕조 대신 샤워 부스를 설치하는 것을 선호한다.",
의복,ducharse,v. 샤워하다,,"1. Me ducho antes de ir a trabajar.

나는 출근하기 전에 샤워를 한다.

2. Se duchó con agua fría porque hacía calor.

날씨가 더워서 그는 찬물로 샤워했다.

3. Es mejor que te duches ahora para que no lleguemos tarde.

우리가 늦지 않으려면 네가 지금 샤워하는 게 낫겠다.","[현재]

me ducho / te duchas / se ducha / nos duchamos / os ducháis / se duchan


[현재분사] : duchándose : [과거분사] : duchado


[과거]

me duché / te duchaste / se duchó / nos duchamos / os duchasteis / se ducharon


[가정법]

me ducharía / te ducharías / se ducharía / nos ducharíamos / os ducharíais / se ducharían


[접속법]

me duche / te duches / se duche / nos duchemos / os duchéis / se duchen


[미래]

me ducharé / te ducharás / se duchará / nos ducharemos / os ducharéis / se ducharán"
의복,estilo,m. 스타일; 양식,"estilo de vida : 라이프스타일

a su estilo : 자기 방식대로","1. Me gusta tu estilo.

네 스타일이 마음에 들어.

2. Es un edificio de estilo gótico.

고딕 양식의 건물이다.

3. Cambió su estilo de vida.

그는 생활 방식을 바꿨다.",
의복,falda,f. 치마; 스커트,"falda corta : 미니스커트

falda de la montaña : 산기슭","1. Lleva una falda larga.

그녀는 긴 치마를 입고 있다.

2. La falda es de cuadros.

치마는 체크무늬다.

3. Me compré una falda nueva.

새 치마를 샀다.",
의복,gabardina,f. 트렌치코트; 비옷,"ponerse la gabardina : 트렌치코트를 입다

gabardina impermeable : 방수 코트","1. Lleva una gabardina beige.

그는 베이지색 트렌치코트를 입고 있다.

2. La gabardina es ideal para la lluvia.

트렌치코트는 비 올 때 딱이다.

3. El detective usaba gabardina.

그 형사는 트렌치코트를 입었다.",
의복,guante,m. 장갑,"guante de béisbol : 야구 글러브

tirar el guante : 도전하다","1. Ponte los guantes, nieva.

눈 오니까 장갑 껴라.

2. Los guantes son de piel.

장갑은 가죽이다.

3. Le queda como un guante.

그에게 딱 맞는다 (장갑처럼).",
의복,lavar,v. 씻다; 빨래하다,"lavar los platos : 설거지하다

lavar a mano : 손빨래하다","1. Lavo la ropa los fines de semana.

나는 주말마다 빨래를 한다.

2. Antes de comer, siempre nos lavamos las manos.

식사 전에 우리는 항상 손을 씻는다.

3. No se debe lavar esta prenda en la lavadora, se estropeará.

이 옷은 세탁기로 빨면 안 된다. 망가질 것이다.","[현재]

lavo / lavas / lava / lavamos / laváis / lavan


[현재분사] : lavando : [과거분사] : lavado


[과거]

lavé / lavaste / lavó / lavamos / lavasteis / lavaron


[가정법]

lavaría / lavarías / lavaría / lavaríamos / lavaríais / lavarían


[접속법]

lave / laves / lave / lavemos / lavéis / laven


[미래]

lavaré / lavarás / lavará / lavaremos / lavaréis / lavarán"
의복,lavarse,v. 씻다 (재귀),"lavarse las manos : 손을 씻다

lavarse los dientes : 양치하다","1. Me lavo las manos antes de comer.

나는 식사 전에 손을 씻는다.

2. Lávate la cara con jabón.

비누로 세수해라.

3. Se lavó la herida con agua.

그는 상처를 물로 씻어냈다.","[현재]

me lavo / te lavas / se lava / nos lavamos / os laváis / se lavan


[현재분사] : lavándose : [과거분사] : lavado


[과거]

me lavé / te lavaste / se lavó / nos lavamos / os lavasteis / se lavaron


[가정법]

me lavaría / te lavarías / se lavaría / nos lavaríamos / os lavaríais / se lavarían


[접속법]

me lave / te laves / se lave / nos lavemos / os lavéis / se laven


[미래]

me lavaré / te lavarás / se lavará / nos lavaremos / os lavaréis / se lavarán"
의복,limpio,a. 깨끗한; 맑은,"energía limpia : 청정 에너지

jugar limpio : 정정당당하게 하다","1. Queremos un aire limpio.

우리는 깨끗한 공기를 원한다.

2. Mantén la ciudad limpia.

도시를 깨끗하게 유지해라.

3. El agua está limpia.

물이 깨끗하다.",
의복,maquillaje,m. 화장; 메이크업,"base de maquillaje : 파운데이션

sin maquillaje : 민낯으로","1. No uso mucho maquillaje.

나는 화장을 많이 하지 않는다.

2. Se quitó el maquillaje antes de dormir.

그녀는 자기 전에 화장을 지웠다.

3. El curso de maquillaje profesional dura tres meses.

전문 메이크업 과정은 3개월 동안 진행된다.",
의복,pantalón,m. 바지,"pantalones vaqueros : 청바지

llevar los pantalones : 주도권을 쥐다","1. Me he comprado un pantalón negro.

검은 바지 하나를 샀다.

2. El pantalón me queda largo.

바지가 나한테 길다.

3. Prefiero usar pantalón a falda.

나는 치마보다 바지를 선호한다.",
의복,pasta,f. 반죽; 파스타; 치약,"pasta de dientes : 치약

tener pasta : 돈이 많다 (구어체)","1. Se acabó la pasta de dientes.

치약이 다 떨어졌다.

2. Me gusta la pasta con salsa de tomate.

나는 토마토 소스 파스타를 좋아한다.

3. Ese coche cuesta una pasta, no puedo permitírmelo.

그 차는 엄청 비싸서 나는 살 여력이 안 된다.",
의복,peinarse,v. 머리를 빗다,,"1. Me peino todas las mañanas.

나는 매일 아침 머리를 빗는다.

2. Se peinó con la raya a un lado.

그는 가르마를 한쪽으로 타서 빗었다.

3. No me gusta cómo me he peinado hoy.

오늘 내 머리 스타일이 마음에 들지 않는다.","[현재]

me peino / te peinas / se peina / nos peinamos / os peináis / se peinan


[현재분사] : peinándose : [과거분사] : peinado


[과거]

me peiné / te peinaste / se peinó / nos peinamos / os peinasteis / se peinaron


[가정법]

me peinaría / te peinarías / se peinaría / nos peinaríamos / os peinaríais / se peinarían


[접속법]

me peine / te peines / se peine / nos peinemos / os peinéis / se peinen


[미래]

me peinaré / te peinarás / se peinará / nos peinaremos / os peinaréis / se peinarán"
의복,ropa,f. 옷; 의복,"ropa interior : 속옷

ropa de cama : 침구류","1. Me pongo ropa cómoda para estar en casa.

나는 집에서 편한 옷을 입는다.

2. Esta tienda vende ropa de segunda mano.

이 가게는 중고 의류를 판다.

3. Tienes que lavar la ropa oscura separada de la blanca.

검은 옷은 흰 옷과 분리해서 세탁해야 한다.",
의복,secar,v. 말리다; 닦다,"secarse las manos : 손을 닦다

secarse el pelo : 머리를 말리다","1. Seco los platos con un trapo.

나는 행주로 접시를 닦는다.

2. Espera a que se seque el suelo antes de pisar.

밟기 전에 바닥이 마를 때까지 기다려라.

3. Si tiendes la ropa al sol, se secará mucho más rápido.

햇볕에 옷을 널면 훨씬 빨리 마를 것이다.","[현재]

seco / secas / seca / secamos / secáis / secan


[현재분사] : secando : [과거분사] : secado


[과거]

sequé / secaste / secó / secamos / secasteis / secaron


[가정법]

secaría / secarías / secaría / secaríamos / secaríais / secarían


[접속법]

seque / seques / seque / sequemos / sequéis / sequen


[미래]

secaré / secarás / secará / secaremos / secaréis / secarán"
의복,sucio,a. 더러운; 지저분한,"jugar sucio : 비열하게 굴다

dinero sucio : 검은 돈","1. El río está sucio.

강이 더럽다.

2. El aire está sucio por el tráfico.

교통 때문에 공기가 더럽다.

3. No dejes el bosque sucio.

숲을 더럽게 내버려 두지 마라.",
의복,tejer,v. 뜨개질하다; 짜다,"tejer una bufanda : 목도리를 뜨다

tejer una red : 그물을 짜다","1. Le gusta tejer lana.

그녀는 털실 뜨개질을 좋아한다.

2. Está tejiendo un jersey.

그녀는 스웨터를 뜨고 있다.

3. Tejer relaja la mente.

뜨개질은 정신을 편안하게 한다.","[현재]

tejo / tejes / teje / tejemos / tejéis / tejen


[현재분사] : tejiendo : [과거분사] : tejido


[과거]

tejí / tejiste / tejió / tejimos / tejisteis / tejieron


[가정법]

tejería / tejerías / tejería / tejeríamos / tejeríais / tejerían


[접속법]

teja / tejas / teja / tejamos / tejáis / tejan


[미래]

tejeré / tejerás / tejerá / tejeremos / tejeréis / tejerán"
의복,toalla,f. 수건,"toalla de baño : 목욕 수건

tirar la toalla : 포기하다","1. Sécate con la toalla.

수건으로 닦으세요.

2. Olvidé la toalla en la habitación.

방에 수건을 두고 왔다.

3. Aunque el trabajo era difícil, decidió no tirar la toalla.

일이 힘들었지만, 그는 포기하지 않기로 결심했다.",
의복,traje,m. 의상; 정장,"traje regional : 민속 의상

traje de luces : 투우사 복장","1. Se puso el traje regional para la fiesta.

그는 축제를 위해 민속 의상을 입었다.

2. El traje de flamenca es bonito.

플라멩코 의상은 예쁘다.

3. Cada pueblo tiene su traje.

마을마다 고유의 의상이 있다.",
