챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
의사소통,aclaración,f. 해명; 설명,"pedir una aclaración : 해명을 요구하다

nota de aclaración : 설명 주석","1. Necesito una aclaración.

나는 설명(해명)이 필요하다.

2. Hizo una aclaración importante.

그는 중요한 해명을 했다.

3. Gracias por la aclaración.

설명해 줘서 고마워.",
의사소통,compromiso,m. 약속; 헌신; 곤란한 상황,"tener un compromiso : 선약이 있다

poner en un compromiso : 곤란하게 만들다","1. Tengo un compromiso mañana.

내일 약속이 있다.

2. Es un hombre de compromiso.

그는 약속을 잘 지키는 사람이다.

3. Adquirió un compromiso con la empresa.

그는 회사에 헌신하기로 했다.",
의사소통,comunicación,f. 의사소통; 통신,"medios de comunicación : 언론 매체

falta de comunicación : 소통 부재","1. La comunicación es importante.

의사소통은 중요하다.

2. Mejorar la comunicación.

소통을 개선하다.

3. Tienen problemas de comunicación.

그들은 소통에 문제가 있다.",
의사소통,confirmar,v. 확인하다; 확정하다,"confirmar la asistencia : 참석을 확인하다

confirmar el pedido : 주문을 확정하다","1. ¿Puedes confirmar tu asistencia?

참석 여부를 확인해 줄 수 있니?

2. Te confirmo la hora luego.

나중에 시간을 확정해 줄게.

3. Confirmó que era verdad.

그는 그게 사실임을 확인했다.","[현재]

confirmo / confirmas / confirma / confirmamos / confirmáis / confirman


[현재분사] : confirmando : [과거분사] : confirmado


[과거]

confirmé / confirmaste / confirmó / confirmamos / confirmasteis / confirmaron


[가정법]

confirmaría / confirmarías / confirmaría / confirmaríamos / confirmaríais / confirmarían


[접속법]

confirme / confirmes / confirme / confirmemos / confirméis / confirmen


[미래]

confirmaré / confirmarás / confirmará / confirmaremos / confirmaréis / confirmarán"
의사소통,conversación,f. 대화; 회화,"entablar una conversación : 대화를 트다

conversación fluida : 유창한 대화","1. Tuvimos una larga conversación.

우리는 긴 대화를 나눴다.

2. Cambia de conversación.

화제를 돌려라.

3. Fue una conversación interesante.

흥미로운 대화였다.",
의사소통,detallar,v. 상세히 설명하다,"detallar el plan : 계획을 상세히 말하다

informe detallado : 상세 보고서","1. Detalla los gastos.

지출을 상세히 기록해라.

2. Me detalló lo ocurrido.

그는 일어난 일을 자세히 설명했다.

3. No hace falta detallar tanto.

그렇게 자세히 설명할 필요 없다.","[현재]

detallo / detallas / detalla / detallamos / detalláis / detallan


[현재분사] : detallando : [과거분사] : detallado


[과거]

detallé / detallaste / detalló / detallamos / detallasteis / detallaron


[가정법]

detallaría / detallarías / detallaría / detallaríamos / detallaríais / detallarían


[접속법]

detalle / detalles / detalle / detallemos / detalléis / detallen


[미래]

detallaré / detallarás / detallará / detallaremos / detallaréis / detallarán"
의사소통,intención,f. 의도; 뜻,"tener la intención : 의도가 있다

mala intención : 악의","1. No era mi intención ofenderte.

너를 기분 나쁘게 할 의도는 아니었다.

2. Lo hizo con buena intención.

그는 좋은 의도로 했다.

3. ¿Cuál es tu intención?

네 의도가 뭐니?",
의사소통,llamar,v. 부르다; 전화하다,"llamar la atención : 주의를 끌다

llamar a la puerta : 문을 두드리다/노크하다","1. Te llamo más tarde.

나중에 전화할게.

2. ¿Cómo se llama esto en español?

이것은 스페인어로 뭐라고 부르니?

3. Alguien llamó a la policía al oír los gritos.

비명 소리를 듣고 누군가 경찰을 불렀다.",
의사소통,malentendido,m. 오해,"aclarar un malentendido : 오해를 풀다

fue un malentendido : 오해였어","1. Hubo un malentendido entre nosotros.

우리 사이에 오해가 있었다.

2. Quiero evitar malentendidos.

나는 오해를 피하고 싶다.

3. Todo fue un simple malentendido.

모든 건 단순한 오해였다.",
의사소통,petición,f. 요청; 청원,"bajo petición : 요청 시

hacer una petición : 요청하다","1. Hizo una petición al jefe.

상사에게 요청했다.

2. Denegaron mi petición.

내 요청을 거절했다.

3. Firmamos la petición.

우리는 청원서에 서명했다.",
