챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
이슈,alianza,f. 동맹; 결혼반지,"anillo de alianza : 결혼반지

formar una alianza : 동맹을 맺다","1. Hicieron una alianza estratégica.

그들은 전략적 동맹을 맺었다.

2. La alianza entre países es fuerte.

국가 간의 동맹은 강력하다.

3. Lleva una alianza de oro.

그는 금색 결혼반지를 끼고 있다.",
이슈,asilo,m. 망명; 피난처; 양로원,"pedir asilo político : 정치적 망명을 신청하다

dar asilo : 망명을 허가하다","1. Solicitó asilo en la embajada.

그는 대사관에 망명을 신청했다.

2. Le concedieron el asilo.

그들은 그에게 망명을 허가했다.

3. Vive en un asilo de ancianos.

그는 양로원에 산다.",
이슈,atentado,m. (테러) 공격; 범행,"atentado suicida : 자살 폭탄 테러

atentado contra : ~에 대한 공격/침해","1. Hubo un atentado en el metro.

지하철에서 테러가 있었다.

2. Sobrevivió al atentado.

그는 테러에서 살아남았다.

3. Es un atentado contra la libertad.

그것은 자유에 대한 침해다.",
이슈,consulado,m. 영사관,"visado del consulado : 영사관 비자

cónsul : 영사","1. El consulado tramita los visados.

영사관이 비자를 처리한다.

2. Está cerca del consulado.

영사관 근처에 있다.

3. Regístrate en el consulado si vives fuera.

외국에 산다면 영사관에 등록해라.",
이슈,desigualdad,f. 불평등,"desigualdad social : 사회적 불평등

reducir la desigualdad : 불평등을 줄이다","1. La desigualdad ha aumentado.

불평등이 증가했다.

2. Hay mucha desigualdad económica.

경제적 불평등이 심하다.

3. Protestan contra la desigualdad.

그들은 불평등에 항의한다.",
이슈,diplomacia,f. 외교; 수완,"vía diplomática : 외교적 경로

tener diplomacia : 처세술이 좋다","1. La diplomacia evitó la guerra.

외교가 전쟁을 막았다.

2. Estudia relaciones internacionales y diplomacia.

그는 국제 관계와 외교를 공부한다.

3. Hay que actuar con diplomacia.

외교적으로(수완 있게) 행동해야 한다.",
이슈,discriminación,f. 차별,"discriminación racial : 인종 차별

sufrir discriminación : 차별받다","1. No se tolera la discriminación.

차별은 용납되지 않는다.

2. Luchan contra la discriminación.

그들은 차별에 맞서 싸운다.

3. Es un acto de discriminación.

그것은 차별 행위다.",
이슈,embajada,f. 대사관,"ir a la embajada : 대사관에 가다

embajada de España : 스페인 대사관","1. Perdí el pasaporte y fui a la embajada.

여권을 잃어버려서 대사관에 갔다.

2. La embajada está en la capital.

대사관은 수도에 있다.

3. Protestaron frente a la embajada.

그들은 대사관 앞에서 시위했다.",
이슈,emigración,f. 이민 (나가는 것); 이주,"emigración masiva : 대량 이민

causas de la emigración : 이민의 원인","1. La emigración aumentó por la crisis.

위기로 인해 이민(유출)이 증가했다.

2. Es una historia de emigración.

이민 이야기다.

3. La emigración busca oportunidades.

이민은 기회를 찾아 떠나는 것이다.",
이슈,exilio,m. 망명; 유배,"estar en el exilio : 망명 중이다

gobierno en el exilio : 망명 정부","1. Volvió del exilio tras la dictadura.

그는 독재 이후 망명에서 돌아왔다.

2. Murió en el exilio.

그는 망명지에서 죽었다.

3. Fue forzado al exilio.

그는 망명을 강요당했다.",
이슈,feminismo,m. 페미니즘,"movimiento feminista : 페미니즘 운동

ser feminista : 페미니스트다","1. El feminismo busca la igualdad.

페미니즘은 평등을 추구한다.

2. Se unió al movimiento feminista.

그녀는 페미니즘 운동에 동참했다.

3. El feminismo ha logrado muchos avances.

페미니즘은 많은 진전을 이뤘다.",
이슈,igualdad,f. 평등,"igualdad de género : 성평등

luchar por la igualdad : 평등을 위해 싸우다","1. Creemos en la igualdad de oportunidades.

우리는 기회의 평등을 믿는다.

2. La igualdad ante la ley es fundamental.

법 앞의 평등은 기본이다.

3. Todavía falta para la igualdad real.

실질적 평등까지는 아직 멀었다.",
이슈,machismo,m. 남성 우월주의 (마초이즘),"actitud machista : 마초적 태도

micromachismo : 일상 속 성차별","1. El machismo mata.

남성 우월주의는 살인을 부른다 (여성 살해).

2. Debemos acabar con el machismo.

우리는 남성 우월주의를 끝내야 한다.

3. Es un comentario fruto del machismo.

그것은 마초이즘에서 나온 발언이다.",
이슈,protesta,f. 항의; 시위,"carta de protesta : 항의서

en señal de protesta : 항의의 표시로","1. La protesta fue pacífica.

시위(항의)는 평화적이었다.

2. Se unieron a la protesta.

그들은 시위에 합류했다.

3. Ignoraron sus protestas.

그들은 그의 항의를 무시했다.",
이슈,racismo,m. 인종 차별,"decir no al racismo : 인종 차별을 반대하다

ataque de racismo : 인종 차별 공격","1. El racismo es un delito de odio.

인종 차별은 증오 범죄다.

2. Hay que educar contra el racismo.

인종 차별에 반대하는 교육을 해야 한다.

3. Sufrió racismo en el trabajo.

그는 직장에서 인종 차별을 겪었다.",
이슈,refugiado,m. 난민,"campo de refugiados : 난민 수용소

crisis de refugiados : 난민 위기","1. Aceptaron a los refugiados.

그들은 난민을 받아들였다.

2. Huye de la guerra como refugiado.

그는 난민으로서 전쟁을 피해 달아난다.

3. Los refugiados necesitan asilo.

난민들은 망명이 필요하다.",
이슈,rescate,m. 구조; 몸값; 구제 금융,"pedir un rescate : 몸값을 요구하다

operación de rescate : 구조 작전","1. El rescate fue un éxito.

구조는 성공적이었다.

2. Pagaron el rescate del secuestrado.

그들은 피랍자의 몸값을 지불했다.

3. El país necesitó un rescate económico.

그 나라는 구제 금융이 필요했다.",
이슈,terrorismo,m. 테러리즘,"acto de terrorismo : 테러 행위

lucha antiterrorista : 대테러 활동","1. Condenamos el terrorismo.

우리는 테러리즘을 규탄한다.

2. Fue un ataque de terrorismo.

테러 공격이었다.

3. El terrorismo causa miedo.

테러리즘은 공포를 유발한다.",
이슈,tratado,m. 조약; 협정,"tratado de paz : 평화 조약

tratado de libre comercio : 자유 무역 협정 (FTA)","1. Firmaron un tratado internacional.

그들은 국제 조약에 서명했다.

2. El tratado entra en vigor hoy.

조약은 오늘 발효된다.

3. Rompieron el tratado.

그들은 조약을 파기했다.",
