챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
인생,boda,f. 결혼식,"ir de boda : 결혼식 하객으로 가다

vestido de boda : 웨딩드레스","1. Me invitaron a una boda.

나는 결혼식에 초대받았다.

2. La boda se celebró en una iglesia.

결혼식은 교회에서 거행되었다.

3. Fue la mejor boda a la que he asistido.

내가 참석한 최고의 결혼식이었다.",
인생,casado,m. 기혼자,"recién casado : 신혼부부

estar casado con : ~와 결혼한 상태다

여성형 : casada","1. Estoy casado y tengo dos hijos.

나는 결혼했고 아이가 둘 있다.

2. Ella es una mujer casada.

그녀는 기혼 여성이다.

3. Los recién casados se fueron de viaje.

신혼부부는 여행을 떠났다.",
인생,casarse,v. 결혼하다,"casarse con : ~와 결혼하다

casarse por la iglesia : 성당에서 결혼하다","1. Me caso el próximo mes.

나 다음 달에 결혼해.

2. Se casaron en secreto.

그들은 비밀리에 결혼했다.

3. Se casó con su mejor amigo.

그녀는 가장 친한 친구와 결혼했다.","[현재]

me caso / te casas / se casa / nos casamos / os casáis / se casan


[현재분사] : casándose : [과거분사] : casado


[과거]

me casé / te casaste / se casó / nos casamos / os casasteis / se casaron


[가정법]

me casaría / te casarías / se casaría / nos casaríamos / os casaríais / se casarían


[접속법]

me case / te cases / se case / nos casemos / os caséis / se casen


[미래]

me casaré / te casarás / se casará / nos casaremos / os casaréis / se casarán"
인생,crecer,v. 자라다; 성장하다,"ver crecer la hierba : 매우 지루하다

crecerse ante el castigo : 역경에 강해지다","1. Los niños crecen muy rápido.

아이들은 매우 빨리 자란다.

2. Crecí en un pueblo pequeño.

나는 작은 마을에서 자랐다.

3. La empresa ha crecido mucho este año.

회사가 올해 많이 성장했다.","[현재]

crezco / creces / crece / crecemos / crecíes / crecen


[현재분사] : creciendo : [과거분사] : crecido


[과거]

crecí / creciste / creció / crecimos / crecisteis / crecieron


[가정법]

crecería / crecerías / crecería / creceríamos / creceríais / crecerían


[접속법]

crezca / crezcas / crezca / crezcamos / crezcáis / crezcan


[미래]

creceré / crecerás / crecerá / creceremos / creceréis / crecerán"
인생,día,m. 날; 하루; 낮,"buenos días : 좋은 아침 (안녕하세요)

día a día : 매일매일","1. Hace un día precioso.

날씨가(하루가) 정말 좋다.

2. Trabajo todo el día.

하루 종일 일한다.

3. ¿Qué día es hoy?

오늘 무슨 요일이니?",
인생,divorciado,m. 이혼남,"padres divorciados : 이혼한 부모

여성형 : divorciada","1. Mi amigo es divorciado.

내 친구는 이혼남이다.

2. Es difícil para los hijos de divorciados.

이혼 가정의 자녀들에게는 힘든 일이다.

3. Se ha vuelto a casar un divorciado.

한 이혼남이 재혼했다.",
인생,divorciarse,v. 이혼하다,divorciarse de : ~와 이혼하다,"1. Mis padres se divorciaron.

우리 부모님은 이혼하셨다.

2. Quiere divorciarse de su marido.

그녀는 남편과 이혼하고 싶어 한다.

3. Se divorciaron de mutuo acuerdo.

그들은 합의 이혼했다.","[현재]

me divorcio / te divorcias / se divorcia / nos divorciamos / os divorciáis / se divorcian


[현재분사] : divorciándose : [과거분사] : divorciado


[과거]

me divorcié / te divorciaste / se divorció / nos divorciamos / os divorciasteis / se divorciaron


[가정법]

me divorciaría / te divorciarías / se divorciaría / nos divorciaríamos / os divorciaríais / se divorciarían


[접속법]

me divorcie / te divorcies / se divorcie / nos divorciemos / os divorciéis / se divorcien


[미래]

me divorciaré / te divorciarás / se divorciará / nos divorciaremos / os divorciaréis / se divorciarán"
인생,herencia,f. 유산; 상속,"recibir una herencia : 유산을 상속받다

impuesto de sucesiones : 상속세","1. Recibió una herencia de su tía.

그는 이모에게서 유산을 받았다.

2. La herencia causó disputas familiares.

유산이 가족 분쟁을 일으켰다.

3. Renunció a la herencia por las deudas.

빚 때문에 그는 상속을 포기했다.",
인생,jubilación,f. 은퇴; 퇴직; 연금,"edad de jubilación : 정년 (은퇴 연령)

plan de jubilación : 연금 계획","1. Piensa en su jubilación.

그는 은퇴를 생각한다.

2. La edad de jubilación es a los 67 años.

정년은 67세이다.

3. Cobra una buena jubilación.

그는 넉넉한 연금을 받는다.",
인생,jubilarse,v. 은퇴하다; 정년퇴직하다,"jubilarse anticipadamente : 조기 은퇴하다

estar jubilado : 은퇴했다","1. Mi padre se jubila este año.

아버지는 올해 은퇴하신다.

2. Quiere jubilarse joven y viajar.

그는 젊어서 은퇴하고 여행하고 싶어 한다.

3. Se jubiló después de 40 años trabajando.

그는 40년 근무 후 은퇴했다.","[현재]

me jubilo / te jubilas / se jubila / nos jubilamos / os jubiláis / se jubilan


[현재분사] : jubilándose : [과거분사] : jubilado


[과거]

me jubilé / te jubilaste / se jubiló / nos jubilamos / os jubilasteis / se jubilaron


[가정법]

me jubilaría / te jubilarías / se jubilaría / nos jubilaríamos / os jubilaríais / se jubilarían


[접속법]

me jubile / te jubiles / se jubile / nos jubilemos / os jubiléis / se jubilen


[미래]

me jubilaré / te jubilarás / se jubilará / nos jubilaremos / os jubilaréis / se jubilarán"
인생,matrimonio,m. 결혼; 부부,"pedir en matrimonio : 청혼하다

matrimonio civil : 민사 결혼 (법적 혼인)","1. El matrimonio es un paso importante.

결혼은 중요한 단계다.

2. Son un matrimonio feliz.

그들은 행복한 부부다.

3. El matrimonio se anuló poco después.

그 결혼은 얼마 안 가 무효가 되었다.",
인생,morir,v. 죽다,"morir de risa : 웃겨 죽다

morir con las botas puestas : 일하다 죽다 (현역으로 죽다)","1. Su abuelo murió el año pasado.

그의 할아버지는 작년에 돌아가셨다.

2. Mucha gente muere de hambre.

많은 사람들이 굶주림으로 죽는다.

3. Murió por defender sus ideales.

그는 신념을 지키다 죽었다.","[현재]

muero / mueres / muere / morimos / morís / mueren


[현재분사] : muriendo : [과거분사] : muerto


[과거]

morí / moriste / murió / morimos / moristeis / murieron


[가정법]

moriría / morirías / moriría / moriríamos / moriríais / morirían


[접속법]

muera / mueras / muera / muramos / muráis / mueran


[미래]

moriré / morirás / morirá / moriremos / moriréis / morirán"
인생,muerte,f. 죽음; 사망,"pena de muerte : 사형

a muerte : 죽기 살기로 / 끝까지","1. La muerte es parte de la vida.

죽음은 삶의 일부이다.

2. Su muerte fue una gran pérdida para todos.

그의 죽음은 모두에게 큰 상실이었다.

3. No hay que temer a la muerte, sino a una vida no vivida.

죽음을 두려워할 게 아니라, 제대로 살지 못한 삶을 두려워해야 한다.",
인생,nacer,v. 태어나다,"nacer de pie : 운이 좋다

volver a nacer : 구사일생하다 (다시 태어나다)","1. Mi hijo nació en abril.

내 아들은 4월에 태어났다.

2. Aquí nació un gran artista.

여기서 위대한 예술가가 태어났다.

3. Nació con un pan bajo el brazo.

그는 복을 타고났다 (팔 아래 빵을 끼고 태어났다).","[현재]

nazco / naces / nace / nacemos / nacéis / nacen


[현재분사] : naciendo : [과거분사] : nacido


[과거]

nací / naciste / nació / nacimos / nacisteis / nacieron


[가정법]

nacería / nacerías / nacería / naceríamos / naceríais / nacerían


[접속법]

nazca / nazcas / nazca / nazcamos / nazcáis / nazcan


[미래]

naceré / nacerás / nacerá / naceremos / naceréis / nacerán"
인생,separado,m. 별거남,"vivir separado : 따로 살다

여성형 : separada","1. Están separados, pero no divorciados.

그들은 별거 중이지만 이혼하진 않았다.

2. Vive separado de su familia.

그는 가족과 떨어져 산다.

3. Es legalmente separado.

그는 법적으로 별거 상태다.",
인생,soltero,m. 미혼남; 독신,"despedida de soltero : 총각 파티

madre soltera : 미혼모

여성형 : soltera","1. Mi tío sigue soltero.

내 삼촌은 여전히 독신이다.

2. Disfruta de su vida de soltero.

그는 독신 생활을 즐긴다.

3. Es el soltero más codiciado.

그는 가장 탐나는 신랑감이다.",
