챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
자연,acantilado,m. 절벽; 벼랑,"caer por el acantilado : 절벽에서 떨어지다

al borde del acantilado : 벼랑 끝에","1. La casa está sobre el acantilado.

집은 절벽 위에 있다.

2. Las olas golpean el acantilado.

파도가 절벽을 때린다.

3. Las vistas desde el acantilado son increíbles.

절벽에서의 전망은 놀랍다.",
자연,aire,m. 공기; 바람,"aire puro : 맑은 공기

al aire libre : 야외에서","1. Abre la ventana para que entre aire.

공기가 들어오게 창문을 열어라.

2. Necesito respirar aire fresco.

신선한 공기를 마셔야 한다.

3. Vamos a comer al aire libre.

야외에서 밥 먹자.",
자연,altitud,f. 고도; 해발,"gran altitud : 높은 고도

mal de altura : 고산병","1. El avión vuela a gran altitud.

비행기는 높은 고도로 난다.

2. La ciudad está a mucha altitud.

도시는 높은 고도에 위치해 있다.

3. Me cuesta respirar por la altitud.

고도 때문에 숨쉬기가 힘들다.",
자연,amanecer,v. 날이 밝다; 동트다,"al amanecer : 동틀 녘에

amanecerá y veremos : 내일은 내일의 해가 뜬다","1. Mañana amanecerá a las siete.

내일 7시에 해가 뜰 것이다.

2. Me gusta ver amanecer.

나는 해돋이 보는 것을 좋아한다.

3. Amaneció nublado.

아침에 흐렸다 (흐리게 날이 밝았다).",
자연,anochecer,v. 날이 저물다; 어두워지다,"al anochecer : 해 질 녘에

anochece temprano : 해가 일찍 진다","1. En invierno anochece pronto.

겨울에는 해가 일찍 진다.

2. Llegamos al anochecer.

우리는 날이 저물 때 도착했다.

3. Espera a que anochezca.

날이 어두워질 때까지 기다려라.",
자연,árbol,m. 나무,"árbol genealógico : 가계도

subirse al árbol : 나무에 오르다","1. El árbol da sombra.

나무가 그늘을 준다.

2. Las hojas del árbol caen.

나뭇잎이 떨어진다.

3. Plantamos un árbol ayer.

우리는 어제 나무를 심었다.",
자연,arena,f. 모래,"castillo de arena : 모래성

reloj de arena : 모래시계","1. La arena quema los pies.

모래가 발을 뜨겁게 한다.

2. Escribió su nombre en la arena.

그는 모래에 이름을 썼다.

3. Sacúdete la arena.

모래를 털어라.",
자연,árido,a. 건조한; 메마른,"clima árido : 건조 기후

tierra árida : 불모지","1. El desierto es árido.

사막은 건조하다.

2. Es un terreno árido y seco.

메마르고 건조한 땅이다.

3. No crece nada en esta zona árida.

이 건조한 지역에는 아무것도 자라지 않는다.",
자연,boscoso,a. 숲이 우거진,"zona boscosa : 삼림 지대

terreno boscoso : 숲이 많은 땅","1. Es un área muy boscosa.

숲이 매우 우거진 지역이다.

2. Se escondió en el terreno boscoso.

그는 숲속에 숨었다.

3. El camino atraviesa la parte boscosa.

길은 숲이 우거진 곳을 통과한다.",
자연,bosque,m. 숲; 삼림,"frutas del bosque : 산딸기류

el rey del bosque : 숲의 왕","1. Nos perdimos en el bosque.

우리는 숲에서 길을 잃었다.

2. El bosque tiene árboles altos.

숲에는 키 큰 나무들이 있다.

3. Hay que proteger los bosques.

숲을 보호해야 한다.",
자연,brotar,v. 싹트다; 솟아나다,"brotar el agua : 물이 솟아나다

brotar la idea : 아이디어가 떠오르다","1. La planta empezó a brotar.

식물이 싹트기 시작했다.

2. Las lágrimas brotaron de sus ojos.

그녀의 눈에서 눈물이 솟아났다.

3. El agua brota de la fuente.

샘에서 물이 솟아난다.",
자연,campo,m. 시골; 들판; 분야,"casa de campo : 시골집

campo de batalla : 전장","1. Vivimos en el campo.

우리는 시골에 산다.

2. El campo está verde en primavera.

봄에는 들판이 푸르다.

3. Es un experto en su campo.

그는 자기 분야의 전문가다.",
자연,cascada,f. 폭포,"caída de agua : 폭포 (동의어)

en cascada : 폭포처럼 (순차적으로)","1. Visitamos una cascada hermosa.

우리는 아름다운 폭포를 방문했다.

2. El agua cae en cascada.

물이 폭포처럼 쏟아진다.

3. Nos bañamos bajo la cascada.

우리는 폭포 아래서 수영했다.",
자연,cielo,m. 하늘; 천국,"¡Cielo santo! : 맙소사!

caído del cielo : 뜻밖에 얻은 (하늘에서 떨어진)","1. El cielo es azul.

하늘은 파랗다.

2. Las nubes cubren el cielo.

구름이 하늘을 덮고 있다.

3. Mi abuela está en el cielo.

할머니는 천국에 계신다.",
자연,colina,f. 언덕; 낮은 산,"subir la colina : 언덕을 오르다

detrás de la colina : 언덕 너머에","1. La casa está sobre la colina.

집은 언덕 위에 있다.

2. Bajamos rodando por la colina.

우리는 언덕을 굴러 내려갔다.

3. Desde la colina se ve el mar.

언덕에서 바다가 보인다.",
자연,costa,f. 해안; 연안,"costa azul : 코트다쥐르 (프랑스 해안)

a toda costa : 무슨 수를 써서라도","1. Vivo en la costa.

나는 해안가에 산다.

2. La costa tiene playas bonitas.

해안에는 예쁜 해변들이 있다.

3. Recorrimos la costa en coche.

우리는 차로 해안을 돌아다녔다.",
자연,cueva,f. 동굴,"hombre de las cavernas/cuevas : 원시인

pinturas de la cueva : 동굴 벽화","1. El oso duerme en la cueva.

곰은 동굴에서 잔다.

2. Entramos en la cueva oscura.

우리는 어두운 동굴로 들어갔다.

3. La cueva tiene estalactitas.

그 동굴에는 종유석이 있다.",
자연,desierto,m. 사막; a. 황량한,"isla desierta : 무인도

predicar en el desierto : 쇠귀에 경 읽기 (아무도 안 듣는데 설교하다)","1. El Sahara es un desierto grande.

사하라는 큰 사막이다.

2. No hay agua en el desierto.

사막에는 물이 없다.

3. La calle estaba desierta.

거리는 텅 비어 있었다.",
자연,ecosistema,m. 생태계,"proteger el ecosistema : 생태계를 보호하다

equilibrio del ecosistema : 생태계의 균형","1. El bosque es un ecosistema complejo.

숲은 복잡한 생태계다.

2. La contaminación daña el ecosistema.

오염은 생태계를 해친다.

3. Cada animal tiene su función en el ecosistema.

모든 동물은 생태계에서 자기 역할이 있다.",
자연,erosión,f. 침식; 부식,"erosión del suelo : 토양 침식

causar erosión : 침식을 일으키다","1. El viento causa erosión.

바람은 침식을 일으킨다.

2. La erosión desgasta las rocas.

침식은 바위를 닳게 한다.

3. Combatir la erosión plantando árboles.

나무를 심어 침식을 막아라.",
