챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
주택,alquiler,"m. 임대, 집세","piso de alquiler : 임대 아파트

coche de alquiler : 렌터카","1. El alquiler es caro en esta zona.

이 구역은 집세가 비싸다.

2. Busco un piso de alquiler.

나는 전월세 아파트를 찾고 있다.

3. El contrato de alquiler termina pronto.

임대 계약이 곧 끝난다.",
주택,apartamento,m. 아파트 (주로 소형),apartamento de lujo : 고급 아파트,"1. Alquilo un apartamento en la playa.

해변가 아파트를 임대한다.

2. Es un apartamento amueblado.

그것은 가구가 비치된 아파트다.

3. Busca un apartamento céntrico.

그는 도심의 아파트를 찾고 있다.",
주택,ático,m. 옥탑방; 펜트하우스,"vivir en un ático : 펜트하우스에 살다

terraza del ático : 옥상 테라스","1. El ático tiene buenas vistas.

옥탑방은 전망이 좋다.

2. Compró un ático en el centro.

그는 시내에 펜트하우스를 샀다.

3. Hace calor en el ático en verano.

여름에는 옥탑방이 덥다.",
주택,azulejo,m. 타일,"poner azulejos : 타일을 붙이다

azulejo portugués : 포르투갈 타일","1. Los azulejos del baño son azules.

욕실 타일은 파란색이다.

2. Limpia los azulejos de la cocina.

부엌 타일을 닦아라.

3. Es un mosaico de azulejos.

타일 모자이크다.",
주택,balcón,m. 발코니,salir al balcón : 발코니에 나가다,"1. Hay flores en el balcón.

발코니에 꽃들이 있다.

2. Veo la calle desde el balcón.

발코니에서 거리가 보인다.

3. Fumaba un cigarrillo en el balcón.

그는 발코니에서 담배를 피우고 있었다.",
주택,baño,m. 욕실; 화장실,"cuarto de baño : 욕실

darse un baño : 목욕하다","1. Voy al baño.

화장실에 다녀올게.

2. El baño tiene una bañera grande.

욕실에 큰 욕조가 있다.

3. Necesito reformar el baño.

나는 욕실을 리모델링해야 한다.",
주택,caldera,f. 보일러; 솥,"cuarto de calderas : 보일러실

revisión de la caldera : 보일러 점검","1. La caldera se ha estropeado.

보일러가 고장 났다.

2. Enciende la caldera para la ducha.

샤워하게 보일러를 켜라.

3. La caldera calienta el agua.

보일러가 물을 데운다.",
주택,casa,f. 집; 주택,"en casa : 집에, 집에서

casa de campo : 별장 (시골집)","1. Voy a casa ahora.

나 지금 집에 가.

2. Esta casa tiene tres habitaciones.

이 집은 방이 세 개다.

3. Se siente como en su propia casa.

그는 자기 집처럼 편안해한다.",
주택,chimenea,f. 벽난로; 굴뚝,"encender la chimenea : 벽난로를 켜다

fumar como una chimenea : 줄담배를 피우다","1. Sale humo por la chimenea.

굴뚝에서 연기가 나온다.

2. Nos sentamos frente a la chimenea.

우리는 벽난로 앞에 앉았다.

3. Papá Noel entra por la chimenea.

산타클로스는 굴뚝으로 들어온다.",
주택,comedor,m. 식당 (집안의); 급식소,comedor social : 무료 급식소,"1. Comemos en el comedor.

우리는 식당에서 밥을 먹는다.

2. Tienen una mesa grande en el comedor.

그들은 식당에 큰 테이블이 있다.

3. El colegio tiene un comedor amplio.

그 학교는 넓은 급식소가 있다.",
주택,construir,"v. 짓다, 건설하다",construir castillos en el aire : 공중누각을 짓다,"1. Van a construir un puente.

다리를 건설할 것이다.

2. Construyeron su casa ellos mismos.

그들은 직접 집을 지었다.

3. Se construyó en el siglo pasado.

그것은 지난 세기에 지어졌다.","[현재]

construyo / construyes / construye / construimos / construís / construyen


[현재분사] : construyendo : [과거분사] : construido


[과거]

construí / construiste / construyó / construimos / construisteis / construyeron


[가정법]

construiría / construirías / construiría / construiríamos / construiríais / construirían


[접속법]

construya / construyas / construya / construyamos / construyáis / construyan


[미래]

construiré / construirás / construirá / construiremos / construiréis / construirán"
주택,cuarto,m. 방; 4분의 1,"cuarto de baño : 욕실

cuarto de estar : 거실","1. Estoy en mi cuarto.

나는 내 방에 있다.

2. Limpia tu cuarto.

네 방 청소해라.

3. Falta un cuarto para las tres.

3시 15분 전이다.",
주택,dormitorio,m. 침실,dormitorio principal : 안방,"1. El bebé duerme en el dormitorio.

아기가 침실에서 자고 있다.

2. Pinto las paredes del dormitorio.

나는 침실 벽을 칠하고 있다.

3. Es un dormitorio con vistas al mar.

바다 전망이 있는 침실이다.",
주택,enchape,m. 베니어; 타일 붙이기 (중남미),"enchape de madera : 목재 베니어

enchape de oro : 도금","1. El mueble tiene un enchape de roble.

그 가구는 오크 무늬목(베니어)이다.

2. Están poniendo el enchape en el baño.

그들은 욕실에 타일을 붙이고 있다.

3. Es de oro, no es un enchape.

진짜 금이다, 도금이 아니다.",
주택,escalera,f. 계단; 사다리,"escalera de caracol : 나선형 계단

escaleras mecánicas : 에스컬레이터","1. Subo por las escaleras.

나는 계단으로 올라간다.

2. Se cayó por la escalera.

그는 계단에서 넘어졌다.

3. Necesito una escalera para pintar.

칠을 하려면 사다리가 필요하다.",
주택,garaje,m. 차고,plaza de garaje : 주차 공간,"1. El coche está en el garaje.

차는 차고에 있다.

2. La puerta del garaje es automática.

차고 문은 자동이다.

3. Alquilo una plaza de garaje.

나는 주차 공간을 임대한다.",
주택,hogar,m. 가정; 집,"hogar, dulce hogar : 즐거운 나의 집

formar un hogar : 가정을 꾸리다","1. El fuego calienta el hogar.

불이 집안을 따뜻하게 한다.

2. Es un hogar para ancianos.

그곳은 양로원이다.

3. Nada es mejor que el calor del hogar.

가정의 온기보다 좋은 것은 없다.",
주택,jardín,m. 정원,"jardín de infancia : 유치원

meterse en un jardín : 곤란한 일에 말려들다","1. Tienen un jardín bonito.

그들은 예쁜 정원을 가지고 있다.

2. Riego las plantas del jardín.

나는 정원 식물에 물을 준다.

3. No te metas en jardines que no conoces.

잘 모르는 복잡한 일에 끼어들지 마라.",
