챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
직장,capacidad,f. 능력; 수용력,"capacidad de trabajo : 업무 능력

capacidad de adaptación : 적응력","1. Tiene capacidad para liderar.

그는 리더십 능력이 있다.

2. La fábrica está a plena capacidad.

공장이 풀가동 중이다.

3. Demostró su capacidad intelectual.

그는 지적 능력을 증명했다.",
직장,colega,m.f. 동료 (전문직/친근함),"ser colegas : 동료 사이다

buen colega : 좋은 동료/친구","1. Salí a comer con un colega.

나는 동료와 점심을 먹으러 나갔다.

2. Los médicos consultan con sus colegas.

의사들은 동료들과 상의한다.

3. Es más que un colega, es un amigo.

그는 동료 이상인 친구다.",
직장,compañero,m. 동료; 짝; 파트너,"compañero de trabajo : 직장 동료

compañero de piso : 룸메이트","1. Mis compañeros son muy simpáticos.

내 동료들은 매우 호감 간다.

2. Ayudé a mi compañero con su proyecto.

나는 동료의 프로젝트를 도와주었다.

3. Es fundamental tener una buena relación con los compañeros de clase.

반 친구들과 좋은 관계를 유지하는 것은 필수적이다.",
직장,departamento,m. 부서; (중남미) 아파트,"jefe de departamento : 부서장

departamento de ventas : 영업부","1. Trabajo en el departamento de marketing.

나는 마케팅 부서에서 일한다.

2. El departamento de recursos humanos está allí.

인사부는 저기에 있다.

3. Cada departamento tiene su presupuesto.

각 부서는 자체 예산이 있다.",
직장,director,m. 이사; 국장; 감독,"director general : CEO / 대표이사

director de cine : 영화감독","1. El director presidió la reunión.

이사가 회의를 주재했다.

2. Quiero hablar con el director del banco.

은행 지점장과 이야기하고 싶다.

3. La directora aprobó el proyecto.

이사님(여성)이 프로젝트를 승인했다.",
직장,empleado,m. 종업원; 직원; 회사원,"empleado del mes : 이달의 직원

ser empleado : 고용되다","1. La tienda tiene tres empleados.

그 가게에는 직원이 세 명 있다.

2. Los empleados piden un aumento.

직원들은 인상을 요구한다.

3. Es un empleado muy eficiente.

그는 매우 유능한 직원이다.",
직장,empleo,m. 고용; 일자리,"agencia de empleo : 직업 소개소

crear empleo : 일자리를 창출하다","1. Consiguió un empleo en el banco.

그는 은행에 일자리를 얻었다.

2. La tasa de empleo ha subido.

고용률이 상승했다.

3. Es un empleo a tiempo completo.

풀타임 일자리다.",
직장,empresa,f. 회사; 기업,"montar una empresa : 회사를 세우다

empresa multinacional : 다국적 기업","1. Trabajo en una empresa grande.

나는 큰 회사에서 일한다.

2. La empresa tiene muchos beneficios.

그 회사는 이익을 많이 낸다.

3. Es una empresa familiar.

가족 경영 기업이다.",
직장,equipo,m. 팀; 장비,"trabajo en equipo : 팀워크

equipo directivo : 경영진","1. Formamos un buen equipo.

우리는 좋은 팀을 이룬다.

2. El equipo se reúne los lunes.

팀은 월요일마다 모인다.

3. Mi ordenador es un equipo antiguo.

내 컴퓨터는 오래된 장비다.",
직장,éxito,m. 성공,"tener éxito : 성공하다

sin éxito : 성과 없이","1. El proyecto fue un gran éxito.

프로젝트는 대성공이었다.

2. Le deseo mucho éxito en su nuevo puesto.

새 직책에서 성공하시길 바랍니다.

3. La clave del éxito es el trabajo duro.

성공의 열쇠는 근면함이다.",
직장,experiencia,f. 경험; 경력,"tener experiencia : 경력이 있다

falta de experiencia : 경험 부족","1. Tengo cinco años de experiencia.

나는 5년의 경력이 있다.

2. La experiencia es un grado.

경험은 중요하다 (계급장이다).

3. Fue una experiencia inolvidable.

잊을 수 없는 경험이었다.",
직장,experto,m. 전문가; a. 능숙한,"ser experto en : ~에 전문가다

opinión de experto : 전문가 의견","1. Es un experto en informática.

그는 컴퓨터 전문가다.

2. Buscamos manos expertas.

우리는 숙련된 손길을 찾고 있다.

3. Consultaron a un experto legal.

그들은 법률 전문가에게 자문했다.",
직장,fábrica,f. 공장,"fábrica de coches : 자동차 공장

trabajar en una fábrica : 공장에서 일하다","1. La fábrica cerró sus puertas.

공장이 문을 닫았다.

2. Sale humo de la fábrica.

공장에서 연기가 나온다.

3. Producen zapatos en esta fábrica.

이 공장에서 신발을 생산한다.",
직장,habilidad,f. 기술; 능력; 솜씨,"habilidad manual : 손재주

juego de habilidad : 기술 게임","1. Tiene mucha habilidad para negociar.

그는 협상 능력이 탁월하다.

2. Desarrolla tus habilidades.

너의 기술을 개발해라.

3. Se requiere habilidad con los números.

숫자를 다루는 능력이 요구된다.",
직장,hora extra,f. 초과 근무; 야근,"hacer horas extras : 야근하다

pagar las horas extras : 초과 수당을 주다","1. Ayer hice dos horas extras.

어제 2시간 야근했다.

2. No me pagan las horas extras.

초과 근무 수당을 안 준다.

3. Evito hacer horas extras si puedo.

가능하면 야근을 피한다.",
직장,informe,m. 보고서; 리포트,"redactar un informe : 보고서를 작성하다

informe anual : 연례 보고서","1. Tengo que entregar el informe hoy.

오늘 보고서를 제출해야 한다.

2. El informe detalla los gastos.

보고서에 지출 내역이 상세히 나와 있다.

3. Leyó el informe con atención.

그는 보고서를 주의 깊게 읽었다.",
직장,jefe,m. 상사; 우두머리,"jefe de equipo : 팀장

por orden del jefe : 상사의 지시로","1. El jefe me ha llamado a su despacho.

상사가 나를 그의 사무실로 불렀다.

2. Quiero pedirle un aumento de sueldo a mi jefe.

나는 상사에게 월급 인상을 요청하고 싶다.

3. Un buen jefe debe saber escuchar a sus empleados.

좋은 상사는 직원들의 말을 경청할 줄 알아야 한다.",
직장,negocio,m. 사업; 거래; 가게,"hombre de negocios : 사업가

hacer negocio : 거래를 성사시키다/돈을 벌다","1. El negocio va viento en popa.

사업이 순조롭게 진행되고 있다.

2. Abrimos un negocio de ropa.

우리는 옷 가게(사업)를 열었다.

3. No mezcles amistad con negocios.

우정과 사업을 섞지 마라.",
직장,objetivo,m. 목표; 목적; a. 객관적인,"cumplir el objetivo : 목표를 달성하다

objetivo principal : 주된 목표","1. Nuestro objetivo es aumentar las ventas.

우리의 목표는 매출 증대다.

2. Tienes que fijarte objetivos claros.

너는 명확한 목표를 세워야 한다.

3. Es difícil ser objetivo en este asunto.

이 문제에 대해 객관적이기는 어렵다.",
직장,oficina,f. 사무실,"horas de oficina : 근무 시간

material de oficina : 사무용품","1. La oficina abre a las nueve.

사무실은 9시에 문을 연다.

2. Comparto la oficina con dos compañeros.

나는 두 명의 동료와 사무실을 같이 쓴다.

3. Prefiero trabajar desde casa en lugar de ir a la oficina todos los días.

나는 매일 사무실에 가는 것보다 집에서 일하는 것을 선호한다.",
직장,personal,m. 직원(전체); 인사; a. 개인적인,"departamento de personal : 인사과

falta de personal : 인력 부족","1. Solo personal autorizado.

관계자 외 출입 금지.

2. Necesitamos más personal.

우리는 인력이 더 필요하다.

3. Es una cuestión personal.

그것은 개인적인 문제다.",
직장,plazo,m. 기한; 기간; 할부,"a largo plazo : 장기적으로

cumplir el plazo : 기한을 지키다","1. El plazo de entrega es mañana.

납품 기한은 내일이다.

2. Pagamos el coche a plazos.

우리는 차를 할부로 샀다.

3. Se acabó el plazo de inscripción.

등록 기한이 마감되었다.",
직장,profesional,a. 전문적인; m.f. 전문가,"ser muy profesional : 매우 프로페셔널하다

formación profesional (FP) : 직업 훈련","1. Necesitamos un fontanero profesional.

우리는 전문 배관공이 필요하다.

2. Es muy profesional en su trabajo.

그는 일에 있어 매우 전문적이다.

3. Actuó de manera poco profesional.

그는 비전문적으로 행동했다.",
직장,puesto,m. 직위; 자리; 노점,"puesto de trabajo : 일자리/직위

ocupar un puesto : 직책을 맡다","1. Solicité el puesto de gerente.

나는 매니저 직위에 지원했다.

2. Ha logrado un buen puesto.

그는 좋은 자리를 얻었다.

3. El puesto requiere experiencia previa.

그 직위는 사전 경험을 요한다.",
직장,reunión,f. 회의; 모임,"sala de reuniones : 회의실

convocar una reunión : 회의를 소집하다","1. Tenemos una reunión importante mañana.

우리는 내일 중요한 회의가 있다.

2. La reunión duró más de dos horas.

회의는 2시간 넘게 지속되었다.

3. Se ha pospuesto la reunión hasta la semana que viene.

회의가 다음 주까지 연기되었다.",
직장,secretario,m. 비서; 총무,"secretario general : 사무총장

contestador automático : 자동응답기 (비서 역할)","1. La secretaria tomó nota.

비서가 받아 적었다.

2. Llama a mi secretario para pedir cita.

예약을 잡으려면 내 비서에게 전화해라.

3. El secretario organizó la agenda.

비서가 일정을 정리했다.",
직장,trabajar,v. 일하다; 근무하다,"trabajar de sol a sol : 해가 떠서 질 때까지 일하다 (매우 열심히 일하다)

trabajar a tiempo parcial : 아르바이트/파트타임으로 일하다","1. Trabajo en una oficina en el centro.

나는 시내에 있는 사무실에서 일한다.

2. Mi padre ha trabajado en la misma empresa durante veinte años.

우리 아버지는 20년 동안 같은 회사에서 일하셨다.

3. Es admirable ver cómo trabaja sin descanso para lograr sus metas.

목표를 달성하기 위해 쉬지 않고 일하는 그의 모습은 존경스럽다.","[현재]

trabajo / trabajas / trabaja / trabajamos / trabajáis / trabajan


[현재분사] : trabajando : [과거분사] : trabajado


[과거]

trabajé / trabajaste / trabajó / trabajamos / trabajasteis / trabajaron


[가정법]

trabajaría / trabajarías / trabajaría / trabajaríamos / trabajaríais / trabajarían


[접속법]

trabaje / trabajes / trabaje / trabajemos / trabajéis / trabajen


[미래]

trabajaré / trabajarás / trabajará / trabajaremos / trabajaréis / trabajarán"
