챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
채소,ajo,m. 마늘,"diente de ajo : 마늘 한 쪽

pan de ajo : 마늘빵","1. El ajo es bueno para la salud.

마늘은 건강에 좋다.

2. Echa un poco de ajo picado.

다진 마늘을 조금 넣어라.

3. El olor a ajo es muy fuerte y persistente.

마늘 냄새는 매우 강하고 오래간다.",
채소,cebolla,f. 양파,"cortar la cebolla : 양파를 썰다

cebolla caramelizada : 카라멜라이징한 양파","1. Lloro cuando corto cebolla.

나는 양파를 썰 때 눈물이 난다.

2. No me gusta la cebolla cruda.

나는 생양파를 좋아하지 않는다.

3. La cebolla le da un sabor especial al guiso.

양파는 스튜에 특별한 맛을 준다.",
채소,fresa,f. 딸기,"fresas con nata : 생크림을 얹은 딸기

color fresa : 딸기색","1. La temporada de fresas es en primavera.

딸기 제철은 봄이다.

2. Me encantan las fresas con chocolate.

나는 초콜릿을 곁들인 딸기를 정말 좋아한다.

3. Compramos una caja de fresas en el mercado.

우리는 시장에서 딸기 한 상자를 샀다.",
채소,fruta,f. 과일,"fruta del tiempo : 제철 과일

fruta seca : 견과류/말린 과일","1. Como mucha fruta todos los días.

나는 매일 과일을 많이 먹는다.

2. La fruta está muy madura.

과일이 아주 잘 익었다.

3. Es recomendable comer al menos cinco piezas de fruta y verdura al día.

하루에 적어도 다섯 개의 과일과 채소를 먹는 것이 권장된다.",
채소,hoja,f. 종이; (불만 신고) 서식,"hoja de reclamaciones : 불만 신고서 (공식 문서)

rellenar una hoja : 서류를 작성하다","1. ¿Tienen hoja de reclamaciones?

불만 신고서 있나요?

2. Rellene esta hoja, por favor.

이 서류를 작성해 주세요.

3. Firmó la hoja de entrega.

그는 배송 확인서에 서명했다.",
채소,lechuga,f. 상추; 양상추,"fresco como una lechuga : 아주 생생한/상쾌한

ensalada de lechuga : 상추 샐러드","1. Lava bien la lechuga.

상추를 잘 씻어라.

2. La lechuga es la base de la ensalada.

상추는 샐러드의 기본이다.

3. Compré una lechuga fresca.

싱싱한 상추를 샀다.",
채소,limón,m. 레몬,"té con limón : 레몬티

amargo como un limón : (비유) 시다 / 성격이 꼬였다","1. Pon un poco de limón en el pescado.

생선에 레몬을 조금 뿌려라.

2. El zumo de limón es muy ácido.

레몬즙은 매우 시다.

3. Hizo una limonada casera con limones frescos.

그는 신선한 레몬으로 수제 레모네이드를 만들었다.",
채소,mango,m. 망고; 손잡이,"tener la sartén por el mango : 주도권을 쥐다

mango del cuchillo : 칼 손잡이","1. El mango es una fruta tropical.

망고는 열대 과일이다.

2. Pela el mango con cuidado.

조심해서 망고 껍질을 까라.

3. Se rompió el mango de la puerta.

문손잡이가 부러졌다.",
채소,manzana,f. 사과; (도시의) 블록,"tarta de manzana : 애플파이

manzana de la discordia : 불화의 씨앗","1. Una manzana al día mantiene al médico en la lejanía.

하루 사과 한 알이면 의사가 필요 없다.

2. Me gusta la manzana verde porque es ácida.

나는 신맛이 나서 청사과를 좋아한다.

3. Peló la manzana con un cuchillo.

그는 칼로 사과를 깎았다.",
채소,melón,m. 멜론,"abrir el melón : (복잡한) 문제를 꺼내다

cabeza de melón : (속어) 멍청이","1. El melón con jamón es típico.

멜론과 하몽은 전형적인 요리다.

2. Este melón está muy dulce.

이 멜론은 아주 달다.

3. Compramos un melón en el mercado.

시장에서 멜론 한 통을 샀다.",
채소,naranja,f. 오렌지; a. 주황색,"zumo de naranja : 오렌지 주스

media naranja : 천생연분 / 반쪽","1. Valencia es famosa por sus naranjas.

발렌시아는 오렌지로 유명하다.

2. Exprime la naranja para hacer zumo.

주스를 만들기 위해 오렌지를 짜라.

3. Esta naranja tiene muchas pepitas.

이 오렌지에는 씨가 많다.",
채소,orgánico,a. 유기농의; 유기적인,"basura orgánica : 유기농 쓰레기 (음식물)

agricultura orgánica : 유기농업","1. La fruta es orgánica.

과일이 유기농이다.

2. Tira las cáscaras a lo orgánico.

껍질은 유기농 쓰레기(음식물)에 버려라.

3. No usa pesticidas, es orgánico.

살충제를 안 쓴다, 유기농이다.",
채소,patata,f. 감자 (중남미: papa),"tortilla de patatas : 스페인식 감자 오믈렛

patatas fritas : 감자튀김","1. Pela las patatas, por favor.

감자 껍질 좀 깎아줘.

2. Me gustan las patatas asadas.

나는 구운 감자를 좋아한다.

3. La patata es un ingrediente básico en la cocina española.

감자는 스페인 요리의 기본 재료다.",
채소,pepino,m. 오이,"me importa un pepino : 전혀 신경 안 쓴다 (알 게 뭐야)

pepinillo : 피클","1. Corta el pepino en rodajas.

오이를 얇게 썰어라.

2. El pepino es fresco para ensalada.

오이는 샐러드에 넣기 신선하다.

3. No me gusta el sabor del pepino.

나는 오이 맛을 싫어한다.",
채소,pera,f. 배 (과일),"ser la pera : 대단하다 / 엄청나다

forma de pera : 배 모양","1. La pera está madura.

배가 익었다.

2. Me comí una pera de postre.

디저트로 배를 먹었다.

3. Es una variedad de pera dulce.

달콤한 배 품종이다.",
