챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
취미,acampada,f. 캠핑; 야영,"ir de acampada : 캠핑 가다

zona de acampada : 야영 구역","1. Hicimos una acampada en el bosque.

우리는 숲에서 캠핑을 했다.

2. Prepara el equipo de acampada.

캠핑 장비를 준비해라.

3. La acampada libre está prohibida.

노지 캠핑은 금지되어 있다.",
취미,afición,f. 취미; 애호; 팬덤,"tener afición a : ~에 취미가 있다

crear afición : 취미를 붙이다","1. Mi afición es la fotografía.

내 취미는 사진이다.

2. Tiene mucha afición al fútbol.

그는 축구를 매우 좋아한다.

3. Comparte afición con su padre.

그는 아버지와 취미를 공유한다.",
취미,ajedrez,m. 체스,"jugar al ajedrez : 체스를 두다

pieza de ajedrez : 체스 말","1. El ajedrez es un juego de estrategia.

체스는 전략 게임이다.

2. Ganó la partida de ajedrez.

그는 체스 경기에서 이겼다.

3. Me enseñó a jugar al ajedrez.

그가 나에게 체스 두는 법을 가르쳐 주었다.",
취미,bailar,v. 춤추다,"bailar al son que tocan : 상황에 맞추다 / 시키는 대로 하다

pista de baile : 춤추는 무대","1. Me gusta bailar salsa.

나는 살사 춤추는 것을 좋아한다.

2. Bailamos toda la noche en la fiesta.

우리는 파티에서 밤새 춤을 췄다.

3. Si supiera bailar tango, te invitaría a salir a la pista.

내가 탱고를 출 줄 안다면, 너를 무대로 초대할 텐데.",
취미,baile,m. 춤; 무도회,"clases de baile : 춤 수업

baile de salón : 사교 댄스","1. El baile es una forma de expresión.

춤은 표현의 한 형태다.

2. Me he apuntado a baile.

춤(학원)에 등록했다.

3. Disfrutaron del baile toda la noche.

그들은 밤새 춤을 즐겼다.",
취미,baloncesto,m. 농구,"jugar al baloncesto : 농구를 하다

canasta de baloncesto : 농구 골대","1. Me gusta el baloncesto.

나는 농구를 좋아한다.

2. Es alto, ideal para el baloncesto.

그는 키가 커서 농구 하기에 딱이다.

3. Juegan al baloncesto en el parque.

그들은 공원에서 농구를 한다.",
취미,bricolaje,m. DIY; 목공/수리 (가정용),"hacer bricolaje : DIY를 하다

tienda de bricolaje : 철물점/DIY 샵","1. El bricolaje es su pasión.

DIY는 그의 열정이다.

2. Arregla la casa con bricolaje.

그는 DIY로 집을 수리한다.

3. Compró madera para bricolaje.

그는 DIY용 목재를 샀다.",
취미,canción,f. 노래; 곡,"canción de cuna : 자장가

letra de la canción : 가사","1. Ésta es mi canción favorita.

이것은 내가 가장 좋아하는 노래다.

2. Cantaron una canción de cumpleaños.

그들은 생일 축하 노래를 불렀다.

3. La canción se hizo famosa en todo el mundo en poco tiempo.

그 노래는 단기간에 전 세계적으로 유명해졌다.",
취미,cantar,v. 노래하다,"cantar las cuarenta : 야단치다 / 따지다

cantar victoria : 승리를 장담하다","1. Ella canta muy bien.

그녀는 노래를 아주 잘한다.

2. Cantamos en el coro de la iglesia.

우리는 교회 성가대에서 노래한다.

3. Ojalá cantara como un profesional.

내가 전문가처럼 노래할 수 있다면 좋을 텐데.",
취미,cartas,f.pl. 카드 (놀이); 편지,"jugar a las cartas : 카드놀이를 하다

echar las cartas : 점을 치다","1. Jugamos a las cartas después de cenar.

우리는 저녁 식사 후에 카드놀이를 했다.

2. Baraja las cartas.

카드를 섞어라.

3. Es un truco de cartas.

카드 마술이다.",
