챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
치료,alta,f. 퇴원; 등록,"dar el alta : 퇴원시키다

pedir el alta voluntaria : 자의로 퇴원하다","1. Mañana me dan el alta.

내일 퇴원한다.

2. Ya tiene el alta médica.

그는 이미 퇴원 허가를 받았다.

3. Se fue a casa tras recibir el alta.

그는 퇴원 후 집으로 갔다.",
치료,antibiótico,m. 항생제,"tomar antibióticos : 항생제를 복용하다

resistencia a antibióticos : 항생제 내성","1. Los antibióticos combaten bacterias.

항생제는 박테리아와 싸운다.

2. Tienes que acabar la caja de antibióticos.

항생제 한 통을 다 먹어야 한다.

3. No tomes antibióticos por tu cuenta.

임의로 항생제를 먹지 마라.",
치료,aspirina,f. 아스피린; 진통제,"tomar una aspirina : 아스피린을 먹다

dolor de cabeza : 두통","1. ¿Tienes una aspirina?

아스피린 있어?

2. La aspirina quita el dolor de cabeza.

아스피린은 두통을 없애준다.

3. Es alérgico a la aspirina.

그는 아스피린 알레르기가 있다.",
치료,consulta,f. 진료; 진찰실,"pasar consulta : 진료하다

horario de consulta : 진료 시간","1. El médico está en consulta.

의사는 진료 중이다.

2. La consulta es privada.

그 진료실은 개인용이다 (사립 진료다).

3. Entró en la consulta del doctor.

그는 의사 진료실로 들어갔다.",
치료,curar,v. 치료하다; 낫게 하다,"curar la herida : 상처를 소독하다/치료하다

prevenir es mejor que curar : 예방이 치료보다 낫다","1. El tiempo lo cura todo.

시간이 모든 것을 해결해 준다.

2. Me curaron la quemadura.

그들은 내 화상을 치료해 주었다.

3. Esta medicina te curará.

이 약이 너를 낫게 할 것이다.","[현재]

curo / curas / cura / curamos / curáis / curan


[현재분사] : curando : [과거분사] : curado


[과거]

curé / curaste / curó / curamos / curasteis / curaron


[가정법]

curaría / curarías / curaría / curaríamos / curaríais / curarían


[접속법]

cure / cures / cure / curemos / curéis / curen


[미래]

curaré / curarás / curará / curaremos / curaréis / curarán"
치료,diagnosticar,v. 진단하다,"ser diagnosticado : 진단받다

diagnosticar a tiempo : 제때 진단하다","1. Le diagnosticaron diabetes.

그는 당뇨병 진단을 받았다.

2. Es difícil diagnosticar sin pruebas.

검사 없이 진단하기 어렵다.

3. El médico diagnosticó una gripe.

의사는 독감이라고 진단했다.","[현재]

diagnostico / diagnosticas / diagnostica / diagnosticamos / diagnosticáis / diagnostican


[현재분사] : diagnosticando : [과거분사] : diagnosticado


[과거]

diagnostiqué / diagnosticaste / diagnosticó / diagnosticamos / diagnosticasteis / diagnosticaron


[가정법]

diagnosticaría / diagnosticarías / diagnosticaría / diagnosticaríamos / diagnosticaríais / diagnosticarían


[접속법]

diagnostique / diagnostiques / diagnostique / diagnostiquemos / diagnostiquéis / diagnostiquen


[미래]

diagnosticaré / diagnosticarás / diagnosticará / diagnosticaremos / diagnosticaréis / diagnosticarán"
치료,diagnóstico,m. 진단,"dar un diagnóstico : 진단을 내리다

diagnóstico precoz : 조기 진단","1. El diagnóstico fue rápido.

진단은 빨랐다.

2. No están seguros del diagnóstico.

그들은 진단을 확신하지 못한다.

3. El diagnóstico confirmó la enfermedad.

진단 결과 질병이 확인되었다.",
치료,empeorar,v. 악화되다,"ir a peor : 더 나빠지다

empeorar la situación : 상황을 악화시키다","1. La fiebre empeoró por la noche.

열이 밤에 더 심해졌다.

2. Si empeoras, ven al hospital.

상태가 나빠지면 병원에 와라.

3. Su salud empeora cada día.

그의 건강은 매일 나빠지고 있다.","[현재]

empeoro / empeoras / empeora / empeoramos / empeoráis / empeoran


[현재분사] : empeorando : [과거분사] : empeorado


[과거]

empeoré / empeoraste / empeoró / empeoramos / empeorasteis / empeoraron


[가정법]

empeoraría / empeorarías / empeoraría / empeoraríamos / empeoraríais / empeorarían


[접속법]

empeore / empeores / empeore / empeoremos / empeoréis / empeoren


[미래]

empeoraré / empeorarás / empeorará / empeoraremos / empeoréis / empeorarán"
치료,escayola,f. 깁스; 석고,"llevar escayola : 깁스를 하다

firmar en la escayola : 깁스에 서명하다","1. Tengo el brazo con escayola.

팔에 깁스를 했다.

2. La escayola pica mucho.

깁스한 곳이 많이 가렵다.

3. Me quitarán la escayola en un mes.

한 달 뒤에 깁스를 풀 것이다.",
치료,examinar,v. 진찰하다; 검사하다,"examinar al paciente : 환자를 진찰하다

examinar la herida : 상처를 살피다","1. El doctor me examinó la garganta.

의사가 내 목을 진찰했다.

2. Déjame examinarte.

진찰하게 해줘.

3. Le examinaron de arriba a abajo.

그들은 그를 위아래로 훑어봤다(검사했다).","[현재]

examino / examinas / examina / examinamos / examináis / examinan


[현재분사] : examinando : [과거분사] : examinado


[과거]

examiné / examinaste / examinó / examinamos / examinasteis / examinaron


[가정법]

examinaría / examinarías / examinaría / examinaríamos / examinaríais / examinarían


[접속법]

examine / examines / examine / examinemos / examinéis / examinen


[미래]

examinaré / examinarás / examinará / examinaremos / examinaréis / examinarán"
치료,farmacia,f. 약국,"farmacia de guardia : 당번 약국

ir a la farmacia : 약국에 가다","1. Compra las medicinas en la farmacia.

약국에서 약을 사라.

2. La farmacia está cerrada.

약국이 문을 닫았다.

3. Busco una farmacia abierta.

문 연 약국을 찾고 있다.",
치료,herida,f. 상처,"herida abierta : 열린 상처

curar la herida : 상처를 치료하다","1. La herida sangra mucho.

상처에서 피가 많이 난다.

2. Límpiate la herida.

상처를 닦아라.

3. La herida cicatrizó bien.

상처가 잘 아물었다.",
치료,inyección,f. 주사,"poner una inyección : 주사를 놓다

tener miedo a las inyecciones : 주사를 무서워하다","1. La inyección duele un poco.

주사가 조금 아프다.

2. Me pusieron una inyección en el brazo.

팔에 주사를 맞았다.

3. La enfermera preparó la inyección.

간호사가 주사를 준비했다.",
