챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
테크,actualizar,v. 업데이트하다; 갱신하다,"actualizar el software : 소프트웨어를 업데이트하다

mantenerse actualizado : 최신 상태를 유지하다","1. Tengo que actualizar la aplicación.

앱을 업데이트해야 한다.

2. Actualiza la página.

페이지를 새로 고침 해라.

3. El sistema se actualiza solo.

시스템이 저절로 업데이트된다.","[현재]

actualizo / actualizas / actualiza / actualizamos / actualizáis / actualizan


[현재분사] : actualizando : [과거분사] : actualizado


[과거]

actualicé / actualizaste / actualizó / actualizamos / actualizasteis / actualizaron


[가정법]

actualizaría / actualizarías / actualizaría / actualizaríamos / actualizaríais / actualizarían


[접속법]

actualice / actualices / actualice / actualicemos / actualicéis / actualicen


[미래]

actualizaré / actualizarás / actualizará / actualizaremos / actualizaréis / actualizarán"
테크,ajustes,m.pl. 설정; 조정,"ir a ajustes : 설정으로 가다

ajustes de fábrica : 공장 초기화","1. Cambia el idioma en ajustes.

설정에서 언어를 바꿔라.

2. Revisa los ajustes de privacidad.

개인정보 설정을 확인해라.

3. Entra en el menú de ajustes.

설정 메뉴로 들어가라.",
테크,autenticación,f. 인증,"autenticación en dos pasos : 2단계 인증

error de autenticación : 인증 오류","1. Activa la autenticación en dos pasos.

2단계 인증을 활성화해라.

2. Falló la autenticación.

인증에 실패했다.

3. Requiere autenticación biométrica.

생체 인증을 요구한다.",
테크,borrar,v. 삭제하다; 지우다,"borrar el historial : 기록을 삭제하다

borrón y cuenta nueva : 새출발","1. Borré el mensaje por error.

실수로 메시지를 지웠다.

2. Borra los archivos inútiles.

필요 없는 파일들을 지워라.

3. ¿Seguro que quieres borrarlo?

정말 지우고 싶니?","[현재]

borro / borras / borra / borramos / borráis / borran


[현재분사] : borrando : [과거분사] : borrado


[과거]

borré / borraste / borró / borramos / borrasteis / borraron


[가정법]

borraría / borrarías / borraría / borraríamos / borraríais / borrarían


[접속법]

borre / borres / borre / borremos / borréis / borren


[미래]

borraré / borrarás / borrará / borraremos / borraréis / borrarán"
테크,cifrado,m. 암호화; a. 암호화된,"mensaje cifrado : 암호화된 메시지

cifrado de extremo a extremo : 종단간 암호화","1. Los datos están cifrados.

데이터가 암호화되어 있다.

2. Usa un sistema de cifrado.

암호화 시스템을 사용한다.

3. El cifrado protege la información.

암호화는 정보를 보호한다.",
테크,compatible,a. 호환되는; 양립할 수 있는,"ser compatible con : ~와 호환되다

no es compatible : 호환되지 않는다","1. Este software es compatible con Mac.

이 소프트웨어는 맥과 호환된다.

2. No son compatibles.

그것들은 호환되지 않는다.

3. Busco un cargador compatible.

호환되는 충전기를 찾고 있다.",
테크,configurar,v. 설정하다; 구성하다,"configurar la cuenta : 계정을 설정하다

configuración : 설정","1. Configura el wifi.

와이파이를 설정해라.

2. Tengo que configurar el idioma.

언어를 설정해야 한다.

3. Ayúdame a configurar el móvil.

휴대폰 설정하는 것 좀 도와줘.","[현재]

configuro / configuras / configura / configuramos / configuráis / configuran


[현재분사] : configurando : [과거분사] : configurado


[과거]

configuré / configuraste / configuró / configuramos / configurasteis / configuraron


[가정법]

configuraría / configurarías / configuraría / configuraríamos / configuraríais / configurarían


[접속법]

configure / configures / configure / configuremos / configuréis / configuren


[미래]

configuraré / configurarás / configurará / configuraremos / configuraréis / configurarán"
테크,dispositivo,m. 장치; 기기,"dispositivo móvil : 모바일 기기

conectar dispositivo : 장치를 연결하다","1. Apaga tus dispositivos electrónicos.

전자 기기를 꺼라.

2. Conecta el dispositivo al PC.

장치를 PC에 연결해라.

3. Es un dispositivo de seguridad.

보안 장치다.",
테크,eliminar,v. 제거하다; 삭제하다,"eliminar virus : 바이러스를 제거하다

eliminar cuenta : 계정을 삭제하다","1. Elimina el correo spam.

스팸 메일을 삭제해라.

2. He eliminado la aplicación.

앱을 삭제했다.

3. El antivirus eliminó la amenaza.

백신이 위협 요소를 제거했다.","[현재]

elimino / eliminas / elimina / eliminamos / elimináis / eliminan


[현재분사] : eliminando : [과거분사] : eliminado


[과거]

eliminé / eliminaste / eliminó / eliminamos / eliminasteis / eliminaron


[가정법]

eliminaría / eliminarías / eliminaría / eliminaríamos / eliminaríais / eliminarían


[접속법]

elimine / elimines / elimine / eliminemos / eliminéis / eliminen


[미래]

eliminaré / eliminarás / eliminará / eliminaremos / eliminaréis / eliminarán"
테크,estafa,f. 사기,"estafa online : 온라인 사기

caer en una estafa : 사기를 당하다","1. Fue víctima de una estafa.

그는 사기 피해자였다.

2. Denuncia la estafa.

사기를 신고해라.

3. Es una estafa piramidal.

다단계 사기다.",
