챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
토론,aclarar,v. 명확히 하다; 헹구다; 날이 개다,"aclarar la voz : 목청을 가다듬다

aclarar las ideas : 생각을 정리하다","1. Quiero aclarar un malentendido.

오해를 풀고(명확히 하고) 싶다.

2. Aclara tus dudas antes del examen.

시험 전에 의문점을 확실히 해라.

3. El día se ha aclarado.

날이 갰다.","[현재]

aclaro / aclaras / aclara / aclaramos / aclaráis / aclaran


[현재분사] : aclarando : [과거분사] : aclarado


[과거]

aclaré / aclaraste / aclaró / aclaramos / aclarasteis / aclararon


[가정법]

aclararía / aclararías / aclararía / aclararíamos / aclararíais / aclararían


[접속법]

aclare / aclares / aclare / aclaremos / aclaréis / aclaren


[미래]

aclararé / aclararás / aclarará / aclararemos / aclararéis / aclararán"
토론,argumentar,v. 주장하다; 논증하다,argumentar a favor/en contra : 찬성/반대 주장을 하다,"1. Tienes que argumentar tu respuesta.

답변에 대한 근거를 대야 한다.

2. Argumentó que era inocente.

그는 자신이 무죄라고 주장했다.

3. No sabes argumentar bien.

너는 논리정연하게 주장할 줄 모른다.","[현재]

argumento / argumentas / argumenta / argumentamos / argumentáis / argumentan


[현재분사] : argumentando : [과거분사] : argumentado


[과거]

argumenté / argumentaste / argumentó / argumentamos / argumentasteis / argumentaron


[가정법]

argumentaría / argumentarías / argumentaría / argumentaríamos / argumentaríais / argumentarían


[접속법]

argumente / argumentes / argumente / argumentemos / argumentéis / argumenten


[미래]

argumentaré / argumentarás / argumentará / argumentaremos / argumentaréis / argumentarán"
토론,argumento,m. 주장; 논거; 줄거리,"argumento sólido : 탄탄한 주장

falta de argumentos : 논거 부족","1. Tu argumento no es válido.

네 주장은 타당하지 않다.

2. Presentó argumentos convincentes.

그는 설득력 있는 주장을 제시했다.

3. El argumento de la película es bueno.

영화 줄거리가 좋다.",
토론,asunto,m. 문제; 일; 용건,"asunto personal : 개인적인 일

ir al grano del asunto : 본론으로 들어가다","1. No es asunto tuyo.

네 알 바 아니다.

2. Tengo que tratar un asunto urgente.

급한 용건을 처리해야 한다.

3. El asunto está resuelto.

문제는 해결되었다.",
토론,causa,f. 원인; 대의명분,"causa y efecto : 원인과 결과

por causa de : ~때문에","1. No se sabe la causa del incendio.

화재 원인은 알려지지 않았다.

2. Lucha por una buena causa.

좋은 대의를 위해 싸워라.

3. Es causa de despido.

해고 사유다.",
토론,comentar,v. 논평하다; 언급하다,"comentar la jugada : 상황을 논평하다

sin comentarios : 노코멘트","1. Quiero comentar un punto.

한 가지 점을 언급하고 싶다.

2. No comentaron nada al respecto.

그들은 그 점에 대해 아무 말도 안 했다.

3. Se comenta que van a cerrar.

문 닫을 거라는 소문이 돈다.","[현재]

comento / comentas / comenta / comentamos / comentáis / comentan


[현재분사] : comentando : [과거분사] : comentado


[과거]

comenté / comentaste / comentó / comentamos / comentasteis / comentaron


[가정법]

comentaría / comentarías / comentaría / comentaríamos / comentaríais / comentarían


[접속법]

comente / comentes / comente / comentemos / comentéis / comenten


[미래]

comentaré / comentarás / comentará / comentaremos / comentaréis / comentarán"
토론,concluir,v. 결론짓다; 끝내다,"para concluir : 끝으로 (마무리하며)

concluir un trato : 계약을 맺다","1. Concluyo diciendo que gracias.

감사하다는 말로 끝맺겠습니다.

2. La investigación concluyó ayer.

조사는 어제 끝났다.

3. ¿Qué podemos concluir de esto?

이것으로부터 무엇을 결론내릴 수 있는가?","[현재]

concluyo / concluyes / concluye / concluimos / concluís / concluyen


[현재분사] : concluyendo : [과거분사] : concluido


[과거]

concluí / concluiste / concluyó / concluimos / concluisteis / concluyeron


[가정법]

concluiría / concluirías / concluiría / concluiríamos / concluiríais / concluirían


[접속법]

concluya / concluyas / concluya / concluyamos / concluyáis / concluyan


[미래]

concluiré / concluirás / concluirá / concluiremos / concluiréis / concluirán"
토론,conclusión,f. 결론; 맺음말,"en conclusión : 결론적으로

llegar a una conclusión : 결론에 도달하다","1. ¿Cuál es la conclusión final?

최종 결론이 무엇입니까?

2. Saqué mis propias conclusiones.

나만의 결론을 내렸다.

3. En conclusión, debemos actuar.

결론적으로, 우리는 행동해야 한다.",
토론,conflicto,m. 갈등; 충돌,"conflicto de intereses : 이해 상충

resolver un conflicto : 갈등을 해결하다","1. El conflicto armado terminó.

무력 충돌이 끝났다.

2. Tienen un conflicto vecinal.

그들은 이웃 간 갈등이 있다.

3. Evita el conflicto siempre que puedas.

가능하면 갈등을 피해라.",
토론,consecuencia,f. 결과; 영향,"en consecuencia : 결과적으로/따라서

sufrir las consecuencias : 결과를 감수하다","1. Tienes que asumir las consecuencias.

너는 결과를 책임져야 한다.

2. Fue una consecuencia lógica.

논리적인 귀결이었다.

3. Actuó sin pensar en las consecuencias.

그는 결과를 생각하지 않고 행동했다.",
토론,consenso,m. 합의; 의견 일치,"llegar a un consenso : 합의에 이르다

falta de consenso : 합의 부재","1. Buscamos el consenso de todos.

우리는 모두의 합의를 구한다.

2. Se aprobó por consenso.

만장일치(합의)로 통과되었다.

3. Es difícil lograr un consenso.

합의를 이루기는 어렵다.",
토론,contra,m. 단점; 반대; pr. ~에 반해,"estar en contra : 반대하다

llevar la contraria : 반대하다/청개구리처럼 굴다","1. Voté en contra.

나는 반대표를 던졌다.

2. Tiene muchos contras.

단점이 많다.

3. Estoy totalmente en contra de eso.

나는 그것에 전적으로 반대한다.",
토론,cuestión,f. 문제; 쟁점,"cuestión de tiempo : 시간문제

poner en cuestión : 의문을 제기하다","1. Esa es la cuestión clave.

그게 핵심 쟁점이다.

2. Es una cuestión de principios.

원칙의 문제다.

3. No es cuestión de dinero.

돈 문제가 아니다.",
