챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
학교,alumno,m. 학생; 제자,"ser buen alumno : 모범생이다

antiguo alumno : 졸업생","1. Hay treinta alumnos en mi clase.

우리 반에는 30명의 학생이 있다.

2. Los alumnos deben prestar atención.

학생들은 주의를 기울여야 한다.

3. El director felicitó al alumno por sus excelentes notas.

교장 선생님은 우수한 성적을 받은 학생을 칭찬했다.",
학교,aprender,v. 배우다; 익히다,"aprender de memoria : 암기하다

nunca es tarde para aprender : 배움에 늦음이란 없다","1. Quiero aprender a tocar la guitarra.

나는 기타 치는 법을 배우고 싶다.

2. Se aprende mucho viajando.

여행을 하면서 많이 배운다.

3. Aprendió a conducir cuando tenía dieciocho años.

그는 18살 때 운전을 배웠다.","[현재]

aprendo / aprendes / aprende / aprendemos / aprendéis / aprenden


[현재분사] : aprendiendo : [과거분사] : aprendido


[과거]

aprendí / aprendiste / aprendió / aprendimos / aprendisteis / aprendieron


[가정법]

aprendería / aprenderías / aprendería / aprenderíamos / aprenderíais / aprenderían


[접속법]

aprenda / aprendas / aprenda / aprendamos / aprendáis / aprendan


[미래]

aprenderé / aprenderás / aprenderá / aprenderemos / aprenderéis / aprenderán"
학교,apuntar,v. 적다; 가리키다; 겨누다,"tomar apuntes : 필기하다

apuntarse a un curso : 강좌에 등록하다","1. Apunta lo que dice el profesor.

선생님이 말하는 것을 적어라.

2. Me he apuntado al gimnasio.

나는 헬스장에 등록했다.

3. Apunta con el dedo.

그는 손가락으로 가리킨다.","[현재]

apunto / apuntas / apunta / apuntamos / apuntáis / apuntan


[현재분사] : apuntando : [과거분사] : apuntado


[과거]

apunté / apuntaste / apuntó / apuntamos / apuntasteis / apuntaron


[가정법]

apuntaría / apuntarías / apuntaría / apuntaríamos / apuntaríais / apuntarían


[접속법]

apunte / apuntes / apunte / apuntemos / apuntéis / apunten


[미래]

apuntaré / apuntarás / apuntará / apuntaremos / apuntaréis / apuntarán"
학교,asignatura,f. 과목,"asignatura pendiente : (비유) 미해결 과제 / 낙제 과목

asignatura obligatoria : 필수 과목","1. Mi asignatura favorita es historia.

내가 가장 좋아하는 과목은 역사다.

2. Tengo muchas asignaturas este año.

올해 과목이 많다.

3. Aprobé todas las asignaturas.

모든 과목을 통과했다.",
학교,asistencia,f. 지원; 출석; 도움,"asistencia social : 사회 복지/지원

asistencia sanitaria : 의료 지원","1. Necesita asistencia médica.

그는 의료 지원이 필요하다.

2. La asistencia es obligatoria.

출석은 의무다.

3. Ofrecen asistencia a los mayores.

그들은 노인들에게 지원을 제공한다.",
학교,asistir,v. 출석하다; 참석하다; 돕다,"asistir a clase : 수업에 출석하다

falta de asistencia : 결석","1. Es obligatorio asistir a clase.

수업 출석은 의무다.

2. Asistí a la conferencia.

나는 회의에 참석했다.

3. El médico asistió al enfermo.

의사가 환자를 돌봤다.","[현재]

asisto / asistes / asiste / asistimos / asistís / asisten


[현재분사] : asistiendo : [과거분사] : asistido


[과거]

asistí / asististe / asistió / asistimos / asististeis / asistieron


[가정법]

asistiría / asistirías / asistiría / asistiríamos / asistiríais / asistirían


[접속법]

asista / asistas / asista / asistamos / asistáis / asistan


[미래]

asistiré / asistirás / asistirá / asistiremos / asistiréis / asistirán"
학교,aula,f. 교실; 강의실,"aula magna : 대강당

en el aula : 교실에서","1. Los alumnos están en el aula.

학생들이 교실에 있다.

2. El aula tiene ordenadores.

교실에 컴퓨터들이 있다.

3. El profesor entró en el aula.

선생님이 교실에 들어오셨다.",
학교,biblioteca,f. 도서관; 서재,"carné de biblioteca : 도서관 회원증

ratón de biblioteca : 책벌레","1. Estudio en la biblioteca.

나는 도서관에서 공부한다.

2. La biblioteca cierra tarde.

도서관은 늦게 닫는다.

3. Saqué un libro de la biblioteca.

도서관에서 책을 대출했다.",
학교,campus,m. 캠퍼스; 교정,"vivir en el campus : 캠퍼스에 살다

campus virtual : 온라인 캠퍼스","1. El campus es muy grande.

캠퍼스는 매우 크다.

2. Hay una biblioteca en el campus.

캠퍼스에 도서관이 있다.

3. Me gusta el ambiente del campus.

나는 캠퍼스의 분위기를 좋아한다.",
학교,clase,f. 수업; 교실; 종류,"dar clase : 수업하다

clase turista : (비행기) 이코노미석","1. La clase de historia empieza ahora.

역사 수업이 지금 시작한다.

2. No vayas a clase si estás enfermo.

아프면 수업에 가지 마라.

3. Hay toda clase de productos en este mercado.

이 시장에는 온갖 종류의 상품이 있다.",
