챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
학문,análisis,m. 검사; 분석,"análisis de sangre : 혈액 검사

resultados del análisis : 검사 결과","1. Mañana tengo análisis de sangre.

내일 피 검사가 있다.

2. Ve en ayunas al análisis.

검사하러 공복에 가라.

3. El análisis salió bien.

검사 결과가 좋게 나왔다.",
학문,analizar,v. 분석하다,"analizar el texto : 텍스트를 분석하다

analizar la sangre : 피를 분석하다","1. Analizamos los resultados.

우리는 결과를 분석한다.

2. Hay que analizar el problema.

문제를 분석해야 한다.

3. Analiza la frase sintácticamente.

문장을 구문 분석해라.","[현재]

analizo / analizas / analiza / analizamos / analizáis / analizan


[현재분사] : analizando : [과거분사] : analizado


[과거]

analicé / analizaste / analizó / analizamos / analizasteis / analizaron


[가정법]

analizaría / analizarías / analizaría / analizaríamos / analizaríais / analizarían


[접속법]

analice / analices / analice / analicemos / analicéis / analicen


[미래]

analizaré / analizarás / analizará / analizaremos / analizaréis / analizarán"
학문,atención,f. 주의; 관심,"prestar atención : 주의를 기울이다

llamar la atención : 주의를 끌다","1. Presta atención al profesor.

선생님께 주의를 기울여라.

2. Gracias por su atención.

경청해 주셔서 감사합니다.

3. Me llamó la atención ese libro.

그 책이 내 관심을 끌었다.",
학문,beca,f. 장학금,"beca de estudios : 학업 장학금

conceder una beca : 장학금을 수여하다","1. Consiguió una beca para estudiar fuera.

그는 유학 장학금을 받았다.

2. La beca cubre la matrícula.

장학금이 등록금을 커버한다.

3. Solicitó una beca de investigación.

그는 연구 장학금을 신청했다.",
학문,carrera,f. 경력; 전공; 경주,"carrera profesional : 직업적 경력

hacer carrera : 출세하다","1. Se centró en su carrera profesional.

그는 자신의 커리어에 집중했다.

2. Estudió la carrera de Medicina.

그는 의학을 전공했다.

3. Ganó la carrera de cien metros.

그는 100미터 경주에서 우승했다.",
학문,comprender,v. 이해하다; 포함하다,"comprensión lectora : 독해력

comprender la situación : 상황을 이해하다","1. No comprendo la lección.

수업 내용을 이해 못 하겠다.

2. Comprendo cómo te sientes.

네 기분 이해해.

3. El curso comprende tres niveles.

그 과정은 세 단계를 포함한다.","[현재]

comprendo / comprendes / comprende / comprendemos / comprendéis / comprenden


[현재분사] : comprendiendo : [과거분사] : comprendido


[과거]

comprendí / comprendiste / comprendió / comprendimos / comprendisteis / comprendieron


[가정법]

comprendería / comprenderías / comprendería / comprenderíamos / comprenderíais / comprenderían


[접속법]

comprenda / comprendas / comprenda / comprendamos / comprendáis / comprendan


[미래]

comprenderé / comprenderás / comprenderá / comprenderemos / comprenderéis / comprenderán"
학문,concentración,f. 집중; 농도,"campo de concentración : 수용소

perder la concentración : 집중력을 잃다","1. Necesito concentración para estudiar.

공부하려면 집중력이 필요하다.

2. La música me ayuda a la concentración.

음악은 내 집중에 도움이 된다.

3. Falta de concentración.

집중력 부족.",
학문,conocimiento,m. 지식; 앎,"tener conocimiento : 알고 있다

sed de conocimiento : 지식에 대한 갈망","1. El conocimiento es poder.

아는 것이 힘이다.

2. Tiene vastos conocimientos de historia.

그는 방대한 역사 지식을 가지고 있다.

3. Puso su conocimiento en práctica.

그는 지식을 실행에 옮겼다.",
학문,curiosidad,f. 호기심,"por curiosidad : 호기심에

matar la curiosidad : 호기심을 충족시키다","1. Tengo curiosidad por saberlo.

그것을 알고 싶은 호기심이 있다.

2. La curiosidad es buena para aprender.

호기심은 배우는 데 좋다.

3. Lo pregunté solo por curiosidad.

그냥 호기심에 물어봤다.",
학문,diploma,m. 수료증; 졸업장,"entrega de diplomas : 수료식/졸업식

diploma de español : 스페인어 자격증 (DELE 등)","1. Colgó el diploma en la pared.

그는 벽에 수료증을 걸었다.

2. Recibió un diploma por su curso.

그는 코스 수료증을 받았다.

3. Es un diploma reconocido.

인정받는 수료증이다.",
학문,doctorado,m. 박사 과정; 박사 학위,"tesis de doctorado : 박사 논문

estudiante de doctorado : 박사 과정생","1. Está haciendo el doctorado.

그는 박사 과정을 밟고 있다.

2. El doctorado requiere investigar.

박사 과정은 연구를 요한다.

3. Obtuvo el doctorado en física.

그는 물리학 박사 학위를 땄다.",
학문,esquema,m. 개요; 도표; 도식,"romper los esquemas : 고정관념을 깨다

hacer un esquema : 도식을 그리다","1. Haz un esquema de las ideas.

아이디어의 개요를 짜라.

2. El esquema ayuda a organizar.

도식은 정리하는 데 도움이 된다.

3. Estudia con esquemas.

도표를 보며 공부해라.",
학문,exponer,v. 설명하다; 전시하다; 발표하다,"exponer un tema : 주제를 발표하다

exponerse al peligro : 위험에 노출되다","1. El alumno expuso su trabajo.

학생이 과제를 발표했다.

2. Expuso sus dudas al profesor.

그는 선생님께 의문점을 설명했다.

3. Exponen cuadros en la escuela.

학교에 그림들을 전시한다.","[현재]

expongo / expones / expone / exponemos / exponéis / exponen


[현재분사] : exponiendo : [과거분사] : expuesto


[과거]

expuse / expusiste / expuso / expusimos / expusisteis / expusieron


[가정법]

expondría / expondrías / expondría / expondríamos / expondríais / expondrían


[접속법]

exponga / expongas / exponga / expongamos / expongáis / expongan


[미래]

expondré / expondrás / expondrá / expondremos / expondréis / expondrán"
학문,inteligencia,f. 지능; 지성,"inteligencia artificial : 인공지능

servicio de inteligencia : 정보국","1. Tiene una inteligencia superior.

그는 뛰어난 지능을 가졌다.

2. La inteligencia no lo es todo.

지능이 전부는 아니다.

3. Demostró su inteligencia emocional.

그는 감성 지능을 보여주었다.",
학문,interés,m. 이자; 흥미,"tipo de interés : 금리

intereses bancarios : 은행 이자","1. Los intereses están muy bajos.

금리가 매우 낮다.

2. Me cobran muchos intereses.

이자를 너무 많이 뗀다.

3. El préstamo es sin intereses.

이 대출은 무이자다.",
학문,investigación,f. 연구; 조사,"trabajo de investigación : 연구 과제

hacer una investigación : 조사하다","1. La investigación duró un año.

연구는 1년 동안 지속되었다.

2. Es un centro de investigación.

연구 센터다.

3. La investigación dio buenos resultados.

연구는 좋은 결과를 냈다.",
학문,máster,m. 석사 과정,"hacer un máster : 석사를 하다

máster en dirección : 경영학 석사","1. Después del grado, haré un máster.

학사 후에 석사를 할 것이다.

2. El máster es muy caro.

석사 과정은 매우 비싸다.

3. Necesitas un máster para este trabajo.

이 일에는 석사 학위가 필요하다.",
학문,matrícula,f. 등록(금); (차량) 번호판,"matrícula de honor : 최우수 성적 (수석)

pagar la matrícula : 등록금을 내다","1. La matrícula es gratis.

등록은 무료다.

2. El plazo de matrícula está abierto.

등록 기간이 열려 있다.

3. ¿Qué matrícula tiene tu coche?

네 차 번호가 뭐니?",
학문,memorizar,v. 암기하다,"aprender de memoria : 외우다

memorizar vocabulario : 단어를 암기하다","1. Tengo que memorizar este texto.

나는 이 텍스트를 외워야 한다.

2. Memoriza las fórmulas.

공식을 암기해라.

3. Le cuesta memorizar nombres.

그는 이름 외우는 걸 힘들어한다.","[현재]

memorizo / memorizas / memoriza / memorizamos / memorizáis / memorizan


[현재분사] : memorizando : [과거분사] : memorizado


[과거]

memoricé / memorizaste / memorizó / memorizamos / memorizasteis / memorizaron


[가정법]

memorizaría / memorizarías / memorizaría / memorizaríamos / memorizaríais / memorizarían


[접속법]

memorice / memorices / memorice / memoricemos / memoricéis / memoricen


[미래]

memorizaré / memorizarás / memorizará / memorizaremos / memorizaréis / memorizarán"
학문,mente,f. 마음; 정신,"tener en mente : 염두에 두다

mente abierta : 열린 사고","1. La mente es poderosa.

정신은 강력하다.

2. Mantén la mente ocupada.

마음을 바쁘게(집중하게) 해라.

3. Se me fue de la mente.

깜빡했다 (마음에서 떠났다).",
학문,método,m. 방법; 방식,"método científico : 과학적 방법

método de pago : 결제 방식","1. Este método es muy eficaz.

이 방법은 매우 효과적이다.

2. Sigue el método paso a paso.

방법을 차근차근 따라라.

3. Cada maestrillo tiene su librillo (su método).

모든 장인(선생)은 자기만의 방식이 있다.",
학문,práctica,f. 실천; 연습; 관행,"poner en práctica : 실행에 옮기다

hacer prácticas : 실습하다/인턴 하다","1. La práctica hace al maestro.

연습이 대가(완벽함)를 만든다.

2. Quiero poner en práctica mi inglés.

내 영어를 실제로 써보고 싶다.

3. Es una práctica habitual aquí.

여기서는 흔한 관행이다.",
학문,proyecto,m. 프로젝트; 계획,"proyecto de ley : 법안

estar en proyecto : 계획 중이다","1. Estoy trabajando en un nuevo proyecto.

나는 새 프로젝트를 작업 중이다.

2. Presentó su proyecto al jefe.

그는 상사에게 프로젝트를 발표했다.

3. El proyecto finalizará en mayo.

프로젝트는 5월에 끝날 것이다.",
학문,razonar,v. 추론하다; 논리적으로 생각하다,"razonar la respuesta : 답의 근거를 대다

capacidad de razonar : 추론 능력","1. Intenta razonar con él.

그를 설득해 봐(이성적으로 대화해 봐).

2. Tienes que razonar tu respuesta.

답변에 대해 논리적으로 설명해야 한다.

3. Los humanos podemos razonar.

인간은 추론할 수 있다.","[현재]

razono / razonas / razona / razonamos / razonáis / razonan


[현재분사] : razonando : [과거분사] : razonado


[과거]

razoné / razonaste / razonó / razonamos / razonasteis / razonaron


[가정법]

razonaría / razonarías / razonaría / razonaríamos / razonaríais / razonarían


[접속법]

razone / razones / razone / razonemos / razonéis / razonen


[미래]

razonaré / razonarás / razonará / razonaremos / razonaréis / razonarán"
학문,resumen,m. 요약; 개요,"en resumen : 요약하자면

hacer un resumen : 요약하다","1. Hazme un resumen del libro.

책 줄거리 좀 요약해 줘.

2. En resumen, fue un desastre.

요약하자면, 엉망진창이었다.

3. Leí el resumen ejecutivo.

나는 경영 요약 보고서를 읽었다.",
