챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
학습,acierto,m. 정답; 적중; 성공,"tener un acierto : 적중하다/성공하다

con acierto : 적절하게/잘","1. Fue un acierto contratarlo.

그를 고용한 건 잘한 일(성공)이었다.

2. Tuvo muchos aciertos en el test.

그는 테스트에서 많이 맞췄다.

3. Lo adivinó con acierto.

그는 정확하게 알아맞혔다.",
학습,aprendizaje,m. 학습; 배움,"proceso de aprendizaje : 학습 과정

dificultades de aprendizaje : 학습 장애","1. El aprendizaje es continuo.

학습은 계속되는 것이다.

2. Facilita el aprendizaje del idioma.

그것은 언어 학습을 용이하게 한다.

3. El juego es parte del aprendizaje.

놀이는 학습의 일부다.",
학습,avanzado,a. 고급의; 진보한,"nivel avanzado : 고급 레벨

edad avanzada : 고령","1. Es un estudiante avanzado.

그는 상급 학생이다.

2. Usa tecnología avanzada.

첨단(진보된) 기술을 사용한다.

3. El curso es para nivel avanzado.

이 코스는 고급자를 위한 것이다.",
학습,comprensión,f. 이해(력),"comprensión auditiva : 청해 (듣기 평가)

comprensión lectora : 독해","1. La comprensión del texto es difícil.

텍스트 이해가 어렵다.

2. Gracias por su comprensión.

이해해 주셔서 감사합니다.

3. Tiene problemas de comprensión.

그는 이해력에 문제가 있다.",
학습,concepto,m. 개념; 생각,"tener buen concepto de : ~를 좋게 생각하다

concepto abstracto : 추상적 개념","1. No entiendo este concepto.

이 개념을 이해하지 못하겠다.

2. Explica el concepto claramente.

개념을 명확히 설명해라.

3. Es un concepto nuevo para mí.

나에게는 새로운 개념이다.",
학습,definición,f. 정의; 해상도,"alta definición : 고화질 (HD)

definición de una palabra : 단어의 정의","1. Busca la definición en el diccionario.

사전에서 정의를 찾아라.

2. La definición no es clara.

정의가 명확하지 않다.

3. Aprende la definición de memoria.

정의를 외워라.",
학습,dificultad,f. 어려움; 난이도,"con dificultad : 어렵게/간신히

grado de dificultad : 난이도","1. Tiene dificultad para leer.

그는 읽는 데 어려움이 있다.

2. Superó todas las dificultades.

그는 모든 어려움을 극복했다.

3. La dificultad del examen fue alta.

시험 난이도가 높았다.",
학습,estrategia,f. 전략,"estrategia de aprendizaje : 학습 전략

diseñar una estrategia : 전략을 짜다","1. Tienes que cambiar de estrategia.

전략을 바꿔야 한다.

2. Es una buena estrategia para aprobar.

합격하기 위한 좋은 전략이다.

3. La estrategia funcionó.

전략이 통했다.",
학습,expresión,f. 표현; 표정,"expresión oral : 말하기 (구술)

expresión escrita : 쓰기 (작문)","1. Practicamos la expresión oral.

우리는 말하기를 연습한다.

2. Libertad de expresión.

표현의 자유.

3. Usa una expresión coloquial.

그는 구어체 표현을 사용한다.",
학습,facilidad,f. 쉬움; 용이함; (pl.) 편의,"tener facilidad para : ~에 재능이 있다/쉽게 하다

facilidades de pago : 지불 편의 (할부 등)","1. Tiene facilidad para los idiomas.

그는 언어 배우는 데 소질이 있다 (쉽게 한다).

2. Lo hizo con gran facilidad.

그는 아주 쉽게 해냈다.

3. El hotel ofrece muchas facilidades.

호텔은 많은 편의 시설을 제공한다.",
학습,fallo,m. 실패; 결함; 판결,"fallo técnico : 기술적 결함

sin fallo : 틀림없이/완벽하게","1. Fue un fallo mío.

내 잘못(실수)이었다.

2. El fallo del sistema borró los datos.

시스템 오류로 데이터가 삭제되었다.

3. Inténtalo de nuevo tras el fallo.

실패한 후에 다시 시도해라.",
학습,memoria,f. 기억(력); 메모리,"saber de memoria : 외우고 있다

mala memoria : 나쁜 기억력","1. Tengo mala memoria para los nombres.

나는 이름 기억력이 나쁘다.

2. Lo aprendí de memoria.

그것을 암기했다.

3. La memoria del ordenador está llena.

컴퓨터 메모리가 꽉 찼다.",
학습,repaso,m. 복습; 검토,"dar un repaso : 복습하다/검토하다

hacer un repaso : 복습하다","1. Mañana haremos un repaso general.

내일 총복습을 할 것이다.

2. Necesito un repaso de gramática.

문법 복습이 필요하다.

3. El repaso ayuda a memorizar.

복습은 암기에 도움이 된다.",
