챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
학습,acierto,m. 정답; 적중; 성공,"tener un acierto : 적중하다/성공하다

con acierto : 적절하게/잘","1. Fue un acierto contratarlo.

그를 고용한 건 잘한 일(성공)이었다.

2. Tuvo muchos aciertos en el test.

그는 테스트에서 많이 맞췄다.

3. Lo adivinó con acierto.

그는 정확하게 알아맞혔다.",
학습,aprendizaje,m. 학습; 배움,"proceso de aprendizaje : 학습 과정

dificultades de aprendizaje : 학습 장애","1. El aprendizaje es continuo.

학습은 계속되는 것이다.

2. Facilita el aprendizaje del idioma.

그것은 언어 학습을 용이하게 한다.

3. El juego es parte del aprendizaje.

놀이는 학습의 일부다.",
학습,avanzado,a. 고급의; 진보한,"nivel avanzado : 고급 레벨

edad avanzada : 고령","1. Es un estudiante avanzado.

그는 상급 학생이다.

2. Usa tecnología avanzada.

첨단(진보된) 기술을 사용한다.

3. El curso es para nivel avanzado.

이 코스는 고급자를 위한 것이다.",
학습,comprensión,f. 이해(력),"comprensión auditiva : 청해 (듣기 평가)

comprensión lectora : 독해","1. La comprensión del texto es difícil.

텍스트 이해가 어렵다.

2. Gracias por su comprensión.

이해해 주셔서 감사합니다.

3. Tiene problemas de comprensión.

그는 이해력에 문제가 있다.",
학습,concepto,m. 개념; 생각,"tener buen concepto de : ~를 좋게 생각하다

concepto abstracto : 추상적 개념","1. No entiendo este concepto.

이 개념을 이해하지 못하겠다.

2. Explica el concepto claramente.

개념을 명확히 설명해라.

3. Es un concepto nuevo para mí.

나에게는 새로운 개념이다.",
학습,definición,f. 정의; 해상도,"alta definición : 고화질 (HD)

definición de una palabra : 단어의 정의","1. Busca la definición en el diccionario.

사전에서 정의를 찾아라.

2. La definición no es clara.

정의가 명확하지 않다.

3. Aprende la definición de memoria.

정의를 외워라.",
학습,dificultad,f. 어려움; 난이도,"con dificultad : 어렵게/간신히

grado de dificultad : 난이도","1. Tiene dificultad para leer.

그는 읽는 데 어려움이 있다.

2. Superó todas las dificultades.

그는 모든 어려움을 극복했다.

3. La dificultad del examen fue alta.

시험 난이도가 높았다.",
학습,estrategia,f. 전략,"estrategia de aprendizaje : 학습 전략

diseñar una estrategia : 전략을 짜다","1. Tienes que cambiar de estrategia.

전략을 바꿔야 한다.

2. Es una buena estrategia para aprobar.

합격하기 위한 좋은 전략이다.

3. La estrategia funcionó.

전략이 통했다.",
학습,expresión,f. 표현; 표정,"expresión oral : 말하기 (구술)

expresión escrita : 쓰기 (작문)","1. Practicamos la expresión oral.

우리는 말하기를 연습한다.

2. Libertad de expresión.

표현의 자유.

3. Usa una expresión coloquial.

그는 구어체 표현을 사용한다.",
학습,facilidad,f. 쉬움; 용이함; (pl.) 편의,"tener facilidad para : ~에 재능이 있다/쉽게 하다

facilidades de pago : 지불 편의 (할부 등)","1. Tiene facilidad para los idiomas.

그는 언어 배우는 데 소질이 있다 (쉽게 한다).

2. Lo hizo con gran facilidad.

그는 아주 쉽게 해냈다.

3. El hotel ofrece muchas facilidades.

호텔은 많은 편의 시설을 제공한다.",
학습,fallo,m. 실패; 결함; 판결,"fallo técnico : 기술적 결함

sin fallo : 틀림없이/완벽하게","1. Fue un fallo mío.

내 잘못(실수)이었다.

2. El fallo del sistema borró los datos.

시스템 오류로 데이터가 삭제되었다.

3. Inténtalo de nuevo tras el fallo.

실패한 후에 다시 시도해라.",
학습,memoria,f. 기억(력); 메모리,"saber de memoria : 외우고 있다

mala memoria : 나쁜 기억력","1. Tengo mala memoria para los nombres.

나는 이름 기억력이 나쁘다.

2. Lo aprendí de memoria.

그것을 암기했다.

3. La memoria del ordenador está llena.

컴퓨터 메모리가 꽉 찼다.",
학습,repaso,m. 복습; 검토,"dar un repaso : 복습하다/검토하다

hacer un repaso : 복습하다","1. Mañana haremos un repaso general.

내일 총복습을 할 것이다.

2. Necesito un repaso de gramática.

문법 복습이 필요하다.

3. El repaso ayuda a memorizar.

복습은 암기에 도움이 된다.",
학습*,método,m. 방법,método de estudio : 학습 방법,"1. Este método es muy efectivo.

이 방법은 매우 효과적이다.

2. Busco un método sencillo.

나는 간단한 방법을 찾는다.

3. Cambié mi método.

내 방법을 바꿨다.",
학습*,práctica,"f. 연습, 실습",poner en práctica : 실천에 옮기다,"1. La práctica mejora la memoria.

연습은 기억을 향상시킨다.

2. Hicimos práctica oral.

우리는 구두 연습을 했다.

3. Necesito más práctica.

나는 더 많은 연습이 필요하다.",
학습*,tarea,"f. 숙제, 과제",hacer la tarea : 숙제하다,"1. Tengo mucha tarea hoy.

오늘 숙제가 많다.

2. Terminé la tarea.

숙제를 끝냈다.

3. La tarea es para mañana.

숙제는 내일까지다.",
학습*,ejercicio,m. 연습문제,ejercicio de gramática : 문법 연습,"1. Hice tres ejercicios.

연습문제 세 개를 했다.

2. El ejercicio es difícil.

그 문제는 어렵다.

3. Corrigieron el ejercicio.

그들은 연습문제를 바로잡았다.",
학습*,examen,m. 시험,examen final : 기말고사,"1. El examen es el lunes.

시험은 월요일이다.

2. Aprobé el examen.

나는 시험에 합격했다.

3. Estoy nervioso por el examen.

시험 때문에 긴장된다.",
학습*,nota,f. 성적; 노트,sacar buena nota : 좋은 점수를 받다,"1. Saqué buena nota.

좋은 점수를 받았다.

2. Mi nota subió.

내 성적이 올랐다.

3. Revisé la nota del examen.

시험 점수를 확인했다.",
학습*,apunte,"m. 필기, 노트",tomar apuntes : 필기하다,"1. Tomé apuntes en clase.

수업에서 필기했다.

2. Perdí mis apuntes.

내 필기를 잃어버렸다.

3. Mis apuntes están ordenados.

내 필기는 정리되어 있다.",
학습*,objetivo,m. 목표,objetivo diario : 일일 목표,"1. Mi objetivo es practicar.

내 목표는 연습하는 것이다.

2. Logramos el objetivo.

우리는 목표를 이뤘다.

3. El objetivo es realista.

목표가 현실적이다.",
학습*,hábito,m. 습관,hábito de estudio : 공부 습관,"1. Tengo buen hábito de estudio.

좋은 공부 습관이 있다.

2. Crear un hábito toma tiempo.

습관을 만드는 데 시간이 걸린다.

3. Cambió su hábito.

그는 습관을 바꿨다.",
학습*,nivel,m. 수준,nivel básico : 기초 수준,"1. Estoy en nivel A2.

나는 A2 수준에 있다.

2. El nivel sube rápido.

수준이 빨리 오른다.

3. Necesito nivel B1.

B1 수준이 필요하다.",
학습*,progreso,"m. 진도, 진행",hacer progreso : 진도를 나가다,"1. Veo progreso cada semana.

매주 진도가 보인다.

2. El progreso es lento.

진도가 느리다.

3. Tu progreso es bueno.

네 진도는 좋다.",
학습*,resultado,m. 결과,resultado del examen : 시험 결과,"1. El resultado fue positivo.

결과가 긍정적이었다.

2. Espero el resultado mañana.

내일 결과를 기다린다.

3. El resultado depende del esfuerzo.

결과는 노력에 달려 있다.",
학습*,material,"m. 자료, 교재",material de estudio : 학습 자료,"1. Necesito material extra.

추가 자료가 필요하다.

2. El material es gratuito.

자료는 무료다.

3. Este material es útil.

이 자료는 유용하다.",
