챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
행정,beneficencia,f. 자선 (활동/단체),"obra de beneficencia : 자선 사업

vivir de la beneficencia : 자선에 기대어 살다","1. Donó dinero a la beneficencia.

그는 자선 단체에 돈을 기부했다.

2. Es una cena de beneficencia.

자선 만찬이다.

3. La beneficencia ayuda a los pobres.

자선 활동은 가난한 이들을 돕는다.",
행정,censo,m. 인구 조사; 센서스,"censo electoral : 선거인 명부

estar en el censo : 명부에 있다","1. Hicieron el censo este año.

올해 인구 조사를 했다.

2. Tienes que estar en el censo para votar.

투표하려면 명부에 있어야 한다.

3. El censo muestra el crecimiento.

센서스는 증가를 보여준다.",
행정,certificado,m. 증명서; 자격증,"certificado de nacimiento : 출생 증명서

correo certificado : 등기 우편","1. Necesito un certificado médico.

진단서가 필요하다.

2. Obtuvo el certificado de inglés.

그는 영어 자격증을 땄다.

3. Es un documento certificado.

인증된 문서다.",
행정,colaboración,f. 협력; 기고,"en colaboración con : ~와 협력하여

pedir colaboración : 협조를 요청하다","1. Gracias por vuestra colaboración.

협조해 주셔서 감사합니다.

2. Es una colaboración entre países.

국가 간의 협력이다.

3. Necesitamos la colaboración ciudadana.

시민의 협조가 필요하다.",
행정,documentación,f. 서류; 문서,"presentar la documentación : 서류를 제출하다

falta documentación : 서류가 부족하다","1. Traiga su documentación.

신분증(서류)을 가져오세요.

2. Revisa la documentación.

서류를 검토해라.

3. Me pidieron mucha documentación.

그들은 나에게 많은 서류를 요구했다.",
행정,empadronarse,v. 주민 등록하다,"certificado de empadronamiento : 주민등록등본

empadronarse en la ciudad : 도시에 전입 신고하다","1. Me empadroné en Madrid.

마드리드에 전입 신고했다.

2. Tienes que empadronarte para el médico.

의사 진료를 위해 주민 등록해야 한다.

3. ¿Dónde hay que empadronarse?

어디서 주민 등록하나요?","[현재]

me empadrono / te empadronas / se empadrona / nos empadronamos / os empadronáis / se empadronan


[현재분사] : empadronándose : [과거분사] : empadronado


[과거]

me empadroné / te empadronaste / se empadronó / nos empadronamos / os empadronasteis / se empadronaron


[가정법]

me empadronaría / te empadronarías / se empadronaría / nos empadronaríamos / os empadronaríais / se empadronarían


[접속법]

me empadrone / te empadrones / se empadrone / nos empadronemos / os empadronéis / se empadronen


[미래]

me empadronaré / te empadronarás / se empadronará / nos empadronaremos / os empadronaréis / se empadronarán"
행정,formulario,m. 서식; 양식,"rellenar un formulario : 양식을 작성하다

formulario de inscripción : 등록 양식","1. Rellena este formulario.

이 양식을 작성해라.

2. Envía el formulario online.

양식을 온라인으로 보내라.

3. Firma al final del formulario.

양식 끝에 서명해라.",
행정,internacional,a. 국제적인,"relaciones internacionales : 국제 관계

vuelo internacional : 국제선","1. Es una empresa internacional.

다국적(국제) 기업이다.

2. El comercio internacional es clave.

국제 무역은 핵심이다.

3. Hay un conflicto internacional.

국제 분쟁이 있다.",
행정,local,a. 지역의; m. 장소/가게,"policía local : 지방 경찰

local comercial : 상가 점포","1. Compro en el mercado local.

나는 지역 시장에서 산다.

2. Es una fiesta local.

지역 축제다.

3. Buscan un local para la tienda.

그들은 가게 낼 자리를 찾고 있다.",
행정,municipal,a. 시의; 지방 자치의,"piscina municipal : 시립 수영장

elecciones municipales : 지방 선거","1. Voy a la biblioteca municipal.

시립 도서관에 간다.

2. Es un impuesto municipal.

지방세다.

3. La policía municipal regula el tráfico.

시 경찰이 교통을 정리한다.",
행정,nacional,a. 국가의; 국립의,"policía nacional : 국립 경찰

fiesta nacional : 국경일","1. Es un parque nacional.

국립 공원이다.

2. El equipo nacional ganó.

국가대표팀이 이겼다.

3. Es un producto nacional.

국산품이다.",
행정,oficial,a. 공식적인; m. 장교/관리,"idioma oficial : 공용어

documento oficial : 공식 문서","1. Es un comunicado oficial.

공식 성명이다.

2. El español es idioma oficial.

스페인어는 공용어다.

3. No es oficial todavía.

아직 공식적인 것은 아니다.",
행정,participar,v. 참여하다; 참가하다,"participar en : ~에 참여하다

hacer partícipe : 알리다/참여시키다","1. Quiero participar en el debate.

나는 토론에 참여하고 싶다.

2. Todos participaron activamente.

모두가 적극적으로 참여했다.

3. Gracias por participar.

참여해 줘서 고마워.","[현재]

participo / participas / participa / participamos / participáis / participan


[현재분사] : participando : [과거분사] : participado


[과거]

participé / participaste / participó / participamos / participasteis / participaron


[가정법]

participaría / participarías / participaría / participaríamos / participaríais / participarían


[접속법]

participe / participes / participe / participemos / participéis / participen


[미래]

participaré / participarás / participará / participaremos / participaréis / participarán"
행정,prórroga,f. 연장; (스포츠) 연장전,"pedir una prórroga : 연장을 요청하다

en la prórroga : 연장전에","1. Pedí una prórroga para el trabajo.

과제 기한 연장을 요청했다.

2. El partido fue a la prórroga.

경기는 연장전으로 갔다.

3. Concedieron una prórroga.

그들은 연장을 허가했다.",
행정,renovar,v. 갱신하다; 새롭게 하다,"renovar el pasaporte : 여권을 갱신하다

renovarse o morir : 혁신 아니면 죽음이다","1. Tengo que renovar el DNI.

신분증을 갱신해야 한다.

2. Renovó su contrato.

그는 계약을 갱신했다.

3. Quiero renovar el armario (la ropa).

옷장을 싹 바꾸고 싶다.","[현재]

renuevo / renuevas / renueva / renovamos / renováis / renuevan


[현재분사] : renovando : [과거분사] : renovado


[과거]

renové / renovaste / renovó / renovamos / renovasteis / renovaron


[가정법]

renovaría / renovarías / renovaría / renovaríamos / renovaríais / renovarían


[접속법]

renueve / renueves / renueve / renovemos / renovéis / renueven


[미래]

renovaré / renovarás / renovará / renovaremos / renovaréis / renovarán"
행정,rural,a. 시골의; 전원의,"turismo rural : 시골 관광 (촌캉스)

zona rural : 시골 지역","1. Vive en una zona rural.

그는 시골 지역에 산다.

2. El turismo rural está de moda.

시골 관광이 유행이다.

3. La vida rural es tranquila.

시골 생활은 조용하다.",
행정,solicitud,f. 신청(서); 요청,"presentar una solicitud : 신청서를 내다

solicitud de empleo : 입사 지원서","1. Tu solicitud ha sido aprobada.

네 신청이 승인되었다.

2. Hice una solicitud de beca.

장학금을 신청했다.

3. Rechazaron la solicitud.

신청을 거절했다.",
행정,trámite,m. 절차; 수속,"hacer un trámite : 수속을 밟다

trámites burocráticos : 관료적 절차","1. Es un trámite sencillo.

간단한 절차다.

2. Estoy haciendo los trámites del visado.

비자 수속 중이다.

3. Odio los trámites administrativos.

나는 행정 절차를 싫어한다.",
행정,urbano,a. 도시의,"transporte urbano : 시내 교통

arte urbano : 거리 예술","1. Prefiero el paisaje urbano.

나는 도시 풍경을 선호한다.

2. Es un autobús urbano.

시내버스다.

3. El crecimiento urbano es rápido.

도시 성장이 빠르다.",
