챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
환경,atmósfera,f. 대기; 분위기,"atmósfera terrestre : 지구 대기

contaminar la atmósfera : 대기를 오염시키다","1. La atmósfera nos protege.

대기가 우리를 보호한다.

2. Los gases dañan la atmósfera.

가스가 대기를 손상시킨다.

3. La atmósfera está contaminada.

대기가 오염되었다.",
환경,basura,f. 쓰레기,"tirar la basura : 쓰레기를 버리다

comida basura : 정크푸드","1. Tira la basura en la papelera.

쓰레기는 휴지통에 버려라.

2. El camión recoge la basura.

트럭이 쓰레기를 수거한다.

3. Hay mucha basura en la calle.

거리에 쓰레기가 많다.",
환경,biodiversidad,f. 생물 다양성,"pérdida de biodiversidad : 생물 다양성 손실

proteger la biodiversidad : 생물 다양성을 보호하다","1. La selva tiene mucha biodiversidad.

밀림은 생물 다양성이 풍부하다.

2. La biodiversidad es riqueza.

생물 다양성은 자산이다.

3. El cambio climático amenaza la biodiversidad.

기후 변화는 생물 다양성을 위협한다.",
환경,calentamiento,m. 온난화; 가열,"calentamiento global : 지구 온난화

calentamiento antes del deporte : 준비 운동","1. El calentamiento global es real.

지구 온난화는 현실이다.

2. El calentamiento derrite el hielo.

온난화가 얼음을 녹인다.

3. Debemos frenar el calentamiento.

우리는 온난화를 멈춰야 한다.",
환경,cambio climático,m. 기후 변화,"luchar contra el cambio climático : 기후 변화에 맞서 싸우다

efectos del cambio climático : 기후 변화의 영향","1. El cambio climático causa sequías.

기후 변화는 가뭄을 유발한다.

2. Es culpa del cambio climático.

기후 변화 탓이다.

3. Adaptarse al cambio climático.

기후 변화에 적응하다.",
환경,capa de ozono,f. 오존층,"agujero en la capa de ozono : 오존층 구멍

proteger la capa de ozono : 오존층을 보호하다","1. La capa de ozono filtra los rayos.

오존층은 광선을 걸러낸다.

2. El agujero de la capa de ozono se reduce.

오존층 구멍이 줄어들고 있다.

3. Cuidemos la capa de ozono.

오존층을 보호하자.",
환경,carbón,m. 석탄; 숯,"mina de carbón : 탄광

negro como el carbón : 칠흑같이 검은","1. El carbón se usa para calefacción.

석탄은 난방에 쓰인다.

2. Quemar carbón contamina el aire.

석탄을 태우면 공기가 오염된다.

3. Hicimos una barbacoa con carbón.

우리는 숯으로 바비큐를 했다.",
환경,cartón,m. 판지; 박스,"caja de cartón : 종이 상자

reciclar cartón : 종이를 재활용하다","1. Guarda las cosas en cajas de cartón.

물건들을 종이 상자에 보관해라.

2. El cartón va al contenedor azul.

종이는 파란색 수거함에 넣는다.

3. Es un envase de cartón.

종이 용기다.",
환경,conservar,v. 보존하다; 유지하다,"conservar la naturaleza : 자연을 보존하다

conservar en frío : 냉장 보관하다","1. Queremos conservar el planeta.

우리는 지구를 보존하고 싶다.

2. Conserva bien los alimentos.

음식을 잘 보관해라.

3. Es importante conservar las especies.

종을 보존하는 것은 중요하다.",
환경,contaminación,f. 오염; 공해,"contaminación del aire : 대기 오염

reducir la contaminación : 오염을 줄이다","1. Hay mucha contaminación en la ciudad.

도시에는 오염이 심하다.

2. La contaminación afecta a la salud.

오염은 건강에 영향을 미친다.

3. El humo causa contaminación.

연기는 오염을 유발한다.",
