시제,문장 (빈칸 포함),동사 기본형,정답,번역,설명,레벨,규칙/불규칙
현재형,Yo siempre ( ) con mi madre los domingos.,hablar,hablo,나는 일요일마다 어머니와 통화한다.,빈도 부사 'siempre'와 함께 반복되는 습관을 나타내므로 1인칭 단수 현재형을 씁니다.,A1,규칙
현재형,Los estudiantes ( ) en la cafetería ahora mismo.,comer,comen,학생들은 지금 구내식당에서 밥을 먹는다.,ahora mismo'는 현재 진행 중인 동작이나 사실을 나타내므로 3인칭 복수 현재형이 적합합니다.,A1,규칙
현재형,Mi abuela ( ) en un pueblo muy tranquilo.,vivir,vive,할머니는 매우 조용하고 작은 마을에 사신다.,거주지와 같은 지속적인 현재 상태는 직설법 현재형으로 표현합니다.,A1,규칙
현재형,¿Tú ( ) español todos los días?,estudiar,estudias,너는 매일 스페인어를 공부하니?,todos los días'는 반복적인 일상을 의미하므로 2인칭 단수 현재형을 사용합니다.,A1,규칙
현재형,Mi padre ( ) en una oficina del centro.,trabajar,trabaja,아버지는 시내의 한 사무실에서 일하신다.,직업이나 직장 같은 일반적인 사실을 서술할 때 3인칭 단수 현재형을 씁니다.,A1,규칙
현재형,Nosotros ( ) música clásica para relajarnos.,escuchar,escuchamos,우리는 휴식을 위해 클래식 음악을 듣는다.,주어 'Nosotros'의 취미나 습관을 나타내는 1인칭 복수 현재형입니다.,A1,규칙
현재형,Ellas ( ) ropa nueva cada temporada.,comprar,compran,그녀들은 시즌마다 새 옷을 산다.,주기적인 쇼핑 습관을 묘사하므로 3인칭 복수 어미(-an)를 사용합니다.,A1,규칙
현재형,"Usted ( ) el periódico cada mañana, ¿verdad?",leer,lee,당신은 매일 아침 신문을 읽으시죠?,"존칭 'Usted'는 3인칭 단수 동사 변화를 따르며, 습관적 행위를 나타냅니다.",A1,규칙
현재형,Yo ( ) un correo electrónico al profesor.,escribir,escribo,나는 교수님께 이메일을 쓴다.,현재 시점에서 수행하는 동작을 나타내는 1인칭 단수(-o) 형태입니다.,A1,규칙
현재형,Los niños ( ) muchas cosas en la escuela.,aprender,aprenden,아이들은 학교에서 많은 것을 배운다.,학교에서의 일반적인 학습 활동을 설명하므로 3인칭 복수 현재형을 씁니다.,A1,규칙
현재형,La tienda ( ) sus puertas a las nueve.,abrir,abre,그 가게는 9시에 문을 연다.,정해진 영업 시간이나 스케줄은 현재 시제로 표현합니다.,A1,규칙
현재형,Vosotros ( ) por el parque el fin de semana.,caminar,camináis,너희들은 주말에 공원을 산책한다.,2인칭 복수 'Vosotros'에 해당하는 규칙 동사 어미(-áis)를 사용합니다.,A1,규칙
현재형,Ella no ( ) alcohol porque es menor.,beber,bebe,그녀는 미성년자라 술을 마시지 않는다.,변하지 않는 사실이나 원칙을 설명할 때 3인칭 단수 현재형을 사용합니다.,A1,규칙
현재형,Los atletas ( ) muy rápido en la pista.,correr,corren,선수들은 트랙에서 매우 빠르게 달린다.,주어(선수들)의 일반적인 능력을 묘사하므로 3인칭 복수 현재형입니다.,A1,규칙
현재형,Nosotros ( ) salsa en las fiestas.,bailar,bailamos,우리는 파티에서 살사를 춘다.,반복적인 여가 활동을 나타내므로 1인칭 복수 어미(-amos)를 사용합니다.,A1,규칙
단순과거,Ayer yo ( ) muy cansado tras el viaje.,estar,estuve,어제 여행 후 나는 매우 피곤했다.,Ayer'라는 과거 시점의 일시적 상태를 나타내므로 estar의 단순과거형을 씁니다.,A2,불규칙
불완료과거,"Cuando era niño, yo ( ) muy tímido.",ser,era,어렸을 때 나는 매우 수줍음이 많았다.,과거의 지속적인 성격이나 상태를 묘사할 때는 불완료과거(반과거)를 사용합니다.,A2,불규칙
단순과거,"El año pasado, nosotros ( ) a México.",ir,fuimos,작년에 우리는 멕시코에 갔다.,완료된 과거 시점(작년)의 이동을 나타내므로 ir의 단순과거형을 씁니다.,A2,불규칙
