전치사,카테고리ID,카테고리명,설명,예문,해석
a,loc_direction,방향/목적지,이동의 목적지 (~로),Este verano iremos *a* la costa sur para disfrutar del mar.,이번 여름에 우리는 바다를 즐기기 위해 남쪽 해안으로 갈 것이다.
a,time_point,시점,구체적인 시각 (~에),La ceremonia de graduación comenzará puntualmente *a* las once.,졸업식은 11시 정각에 시작될 것이다.
a,loc_position,위치/거리,거리 (~만큼 떨어져),El aeropuerto está *a* veinte kilómetros del centro de la ciudad.,공항은 도심에서 20킬로미터 떨어져 있다.
a,company,인칭 목적어,특정 사람을 목적어로 취할 때,Ayer vi *a* tu hermano en el supermercado pero no me saludó.,어제 슈퍼마켓에서 네 동생을 봤는데 나에게 인사하지 않았다.
a,manner,방식,행동의 방식 (~으로),Siempre va *a* pie al trabajo para mantenerse en forma.,그는 건강을 유지하기 위해 항상 걸어서(도보로) 출근한다.
a,method,비율/속도,속도나 가격의 비율,El coche iba *a* ciento veinte kilómetros por hora cuando ocurrió el accidente.,사고가 났을 때 그 차는 시속 120km로 달리고 있었다.
de,loc_origin,출신/기원,"출신 (~에서, ~의)",El nuevo profesor de español es *de* una pequeña ciudad de Andalucía.,새로 오신 스페인어 선생님은 안달루시아의 작은 도시 출신이다.
de,company,소유,소유 (~의),La decision del director sorprendió a todos los empleados.,이사님의 결정은 모든 직원들을 놀라게 했다.
de,material,재료,재료 (~로 만든),Me regalaron una hermosa caja *de* madera tallada a mano.,나는 손으로 조각된 아름다운 나무 상자를 선물 받았다.
de,topic,주제,주제 (~에 대해),No me gusta hablar *de* política en las reuniones familiares.,나는 가족 모임에서 정치에 대해 이야기하는 것을 좋아하지 않는다.
de,cause,원인,감정이나 행동의 원인,La niña lloraba *de* alegría al ver a su padre regresar.,그 소녀는 아버지가 돌아오는 것을 보고 기뻐서 울었다.
de,method,자격/신분,직업이나 역할 (~로서),Trabaja *de* camarero los fines de semana para pagar sus estudios.,그는 학비를 벌기 위해 주말에는 웨이터로 일한다.
de,material,부분/수량,전체 중의 일부,¿Quieres un poco *de* agua?,물 좀 마실래?
de,time_point,시점(시간대),하루 중 특정 시간대 (구체적 시간 뒤),Son las tres *de* la tarde.,오후 3시이다.
en,loc_position,위치(내부/위),장소의 내부나 위 (~에),Las llaves que habías perdido estaban guardadas *en* el cajón del escritorio.,네가 잃어버렸던 열쇠들은 책상 서랍 안에 보관되어 있었다.
en,method,수단(교통),교통 수단 (~을 타고),Es mucho más ecológico viajar *en* transporte público que utilizar el coche privado.,개인용 차를 이용하는 것보다 대중교통을 타고 여행하는 것이 훨씬 친환경적이다.
en,time_point,시점(기간),"계절, 달, 연도 (~에)","*En* verano, las temperaturas en el sur de España son muy altas.",여름에는 스페인 남부의 기온이 매우 높다.
en,time_duration,소요 시간,걸리는 시간 (~만에),El equipo de ingenieros logró resolver el problem técnico *en* apenas dos horas.,엔지니어 팀은 기술적인 문제를 불과 2시간 만에 해결해냈다.
en,manner,상태/방식,어떤 상태로,"Me lo dijo *en* broma, pero me sentó mal.","그는 농담으로 말했지만, 나는 기분이 나빴다."
por,cause,원인/이유,원인 (~때문에),El vuelo fue cancelado *por* las adversas condiciones meteorológicas en el aeropuerto.,그 비행편은 공항의 열악한 기상 조건 때문에 취소되었다.
por,loc_path,경로/경유,지나가는 곳 (~를 통해),"Para llegar al museo, tienes que pasar *por* el parque central.",박물관에 가려면 중앙 공원을 지나가야 한다.
por,time_duration,기간/빈도,대략적인 기간/시간대,"Normalmente, prefiero estudiar *por* la tarde cuando el ambiente es más tranquilo.",보통 나는 분위기가 더 차분한 오후 시간대에 공부하는 것을 선호한다.
por,exchange,교환/대체,"교환 (~대신에, ~를 받고)",Te cambio mi bocadillo de jamón por tu manzana.,내 햄 샌드위치를 네 사과와 바꾸자.
por,method,행위자(수동태),수동태의 행위자 (~에 의해),El libro fue escrito *por* un autor desconocido en el siglo XV.,그 책은 15세기에 무명 작가에 의해 쓰여졌다.
por,method,배분,~당 (단위),Nos dieron un regalo *por* persona.,우리에게 1인당 선물 하나씩을 주었다.
para,purpose,목적/용도,목적 (~을 위해),Ella está ahorrando cada céntimo *para* poder comprarse una casa propia el próximo año.,그녀는 내년에 내 집 마련을 하기 위해 한 푼 한 푼 아끼고 있다.
para,loc_direction,방향/목적지,최종 목적지 (~행),El tren que sale de la vía tres va directamente *para* la frontera con Francia.,3번 승강장에서 출발하는 기차는 프랑스 국경 쪽으로 바로 간다.
para,time_deadline,기한,기한 (~까지),Necesito que entregues el informe de ventas *para* el próximo viernes sin falta.,다음 주 금요일까지 판매 보고서를 반드시 제출해 주길 바란다.
para,company,수혜자,대상 (~에게),He preparado esta presentación especial *para* los nuevos inversores del proyecto.,나는 프로젝트의 새로운 투자자들을 위해 이 특별 발표를 준비했다.
