id,type,verb,tense,sentence,answer,hint,options,translation
1_1,1,ser,pres,Ella *es* profesora.,현재,,현재|단순과거|불완료과거|미래|현재완료,그녀는 선생님 [이에요].
1_2,2,ser,pres,Ella ___ profesora.,es,,,그녀는 선생님 [이에요].
1_3,3,ser,pres,Ella ___ profesora.,es,,eres|ha sido|soy|es,그녀는 선생님 [이에요].
2_1,1,ser,pres,Nosotros *es* estudiantes.,현재,,현재|단순과거|불완료과거|미래|현재완료,우리는 학생 [이에요].
2_2,2,ser,pres,Nosotros ___ estudiantes.,es,,,우리는 학생 [이에요].
2_3,3,ser,pres,Nosotros ___ estudiantes.,es,,es|era|soy|somos,우리는 학생 [이에요].
3_1,1,ser,indef,Ayer la fiesta *fue* divertida.,단순과거,,현재|단순과거|불완료과거|미래|현재완료,어제 파티는 즐거 [웠어요].
3_2,2,ser,indef,Ayer la fiesta ___ divertida.,fue,,,어제 파티는 즐거 [웠어요].
3_3,3,ser,indef,Ayer la fiesta ___ divertida.,fue,,fuimos|fue|sería|fuiste,어제 파티는 즐거 [웠어요].
4_1,1,ser,imperf,"Cuando era niño, él *era* tímido.",불완료과거,,현재|단순과거|불완료과거|미래|현재완료,"어렸을 때, 그는 수줍음이 많은 [모습이었어요]."
4_2,2,ser,imperf,"Cuando era niño, él ___ tímido.",era,,,"어렸을 때, 그는 수줍음이 많은 [모습이었어요]."
4_3,3,ser,imperf,"Cuando era niño, él ___ tímido.",era,,éramos|era|fuera|era,"어렸을 때, 그는 수줍음이 많은 [모습이었어요]."
5_1,1,ser,fut,Mañana *será* un gran día.,미래,,현재|단순과거|불완료과거|미래|현재완료,내일은 멋진 날이 [될 거예요].
5_2,2,ser,fut,Mañana ___ un gran día.,será,,,내일은 멋진 날이 [될 거예요].
5_3,3,ser,fut,Mañana ___ un gran día.,será,,seré|es|serás|será,내일은 멋진 날이 [될 거예요].
6_1,1,estar,pres,ellos *están* en casa.,현재,,현재|단순과거|불완료과거|미래|현재완료,그들은 집에 [있어요].
6_2,2,estar,pres,ellos ___ en casa.,están,,,그들은 집에 [있어요].
6_3,3,estar,pres,ellos ___ en casa.,están,,estamos|estoy|están|estuvieron,그들은 집에 [있어요].
7_1,1,estar,pres,Madrid *está* en España.,현재,,현재|단순과거|불완료과거|미래|현재완료,마드리드는 스페인에 [있어요].
7_2,2,estar,pres,Madrid ___ en España.,está,,,마드리드는 스페인에 [있어요].
7_3,3,estar,pres,Madrid ___ en España.,está,,estás|estará|estás|está,마드리드는 스페인에 [있어요].
8_1,1,estar,indef,Ayer ellos *estuvieron* enfermo.,단순과거,,현재|단순과거|불완료과거|미래|현재완료,어제 그들은 아 [팠어요].
8_2,2,estar,indef,Ayer ellos ___ enfermo.,estuvieron,,,어제 그들은 아 [팠어요].
8_3,3,estar,indef,Ayer ellos ___ enfermo.,estuvieron,,estuvieron|estaban|estuviste|estuve,어제 그들은 아 [팠어요].
9_1,1,estar,imperf,Antes él *estaba* siempre aquí.,불완료과거,,현재|단순과거|불완료과거|미래|현재완료,예전에 그는 항상 여기에 [있곤 했어요].
9_2,2,estar,imperf,Antes él ___ siempre aquí.,estaba,,,예전에 그는 항상 여기에 [있곤 했어요].
9_3,3,estar,imperf,Antes él ___ siempre aquí.,estaba,,estabas|estuvo|estaba|estaban,예전에 그는 항상 여기에 [있곤 했어요].
10_1,1,haber,pres,Ahora él *hay*.,현재,,현재|단순과거|불완료과거|미래|현재완료,지금 그는 [해요/있어요].
10_2,2,haber,pres,Ahora él ___.,hay,,,지금 그는 [해요/있어요].
10_3,3,haber,pres,Ahora él ___.,hay,,hay|haya|hemos|has,지금 그는 [해요/있어요].
11_1,1,haber,indef,Ayer tú *hubiste*.,단순과거,,현재|단순과거|불완료과거|미래|현재완료,어제 너는 [했어요/있었어요].
11_2,2,haber,indef,Ayer tú ___.,hubiste,,,어제 너는 [했어요/있었어요].
11_3,3,haber,indef,Ayer tú ___.,hubiste,,hubieras|hube|hubiste|hube,어제 너는 [했어요/있었어요].
12_1,1,haber,fut,Mañana nosotros *habremos*.,미래,,현재|단순과거|불완료과거|미래|현재완료,내일 우리는 [할 거예요].
12_2,2,haber,fut,Mañana nosotros ___.,habremos,,,내일 우리는 [할 거예요].
12_3,3,haber,fut,Mañana nosotros ___.,habremos,,hubieramos|habremos|habrá|habrán,내일 우리는 [할 거예요].
13_1,1,tener,pres,él *tiene* hambre.,현재,,현재|단순과거|불완료과거|미래|현재완료,그는 배가 [고파요].
13_2,2,tener,pres,él ___ hambre.,tiene,,,그는 배가 [고파요].
13_3,3,tener,pres,él ___ hambre.,tiene,,tienes|tiene|tenía|tengo,그는 배가 [고파요].
14_1,1,tener,pres,ellos *tienen* un coche.,현재,,현재|단순과거|불완료과거|미래|현재완료,그들은 차를 가지고 [있어요].
14_2,2,tener,pres,ellos ___ un coche.,tienen,,,그들은 차를 가지고 [있어요].
14_3,3,tener,pres,ellos ___ un coche.,tienen,,tienen|tenamos|han tenido|tengo,그들은 차를 가지고 [있어요].
15_1,1,tener,indef,Ayer tú *tuviste* mucho trabajo.,단순과거,,현재|단순과거|불완료과거|미래|현재완료,어제 너는 일이 많이 [있었어요].
15_2,2,tener,indef,Ayer tú ___ mucho trabajo.,tuviste,,,어제 너는 일이 많이 [있었어요].
15_3,3,tener,indef,Ayer tú ___ mucho trabajo.,tuviste,,tuvo|tuviste|tuvo|has tenido,어제 너는 일이 많이 [있었어요].
16_1,1,hacer,pres,ellos *hacen* la tarea.,현재,,현재|단순과거|불완료과거|미래|현재완료,그들은 숙제를 [해요].
16_2,2,hacer,pres,ellos ___ la tarea.,hacen,,,그들은 숙제를 [해요].
16_3,3,hacer,pres,ellos ___ la tarea.,hacen,,hace|haces|hacen|hacían,그들은 숙제를 [해요].
17_1,1,hacer,pres,Hoy *hace* sol.,현재,,현재|단순과거|불완료과거|미래|현재완료,오늘 해가 [나요].
17_2,2,hacer,pres,Hoy ___ sol.,hace,,,오늘 해가 [나요].
17_3,3,hacer,pres,Hoy ___ sol.,hace,,hace|haces|hiciera|haces,오늘 해가 [나요].
18_1,1,hacer,indef,Ayer tú *hiciste* un pastel.,단순과거,,현재|단순과거|불완료과거|미래|현재완료,어제 너는 케이크를 만 [들었어요].
18_2,2,hacer,indef,Ayer tú ___ un pastel.,hiciste,,,어제 너는 케이크를 만 [들었어요].
18_3,3,hacer,indef,Ayer tú ___ un pastel.,hiciste,,hizo|hiciste|hagas|hizo,어제 너는 케이크를 만 [들었어요].
19_1,1,ir,pres,yo *voy* al cine.,현재,,현재|단순과거|불완료과거|미래|현재완료,나는 영화관에 [가요].
19_2,2,ir,pres,yo ___ al cine.,voy,,,나는 영화관에 [가요].
19_3,3,ir,pres,yo ___ al cine.,voy,,vamos|van|iré|voy,나는 영화관에 [가요].
20_1,1,ir,fut,El próximo mes tú *irás* a España.,미래,,현재|단순과거|불완료과거|미래|현재완료,다음 달에 너는 스페인에 [갈 거예요].
20_2,2,ir,fut,El próximo mes tú ___ a España.,irás,,,다음 달에 너는 스페인에 [갈 거예요].
20_3,3,ir,fut,El próximo mes tú ___ a España.,irás,,iré|fuiste|irás|iremos,다음 달에 너는 스페인에 [갈 거예요].
21_1,1,ir,indef,Anoche él *fue* a la fiesta.,단순과거,,현재|단순과거|불완료과거|미래|현재완료,어젯밤에 그는 파티에 [갔어요].
21_2,2,ir,indef,Anoche él ___ a la fiesta.,fue,,,어젯밤에 그는 파티에 [갔어요].
21_3,3,ir,indef,Anoche él ___ a la fiesta.,fue,,fuiste|fuimos|fue|ha ido,어젯밤에 그는 파티에 [갔어요].
22_1,1,venir,pres,Ahora nosotros *venimos*.,현재,,현재|단순과거|불완료과거|미래|현재완료,지금 우리는 [해요/있어요].
22_2,2,venir,pres,Ahora nosotros ___.,venimos,,,지금 우리는 [해요/있어요].
22_3,3,venir,pres,Ahora nosotros ___.,venimos,,viene|venimos|vienen|vinieramos,지금 우리는 [해요/있어요].
23_1,1,venir,indef,Ayer él *vino*.,단순과거,,현재|단순과거|불완료과거|미래|현재완료,어제 그는 [했어요/있었어요].
23_2,2,venir,indef,Ayer él ___.,vino,,,어제 그는 [했어요/있었어요].
23_3,3,venir,indef,Ayer él ___.,vino,,vino|vendrá|vinieron|vine,어제 그는 [했어요/있었어요].
